MTR_IDENT	ORIG_ACT	SCH_ACT	ICAO_REGION	CTRY	LOC_HDATUM	WGS_DATUM	EFF_TIMES	CYCLE_DATE
IR055	347 WG, Detachment 1/RO, 8707 North Golf Course St., MacDill AFB, FL 33621-5205	347 WG, Detachment 1/ROA, 8707 North Golf Course St., MacDill AFB, FL 33621-5205	KZ	US	WGE	WGE	0600-2400 local, daily	200101
IR056	347 WG, Detachment 1/RO, 8707 North Golf Course St., MacDill AFB, FL 33621-5205	347 WG, Detachment 1/ROA, 8707 North Golf Course St., MacDill AFB, FL 33621-5205	KZ	US	WGE	WGE	0600-2400 local	200101
IR057	16 OSS/DOAA, Hurlburt Field, FL 32544 DSN 579-7409, C850-884-7409.	16 OSS/DOO, Hurlburt Field, FL 32544 DSN 579-6877/7812, C850-884-6877/7812.	KZ	US	WGE	WGE	Continuous	200006
IR059	16 OSS/DOAA, Hurlburt Field, FL 32544 DSN 579-7409, C850-884-7409.	16 OSS/DOO, Hurlburt Field, FL 32544 DSN 579-6877/7812, C850-884-6877/7812.	KZ	US	WGE	WGE	Continuous	200006
IR062	COMSTRKFIGHTWINGLANT, Oceana NAS, Virginia Beach, VA 23460 DSN 433-4013, C757-43	FACSFAC VACAPES, Oceana , NAS Virginia Beach, VA 23460 DSN 433-1228, C757-433-12	KZ	US	WGE	WGE	Continuous	200505
IR066	14 OSS/OSOP, Columbus AFB, MS 39710 DSN 742-7560/7633, C662-434-7560/7633.	50 FTS, Columbus AFB, MS 39710 DSN 742-7734/7735, C662-434-7734/7735.	KZ	US	WGE	WGE	Sunrise-Sunset Mon-Fri	200606
IR067	14 OSS/OSOP, Columbus AFB, MS 39710 DSN 742-7560/7633, C662-434-7560/7633.	48 FTS, Columbus AFB, MS 39710 DSN 742-7840/7847, C662-434-7840/7847.	KZ	US	WGE	WGE	Sunrise-Sunset Mon-Fri	200606
IR068	14 OSS/OSOP, Columbus AFB, MS 39710 DSN 742-7560/7633, C662-434-7560/7633.	48 FTS, Columbus AFB, MS 39710 DSN 742-7840/7847, C662-434-7840/7847.	KZ	US	WGE	WGE	Sunrise-Sunset Mon-Fri	200606
IR070	14 OSS/OSOP, Columbus AFB, MS 39710-5000 DSN 742-7560/7633, C662-434-7560/7633.	48 FTS, Columbus AFB, MS 39710 DSN 742-7840/7847, C662-434-7840/7847.	KZ	US	WGE	WGE	Sunrise-Sunset daily	200606
IR074	20 OSS/OSOA, Shaw AFB, SC 29152-5000 DSN 965-1121/1122, C803-895-1121/1122, Fax	20 OSS/OSOS, Shaw AFB, SC 29152 Duty hrs DSN 965-1118/1119, C803-895-1118/1119.	KZ	US	WGE	WGE	0600-2400 local, daily, OT require prior approval by Atlanta ARTCC	200602
IR077	FACSFACNPA, NAS Pensacola, FL 32508-5000 DSN 922-2735, C850-452-2735.	Same as Originating Activity	KZ	US	WGE	WGE	1200-0400Z++ Mon-Fri; occasional weekends	200009
IR078	FACSFACNPA, NAS Pensacola, FL 32508-5000 DSN 922-2735, C850-452-2735.	Same as Originating Activity	KZ	US	WGE	WGE	1200-0400Z++ Mon-Fri; occasional weekends	199905
IR079	FACSFACNPA, NAS Pensacola, FL 32508-5000 DSN 922-2735, C850-452-2735.	Same as Originating Activity	KZ	US	WGE	WGE	1200-0400Z++ Mon-Fri; occasional weekends	199905
IR080	FACSFACNPA, NAS Pensacola, FL 32508-5000 DSN 922-2735, C850-452-2735.	Same as Originating Activity	KZ	US	WGE	WGE	1200-0400Z++ Mon-Fri; occasional weekends	199905
IR081	FACSFACNPA, NAS Pensacola, FL 32508-5000 DSN 922-2735, C850-452-2735.	Same as Originating Activity	KZ	US	WGE	WGE	1200-0400Z++ Mon-Fri; occasional weekends	199905
IR082	FACSFACNPA, NAS Pensacola, FL 32508-5000 DSN 922-2735, C850-452-2735.	Same as Originating Activity	KZ	US	WGE	WGE	1200-0400Z++ Mon-Fri; occasional weekends	199905
IR083	FACSFACNPA, NAS Pensacola, FL 32508-5000 DSN 922-2735, C850-452-2735.	Same as Originating Activity	KZ	US	WGE	WGE	1200-0400Z++ Mon-Fri; occasional weekends	199905
IR089	437 OSS/OSOT, Charleston AFB, SC 29404 DSN 673-5554, C843-963-5554.	437 OSS/OSOT, Charleston AFB, SC 29404 DSN 673-5552, C843-963-5552. Non duty hrs	KZ	US	WGE	WGE	0600-2400 local, daily, Jan, Mar, May, Jul, Sep and Nov only	200606
IR090	437 OSS/OSOT, Charleston AFB, SC 29404 DSN 673-5554, C843-963-5554.	437 OSS/OSOT, Charleston AFB, SC 29404 DSN 673-5552, C843-963-5552. Non duty hrs	KZ	US	WGE	WGE	0600-2400 local, daily, Feb, Apr, Jun, Aug, Oct and Dec only	200606
IR091	14 OSS/OSOP Columbus AFB, MS 39710 DSN 742-7560/7633 C662-434-7560/7633.	50 FTS Columbus AFB, MS 39710 DSN 742-7734/7735, C662-434-7734/7735.	KZ	US	WGE	WGE	Sunrise-Sunset Mon-Fri	200606
IR102	49 OSS/OSTA, 700 Delaware Ave., Holloman AFB, NM 88330-8017 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Daylight hours by NOTAM	200011
IR103	301 OG/SUA, NAS JRB Fort Worth, TX 76127 DSN 739-6903/6904/6905, C817-782-6903/6	Same as Originating Activity	KZ	US	WGE	WGE	0600-2200 local, daily	200109
IR105	301 OG/SUA, NAS JRB, Ft. Worth, TX 76127 DSN 739-6903/6904/6905, C817-782-6903/6	Same as Originating Activity.	KZ	US	WGE	WGE	0600-2200 local, daily	200513
IR107	27 OSS/OSOH 110 E. Sextant Ave., Suite 1081, Cannon AFB, NM 88103 DSN 681-2279 C	27 OSS/OSOS 110 E. Sextant Ave., Suite 1080, Cannon AFB, NM 88103 DSN 681-2276.	KZ	US	WGE	WGE	Continuous	200210
IR109	27 OSS/OSOH 110 E. Sextant Ave., Suite 1081, Cannon AFB, NM 88103 DSN 681-2279.	27 OSS/OSOS 110 E. Sextant Ave., Suite 1080, Cannon AFB, NM 88103 DSN 681-2276,	KZ	US	WGE	WGE	Continuous	200406
IR111	27 OSS/OSOH 110 E. Sextant Ave., Suite 1081, Cannon AFB, NM 88103 DSN 681-2279 C	27 OSS/OSOS 110 E. Sextant Ave., Suite 1080, Cannon AFB, NM 88103 DSN 681-2276.	KZ	US	WGE	WGE	Continuous	200210
IR112	58 OSS/DOO, Kirtland AFB, NM 87117-5861 DSN 263-5979/5888, C505-853-5979/5888/57	Same as Originating Activity	KZ	US	WGE	WGE	Continuous	200410
IR113	27 OSS/OSOH 110 E. Sextant Ave., Suite 1081, Cannon AFB, NM 88103 DSN 681-2279 C	27 OSS/OSOS 110 E. Sextant Ave., Suite 1080, Cannon AFB,NM 88103. Req for use sh	KZ	US	WGE	WGE	Continuous	200501
IR115	49 OSS/OSTA, 700 Delaware Ave., Holloman AFB, NM 88330-8017 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Daylight hours by NOTAM	200011
IR116	49 OSS/OSTA, 700 Delaware Ave., Holloman AFB, NM 88330-8017 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Daylight hours by NOTAM	200011
IR117	188 FW/XP, 4850 Leigh Ave., Fort Smith, AR 72903-6096 DSN 778-5185/5271.	Same as Originating Activity. Route scheduled no more than 24 hr in advance. Min	KZ	US	WGE	WGE	Continuous (except Sunday 1000-1200 local)	200305
IR120	188 FW/XP, 4850 Leigh Ave., Fort Smith, AR 72903-6096 DSN 778-5185/5271.	Same as Originating Activity. Route scheduled no more than 24 hr in advance. Min	KZ	US	WGE	WGE	Continuous (except Sunday 1000-1200 local)	200305
IR121	188 FW/XP, 4850 Leigh Ave., Fort Smith, AR 72903-6096 DSN 778-5185/5271.	Same as Originating Activity. Route scheduled no more than 24 hr in advance. Min	KZ	US	WGE	WGE	Continuous (except Sunday 1000-1200 local)	200305
IR122	49 OSS/OSTA, 700 Delaware Ave., Holloman AFB, NM 88330-8017 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Continuous (except Sunday 1000-1200 local)	200011
IR123	301 OG/SUA, NAS JRB Fort Worth, TX 76127 DSN 739-6903/6904/6905, C817-782-6903/6	Same as Originating Activity	KZ	US	WGE	WGE	0700-2200 local	200109
IR124	301 OG/SUA, NAS JRB Fort Worth, TX 76127 DSN 739-6903/6904/6905, C817-782-6903/6	Same as Originating Activity	KZ	US	WGE	WGE	0700-2200 local	200109
IR126	7 OSS/OSOR, 966 Ave. D-4, Ste. 118, Dyess AFB, TX 79607 DSN 461-3666, C325-696-3	7 OSS/OSOR, 966 Ave. D-4, Ste. 118, Dyess AFB, TX 79607 DSN 461-3665, C325-696-3	KZ	US	WGE	WGE	Continuous	200410
IR127	2 OSS/OSOSB, 41 Orville Wright Ave., Barksdale AFB, LA 71110 DSN 781-3828/5396,	Same as Originating Activity	KZ	US	WGE	WGE	Continuous	200010
IR128	7 OSS/OSOR, 966 Ave. D-4, Ste. 118, Dyess AFB, TX 79607 DSN 461-3666, C325-696-3	7 OSS/OSOR, 966 Ave. D-4, Ste. 118, Dyess AFB, TX 79607 DSN 461-3665, C325-696-3	KZ	US	WGE	WGE	Continuous	200410
IR129	2 OSS/OSOSB, 41 Orville Wright Ave., Barksdale AFB, LA 71110 DSN 781-3828/5396,	Same as Originating Activity	KZ	US	WGE	WGE	0700-2200 local	200010
IR130	49 OSS/OSTA, 700 Delaware Ave., Holloman AFB, NM 88330-8017 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Daylight hours by NOTAM	200011
IR131	49 OSS/OSTA, 700 Delaware Ave., Holloman AFB, NM 88330-8017 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Daylight hours by NOTAM	200011
IR132	49 OSS/OSTA, 700 Delaware Ave., Holloman AFB, NM 88330-8017 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Daylight hours by NOTAM	200011
IR133	49 OSS/OSOA, 700 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	0700-2300 local	200610
IR134	49 OSS/OSOA, 700 Delaware Ave., Holloman AFB, NM 88440-8014 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Sunrise-0600Z++	200610
IR135	COMTRAWING TWO, NAS Kingsville, TX 78363 DSN 876-6518/6283/6108, C361-516-6518/6	Same as Originating Activity. Scheduling hrs 0800-1600 Mon-Fri ONLY (excluding h	KZ	US	WGE	WGE	Sunrise-Sunset, daily	200309
IR136	COMTRAWING TWO, NAS Kingsville, TX 78363 DSN 876-6518/6283/6108, C361-516-6518/6	Same as Originating Activity. Scheduling hrs 0800-1600 Mon-Fri ONLY (excluding h	KZ	US	WGE	WGE	Sunrise-Sunset, daily	200309
IR137	58 OSS/DOO, Kirtland AFB, NM 87117-5861 DSN 263-5979/5888, C505-853-5979/5888/57	Same as Originating Activity	KZ	US	WGE	WGE	Continuous	200410
IR139	301 OG/SUA, NAS JRB Fort Worth, TX 76127 DSN 739-6903/6904/6905, C817-782-6903/6	Same as Originating Activity	KZ	US	WGE	WGE	0600-2200 local, daily	200109
IR141	49 OSS/OSTA, 700 Delaware Ave., Holloman AFB, NM 88330-8017 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Daylight hours by NOTAM	200011
IR142	49 OSS/OSOA, 700 Delaware Ave., Ste. 131, Holloman AFB, NM 88330-8014 DSN 572-32	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Sunrise-0600Z++	200610
IR144	97 OSS/DOA, 400 N. Sixth Street, Altus AFB, OK 73521, DSN 866-6098, C580-481-609	Same as Originating Activity	KZ	US	WGE	WGE	0830-0230 local Mon-Fri	200513
IR145	71 FTW/OSOP, Vance AFB, OK 73705-5202 DSN 448-7850, C580-213-7850.	25 FTS/DISP, Vance AFB, OK 73705-5202 DSN 448-6038, C580-213-6038.	KZ	US	WGE	WGE	30 min after Sunrise-30 min before Sunset and active days per local directives	200311
IR146	71 FTW/OSOP, Vance AFB, OK 73705-5202 DSN 448-7850, C580-213-7850.	25 FTS/DISP, Vance AFB, OK 73705-5202 DSN 448-6038, C580-213-6038.	KZ	US	WGE	WGE	30 min after Sunrise-30 min before Sunset and active days per local directives	200311
IR147	COMTRAWING TWO, NAS Kingsville, TX 78363 DSN 876-6518/6283/6108, C361-516-6518/6	Same as Originating Activity. Scheduling hrs 0800-1600 Mon-Fri ONLY (excluding h	KZ	US	WGE	WGE	Sunrise to 30 minutes after Sunset, daily	200309
IR148	COMTRAWING TWO, NAS Kingsville, TX 78363 DSN 876-6518/6283/6108, C361-516-6518/6	Same as Originating Activity. Scheduling hrs 0800-1600 Mon-Fri ONLY (excluding h	KZ	US	WGE	WGE	Daily 0600-2230 local	200309
IR149	COMTRAWING TWO, NAS Kingsville, TX 78363 DSN 876-6518/6283/6108, C361-516-6518/6	Same as Originating Activity. Scheduling hrs 0800-1600 Mon-Fri ONLY (excluding h	KZ	US	WGE	WGE	Daily 0600-2230 local	200309
IR150	7 OSS/OSOR, 966 Ave. D-4, Ste. 117, Dyess AFB, TX 79607 DSN 461-3666, C325-696-3	7 OSS/OSOR, 966 Ave. D-4, Ste. 117, Dyess AFB, TX 79607 DSN 461-3665, C325-696-3	KZ	US	WGE	WGE	Continuous	200408
IR154	97 OSS/DOA, 400 N. Sixth Street, Bldg 164, Rm 4, Altus AFB, OK 73522 DSN 866-609	97 OSS/OSK, 516 S. Sixth Street, Ste A, Altus AFB, OK 73523 DSN 866-7110/6617.	KZ	US	WGE	WGE	0830-0230 local Mon-Fri	200410
IR155	97 OSS/DOA, 400 N. Sixth Street, Bldg 164, Rm 4, Altus AFB, OK 73522 DSN 866-609	97 OSS/OSK, 516 S. Sixth Street, Ste A, Altus AFB, OK 73523 DSN 866-7110/6617.	KZ	US	WGE	WGE	0830-0230 local Mon-Fri	200410
IR164	188 FW/XP, 4850 Leigh Ave., Fort Smith, AR 72903-6096 DSN 778-5185/5271.	Same as Originating Activity. Route scheduled no more than 24 hr in advance. Min	KZ	US	WGE	WGE	Continuous (except Sunday 1000-1200 local)	200305
IR166	COMTRAWING TWO, NAS Kingsville, TX 78363 DSN 876-6518/6283/6108, C361-516-6518/6	Same as Originating Activity. Scheduling hrs 0800-1600 Mon-Fri ONLY (excluding h	KZ	US	WGE	WGE	0600-2400 local, daily	200309
IR167	COMTRAWING TWO, NAS Kingsville, TX 78363 DSN 876-6518/6283/6108, C361-516-6518/6	Same as Originating Activity. Scheduling hrs 0800-1600 Mon-Fri ONLY (excluding h	KZ	US	WGE	WGE	0600-2400 local, daily	200309
IR169	47 OSS/OSOR, 570 2nd Street, Ste. 6, Laughlin AFB, TX 78843-5222 DSN 732-5864, C	87 FTS/DOS, 570 2nd Street, Laughlin AFB, TX 78843 DSN 732-5484, C830-298-5484.	KZ	US	WGE	WGE	Sunrise-Sunset daily	200408
IR170	47 OSS/OSOR, 570 2nd Street, Ste. 6, Laughlin AFB, TX 78843-5222 DSN 732-5864, C	87 FTS/DOS, 570 2nd Street, Laughlin AFB, TX 78843 DSN 732-5484, C830-298-5484.	KZ	US	WGE	WGE	Sunrise-Sunset daily	200408
IR171	71 FTW/OSOP, Vance AFB, OK 73705-5202 DSN 448-7850, C580-213-7850.	25 FTS/DISP, Vance AFB, OK 73705-5202 DSN 448-6038, C580-213-6038.	KZ	US	WGE	WGE	30 min after Sunrise-30 min before Sunset and active days per local directives	200311
IR172	71 FTW/OSOP, Vance AFB, OK 73705-5202 DSN 448-7850, C580-213-7850.	Same as Originating Activity.	KZ	US	WGE	WGE	30 min after Sunrise-30 min before Sunset and active days per local directives	200311
IR173	71 FTW/OSOP, Vance AFB, OK 73705-5202 DSN 448-7850, C580-213-7850.	Same as Originating Activity.	KZ	US	WGE	WGE	30 min after Sunrise-30 min before Sunset and active days per local directives	200311
IR174	509 OSS/OSKA, 905 Spirit Blvd., Whiteman AFB, MO 65305 DSN 975-1713/1754, C660-6	Same as Originating Activity	KZ	US	WGE	WGE	Continuous	200402
IR175	71 FTW/OSOP, Vance AFB, OK 73705-5202 DSN 448-7850, C580-213-7850.	25 FTS/DISP, Vance AFB, OK 73705-5202 DSN 448-6038, C580-213-6038.	KZ	US	WGE	WGE	30 min after Sunrise-30 min before Sunset and active days per local directives	200311
IR177	7 OSS/OSOR, 966 Ave. D-4, Ste. 117, Dyess AFB, TX 79607 DSN 461-3666, C325-696-3	7 OSS/OSOR, 966 Ave. D-4, Ste. 117, Dyess AFB, TX 79607 DSN 461-3665, C325-696-3	KZ	US	WGE	WGE	Continuous	200408
IR178	7 OSS/OSOR, 966 Ave. D-4, Ste. 117, Dyess AFB, TX 79607 DSN 461-3666, C325-696-3	7 OSS/OSOR, 966 Ave. D-4, Ste. 117, Dyess AFB, TX 79607 DSN 461-3665, C325-696-3	KZ	US	WGE	WGE	Continuous	200408
IR180	7 OSS/OSOR, 966 Ave. D-4, Ste. 118, Dyess AFB, TX 79607 DSN 461-3666, C325-696-3	7 OSS/OSOR, 966 Ave. D-4, Ste. 118, Dyess AFB, TX 79607 DSN 461-3665, C325-696-3	KZ	US	WGE	WGE	Continuous	200410
IR181	71 FTW/OSOP, Vance AFB, OK 73705-5202 DSN 448-7850, C580-213-7850.	25 FTS/DISP, Vance AFB, OK 73705-5202 DSN 448-6038, C580-213-6038.	KZ	US	WGE	WGE	30 min after Sunrise-30 min before Sunset and active days per local directives	200311
IR182	71 FTW/OSOP, Vance AFB, OK 73705-5202 DSN 448-7850, C580-213-7850.	Same as Originating Activity.	KZ	US	WGE	WGE	30 min after Sunrise-30 min before Sunset and active days per local directives	200311
IR183	71 FTW/OSOP, Vance AFB, OK 73705-5202 DSN 448-7850, C580-213-7850.	Same as Originating Activity.	KZ	US	WGE	WGE	30 min after Sunrise-30 min before Sunset and active days per local directives	200311
IR184	97 OSS/DOA, 400 N. Sixth Street, Altus AFB, OK 73521, DSN 866-6098, C580-481-609	Same as Originating Activity	KZ	US	WGE	WGE	0830-0230 local Mon-Fri	200513
IR185	71 FTW/OSOP, Vance AFB, OK 73705-5202 DSN 448-7850, C580-213-7850.	25 FTS/DISP, Vance AFB, OK 73705-5202 DSN 448-6038, C580-213-6038.	KZ	US	WGE	WGE	30 min after Sunrise-30 min before Sunset and active days per local directives	200311
IR190	97 OSS/DOA, 400 N. Sixth Street, Altus AFB, OK 73521, DSN 866-6098, C580-481-609	Same as Originating Activity	KZ	US	WGE	WGE	0830-0230 local Mon-Fri	200513
IR191	97 OSS/DOA, 400 N. Sixth Street, Altus AFB, OK 73521, DSN 866-6098, C580-481-609	Same as Originating Activity	KZ	US	WGE	WGE	0830-0230 Local Mon-Fri	200513
IR192	49 OSS/OSOA, 700 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Sunrise-0600Z++	200610
IR194	49 OSS/OSOA, 700 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Sunrise-0600Z++	200610
IR195	49 OSS/OSOA, 700 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3244, C505-5	49 OSS/OSOS, 744 Delaware Ave., Holloman AFB, NM 88330-8014 DSN 572-3536, C505-5	KZ	US	WGE	WGE	Sunrise-0600Z++	200610
IR200	Commander Naval Air Warfare Center, Weapons Division, Code P529800E, (Naval Base	Commander Naval Air Warfare Center, Weapons Division, Code P529800E, (Naval Base	KZ	US	WGE	WGE	Sunrise-Sunset by NOTAM	200103
IR203	Commander Strike Fighter Wing, US. Pacific Fleet, 001 (K) Street, Room 121, NAS	Same as Originating Activity	KZ	US	WGE	WGE	Daylight hours, OT by NOTAM	200009
