MTR_IDENT	PT_IDENT	NX_POINT	ICAO_REGION	CRSALT_DESC	CRS_ALT1	CRS_ALT2	ENRALT_DESC	ENR_ALT1	ENR_ALT2	PT_NAV_FLAG	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	BEARING	DISTANCE	MTR_WIDTH_L	MTR_WIDTH_R	USAGE_CD	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	TURN_RAD	TURN_DIR	ADD_INFO	CYCLE_DATE
IR012	E	F	KZ	BT	00500AGL	03000MSL	AT	02000MSL			NKT	3	US	1	20.0	24.0	3.0	1.0	B	N35180000	35.299999	W076470000	-76.783333				199607
IR012	E1	FA	KZ	BT	00500AGL	03000MSL	BT	01500AGL	03000MSL		NKT	3	US	1	20.0	24.0	3.0	3.0	B	N35180000	35.299999	W076470000	-76.783333			ALTERNATE EXIT FROM POINT E TO R-5306A.	200508
IR012	F	G	KZ	AT	02000MSL		AT	02000MSL			NKT	3	US	1	31.0	29.0	3.0		T	N35210000	35.350000	W076390000	-76.650000			RTE WIDTH 3 NM L OF CNTRLINE FR F TO ABEAM NKT 035/34 THEN 3 NM EITHER SIDE.	199902
IR012	FA		KZ	BT	01500AGL	03000MSL					NKT	3	US	1	30.0	24.0			B	N35163000	35.275000	W076420000	-76.700000				199708
IR012	G	H	KZ	AT	02000MSL		AT	02000MSL			NKT	3	US	1	39.0	52.0	3.0	3.0	T	N35390000	35.650000	W076210000	-76.350000				199708
IR012	H		KZ	AT	02000MSL						NKT	3	US	1	41.0	55.0			X	N35410000	35.683334	W076163001	-76.275002				200011
IR015	A	B	KZ	AT	02000MSL		BT	00500AGL	02000MSL		SZW	2	US	1	92.0	21.0	5.0	5.0	S	N30320000	30.533333	W083580000	-83.966667			or as assigned	200009
IR015	B	C	KZ	BT	00500AGL	02000MSL	BT	00500AGL	05000MSL		SZW	2	US	1	141.0	39.0	5.0	2.0	A	N30020000	30.033333	W083550000	-83.916667				199708
IR015	C	D	KZ	BT	00500AGL	05000MSL	BT	00500AGL	07000MSL		SZW	2	US	1	176.0	31.0	5.0	5.0	A	N30020000	30.033333	W084210000	-84.350000				200011
IR015	D	E	KZ	AS			BT	00500AGL	05000MSL		SZW	2	US	1	235.0	19.0	3.0	3.0	T	N30230000	30.383333	W084410000	-84.683334				200011
IR015	E	F	KZ	BT	00500AGL	05000MSL	BT	00500AGL	05000MSL		SZW	2	US	1	265.0	31.0	3.0	4.0	B	N30313000	30.525000	W084580000	-84.966667				199511
IR015	F	G	KZ	BT	00500AGL	05000MSL	BT	00500AGL	05000MSL		PFN	2	US	1	34.0	28.0	3.0	4.0	B	N30360000	30.600000	W085230000	-85.383333				199708
IR015	G	H	KZ	BT	00500AGL	05000MSL	BT	00500AGL	05000MSL		PFN	2	US	1	343.0	21.0	5.0	5.0	T	N30330000	30.549999	W085480000	-85.800000				200010
IR015	H		KZ	BT	00500AGL	05000MSL					DWG	3	US	1	58.0	18.0			X	N30380000	30.633333	W086140000	-86.233333				199708
IR016	A	B	KZ	AT	02000MSL		BT	00300AGL	02000MSL		VAD	2	US	1	353.0	40.0	8.0	8.0	S	N31373000	31.625000	W083200000	-83.333333				199802
IR016	B	C	KZ	BT	00300AGL	02000MSL	BT	00300AGL	02000MSL		VAD	2	US	1	23.0	20.0	8.0	8.0	T	N31170000	31.283333	W083033000	-83.058334				199511
IR016	C	D	KZ	BT	00300AGL	02000MSL	BT	00300AGL	06000MSL		TAY	2	US	1	332.0	33.0	8.0	8.0	T	N30590000	30.983334	W082530000	-82.883333				199708
IR016	D	E	KZ	BT	00300AGL	06000MSL	BT	00300AGL	02000MSL		TAY	2	US	1	309.0	17.0	4.0	3.0	C	N30403000	30.674999	W082493000	-82.825000				199709
IR016	E	F	KZ	BT	00300AGL	02000MSL	BT	00300AGL	06000MSL		TAY	2	US	1	243.0	23.0	12.0	7.0	T	N30190000	30.316668	W082560000	-82.933334				199811
IR016	F	G	KZ	BT	00300AGL	06000MSL	BT	00300AGL	06000MSL		GNV	2	US	1	302.0	39.0	4.0	4.0	B	N30000000	30.000000	W082560000	-82.933334				200111
IR016	G	H	KZ	BT	00300AGL	06000MSL	BT	04000MSL	06000MSL		GNV	2	US	1	306.0	27.0	4.0	4.0	T	N29560000	29.933332	W082430000	-82.716667			CROSS POINT G AT 4000' MSL OR AS ASSIGNED.	200111
IR016	H	I	KZ	BT	04000MSL	06000MSL	BT	04000MSL	05000MSL		GNV	2	US	1	334.0	17.0	4.0	4.0	T	N29560000	29.933332	W082260000	-82.433334				200111
IR016	I	J	KZ	BT	04000MSL	05000MSL	BT	04000MSL	06000MSL		GNV	2	US	1	60.0	10.0	4.0	4.0	T	N29470000	29.783333	W082070000	-82.116667				200111
IR016	J		KZ	BT	04000MSL	06000MSL					GNV	2	US	1	96.0	24.0			X	N29403000	29.674999	W081490000	-81.816666				200111
IR017	A	B	KZ	AT	03000MSL		BT	00500AGL	03000MSL		MGM	2	US	1	93.0	38.0	5.0	5.0	S	N32090000	32.150000	W085350000	-85.583333				200010
IR017	AA	AB	KZ	AT	03000MSL		AT	03000MSL			MAI	2	US	1	141.0	26.0	4.0	4.0	T	N30264800	30.446667	W084483000	-84.808334				200508
IR017	AB		KZ	AT	03000MSL						MAI	2	US	1	141.0	40.0			B	N30154800	30.263334	W084381800	-84.638333				200010
IR017	B	C	KZ	BT	00500AGL	03000MSL	BT	00500AGL	03000MSL		EUF	2	US	1	168.0	4.0	5.0	5.0	T	N31530000	31.883333	W085070000	-85.116667				200010
IR017	C	D	KZ	BT	00500AGL	03000MSL	BT	00500AGL	03000MSL		MAI	2	US	1	53.0	11.0	4.0	5.0	T	N30540000	30.900000	W084570000	-84.950000				199708
IR017	D	E	KZ	BT	00500AGL	03000MSL	BT	00500AGL	02000MSL		MAI	2	US	1	128.0	15.0	5.0	5.0	T	N30380000	30.633333	W084540000	-84.900000				200010
IR017	D1	AA	KZ	AT	03000MSL		AT	03000MSL			MAI	2	US	1	128.0	15.0	4.0	4.0	T	N30380000	30.633333	W084540000	-84.900000			TRANSITION TO ALTERNATE EXIT POINT AB.	200508
IR017	E	F	KZ	BT	00500AGL	02000MSL	BT	00500AGL	02000MSL		SZW	2	US	1	271.0	31.0	4.0	3.0	T	N30350000	30.583334	W084580000	-84.966667				199511
IR017	F	G	KZ	BT	00500AGL	02000MSL	BT	00500AGL	02000MSL		PFN	2	US	1	34.0	28.0	4.0	3.0	T	N30360000	30.600000	W085230000	-85.383333				199708
IR017	G	H	KZ	BT	00500AGL	02000MSL	BT	00500AGL	02000MSL		PFN	2	US	1	343.0	21.0	5.0	5.0	T	N30330000	30.549999	W085480000	-85.800000				200010
IR017	H		KZ	BT	00500AGL	02000MSL					DWG	3	US	1	58.0	18.0			X	N30380000	30.633333	W086140000	-86.233333				200011
IR018	A	B	KZ	AS			BT	05000MSL	07000MSL		SAV	2	US	2	120.0	29.0	4.0	4.0	S	N31570000	31.950001	W080410000	-80.683334				200307
IR018	B	C	KZ	BT	05000MSL	07000MSL	BT	05000MSL	07000MSL		CHS	2	US	1	13.0	20.0	4.0	4.0	T	N33140000	33.233334	W079590000	-79.983333				199708
IR018	C	D	KZ	BT	05000MSL	07000MSL	BT	05000MSL	07000MSL		CHS	2	US	1	356.0	30.0	4.0	4.0	T	N33230000	33.383333	W080080000	-80.133333				199708
IR018	D	E	KZ	BT	05000MSL	07000MSL	BT	05000MSL	07000MSL		IRQ	2	US	1	148.0	57.0	4.0	4.0	T	N32560000	32.933334	W081300000	-81.500000				199511
IR018	E	F	KZ	BT	05000MSL	07000MSL	BT	05000MSL	07000MSL		AMG	2	US	1	28.0	16.0	4.0	4.0	B	N31460000	31.766666	W082220000	-82.366667				200010
IR018	F	G	KZ	BT	05000MSL	07000MSL	BT	05000MSL	07000MSL		SSI	2	US	1	296.0	44.0	4.0	4.0	A	N31190000	31.316668	W082140000	-82.233333				199708
IR018	G	H	KZ	BT	05000MSL	07000MSL	BT	05000MSL	07000MSL		SSI	2	US	1	3.0	17.0	4.0	4.0	T	N31200000	31.333334	W081270000	-81.450000				199708
IR018	H	I	KZ	BT	05000MSL	07000MSL	BT	05000MSL	07000MSL		SSI	2	US	1	69.0	19.0	4.0	4.0	T	N31110000	31.183332	W081070000	-81.116667				200010
IR018	I		KZ	BT	05000MSL	07000MSL					CRG	2	US	1	118.0	24.0			X	N30100000	30.166666	W081050000	-81.083333				200010
IR019	A	B	KZ	AS			BT	04000MSL	07000MSL		TAY	2	US	1	163.0	18.0	4.0	4.0	S	N30130000	30.216667	W082260000	-82.433334				200011
IR019	B	C	KZ	BT	04000MSL	07000MSL	BT	04000MSL	07000MSL		GEF	2	US	1	116.0	14.0	4.0	4.0	T	N30270000	30.450001	W083330000	-83.550000				200010
IR019	C	D	KZ	BT	04000MSL	07000MSL	BT	04000MSL	07000MSL		GEF	2	US	1	24.0	37.0	4.0	4.0	T	N31070000	31.116667	W083290000	-83.483333				199708
IR019	D	E	KZ	BT	04000MSL	07000MSL	BT	04000MSL	07000MSL		PZD	2	US	1	61.0	23.0	4.0	4.0	T	N31510000	31.850000	W083550000	-83.916667				199708
IR019	E	F	KZ	BT	04000MSL	07000MSL	BT	04000MSL	07000MSL		PZD	2	US	1	315.0	10.0	4.0	4.0	T	N31460000	31.766666	W084260000	-84.433334				199511
IR019	F	G	KZ	BT	04000MSL	07000MSL	BT	04000MSL	07000MSL		RRS	2	US	1	41.0	27.0	4.0	4.0	T	N31370000	31.616667	W085040000	-85.066666				199511
IR019	G	H	KZ	BT	04000MSL	07000MSL	BT	04000MSL	07000MSL	Y	RRS	2	US	1			4.0	4.0	T	N31170393	31.284424	W085255245	-85.431236				199511
IR019	H	I	KZ	BT	04000MSL	07000MSL	BT	04000MSL	07000MSL		SZW	2	US	1	328.0	24.0	4.0	4.0	T	N30540000	30.900000	W084360000	-84.600000				199708
IR019	I	J	KZ	BT	04000MSL	07000MSL	BT	04000MSL	07000MSL		SZW	2	US	1	158.0	31.0	4.0	4.0	T	N30040000	30.066668	W084100000	-84.166667				199708
IR019	J	K	KZ	BT	04000MSL	07000MSL	BT	04000MSL	07000MSL		CTY	2	US	1	98.0	6.0	4.0	4.0	T	N29350000	29.583334	W082560000	-82.933334				199511
IR019	K		KZ	BT	04000MSL	07000MSL					GNV	2	US	1	20.0	14.0			X	N29550000	29.916666	W082120000	-82.200000				200111
IR020	A	B	KZ	AS			BT	06000MSL	08000MSL		PIE	2	US	1	199.0	10.0	4.0	4.0	S	N27450000	27.750000	W082450000	-82.750000				199511
IR020	AA	AB	KZ	BT	06000MSL	08000MSL	BT	06000MSL	08000MSL		OMN	2	US	1	266.0	15.0	4.0	4.0	T	N29170000	29.283333	W081240000	-81.400000				200508
IR020	AB		KZ	BT	06000MSL	08000MSL					OMN	2	US	1	252.0	26.0			B	N29100000	29.166666	W081350000	-81.583333				199709
IR020	B	C	KZ	BT	06000MSL	08000MSL	BT	06000MSL	08000MSL		PIE	2	US	1	188.0	28.0	4.0	4.0	T	N27270000	27.450001	W082460000	-82.766667				199709
IR020	C	D	KZ	BT	06000MSL	08000MSL	BT	06000MSL	08000MSL		RSW	2	US	1	308.0	26.0	4.0	4.0	T	N26470000	26.783333	W082100000	-82.166667				199708
IR020	D	E	KZ	BT	06000MSL	08000MSL	BT	06000MSL	08000MSL		PHK	2	US	1	229.0	3.0	4.0	4.0	T	N26450000	26.750000	W080440000	-80.733333				199708
IR020	E	F	KZ	BT	06000MSL	08000MSL	BT	06000MSL	08000MSL		VRB	2	US	1	108.0	7.0	4.0	4.0	T	N27390000	27.650000	W080220000	-80.366667				199709
IR020	F	G	KZ	BT	06000MSL	08000MSL	BT	06000MSL	08000MSL		ORL	2	US	1	110.0	33.0	4.0	4.0	T	N28210000	28.350000	W080450000	-80.750000				199511
IR020	G	H	KZ	BT	06000MSL	08000MSL	BT	06000MSL	08000MSL		OMN	2	US	1	161.0	29.0	4.0	4.0	T	N28505400	28.848333	W080560600	-80.935000				199709
IR020	H	I	KZ	BT	06000MSL	08000MSL	BT	06000MSL	08000MSL		OMN	2	US	1	141.0	8.0	4.0	4.0	T	N29120000	29.200001	W081010000	-81.016667				199709
IR020	H1	AA	KZ	BT	06000MSL	08000MSL	BT	06000MSL	08000MSL		OMN	2	US	1	141.0	8.0	4.0	4.0	T	N29120000	29.200001	W081010000	-81.016667				200508
IR020	I		KZ	BT	06000MSL	08000MSL					OMN	2	US	1	327.0	48.0			X	N29590000	29.983334	W081370000	-81.616667				200011
IR021	A	B	KZ	AS			AS			Y	NSE	3	US	1			10.0	10.0	S	N30432668	30.724079	W087010508	-87.018078			90 MSL-100MSL	200009
IR021	B	C	KZ	AS			AS				CEW	2	US	1	54.0	21.0	10.0	10.0	T	N31010000	31.016666	W086200000	-86.333333			90 MSL-100MSL	200011
IR021	C	D	KZ	AS			AS				RRS	2	US	1	193.0	20.0	10.0	10.0	T	N30580000	30.966667	W085320000	-85.533333			50 MSL-110MSL	200009
IR021	D	E	KZ	AS			AS				MAI	2	US	1	167.0	22.0	10.0	10.0	T	N30260000	30.433332	W085020000	-85.033333			50 MSL-110MSL	200009
IR021	E	F	KZ	AS			AS				SZW	2	US	1	179.0	35.0	10.0	10.0	T	N29580000	29.966667	W084230000	-84.383333			50 MSL-110MSL	200009
IR021	F	G	KZ	AS			AS				MAI	2	US	1	122.0	14.0	10.0	10.0	C	N30400000	30.666666	W084540000	-84.900000			50 MSL-110MSL	200011
IR021	G	H	KZ	AS			AS				EUF	2	US	1	198.0	5.0	10.0	10.0	T	N31520000	31.866667	W085100000	-85.166667			70 MSL-100MSL	200009
IR021	H	I	KZ	AS			AS				MXF	3	US	1	48.0	29.0	10.0	10.0	T	N32410000	32.683334	W085550000	-85.916667			70 MSL-100MSL	200009
IR021	I	J	KZ	AS			AS				MXF	3	US	1	3.0	17.0	10.0	10.0	T	N32400000	32.666668	W086200000	-86.333333			70 MSL-100MSL	200010
IR021	J	K	KZ	AS			AS				MGM	2	US	1	316.0	6.0	10.0	10.0	T	N32180000	32.299999	W086240000	-86.400000			70 MSL-100MSL	200010
IR021	K	L	KZ	AS			AS				MGM	2	US	1	172.0	30.0	10.0	10.0	T	N31430000	31.716667	W086160000	-86.266667			70 MSL-100MSL	200010
IR021	L		KZ	AS							CEW	2	US	1	13.0	36.0			X	N31240000	31.400000	W086290000	-86.483333			70 MSL-100MSL	200011
IR022	A	B	KZ	AS			AS			Y	SDZ	2	US	1			10.0	10.0	S	N35125557	35.215436	W079351669	-79.587969			90 MSL-100 MSL	200009
IR022	B	C	KZ	AS			BT	09000MSL	10000MSL		SDZ	2	US	1	276.0	26.0	10.0	10.0	T	N35140000	35.233334	W080070000	-80.116667				200604
IR022	C	D	KZ	BT	09000MSL	10000MSL	AS				HMV	2	US	1	132.0	65.0	10.0	10.0	A	N35460000	35.766666	W081050000	-81.083333				200604
IR022	D	E	KZ	AS			AS				HMV	2	US	1	116.0	48.0	10.0	10.0	T	N36080000	36.133333	W081130000	-81.216667			90 MSL-100 MSL	200010
IR022	E	F	KZ	AS			AS				HMV	2	US	1	186.0	6.0	10.0	10.0	T	N36200000	36.333332	W082080000	-82.133333			90 MSL-100 MSL	200009
IR022	F	G	KZ	AS			AT	10000MSL			SOT	2	US	1	37.0	22.0	10.0	10.0	T	N36060000	36.100000	W082480000	-82.800000			90 MSL-100 MSL	200011
IR022	G	H	KZ	AT	10000MSL		AT	10000MSL			SPA	2	US	1	291.0	41.0	10.0	10.0	B	N35150000	35.250000	W082430000	-82.716667				199511
IR022	H	I	KZ	AT	10000MSL		AT	10000MSL			ELW	2	US	1	346.0	24.0	10.0	10.0	B	N34480000	34.799999	W082540000	-82.900000				200010
IR022	I	J	KZ	AT	10000MSL		AT	10000MSL			ODF	2	US	2	247.0	2.0	10.0	10.0	T	N34410000	34.683334	W083200000	-83.333333				200010
IR022	J		KZ	AT	10000MSL						ELW	2	US	1	201.0	4.0			X	N34210000	34.350000	W082490000	-82.816666				199708
IR023	A	B	KZ	AS			BT	00100AGL	03000MSL		SAV	2	US	2	300.0	42.0	5.0	5.0	S	N32260000	32.433334	W081570000	-81.950000				200307
IR023	B	C	KZ	BT	00100AGL	03000MSL	BT	00100AGL	03000MSL		SAV	2	US	2	271.0	44.0	5.0	5.0	B	N32050000	32.083332	W082030000	-82.050000				200307
IR023	C	D	KZ	BT	00100AGL	03000MSL	BT	00100AGL	03000MSL		AMG	2	US	1	48.0	28.0	5.0	5.0	T	N31510000	31.850000	W082060000	-82.100000				199708
IR023	D	E	KZ	BT	00100AGL	03000MSL	BT	00100AGL	04000MSL		AYS	2	US	1	98.0	29.0	5.0	5.0	C	N31120000	31.200001	W082000000	-82.000000				199511
IR023	E	F	KZ	BT	00100AGL	04000MSL	AT	04000MSL			TAY	2	US	1	187.0	11.0	5.0	5.0	T	N30190000	30.316668	W082340000	-82.566666				199511
IR023	F	G	KZ	AT	04000MSL		AT	04000MSL			TAY	2	US	1	197.0	18.0	5.0	5.0	T	N30130000	30.216667	W082380000	-82.633333				199708
IR023	G	H	KZ	AT	04000MSL		AT	04000MSL			GNV	2	US	1	150.0	1.0	5.0	5.0	B	N29410000	29.683332	W082160000	-82.266667				200111
IR023	H		KZ	AT	04000MSL						OCF	2	US	1	98.0	27.0			X	N29070000	29.116667	W081430000	-81.716667				199511
IR026	A	B	KZ	BT	04000MSL	10000MSL	BT	04000MSL	10000MSL		STT	4	VQ	1	346.0	26.0	2.0	2.0	S	N18450000	18.750000	W065123000	-65.208333				200010
IR026	B	C	KZ	BT	04000MSL	10000MSL	BT	03000MSL	10000MSL		STT	4	VQ	1	224.0	8.0	2.0	2.0	C	N18150000	18.250000	W065060000	-65.100000				199708
IR026	C	D	KZ	BT	03000MSL	10000MSL	BT	02000MSL	04000MSL		STT	4	VQ	1	194.0	21.0	2.0	2.0	T	N18000000	18.000000	W065030000	-65.050000				200010
IR026	D		KZ	BT	02000MSL	04000MSL					STT	4	VQ	1	219.0	20.0			X	N18040000	18.066668	W065113600	-65.193333				200010
IR027	A	B	KZ	BT	02000MSL	04000MSL	BT	02000MSL	04000MSL		STT	4	VQ	1	228.0	44.0	2.0	2.0	S	N17470000	17.783333	W065300000	-65.500000				199511
IR027	B		KZ	BT	02000MSL	04000MSL					STT	4	VQ	1	234.0	32.0			X	N17583000	17.975000	W065250000	-65.416667				199708
IR030	A	A1	KZ	BT	04000MSL	06000MSL	BT	04000MSL	06000MSL		CEW	2	US	1	143.0	38.0	5.0	5.0	S	N30181800	30.305000	W086163600	-86.276667				200009
IR030	A1	A2	KZ	BT	04000MSL	06000MSL	BT	04000MSL	06000MSL		CEW	2	US	1	135.0	29.0	5.0	5.0	T	N30274200	30.461667	W086174800	-86.296667				199801
IR030	A2	B	KZ	BT	04000MSL	06000MSL	BT	00500AGL	06000MSL		CEW	2	US	1	121.0	23.0	5.0	5.0	T	N30365400	30.615000	W086190600	-86.318333				200011
IR030	B	C	KZ	BT	00500AGL	06000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	107.0	19.0	2.0	5.0	C	N30433000	30.725000	W086200000	-86.333333				199709
IR030	C	D	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	73.0	15.0	5.0	5.0	T	N30530000	30.883333	W086241200	-86.403333				199709
IR030	D	E	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	19.0	18.0	5.0	5.0	C	N31060000	31.100000	W086330000	-86.550000				199709
IR030	E	F	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	9.0	21.0	5.0	5.0	T	N31100000	31.166666	W086354200	-86.595001				199511
IR030	F	G	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	91.0	32.0	5.0	5.0	T	N31250000	31.416666	W086440000	-86.733333				199708
IR030	G	H	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	22.0	32.0	5.0	5.0	T	N31560000	31.933332	W087050000	-87.083333				199709
IR030	H	I	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	296.0	19.0	5.0	5.0	T	N31370000	31.616667	W087400000	-87.666667				199708
IR030	I	J	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	248.0	27.0	5.0	5.0	T	N31191200	31.320000	W087513000	-87.858333				199709
IR030	J	K	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	244.0	28.0	5.0	5.0	T	N31164800	31.280001	W087514200	-87.861667				199709
IR030	K	L	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	212.0	20.0	5.0	5.0	T	N31111800	31.188334	W087344800	-87.580000				199709
IR030	L	M	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	131.0	21.0	5.0	5.0	T	N31130000	31.216667	W087040000	-87.066666				199511
IR030	M	N	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	10.0	18.0	5.0	5.0	T	N31070000	31.116667	W086360000	-86.600000				199708
IR030	N	O	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	20.0	18.0	5.0	5.0	C	N31060000	31.100000	W086330000	-86.550000				199709
IR030	O	P	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	74.0	15.0	5.0	2.0	T	N30530000	30.883333	W086241200	-86.403333				199709
IR030	P		KZ	BT	00500AGL	04000MSL					CEW	2	US	1	106.0	19.0			X	N30433000	30.725000	W086200000	-86.333333				200009
IR031	A	A1	KZ	BT	04000MSL	06000MSL	BT	04000MSL	06000MSL		CEW	2	US	1	143.0	38.0	5.0	5.0	S	N30181800	30.305000	W086163600	-86.276667				200009
IR031	A1	A2	KZ	BT	04000MSL	06000MSL	BT	04000MSL	06000MSL		CEW	2	US	1	135.0	29.0	5.0	5.0	T	N30274200	30.461667	W086174800	-86.296667				199801
IR031	A2	B	KZ	BT	04000MSL	06000MSL	BT	00500AGL	06000MSL		CEW	2	US	1	121.0	23.0	5.0	5.0	T	N30365400	30.615000	W086190600	-86.318333				200011
IR031	B	C	KZ	BT	00500AGL	06000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	107.0	19.0	2.0	5.0	B	N30433000	30.725000	W086200000	-86.333333				199709
IR031	C	D	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	73.0	15.0	5.0	5.0	T	N30530000	30.883333	W086241200	-86.403333				199709
IR031	D	E	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	19.0	18.0	5.0	5.0	C	N31060000	31.100000	W086330000	-86.550000				199709
IR031	E	F	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	10.0	18.0	5.0	5.0	T	N31070000	31.116667	W086360000	-86.600000				199708
IR031	F	G	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	131.0	21.0	5.0	5.0	T	N31130000	31.216667	W087040000	-87.066666				199513
IR031	G	H	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	212.0	20.0	5.0	5.0	T	N31111800	31.188334	W087344800	-87.580000				199709
IR031	H	I	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	244.0	28.0	5.0	5.0	T	N31164800	31.280001	W087514200	-87.861667				199709
IR031	I	J	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	248.0	27.0	5.0	5.0	T	N31191200	31.320000	W087513000	-87.858333				199709
IR031	J	K	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	296.0	19.0	5.0	5.0	T	N31370000	31.616667	W087400000	-87.666667				199708
IR031	K	L	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	22.0	32.0	5.0	5.0	T	N31560000	31.933332	W087050000	-87.083333				199709
IR031	L	M	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		MVC	2	US	1	91.0	32.0	5.0	5.0	T	N31250000	31.416666	W086440000	-86.733333				199708
IR031	M	N	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	9.0	21.0	5.0	5.0	T	N31100000	31.166666	W086354200	-86.595001				199513
IR031	N	O	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	20.0	18.0	5.0	5.0	C	N31060000	31.100000	W086330000	-86.550000				199709
IR031	O	P	KZ	BT	00500AGL	04000MSL	BT	00500AGL	04000MSL		CEW	2	US	1	74.0	15.0	2.0	5.0	T	N30530000	30.883333	W086241200	-86.403333				199709
IR031	P		KZ	BT	00500AGL	04000MSL					CEW	2	US	1	106.0	19.0			X	N30433000	30.725000	W086200000	-86.333333				200009
