MTR_IDENT	RMK_SEQ	REMARKS	CYCLE_DATE
IR015	6	(5) Report over D to Tallahassee APP CON. Report over E to Tyndall APP CON. (6) Climb and maintain 2000' MSL at C until passing Hwy 319, noise sensitive area.	200103
IR015	7	(7) At E climb to cross the Appalachicola River at 1500' MSL. Remain at 1500' MSL until past F, noise sensitive area. (8) Route entry/exit times must be met plus/minus five minutes or route must be	200103
IR015	8	rescheduled. (9) CAUTION: IR-019 crosses this route from NW to SE between B and C. (10) CAUTION: This route crosses, overlaps or runs parallel with IR-017 between	200103
IR015	9	E and H. Call 187 FW, DSN 358-9255 to deconflict. (11) CAUTION: IR-059 runs opposite direction to IR-015 between E and H. IR-057 parallels IR-015 between E and H. Call 16 OSS Hurlburt Field DSN 579-6877/7812 to	200103
IR015	10	deconflict. (12) B to H is authorized for unmanned aerospace vehicle operations. (13) Do not overfly town of Miccosukee, FL N30-35 W84-02. Extreme noise sensitiv	200103
IR015	11	e area. (14) CAUTION: Route penetrates western edge of Tallahassee Class C Airspace between Point C and Point D.	200103
IR015	12	FSS's Within 100 NM Radius: GNV, OZR	200103
IR016	1	TERRAIN FOLLOWING OPERATIONS: Authorized from A to G IAW Command directives. ROUTE WIDTH - 8 NM either side of centerline from A to D; 3 NM right and 4 NM left from D to E; 7 NM right and 12 NM left from E to F; 4 NM either side of cente	200011
IR016	2	rline from F to J. Special Operating Procedures: (1) Tie-in FSS: Macon (MCN).	200011
IR016	3	(2) Cross A at 2000' MSL, maintain 2000' MSL until south of Ocilla, GA. (3) Alternate Entry: D. (4) Alternate Exit: D and F.	200011
IR016	4	(5) Route segment from F to J is authorized only for aircraft scheduled to enterR-2903, R-2906 or R-2907. (6) Contact Valdosta APP CON 233.7 prior to B for clearance into Moody 2 MOA.	200011
IR016	5	(7) Maneuvering between C and D is permitted when approved by Valdosta APP CON. (8) Climb to 1000' MSL approaching I-75 prior to E. Maintain 1000' AGL minimum until required to climb at G.	200011
IR016	6	(9) Altitudes up to 6000' MSL for maneuvers between E and F are available when approved by Jacksonville Center. (10) Contact Jacksonville Center 385.6 for clearance to maneuver between E and F	200011
IR016	7	. (11) Cross G at 4000' MSL or as assigned. (12) CAUTION: IR-023 crosses IR-016 from north to south at H. Call Cherry Point	200011
IR016	8	MCAS, DSN 582-4040/4041 to deconflict. (13) Route entry/exit times must be met plus/minus 5 minutes or route must be rescheduled.	200011
IR016	9	(14) USE EXTREME CAUTION: VR-1066 (347 OSOS DSN 460-4544/3501) and VR-1002/1003 (FACSFAC JAX DSN 942-2004/2005) Run opposite direction between Points A and D. FSS's Within 100 NM Radius: GNV, MCN, PIE	200011
IR017	1	TERRAIN FOLLOWING OPERATIONS: Authorized for entire route. ROUTE WIDTH - 5 NM either side of centerline from A to C; 4 NM west and 5 NM east of centerline from C to D; 5 NM either side of centerline from D to E; 4 NM no	200011
IR017	2	rth and 3 NM south of centerline from E to G; 5 NM either side of centerline from G to H. (Alternate Exit) 4 NM either side of centerline from D1 to AB. Special Operating Procedures:	200011
IR017	3	(1) Noise sensitive area A-B; maintain 1000' AGL minimum until 13 NM past A. (2) Avoid Schools/Eufaula N31-52.4 W85-08.0/N31-51.0 W85-09.5. (3) Hazard B-C; high density helio traffic this leg. Remain east of Chattahooche	200011
IR017	4	e River to the maximum extent possible. Noise sensitive area B-C; maintain 1000'AGL minimum from 10 NM north of C to C. Avoid (horse farm) N31-17.0 W85-03.0 by1500' AGL or 4 NM. No overflight (Farley Nuclear Plant) N31-13.4 W85-06.7.	200011
IR017	5	(4) Hazard D-E; Avoid (Arpt/Altha FL) N30-53.3 W85-04.2 by 1500' AGL or 3 NM. (5) Hazard E-F; Avoid (crop dusting airstrips) N30-36.1 W85-05.5/N30-36.1 W85-08.4.	200011
IR017	6	(6) Hazard F-G; Tower 499' AGL N30-36.6 W85-27.1. (7) Alternate Exit AB shall be filed and utilized unless scheduled into R-2914. File A-AB as IR-017A. Alternate Exit lost communications procedure: Pass AB, cli	200011
IR017	7	mb to 10,000' MSL on MAI 139 left turn on course. (8) Contact Atlanta Large TRACON APP CON 278.5 for entry. (9) Contact Cairns APP CON 234.4 at B.	200011
IR017	8	(10) Contact Tallahassee APP CON on 254.3/317.4 at D for exit clearance if utilizing Alternate Exit AB. (11) Contact Tyndall APP CON on 373.0 at E.	200011
IR017	9	(12) Contact Eglin Mission Control on 262.3 prior to G for clearance into R-2914A. (13) Concentrated bird activity along the Chattahoochee River. Crop dusting acti	200011
IR017	10	vity is intense during summer and early fall. (14) CAUTION: This route crosses, overlaps or runs parallel with IR-015 and VR-1065.	200011
IR017	11	(15) Special Activity hours of operation: 0700-1730 central time Tue-Fri, occasional weekends. To schedule use on Sat, Sun, Mon or Tue AM, coordinate prior to 1600 central time on previous Fri.	200011
IR017	12	FSS's Within 100 NM Radius: ANB, GNV, MCN	200011
IR018	1	ROUTE WIDTH - 4 NM either side of centerline. Special Operating Procedures: (1) Alternate Entry: F.	200011
IR018	2	(2) Alternate Exit: E. (3) Altitudes assigned by ATC. (4) Radar system navigation (SN).	200011
IR018	3	FSS's Within 100 NM Radius: AND, GNV, MCN, PIE	200011
IR019	1	ROUTE WIDTH - 4 NM either side of centerline. Special Operating Procedures: (1) Altitudes assigned by ATC.	200011
IR019	2	(2) Radar vector from K to destination or may continue to R-2903B. (3) Radar navigation (SN). FSS's Within 100 NM Radius: ANB, GNV, MCN, PIE	200011
IR020	1	ROUTE WIDTH - 4 NM either side of centerline. Special Operating Procedures: (1) Radar system navigation (SN).	200011
IR020	2	FSS's Within 100 NM Radius: GNV, MIA, PIE	200011
IR021	1	ROUTE WIDTH - 10 NM either side of centerline. Special Operating Procedures: (1) Request 10,000' MSL from A to B, 7000' MSL from B to L.                   (2	200011
IR021	2	) Advise controller when making turns in excess of 20 degrees.                (3) Radar system navigation (SN).                                               (4) Alternate Entry/Exit: F.	200011
IR021	3	FSS's Within 100 NMRadius: ANB, GNV, MCN, PIE	200011
IR022	1	ROUTE WIDTH - 10 NM either side of centerline. Special Operating Procedures: (1) Request 10,000' MSL from A to F.                                          (2	200011
IR022	2	) Advise ATC when making a turn in excess of 20 degrees within the route width. (3) Radar system navigation (SN).	200011
IR022	3	(4) Alternate Entry Point: C (5) Alternate Exit: G and H FSS's Within 100 NM Radius: ANB, AND, BNA, MCN, RDU	200011
IR023	1	TERRAIN FOLLOWING OPERATIONS: Authorized from A to F. ROUTE WIDTH - 5 NM either side of centerline. Special Operating Procedures:	200011
IR023	2	(1) Alternate Entry: D. (2) Alternate Exit: B, D and G. (3) When terrain following avoid Reedsville, GA Arpt N32-04 W82-09 by 5 NM; Jess	200011
IR023	3	up, GA Arpt N31-33 W81-53 by 7 NM. Maintain 2000' AGL over Okefenokee National Wildlife Refuge.                                                     (4) Avoid R-2907B.                                                            (5) If not sch	200011
IR023	4	eduled into R-2910, exit at G.                                    (6) Minimum alt 100' AGL for terrain following.                                 (7) Radar systems navigation (SN).                                                    (8) Betw	200011
IR023	5	een C-D Antenna 1032' AGL N31-09.4 W81-58.3.                          (9) At B contact ZJX ARTCC 290.4.                                            (10) Antenna 1 NM NE of A at 370'AGL (595' MSL) N32-26.7 W81-58.1.          FSS's Within 100	200011
IR023	6	NM Radius: AND, GNV, MCN, PIE	200011
IR026	1	ROUTE WIDTH - 2 NM either side of centerline. Special Operating Procedures: (1) This route is to be used for flight of an unmanned aerospace vehicle only.	200011
IR026	2	FSS's Within 100 NM Radius: SJU	200011
IR027	1	ROUTE WIDTH - 2 NM either side of centerline. Special Operating Procedures: (1) This route to be used for flight of an unmanned aerospace vehicle only.	200011
IR027	2	FSS's Within 100 NM Radius: SJU	200011
IR030	1	TERRAIN FOLLOWING OPERATIONS: Authorized from E to M. ROUTE WIDTH - 5 NM either side of centerline A to B and C to O; 2 NM west side and 5 NM east side of centerline B to C and O to P.	200103
IR030	2	Special Operating Procedures: (1) For use in VMC only. (2) Route continuation from M to E authorized.	200103
IR030	3	(3) Alternate Entry/Exit: A, B and P. (4) Altitude restrictions between D and E 500' AGL-4000' MSL Sat-Sun, or Mon-Fri 1100-1300L, with prior coordination. Otherwise altitude restriction 1500' A	200103
IR030	4	GL-4000' MSL. (5) Alternate Entry/Exit: D and N.                                              FSS's Within 100 NM R	200103
IR030	5	adius: ANB, DRI	200103
IR031	1	TERRAIN FOLLOWING OPERATIONS: Authorized from E to M. ROUTE WIDTH - 5 NM either side of centerline A to B and C to O; 2 NM west side and 5 NM east side of centerline B to C and O to P.	200011
IR031	2	Special Operating Procedures: (1) For use in VMC only. (2) Route continuation from M to E authorized.	200011
IR031	3	(3) Alternate Entry/Exit: A, B and P. (4) Altitude restrictions between M and N 500' AGL-4000' MSL Sat-Sun, or Mon-Fri 1100-1300L, with prior coordination. Otherwise altitude restrictions 1500' A	200011
IR031	4	GL-4000' MSL.                                                                (5)Alternate Entry/Exit: D and N.                                              FSS's Within 100 NM Radius: ANB, DRI	200011
IR032	1	ROUTE WIDTH - 10 NM either side of centerline A to G. Special Operating Procedures: (1) Route use restricted to unmanned aerospace vehicle operations and their supp	200011
IR032	2	ort aircraft. (2) Daylight hours 0900-1500 Mon-Thu, 0900-1200 Fri. Daylight savings time 0900-1700 Mon-Thu, 0900-1200 Fri. Flight not authorized from 13 Dec-3 Jan, nor Thanks	200011
IR032	3	giving Day and the following Fri, Sat, and Sun.                         (3) Unmanned aerospace vehicles shall avoid all airports by 1500'/3 NM. (4) Route is designated for MAR	200011
IR032	4	SA operations established by coordinated scheduling. (5) Maximum use of IR-032/033 shall not exceed total of six flights per year for both routes together.	200011
IR032	5	(6) For use in VMC in accordance with FAAH 7610.4 Section 8.                    FSS's Within 100 NM Radius: GNV, PIE	200011
IR033	1	ROUTE WIDTH - 10 NM either side of centerline A to G and A to F2. Special Operating Procedures: (1) Route use restricted to unmanned aerospace vehicle operations and their supp	200011
IR033	2	ort aircraft. (2) Daylight hours 0900-1500 Mon-Thu, 0900-1200 Fri. Daylight savings time 0900-1700 Mon-Thu, 0900-1200 Fri. Flight not authorized from 13 Dec-3 Jan, nor Thanks	200011
IR033	3	giving Day and the following Fri, Sat and Sun.                          (3) Unmanned aerospace vehicles shall avoid all airports by 1500'/3 NM. (4) Route is designated for MARS	200011
IR033	4	A operations established by coordinated scheduling. (5) Maximum use of IR-032/033 shall not exceed total of six flights per year for both routes together.	200011
IR033	5	(6) For use in VMC in accordancewith FAAH 7610.4 Section 8.                    (7) Alternate Exit F2 to adjoining IR-015.                                  FSS's Within 100 NM Radius: GNV, PIE	200011
IR034	1	TERRAIN FOLLOWING OPERATIONS: Authorized from D to K. ROUTE WIDTH - 8 NM either side of centerline A to J; 6 NM either side of centerline J to K.	200101
IR034	2	Special Operating Procedures: (1) Visual road reconnaissance (RC) or photo reconnaissance (PR) route. (2) This route terminates at Avon Park gunnery range (R-2901) and may only be sc	200101
IR034	3	heduled in conjunction with reserve range time. Route entry times must be made so as not to arrive at range boundary earlier than reserved range times. Route exit time must allow for a minimum of 10 minutes reserved range time remaining for	200101
IR034	4	the last aircraft in a flight.                                                (3) Avoid Immokalee and Clewiston Airports by 3 NM regardless of altitude. (4) Minimum altitude over Everglades National Park and Big Cypress Preserve is 1	200101
IR034	5	000' AGL. Big Cypress Preserve is between D and E, east of centerline entire leg.                                                                          (5) Minimum altitude within 3 NM of H is 500' AGL.                               (6)	200101
IR034	6	Alternate Entry: D and H.                                                 (7) NoAlternate Exit points.                                                      (8)All requests for use of this route must be approved by the 347WG, Det 1/ROA Sch	200101
IR034	7	eduling Activity a minimum of one day in advance during normal duty hours. Same day changes or cancellations shall be coordinated through the Scheduling Activity.	200101
IR034	8	(9) Route clearance valid only plus 30 min from schedule time.               (10) Route segment from F to H is designated a maneuver area.                  (11)Avoid overflight of Hendry Correctional Complex N26-19 W81-16 by 1500' AGL or 1	200101
IR034	9	NM.                                                                     (12) CAUTION: Uncharted grass airstrip located at N26-20.0 W81-19.2; N26-20.9 W81-26.5.(13) CA	200101
IR034	10	UTION: Uncharted tower 210' MSL N26-02.5 W81-20.5; tower 210' MSL N26-02.5 W81-21.5; tower 200' MSL N26-17.3 W81-20.2; Microwave tower 150' MSL N26-18.4 W81-16.8; tower 250' MSL N26-27.5 W81-04.5; Microwave tower 315' MSL N26-37.7 W80-55.2;	200101
IR034	11	tower 300' MSL N26-38.6 W80-55.2; water tower 250' MSL N27-04.8 W81-04.2; tower300' MSL N27-07.0 W81-05.0.                         (14) Avoid fishing resort/trailer park at the intersection of Route 70 and Kissimmee River, 7 NM west of Ok	200101
IR034	12	eechobee.                                            (15) H is a mandatory reporting point.                                         (16) When the instrument approach at Pahokee/Palm Beach County Glades Airport is active, aircraft will be di	200101
IR034	13	rected to maintain 4000' MSL from G to I. In addition, when IR-051 is also active, aircraft will maintain 4000' MSL until J. FSS's Within 100 NM Radius: MIA, PIE	200101
IR034	14	, WBR	200101
IR035	1	TERRAIN FOLLOWING OPERATIONS: After crossing the coast at 2000' MSL or higher, adescent to 300' AGL (fighter aircraft 500') can be initiated once north of ILM 260 degrees radial. From A to G, 300' AGL modified contour flying will be conduc	200103
IR035	2	ted in VMC. IFR/VFR terrain following (TF) to 300' AGL is authorized IAW commanddirectives within published altitude blocks from A to G. when command directives preclude TF (visual/contour operations), aircrews will maintain the IFR altitu	200103
IR035	3	de for each route segment. The top of the block altitude provides for a minimum of 900' clearance above the highest obstacle on that leg (within 5 NM of course centerline).	200103
IR035	4	ROUTE WIDTH - 5 NM either side of centerline from A to E; 5 NM left and 3 NM right of centerline from E to F; 5 NM either side of centerline from F to G. Special Operating Procedures:	200103
IR035	5	(1) Route width excludes North AF, SC class E airspace, and restricted area R-6002 when active. (2) For route entry A cross CRE at or below 10,000' MSL and contact Myrtle Beach	200103
IR035	6	APP CON on 350.3 119.2 to facilitate route entry/clearance with Wilmington Approach 284.65 or 118.25. (3) Alternate Entry D: (Contact Myrtle Beach APP CON on 350.3 119.2). Alternate	200103
IR035	7	Exit: F. (4) Lost communications procedures: Maintain 3000' MSL while in the route. (5) Contact Florence APP CON 309.7 135.25 at C with E estimate.	200103
IR035	8	(6) Contact Myrtle Beach APP CON 321.1 119.2 at D. (7) Contact Shaw RAPCON 358.3 118.85 prior to E, with F estimate. (8) Contact Columbia APP CON 338.2 124.15 passing F.	200103
IR035	9	(9) CAUTION: VR-1040 and VR-1043 route deconfliction, DSN 582-4040/4041. (10) CAUTION: IR-062 opposite direction at C, deconflict DSN 433-1228. (11) CAUTION: Crossing/intersecting routes VR-087, VR-088, VR-097, VR-1059, and	200103
IR035	10	IR-036 deconflicted by scheduling activity when route is booked. VR-083 deconflicted by 4FW at DSN 722-2129. (12) CAUTION: Prior to F - Look for flights of fighter aircraft holding (VFR) ov	200103
IR035	11	er the Rimini Bridge awaiting entry into R-6002 (hours of operation 1200-0300Z++). (13) Approaches to North Field contact North Field Advisory Service 235.775 or 1	200103
IR035	12	18.15.  Prior scheduling and approval required through 437 OSS/OSO DSN 673-5554.(14) Avoid: Flying along the Lumber River into North Carolina. Plan turn near C,so as to cross the river only once while in North Carolina.	200103
IR035	13	(15) Avoid: Marion County Airport N34-10.8 W79-20.1 by 1500' AGL/3 NM. Note: 3 NM arc extends 1 NM into the route below 1593' MSL. (16) CAUTION: VFR student flying training in the vicinity of Aynor, SC, N34-00 W	200103
IR035	14	79-13 3000-4000' MSL. (17) Avoid: Santee National Wildlife Refuge (Lake Marion) just prior to F, 2200'AGL.	200103
IR035	15	(18) Avoid ten Noise Sensitive Areas: (a) Olanta N33-56.2 W79-48.3 by 1000' AGL/1 NM; (b) Lake City N33-52.5 W79-45.5 by 1000' AGL/ 5 NM;	200103
IR035	16	(c) Residence N34-04.4 W79-42.6 by 1500' AGL/1 NM; (d) Residence N33-50.0 W80-22.0 by 1500' AGL/1 NM; (e) N33-39.1 W80-27.1 by 1000' AGL/1 NM;	200103
IR035	17	(f) Town of North, SC N33-36.0 W81-06.5 by 1500' AGL/1 NM; (g) Congressional noise sensitive area (town/residences at Galivants Ferry) N34-03.4 W79-14.3, avoid by 2000' AGL/2 NM;	200103
IR035	18	(h) Hog farm N34-04.4 W79-12.2 by 1500' AGL/1 NM; (i) Hog farm N34-07.1 W79-09.6 by 1500' AGL/1 NM; (j) Hog farm N34-03.1 W79-09.0 by 1500' AGL/1 NM.	200103
IR035	19	(19) Caution:Towers: (a) 250' AGL (600' MSL) N34-12.55 W79-11.41; (b) 250' AGL (750' MSL) N34-19.38 W79-00.24;	200103
IR035	20	(c) 300' AGL (750' MSL) N33-58.17 W79-54.98. (20) Avoid two eagle nest locations, endangered species: (a) N33-36.9 W80-31.8 by 1500' AGL/1 NM;	200103
IR035	21	(b) N34-00.7 W79-23.5 by 1500' AGL/1 NM. (21) CAUTION: Vicinity of North Airfield; C-5, C-17, C-141 aircraft conducting tactical training operations into and out of the airfield.	200103
IR035	22	(22) Contact Charleston AFB, Base Operations via 372.2 (DSN 673-3026) or relay through Command Post 349.4 to report any unusual active bird conditions along theroute. These frequencies/numbers can also be used to obtain the latest informat	200103
IR035	23	ion about the route's bird hazards. (23) Unpublished towers found by route surveys 200' AGL and above are listed in this SOP. Note: A quick reference to the latest Charlotte Sectional Chart (1-500	200103
IR035	24	scale) will show charted towers on this route. (24) IR-012 entry south of B (deconflict DSN 722-2129). (25) Make entry times plus or minus 5 minutes or reschedule.	200103
IR035	25	(26) CAUTION: (a) Uncharted airport, N34-17.7 W79-03.3, Rwy 8-24 and 15-33; (b) Uncharted grass strip, N33-59.4 W79-37.8, Rwy 12-30, approximately 2500';	200103
IR035	26	(c) Uncharted grass strip, N33-45 W80-20, Rwy 10-28. FSS's Within 100 NM Radius: AND, MCN, RDU	200103
IR036	1	TERRAIN FOLLOWING OPERATIONS: 300' AGL modified contour low level operations approved for the entire route VMC. IFR terrain following (TF) to 300' AGL is authorized IAW command directives within published altitude blocks from A to H (round	200103
IR036	2	robin). When command directives preclude TF/visual contour operations, aircrews will maintain the IFR altitude for each route segment. The top of the block altitude provides for a minimum of 1000' clearance above the highest obstacle on tha	200103
IR036	3	t leg (within 5 NM of course centerline). ROUTE WIDTH - 5 NM either side of centerline from A to F; 3 NM right and 5 NM left of centerline from F to G; 5 NM either side of centerline from G to H.	200103
IR036	4	Special Operating Procedures: (1) Route width excludes North AF, SC class E airspace, and restricted area R-6002 when active.	200103
IR036	5	(2) Contact Columbia APP CON on 338.2 or 124.15 for route entry at A with D estimate. (3) Alternate Entry authorized at Pt B (contact Columbia APP CON).	200103
IR036	6	(4) Alternate Exit authorized at D. (5) Monitor Jacksonville ARTCC on 363.2 /132.5 at B. (6) Monitor Charleston APP CON on 319.8/120.7 prior to D.	200103
IR036	7	(7) Contact Shaw RAPCON on 358.3 or 118.85 at E with G estimate. (8) Contact Columbia APP CON on 338.2 or 124.15 passing F. (9) Lost Communications Procedures: Maintain 3000' MSL while on the route.	200103
IR036	8	(10) CAUTION: VR-1040 and VR-1043 route deconfliction DSN 582-4040/4041. (11) CAUTION: Crossing/intersecting routes VR-087, VR-088, VR-097, VR-1059, and IR-035 deconflicted by scheduling activity when route is booked.	200103
IR036	9	(12) CAUTION: Prior to G - Look for flights of fighter aircraft holding (VFR) over the Rimini Bridge awaiting entry into R-6002, (hours of operation 1200-0300Z++).	200103
IR036	10	(13) Approaches to North Field contact North Field Advisory Service 235.775 or 118.15.  Prior scheduling and approval required through 437 OSS/OSO DSN 673-5554.(14) Avoid three airports:	200103
IR036	11	(a) Bamberg CO Airport N33-18.5 W81-06.9 by 1500' AGL/3 NM; (b) St. George Airport N33-11.7 W80-30.5 by 1500' AGL/3 NM; (c) Orangeburg Airport N33-27.7 W80-51.5 by 1500' AGL/3 NM. NOTE: These airports	200103
IR036	12	are outside of the route structure but their 3 NM avoidance area extends into the route below 1500' AGL. (15) Avoid: Santee National Wildlife Refuge (Lake Marion) just prior to G, by 22	200103
IR036	13	00' AGL. (16) Avoid six Noise Sensitive Areas: (a) Residence N33-50.0 W80-22.0 by 1500' AGL/1 NM;	200103
IR036	14	(b) N33-39.1 W80-27.1 by 1000' AGL/1 NM; (c) N33-29.7 W81-16.8 by 1000' AGL/1 NM; (d) Givhans, SC N33-00.8 W80-20.2 by 1000' AGL/1.5 NM;	200103
IR036	15	(e) N33-15.5 W81-11.5 by 1000' AGL/1 NM; (f) N33-40.8 W80-03.5 by 1000' AGL/1 NM. (17) CAUTION: Bird activity:  Landfill N33-07.9 W80-21.4.	200103
IR036	16	(18) Avoid ten Eagle Nest locations, endangered species: (a) N33-10.8 W80-25.3 by 1500' AGL/1 NM; (b) N33-36.9 W80-31.8 by 1500' AGL/1 NM;	200103
IR036	17	(c) Santee NWR N33-23.5 W80-02.6 min alt: 2000' AGL; (d) Santee NWR N33-26.0 W79-55.0 min alt: 2000' AGL; (e) Santee NWR N33-18.4 W80-10.6 min alt: 2000' AGL;	200103
IR036	18	(f) Santee NWR N33-26.1 W80-07.4 min alt: 2000' AGL; (g) Santee NWR N33-28.8 W80-09.5 min alt: 2000' AGL; (h) Santee NWR N33-24.4 W80-11.6 min alt: 2000' AGL;	200103
IR036	19	(i) Santee NWR N33-25.4 W80-16.9 min alt: 2000' AGL; (j) Santee NWR N33-29.6 W80-10.1 min alt: 2000' AGL. (19) CAUTION: Vicinity of North Airfield, SC, C-5, C-17, C-141 aircraft conducti	200103
IR036	20	ng tactical training operations into and out of the airfield. (20) Contact Charleston AFB Base Operations 372.2 (DSN 673-3026) or relay through Command Post 349.4 to report any unusual active bird conditions along the rout	200103
IR036	21	e. These frequencies/numbers can also be used to obtain the latest information about the route's bird hazards. (21) Unpublished towers found by route surveys 200' AGL and above are listed in	200103
IR036	22	this SOP. NOTE: A quick reference to the latest Charlotte Sectional Chart (1-500scale) will show charted towers on this route. (22) Make entry times plus or minus 5 minutes or reschedule.	200103
IR036	23	(23) CAUTION: Uncharted grass strip N33-45 W80-20 (Rwy 10-28). FSS's Within 100 NM Radius: AND, MCN, RDU	200103
IR037	1	ROUTE WIDTH - 5 NM either side of centerline from A to C; 4 NM left and 5 NM right of centerline from C to D; 5 NM either side of centerline from D to H. Special Operating Procedures:	200011
IR037	2	(1) Advise controller when making turns in excess of 20 degrees. (2) Radar system navigation (SN). FSS's Within 100 NM Radius: DRI, GNV, GWO	200011
IR038	1	ROUTE WIDTH - 10 NM either side of centerline. Special Operating Procedures: (1) Advise controller when making turns in excess of 20 degrees.	200011
IR038	2	(2) Radar system navigation (SN). FSS's Within 100 NM Radius: DRI, GNV	200011
