NAV_IDENT	TYPE	CTRY	NAV_KEY_CD	STATE_PROV	NAME	ICAO	WAC	FREQ	USAGE_CD	CHAN	RCC	FREQ_PROT	POWER	NAV_RANGE	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	SLAVED_VAR	MAG_VAR	ELEV	DME_WGS_LAT	DME_WGS_DLAT	DME_WGS_LONG	DME_WGS_DLONG	DME_ELEV	ARPT_ICAO	OS	CYCLE_DATE
2U	7	CA	1		MACKENZIE BC	CY	0185	284000K	L	026X	MH		U	U	WGE	WGE	N55181300	55.303611	W123081200	-123.136667		E020519 0106	02303					U	CYZY	I	200212
2Z	5	CA	1		DIAVIK	CZ	0080	382000K	L		MH		U	U	WGE	WGE	N64303600	64.510000	W110182400	-110.306667		E018473 0106	U					U	CDK2	I	200402
2Z	9	CA	1		DIAVIK	CZ	0080		L	049Y	T		U	U	WGE	WGE	N64303000	64.508333	W110182400	-110.306667		E018471 0106	01413					U	CDK2	I	200402
3B	5	CA	1		BROCKVILLE	CZ	0263	391000K	L		MH		U	U	WGE	WGE	N44420517	44.701436	W075415988	-75.699967		W013335 0106	U					U	CNL3	I	200204
3D	5	CA	1		CUMBERLAND HOUSE	CZ	0183	398000K	L		H		U	U	WGE	WGE	N53572600	53.957222	W102175000	-102.297222		E008534 0106	00877					U	CJT4	I	200205
3F	5	CA	1		ILE-A-LA-CROSSE	CZ	0183	384000K	L		H		U	U	WGE	WGE	N55290200	55.483889	W107555100	-107.930833		E013529 0106	01394					U	CJF3	I	200212
3H	5	CA	1		CONSORT	CY	0184	276000K	L		H		U	U	WGE	WGE	N52012200	52.022778	W110444400	-110.745556		E014515 0106	02499					U	CFG3	I	200205
3I	5	CA	1		MOBIL SIERRA	CZ	0139	397000K	L		H		U	U	WGE	WGE	N58475400	58.798333	W121204200	-121.345000		E022088 0106	U					U	CBX2	O	200610
3M	7	CA	1		DRAYTON VALLEY INDUSTRIAL	CY	0184	385000K	L	043X	MH		U	U	WGE	WGE	N53155900	53.266389	W114571800	-114.955000		E017225 0106	02785	N53160500	53.268056	W114572600	-114.957222	02785	CER3	I	200212
3N	5	CA	1		WEYBURN	CY	0218	298000K	L		H		U	U	WGE	WGE	N49414704	49.696400	W103481287	-103.803575		E009496 0306	01963					U	CJE3	I	200604
3P	5	CA	1		MUDDY LAKE	CZ	0138	242000K	L		H		U	U	WGE	WGE	N58141300	58.236944	W132114400	-132.195556		E023014 0106	U					U	CBD7	I	200205
3R	5	CA	1		POSTVILLE	CZ	0178	366000K	L		H		U	U	WGE	WGE	N54542700	54.907500	W059474900	-59.796944		W024449 0106	00193					U	CCD4	I	200205
3U	5	CA	1		GATINEAU	CY	0263	414000K	L		MH		U	U	WGE	WGE	N45311900	45.521944	W075334500	-75.562500		W013591 0106	00211					U	CYND	I	200210
3X	5	CA	1		CLUFF LAKE	CZ	0140	243000K	L		H		U	U	WGE	WGE	N58213700	58.360278	W109313000	-109.525000		E015534 0106	U					U	CJS3	I	200205
3Y	7	CA	2		DONNELLY	CZ	0185	234000K	L	019X	MH		U	U	WGE	WGE	N55423800	55.710556	W117055900	-117.099722		E019141 0106	01949					U	CFM4	I	200212
3Z	5	CA	1		RUSSELL	CY	0218	263000K	L		MH		U	U	WGE	WGE	N50455100	50.764167	W101174700	-101.296389		E007542 0106	01825					U	CJW5	I	200205
3Z	7	CA	1		TABER	CY	0217	388000K	L	047X	MH		U	U	WGE	WGE	N49493300	49.825833	W112104100	-112.178056		E015013 0106	02648					U	CED5	I	200205
4A	7	CA	1		KOALA	CY	0080	350000K	T	055X	H		U	U	WGE	WGE	N64415300	64.698056	W110363300	-110.609167		E019093 0106	01540					U	CYOA	I	200402
4B	5	CA	1		LITTLE GRAND RAPIDS	CZ	0182	280000K	L		H		U	U	WGE	WGE	N52023902	52.044172	W095274287	-95.461908		E002118 0106	01005					U	CZGR	I	200204
4D	5	CA	1		HELMET	CZ	0139	364000K	L		H		U	U	WGE	WGE	N59251700	59.421389	W120472200	-120.789444		E022188 0106	02025					U	CBH2	I	200512
4G	5	CA	1		CROSS LAKE	CY	0182	353000K	L		H		50	50	WGE	WGE	N54363900	54.610833	W097455900	-97.766389		E004140 0106	00709					U	CYCR	I	200205
4H	5	CA	1		POINTS NORTH LANDING	CY	0141	368000K	L		H		U	U	WGE	WGE	N58160900	58.269167	W104044800	-104.080000		E010553 0106	01620					U	CYNL	I	200205
4J	5	CA	1		KNEE LAKE	CZ	0182	314000K	L		MH		U	U	WGE	WGE	N54530000	54.883333	W094480000	-94.800000		E000468 0106	U					U	CJT3	I	200205
4K	5	CA	1		ST THERESA POINT	CY	0182	362000K	L		MH		U	U	WGE	WGE	N53504200	53.845000	W094505800	-94.849444		E001074 0106	00773					U	CYST	I	200205
4L	5	CA	1		CHATHAM	CY	0309	236000K	L		MH		U	U	WGE	WGE	N42184414	42.312261	W082043955	-82.077653		W007553 0106	00650					U	CNZ3	I	200204
4M	5	CA	1		RED SUCKER LAKE	CY	0182	399000K	L		MH		U	U	WGE	WGE	N54100819	54.168942	W093334766	-93.563239		W000269 0106	00729					U	CYRS	I	200204
4N	5	CA	1		OXFORD HOUSE	CY	0182	386000K	L		H		U	U	WGE	WGE	N54554300	54.928611	W095165700	-95.282500		E001201 0106	00688					U	CYOH	I	200412
4O	5	CA	1		SWAN HILLS	CY	0184	251000K	L		H		U	U	WGE	WGE	N54403000	54.675000	W115252800	-115.424444		E018062 0106	03473					U	CEM5	I	200205
4Q	5	CA	1		BROCHET	CY	0141	347000K	L		H		U	U	WGE	WGE	N57531000	57.886111	W101403600	-101.676667		E008181 0106	01136					U	CYBT	I	200205
4T	5	CA	1		SHAMATTAWA	CZ	0182	280000K	L		MH		U	U	WGE	WGE	N55513359	55.859331	W092050946	-92.085961		W002530 0106	00289					U	CZTM	I	200309
4V	5	CA	1		LAC BROCHET	CZ	0141	371000K	L		MH		U	U	WGE	WGE	N58370580	58.618278	W101281340	-101.470389		E007594 0306	01257					U	CZWH	I	200606
4W	5	CA	1		KELSEY	CZ	0142	391000K	L		MH		U	U	WGE	WGE	N56021500	56.037500	W096304600	-96.512778		E002303 0106	00600					U	CZEE	I	200204
4X	5	CA	1		LAC DU BONNET	CY	0218	386000K	L		H		U	U	WGE	WGE	N50172498	50.290272	W096005094	-96.014150		E003030 0106	00850					U	CYAX	I	200204
4Y	5	CA	1		KEY LAKE	CY	0141	376000K	L		H		U	U	WGE	WGE	N57151500	57.254167	W105372000	-105.622222		E012181 0106	01670					U	CYKJ	I	200205
5B	5	CA	1		SUMMERSIDE	CZ	0262	254000K	L		H		U	U	WGE	WGE	N46234900	46.396944	W063525400	-63.881667		W019313 0106	U					U	CYSU	I	200205
5F	7	CA	2		FOX CREEK	CZ	0184	353000K	L	037X	MH		U	U	WGE	WGE	N54224600	54.379444	W116453600	-116.760000		E018332 0106	02841					U	CED4	I	200212
5J	5	CA	1		CORONATION	CY	0184	328000K	L		HH		U	U	WGE	WGE	N52042800	52.074444	W111265400	-111.448333		E015158 0106	02595					U	CYCT	I	200205
5L	5	CA	1		DONALDSON	CZ	0111	233000K	B		H		U	U	WGE	WGE	N61395300	61.664722	W073173100	-73.291944		W027485 0106	01888					U	CTP9	I	200608
5M	5	CA	1		SPARWOOD	CY	0216	400000K	L		H		U	U	WGE	WGE	N49501400	49.837222	W114530400	-114.884444		E016131 0106	03800					U	CYSW	I	200310
5O	5	CA	1		GODS RIVER	CZ	0182	350000K	L		MH		U	U	WGE	WGE	N54503070	54.841861	W094040880	-94.069111		W000043 0106	00676					U	CJT3	I	200309
5Q	5	CA	1		FONTANGES	CZ	0179	239000K	L		MH		U	U	WGE	WGE	N54333600	54.560000	W071101600	-71.171111		W021458 0106	01552					U	CTU2	I	200306
5U	7	CA	1		FORT VERMILION	CY	0140	261000K	L	025X	MH		U	U	WGE	WGE	N58240900	58.402500	W115570400	-115.951111		E019554 0106	00836	N58241200	58.403333	W115564500	-115.945833	00836	CEZ4	I	200212
5V	7	CA	1		DRUMHELLER	CY	0217	395000K	L	037X	H		U	U	WGE	WGE	N51300900	51.502500	W112450300	-112.750833		E015463 0106	02625	N51300600	51.501667	W112450300	-112.750833	02625	CEG4	I	200205
5W	5	CA	1		LEAF RAPIDS	CY	0141	226000K	L		H		U	U	WGE	WGE	N56304200	56.511667	W099590200	-99.983889		E006283 0106	00959					U	CYLR	I	200205
5Y	5	CA	1		TRENTON	CY	0262	361000K	L		MH		U	U	WGE	WGE	N45364231	45.611753	W062373043	-62.625119		W019265 0106	00317					U	CYTN	I	200204
6E	5	CA	1		GRAND MANAN	CZ	0262	387000K	L		H		U	U	WGE	WGE	N44425600	44.715556	W066480800	-66.802222		W018017 0106	00238					U	CCN2	I	200205
6F	5	CA	1		PORT HOPE SIMPSON	CY	0178	367000K	L		MH		U	U	WGE	WGE	N52311316	52.520322	W056174254	-56.295150		W023080 0106	00347					U	CCP4	I	200204
6G	9	CA	2		RED DEER	CY	0184		L	053X	T		U	U	WGE	WGE	N52105220	52.181167	W113525740	-113.882611		E016313 0106	02985					U	CYQF	I	200402
6K	5	CA	1		VERNON BC	CZ	0216	302000K	L		MH		25	25	WGE	WGE	N50210000	50.350000	W119153600	-119.260000		E017537 0106	U					U	CYVK	I	200205
6M	5	CA	1		BELLEVILLE	CZ	0264	283000K	L		MH		U	U	WGE	WGE	N44114218	44.195050	W077183004	-77.308344		W012149 0106	00320					U	CNU4	O	200505
6Q	5	CA	1		CIGAR LAKE	CZ	0141	222000K	L		H		U	U	WGE	WGE	N58041100	58.069722	W104321900	-104.538611		E011223 0106	U					U	CJW7	I	200205
6X	5	CA	1		YORK LANDING	CZ	0142	339000K	L		H		U	U	WGE	WGE	N56051800	56.088333	W096054900	-96.096944		E001594 0106	00609					U	CZAC	I	200204
6Z	5	CA	1		LA LOCHE	CZ	0140	410000K	L		H		U	U	WGE	WGE	N56284200	56.478333	W109240300	-109.400833		E015139 0106	01500					U	CJL4	I	200205
7B	5	CA	1		ST THOMAS	CY	0309	375000K	L		HH		U	U	WGE	WGE	N42461517	42.770881	W081062043	-81.105675		W008511 0106	00776					U	CYQS	I	200204
7C	5	CA	1		FOGO	CY	0223	237000K	L		H		U	U	WGE	WGE	N49394188	49.661633	W054144252	-54.245144		W021274 0106	00097					U	CDY3	I	200204
7D	5	CA	1		HUDSON BAY	CZ	0183	337000K	L		MH		U	U	WGE	WGE	N52505200	52.847778	W102111200	-102.186667		E008448 0106	U					U	CYHB	I	200511
7F	5	CA	1		COLLINS BAY	CY	0141	400000K	L		H		U	U	WGE	WGE	N58134200	58.228333	W103410000	-103.683333		E010302 0106	01340					U	CYKC	I	200205
7H	5	CA	1		MARYSTOWN	CY	0261	234000K	L		H		U	U	WGE	WGE	N47081800	47.138333	W055193000	-55.325000		W020262 0106	00096					U	CCC2	I	200205
7J	5	CA	1		FORESTBURG	CZ	0184	261000K	L		MH		U	U	WGE	WGE	N52343500	52.576389	W112051000	-112.086111		E015451 0106	02352					U	CEF6	I	200412
7L	5	CA	1		LA SARRE	CY	0220	405000K	L		MH		U	U	WGE	WGE	N48543825	48.910625	W079104421	-79.178947		W012521 0106	01048					U	CSR8	I	200204
7P	5	CA	1		IROQUOIS FALLS	CZ	0220	382000K	L		MH		U	U	WGE	WGE	N48423024	48.708400	W080440936	-80.735933		W011281 0106	U					U	CNE4	I	200204
7V	5	CA	1		JASPER-HINTON	CY	0185	233000K	L		MH		U	U	WGE	WGE	N53191600	53.321111	W117451800	-117.755000		E018307 0106	04026					U	CEC4	I	200205
8A	5	CA	1		CARLYLE	CY	0218	310000K	L		H		U	U	WGE	WGE	N49384404	49.645567	W102165173	-102.281036		E008406 0106	02074					U	CJQ3	I	200204
8C	7	CA	1		FAIRVIEW	CY	0140	295000K	L	051X	H		U	U	WGE	WGE	N56043200	56.075556	W118262600	-118.440556		E019542 0106	02190					U	CEB5	I	200205
8F	5	CA	1		DEBERT	CY	0262	239000K	L		MH		U	U	WGE	WGE	N45251931	45.422031	W063273452	-63.459589		W019124 0106	00142					U	CCQ3	I	200204
8G	7	CA	1		STETTLER	CY	0184	286000K	L	021X	MH		U	U	WGE	WGE	N52183000	52.308333	W112451600	-112.754444		E016010 0106	02700	N52183100	52.308611	W112451300	-112.753611	02700	CEJ3	O	200505
8H	5	CA	1		ST PAUL	CY	0184	375000K	L		H		U	U	WGE	WGE	N53593100	53.991944	W111232600	-111.390556		E015474 0106	02147					U	CEW3	I	200205
8J	5	CA	1		PROVOST	CY	0184	208000K	L		MH		U	U	WGE	WGE	N52195800	52.332778	W110162300	-110.273056		E014400 0106	02216					U	CEH6	I	200205
8J	9	CA	1		PROVOST	CY	0184		L	027X	T		U	U	WGE	WGE	N52200100	52.333611	W110162400	-110.273333		E014401 0106	02216					U	CEH6	O	200608
8K	5	CA	1		VALLEYVIEW	CY	0185	229000K	L		MH		U	U	WGE	WGE	N55020400	55.034444	W117171900	-117.288611		E019016 0106	02450					U	CEL5	I	200303
8M	7	CA	2		ELK POINT	CZ	0184	414000K	L	051X	MH		U	U	WGE	WGE	N53532500	53.890278	W110460500	-110.768056		E015234 0106	01999					U	CEJ6	I	200212
8N	7	CA	1		EDSON	CY	0184	393000K	L	031X	MH		U	U	WGE	WGE	N53345100	53.580833	W116271700	-116.454722		E018074 0106	03066	N53344800	53.580000	W116271000	-116.452778	03066	CYET	I	200205
9A	5	CA	1		HANNA	CY	0217	221000K	L		MH		U	U	WGE	WGE	N51374000	51.627778	W111540300	-111.900833		E015227 0106	02738					U	CEL4	I	200205
9G	5	CA	1		SUNDRE	CZ	0216	405000K	L		H		U	U	WGE	WGE	N51464800	51.780000	W114410000	-114.683333		E016449 0106	03656					U	CFN7	I	200205
9H	5	CA	1		LA GRANDE 3	CY	0180	235000K	L		H		U	U	WGE	WGE	N53342567	53.573797	W076120299	-76.200831		W017585 0106	00774					U	CYAD	I	200204
9Q	5	CA	1		AMOS	CY	0220	291000K	L		MH		U	U	WGE	WGE	N48332722	48.557561	W078143509	-78.243081		W013262 0106	01068					U	CYEY	I	200204
9S	9	CA	1		POWELL RIVER BC	CY	0215		B	030X	T		U	U	WGE	WGE	N49500800	49.835556	W124295700	-124.499167		E018516 0106	00425					U	CYPW	I	200212
9X	7	CA	1		BROOKS	CY	0217	227000K	L	035X	MH		U	U	WGE	WGE	N50375600	50.632222	W111551800	-111.921667		E015068 0106	02499					U	CYBP	I	200212
9Y	5	CA	1		PINCHER CREEK	CZ	0217	311000K	B		MH		U	U	WGE	WGE	N49312400	49.523333	W113595500	-113.998611		E015458 0106	U					U	CZPC	I	200510
9Z	7	CA	1		WESTLOCK	CY	0184	236000K	L	025X	MH		U	U	WGE	WGE	N54083500	54.143056	W113445300	-113.748056		E017069 0106	02230	N54083500	54.143056	W113445700	-113.749167	02230	CES4	I	200205
A	5	AJ	1		BAKU/BINA	UB	0325	1130000K	T		MH		U	U	U	WGE	N40264200	40.445000	E050034800	50.063333		E005260 0106	00019					U		I	200307
A	5	AL	1		RINAS	LA	0322	598000K	T		HH		U	U	WGE	WGE	N41261500	41.437500	E019431500	19.720833		E003004 0106	U					U		I	200205
A	5	AR	2		MINISTRO PISTARINI	SA	1434	237000K	T		MH		U	25	WGE	WGE	S34502990	-34.841639	W058312050	-58.522361		W006499 0106	00066					U		I	200410
A	5	AR	3		RECONQUISTA	SA	1383	242000K	T		MH		U	U	WGE	WGE	S29123963	-29.211008	W059422738	-59.707606		W008350 0106	U					U		I	200205
A	5	AR	4		TARTAGAL	SA	1259	415000K	T		MH		U	U	WGE	WGE	S22380915	-22.635875	W063474441	-63.795669		W007328 0106	01473					U		I	200205
A	5	CU	1		HABANA	MU	0586	339000K	T		H		100	50	WGE	WGE	N22582556	22.973767	W082255601	-82.432225		W003315 0106	00233					U		I	200406
A	5	EG	1		ALMAZA	HE	0447	490000K	T		H		U	U	WGE	WGE	N30042644	30.074011	E031213401	31.359447		E003203 0106	U					U	HEAZ	I	200309
A	5	HU	1		BUDAPEST	LH	0251	343000K	T		MH		U	25	WGE	WGE	N47271817	47.455047	E019123780	19.210500		E003234 0106	U					U		I	200007
A	5	HU	2		OPERA	LH	0251	422000K	T		MH		U	U	WGE	WGE	N47062400	47.106667	E020133600	20.226667		E003342 0106	00322					U	LHSN	I	200205
A	5	KZ	1		ALMATY	UA	0329	763000K	B		H		U	U	U	WGE	N43220699	43.368608	E077042616	77.073933		E004452 0106	U					U		I	200308
A	5	RO	1		BANEASA EAST	LR	0251	434000K	B		HH		U	U	WGE	WGE	N44303700	44.510278	E026081300	26.136944		E004204 0106	U					U		I	200205
A	5	RS	1		SHEREMETYEVO	UU	0167	338000K	T		MH		U	U	U	WGE	N55584800	55.980000	E037274200	37.461667		E009430 0106	U					U	UUEE	I	200204
A	5	UP	1		KHARKIV	UK	0234	678000K	B		HH		U	U	PUK	WGE	N49552745	49.924293	E036191092	36.319699		E007162 0306	U					U	UKHH	I	200605
A	5	UP	2		ZAPORIZHZHIA	UK	0249	608000K	T		MH		U	U	PUK	WGE	N47504928	47.847022	E035181012	35.302811		E006296 0306	U					U		I	200605
A1	5	CA	1		TALTHEILEI NARROWS	CZ	0114	264000K	L		H		U	U	WGE	WGE	N62354100	62.594722	W111310800	-111.518889		E019032 0106	00570					U	CFA7	I	200402
A5	5	CA	1		CHINCHAGA	CZ	0140	317000K	L		MH		U	U	WGE	WGE	N57324200	57.545000	W119064100	-119.111389		E020491 0106	02280					U	CED2	I	200204
A9	5	CA	1		LIVERPOOL	CZ	0262	330000K	L		MH		U	U	WGE	WGE	N44133720	44.227000	W064513074	-64.858539		W018250 0106	00314					U	CYAU	I	200204
AA	4	NZ	1		AUCKLAND	NZ	1474	114800M	B	095X	HA		50	50	WGE	WGE	S37001670	-37.004639	E174484910	174.813639	E01901104	E019282 0106	00013					U	NZAA	I	200512
AA	5	FP	1		ANAA	NT	1207	332500K	T		H		U	125	WGE	WGE	S17212325	-17.356458	W145303292	-145.509144		E012451 0706	U					U	NTGA	I	200609
AA	5	GH	1		ACCRA	DG	0816	409000K	T		H		50	U	WGE	WGE	N05403422	5.676172	W000081692	-0.138033		W004416 0106	U					U	DGAA	I	200206
AA	5	GL	1		AASIAAT	BG	0057	336000K	L		MH		U	U	WGE	WGE	N68432346	68.723183	W052470515	-52.784764		W036533 0106	U					U	BGAA	I	200210
AA	5	ID	1		ATAMBUA	WA	1100	300000K	B		H		U	U	WGE	WGE	S09042800	-9.074444	E124541700	124.904722		E002218 0106	01434					U	WATA	I	200410
AA	5	IR	1		ALIABAD	OI	0428	397000K	B		MH		U	U	WGE	WGE	N35380120	35.633667	E051250390	51.417750		E004015 0106	03603					U		I	200410
AA	5	KR	1		ABEMAMA	KZ	0872	396000K	B		MH		U	U	WGE	WGE	N00300000	0.500000	E173510000	173.850000		E009260 0106	00108					U	NGTB	I	200204
AA	5	MR	1		AIOUN EL ATROUSS	GQ	0659	310000K	B		MH		25	U	ADI	WGE	N16413172	16.692144	W009360136	-9.600378		W005157 0106	U					U	GQNA	I	200204
AA	5	SP	1		MADRID	LE	0319	355000K	T		MH		U	U	WGE	WGE	N40265356	40.448211	W003321972	-3.538811		W002130 0106	U					U		I	200203
AA	5	US	1	38	KENIE	KZ	0266	365000K	T		H		U	U	WGE	WGE	N47003350	47.009306	W096485468	-96.815189		E004089 0106	00887					U	KFAR	I	200412
AA	5	US	2	13	CEDAR	KZ	0409	341000K	T		MH		U	U	WGE	WGE	N33315882	33.533006	W082365173	-82.614369		W005217 0106	00517					U		I	200106
AAA	5	US	1	17	ABRAHAM	KZ	0308	329000K	T		MH		25	U	WGE	WGE	N40093653	40.160147	W089201594	-89.337761		W001206 0106	00593					U	AAA	I	200204
AAE	4	IN	1		AHMEDABAD	VA	0560	113100M	B	078X	HA		U	U	WGE	WGE	N23041991	23.072197	E072372983	72.624953	E00001104	W000099 0106	00184					U	VAAH	I	200413
AAF	5	US	1	12	APALACHICOLA	KZ	0467	349000K	T		MH		25	U	WGE	WGE	N29432390	29.723306	W085014099	-85.028053		W002557 0106	00019					U	AAF	I	200606
AAL	3	DA	1		AALBORG	EK	0151		B	114X	HA	100/50	U	199	WGE	WGE	N57061416	57.103933	E009593411	9.992808	E00100800	E000598 0206	00057					U	EKYT	I	200604
AAL	4	DA	1		AALBORG	EK	0151	116700M	R	114X	HA	100/50	U	100	WGE	WGE	N57061339	57.103719	E009594408	9.995578	E00100800	E000589 0106	00057	N57061416	57.103933	E009593411	9.992808	00057	EKYT	I	200604
AAQ	5	BR	1		ARARAQUARA	SB	1262	205000K	B		H		1000	50	WGE	WGE	S21484680	-21.813000	W048082220	-48.139500		W019255 0106	02514					U	SBAQ	I	200212
AAR	2	SA	1		ARAR	OE	0446	113300M	B	080X	HA		U	U	WGE	WGE	N30542890	30.908028	E041083200	41.142222	E00200798	E003355 0106	01811					U	OERR	I	200502
AAR	4	IN	1		AMRITSAR	VI	0440	115500M	B	102X	HA		U	U	WGE	WGE	N31422500	31.706944	E074480300	74.800833	E00201104	E001280 0106	00752					U	VIAR	I	200413
AAT	4	IN	1		AGARTALA	VE	0557	116100M	B	108X	HA		U	U	WGE	WGE	N23532245	23.889569	E091142301	91.239725	E00001104	W000302 0106	00047					U	VEAT	I	200413
AAU	4	IN	1		AURANGABAD	VA	0673	116300M	B	110X	HA		U	U	WGE	WGE	N19515298	19.864717	E075233857	75.394047	W00101104	W000464 0106	01908					U	VAAU	I	200413
AAU	5	US	1	39	ASHLAND	KZ	0309	329000K	T		MH		25	U	WGE	WGE	N40574800	40.963333	W082151208	-82.253356		W007232 0106	01256					U	3G4	I	200409
AB	5	ET	1		ADDIS ABABA	HA	0789	333000K	B		H		100	50	WGE	WGE	N08595054	8.997372	E038514526	38.862572		E001409 0706	07822					U	HAAB	I	200609
AB	5	FO	1		AKRABERG	BI	0106	381000K	B		HH		U	100	WGE	WGE	N61234300	61.395278	W006405200	-6.681111		W007299 0106	U					U		I	200404
AB	5	KZ	1		ATBASAR	UA	0237	420000K	B		H		U	U	U	WGE	N51530000	51.883333	E068240000	68.400000		E010155 0106	U					U		I	200005
AB	5	RS	1		PODKAMENNAYA TUNGUSKA	UN	0098	342000K	T		HH		U	80	U	WGE	N61353000	61.591667	E089563000	89.941667		E009088 0106	U					U		I	200403
AB	5	RS	2		ABAKAN	UN	0161	360000K	T		H		U	80	U	WGE	N53415400	53.698333	E091210000	91.350000		E004193 0106	U					U	UNAA	I	200609
AB	5	SA	1		ABQAIQ	OE	0547	290000K	B		MH		U	U	WGE	WGE	N25540000	25.900000	E049350000	49.583333		E002157 0106	00229					U	OEBQ	I	200205
AB	5	SF	1		ALEXANDER BAY	FA	1396	317500K	B		H		1000	250	WGE	WGE	S28370800	-28.618889	E016284800	16.480000		W019212 0106	U					U	FAAB	I	200511
AB	5	US	1	13	PUTNY	KZ	0467	227000K	T		MH		U	U	WGE	WGE	N31272213	31.456147	W084163417	-84.276158		W003456 0106	U					U	KABY	I	200608
AB	5	US	2	48	TOMHI	KZ	0407	353000K	T		MH		U	U	WGE	WGE	N32175598	32.298883	W099402707	-99.674186		E006183 0106	01950					U	KABI	I	200204
