ATS_IDENT	SEQ_NBR	DIRECTION	TYPE	ICAO	RMK_SEQ	REMARK	CYCLE_DATE
A107	9980	E	W	UTSD	1	DO NOT OVERFLY UT(R)122 BELOW FL157.	200610
A107	9990	E	W	UTSD	1	DO NOT OVERFLY UT(R)122 BELOW FL157.	200610
A107	10	W	W	UTSD	1	DO NOT OVERFLY UT(R)122 BELOW FL157.	200610
A107	20	W	W	UTSD	1	DO NOT OVERFLY UT(R)122 BELOW FL157.	200610
A107	30	W	W	UTSD	1	DO NOT OVERFLY UT(R)123, 124 BELOW FL157.	200602
A107	40	W	W	UTSD	1	DO NOT OVERFLY UT(R) 123, 124 BELOW FL157.	200602
A107	50	W	W	UTSD	1	DO NOT OVERFLY UT(R)123, 124 BELOW FL157.	200602
A107	60	W	W	UTSD	1	DO NOT OVERFLY UT(R)123, 124 BELOW FL157.	200602
A107	70	W	W	UTSD	1	DO NOT OVERFLY UT(R)123, 124 BELOW FL157.	200602
A117	10	E	W	UTSD	1	DO NOT OVERFLY UT(R)122 BELOW FL157.	200513
A117	20	E	W	UTSD	1	DO NOT OVERFLY UT(R)122 BELOW FL157.	200610
A117	9980	W	W	UTSD	1	DO NOT OVERFLY UT(R)122 BELOW FL157.	200610
A117	9990	W	W	UTSD	1	DO NOT OVERFLY UT(R)122 BELOW FL157.	200513
A122	60	E	W	UWOO	1	VERT LIMITS FL98/FL50 AND FL397/FL168.	200603
A122	9940	W	W	UWOO	1	VERT LIMITS FL98/FL50 AND FL397/FL168.	200603
A127	9970	E	W	UTTT	1	DO NOT OVERFLY UT(R)122 BELOW FL157.	200610
A127	9980	E	W	UTTT	1	DO NOT OVERFLY UT(R)122 BELOW FL157.	200513
A127	20	W	W	UTTT	1	DO NOT OVERFLY UT(R)122 BELOW FL157.	200513
A127	30	W	W	UTTT	1	DO NOT OVERFLY UT(R)122 BELOW FL157.	200610
A14	30	E	W	LGGG	1	For latest changes to Route Availablity Document (RAD) see www.cfmu.eurocontrol.be.	200408
A14	40	E	W	LGGG	1	For latest changes to Route Availablity Document (RAD) see www.cfmu.eurocontrol.be.	200408
A14	9960	W	W	LGGG	1	For latest changes to Route Availablity Document (RAD) see www.cfmu.eurocontrol.be.	200408
A14	9970	W	W	LGGG	1	For latest changes to Route Availablity Document (RAD) see www.cfmu.eurocontrol.be.	200408
A145	10	E	W	LGGG	1	CDR3 H24.	200609
A145	20	E	W	LGGG	1	CDR3 H24.	200609
A145	30	E	W	LGGG	1	CDR3 H24.	200609
A145	40	E	W	LGGG	1	CDR3 H24.	200609
A145	50	E	W	LGGG	1	CDR3 H24.	200609
A145	9950	W	W	LGGG	1	CDR3 H24.	200609
A145	9960	W	W	LGGG	1	CDR3 H24.	200609
A145	9970	W	W	LGGG	1	CDR3 H24.	200609
A145	9980	W	W	LGGG	1	CDR3 H24.	200609
A145	9990	W	W	LGGG	1	CDR3 H24.	200609
A180	9970	E	W	UERT	1	VERT LIMITS FL397/FL236 AND FL528/FL430.  FL528/FL430 AVAILABLE ON AGREEMENT WITH ATC.	200603
A180	9980	E	W	UEMO	1	VERT LIMITS FL397/FL236 AND FL528/FL430.  FL528/FL430 AVAILABLE ON AGREEMENT WITH ATC.	200603
A180	9990	E	W	UEMO	1	VERT LIMITS FL397/FL236 AND FL528/FL430.  FL528/FL430 AVAILABLE ON AGREEMENT WITH ATC.	200603
A180	10	W	W	UEMO	1	VERT LIMITS FL397/FL236 AND FL528/FL430.  FL528/FL430 AVAILABLE ON AGREEMENT WITH ATC.	200603
A180	20	W	W	UEMO	1	VERT LIMITS FL397/FL236 AND FL528/FL430.  FL528/FL430 AVAILABLE ON AGREEMENT WITH ATC.	200603
A180	30	W	W	UERT	1	VERT LIMITS FL397/FL236 AND FL528/FL430.  FL528/FL430 AVAILABLE ON AGREEMENT WITH ATC.	200603
A2	820	W	W	LFFF	1	ABB to DEVAL above FL 115 on ACC instructions.	200603
A2	830	W	W	LFFF	1	ABB to DEVAL above FL 115 on ACC instructions.	200603
A202	100	E	W	VHVH	1	BANGKOK OVERFLIGHTS NOT PERMITTED ON A202.	200305
A202	9900	W	W	VHVH	1	BANGKOK OVERFLIGHTS NOT PERMITTED ON A202.	200305
A204	10	E	W	UHKK	1	VERT LIMITS FL397/FL315 AND FL528/FL430.  FL528/FL430 AVAILABLE ON AGREEMENT WITH ATC.	200605
A204	20	E	W	UHKK	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200605
A204	30	E	W	UHKM	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200609
A204	40	E	W	UHKK	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200609
A204	50	E	W	UHSS	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200609
A204	60	E	W	UHSS	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200609
A204	70	E	W	UHSS	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200609
A204	80	E	W	UHSS	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200609
A204	9920	W	W	UHSS	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200609
A204	9930	W	W	UHSS	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200609
A204	9940	W	W	UHSS	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200609
A204	9950	W	W	UHSS	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200609
A204	9960	W	W	UHKK	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200609
A204	9970	W	W	UHKM	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200609
A204	9980	W	W	UHKK	1	VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200605
A204	9990	W	W	UHKK	1	VERT LIMITS FL397/FL315 AND FL528/FL430.  FL528/FL430 AVAILABLE ON AGREEMENT WITH ATC.	200605
A21	120	E	W	LJLA	1	From Ronchi VOR/DME (RCH) to Rifen CRP compulsory for traffic at FL 110 at RifenCRP if departure Ronchi Dei Legionari (LIPQ) with destination LJL*.  From RifenCRP to Ronchi VOR/DME (RCH) compulsory for traffic at FL 120 at Rifen CRP if de	200508
A21	120	E	W	LJLA	2	parture LJL* with destination Ronchi Dei Legionari (LIPQ).	200508
A21	9880	W	W	LJLA	1	From Ronchi VOR/DME (RCH) to Rifen CRP compulsory for traffic at FL 110 at RifenCRP if departure Ronchi Dei Legionari (LIPQ) with destination LJL*.  From RifenCRP to Ronchi VOR/DME (RCH) compulsory for traffic at FL 120 at Rifen CRP if de	200508
A21	9880	W	W	LJLA	2	parture LJL* with destination Ronchi Dei Legionari (LIPQ).	200508
A218	10	E	W	UHNN	1	FL528/FL430, FL397/FL330, FL282/FL177.  FL 528/FL430 AVAILABLE AFTER COORDINATION WITH ATC.	200603
A218	20	E	W	UHOO	1	FL528/FL430, FL397/FL330, FL282/FL177.  FL 528/FL430 AVAILABLE AFTER COORDINATION WITH ATC.	200603
A218	30	E	W	UHMM	1	FL528/FL430, FL397/FL330, FL282/FL177.  FL 528/FL430 AVAILABLE AFTER COORDINATION WITH ATC.	200603
A218	40	E	W	UHMM	1	FL528/FL430, FL397/FL315.  FL528/FL430 AVAILABLE AFTER COORDINATION WITH ATC.	200602
A218	50	E	W	UHMM	1	FL528/FL430, FL397/FL315.  FL528/FL430 AVAILABLE AFTER COORDINATION WITH ATC.	200602
A218	60	E	W	UHMN	1	FL528/FL430, FL397/FL315.  FL528/FL430 AVAILABLE AFTER COORDINATION WITH ATC.	200602
A218	70	E	W	UHMS	1	Awy Segments GONAM CRP to BOKIN CRP is used for flights of aircraft equipped with FANS-1 acc. to CNS/ATM techniques under Magadan ACC control. VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200602
A218	80	E	W	UHMK	1	Awy Segments GONAM CRP to BOKIN CRP is used for flights of aircraft equipped with FANS-1 acc. to CNS/ATM techniques under Magadan ACC control. VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200602
A218	90	E	W	UHMP	1	Awy Segments GONAM CRP to BOKIN CRP is used for flights of aircraft equipped with FANS-1 acc. to CNS/ATM techniques under Magadan ACC control. VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200602
A218	100	E	W	UHMI	1	Cross LISKI CRP Westbound between 2100-0400Z ++. VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200602
A218	110	E	W	UHMI	1	Cross LISKI CRP Westbound between 2100-0400Z ++. VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200602
A218	120	E	W	UHMI	1	Cross LISKI CRP Westbound between 2100-0500Z ++. VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE ON AGREEMENT WITH ATC.	200602
A218	9880	W	W	UHMI	1	Cross LISKI CRP Westbound between 2100-0500Z ++. VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE ON AGREEMENT WITH ATC.	200602
A218	9890	W	W	UHMI	1	Cross LISKI CRP Westbound between 2100-0400Z ++. VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200602
A218	9900	W	W	UHMI	1	Cross LISKI CRP Westbound between 2100-0400Z ++. VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200602
A218	9910	W	W	UHMP	1	Awy Segments GONAM CRP to BOKIN CRP is used for flights of aircraft equipped with FANS-1 acc. to CNS/ATM techniques under Magadan ACC control. VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200602
A218	9920	W	W	UHMK	1	Awy Segments GONAM CRP to BOKIN CRP is used for flights of aircraft equipped with FANS-1 acc. to CNS/ATM techniques under Magadan ACC control. VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200602
A218	9930	W	W	UHMS	1	Awy Segments GONAM CRP to BOKIN CRP is used for flights of aircraft equipped with FANS-1 acc. to CNS/ATM techniques under Magadan ACC control. VERT LIMITS FL397/FL315 AND FL528/FL430. FL528/FL430 AVAILABLE  ON AGREEMENT WITH ATC.	200602
A218	9940	W	W	UHMN	1	FL528/FL430, FL397/FL315.  FL528/FL430 AVAILABLE AFTER COORDINATION WITH ATC.	200602
A218	9950	W	W	UHMM	1	FL528/FL430, FL397/FL315.  FL528/FL430 AVAILABLE AFTER COORDINATION WITH ATC.	200602
A218	9960	W	W	UHMM	1	FL528/FL430, FL397/FL315.  FL528/FL430 AVAILABLE AFTER COORDINATION WITH ATC.	200602
A218	9970	W	W	UHMM	1	FL528/FL430, FL397/FL330, FL282/FL177.  FL 528/FL430 AVAILABLE AFTER COORDINATION WITH ATC.	200603
A218	9980	W	W	UHOO	1	FL528/FL430, FL397/FL330, FL282/FL177.  FL 528/FL430 AVAILABLE AFTER COORDINATION WITH ATC.	200603
A218	9990	W	W	UHNN	1	FL528/FL430, FL397/FL330, FL282/FL177.  FL 528/FL430 AVAILABLE AFTER COORDINATION WITH ATC.	200603
A222	10	E	W	ULMM	1	VERT LIMITS FL397/FL256 AND FL226/FL157. FL246/FL237 AVBL ON REQUEST WITH ATC.	200506
A222	20	E	W	ULAA	1	VERT LIMITS FL216-FL178 AND FL297/FL283.	200508
A222	30	E	W	ULAA	1	VERT LIMITS FL216-FL178 AND FL297/FL283.	200508
A222	40	E	W	ULAA	1	VERT LIMITS FL216-FL178 AND FL297/FL283.	200508
A222	50	E	W	ULAA	1	VERT LIMITS FL216/207 AND FL397/283.	200512
A222	60	E	W	ULAA	1	.	200513
A222	70	E	W	ULAA	1	VERT LIMITSFL216/ FL207 AND FL397/FL283.	200603
A222	80	E	W	ULAA	1	VERT LIMITSFL216/ FL207 AND FL397/FL283.	200603
A222	120	E	W	UUYY	1	Flight levels FL299/FL364 are closed for non-scheduled ACFT between 0900-1200z daily on seg MUKAS -UHT VORDME.	200512
A222	9880	W	W	UUYY	1	Flight levels FL299/FL364 are closed for non-scheduled ACFT between 0900-1200z daily on seg MUKAS -UHT VORDME.	200512
A222	9920	W	W	ULAA	1	VERT LIMITSFL216/ FL207 AND FL397/FL283.	200603
A222	9930	W	W	ULAA	1	VERT LIMITSFL216/ FL207 AND FL397/FL283.	200603
A222	9940	W	W	ULAA	1	.	200513
A222	9950	W	W	ULAA	1	VERT LIMITS FL216/207 AND FL397/283.	200512
A222	9960	W	W	ULAA	1	VERT LIMITS FL216-FL178 AND FL297/FL283.	200508
A222	9970	W	W	ULAA	1	VERT LIMITS FL216-FL178 AND FL297/FL283.	200508
A222	9980	W	W	ULAA	1	VERT LIMITS FL216-FL178 AND FL297/FL283.	200508
A222	9990	W	W	ULMM	1	VERT LIMITS FL397/FL256 AND FL226/FL157. FL246/FL237 AVBL ON REQUEST WITH ATC.	200506
A227	10	E	W	ULMM	1	Vert Limits are FL196/FL89 and FL397/FL200.   FL397/FL200 are avbl on coordination with ATC.	200601
A227	9990	W	W	ULMM	1	Vert Limits are FL196/FL89 and FL397/FL200.   FL397/FL200 are avbl on coordination with ATC.	200601
A24	9880	E	W	EBEB	1	BUB-TOLEN not ABVL for TRC DEST EHAM. Cruising levels BLW FL 90 are not normallyAVBL for TFC overflying Brussels TCA.	200610
A24	9890	E	W	EBEB	1	BUB-TOLEN not ABVL for TRC DEST EHAM. Cruising levels BLW FL 90 are not normallyAVBL for TFC overflying Brussels TCA.	200610
A24	110	W	W	EBEB	1	BUB-TOLEN not ABVL for TRC DEST EHAM. Cruising levels BLW FL 90 are not normallyAVBL for TFC overflying Brussels TCA.	200610
A24	120	W	W	EBEB	1	BUB-TOLEN not ABVL for TRC DEST EHAM. Cruising levels BLW FL 90 are not normallyAVBL for TFC overflying Brussels TCA.	200610
A24	130	W	W	EBEB	1	BUB-TOLEN not ABVL for TRC DEST EHAM. Cruising levels BLW FL 90 are not normallyAVBL for TFC overflying Brussels TCA.	200610
A24	140	W	W	EHAA	1	FL150/160 for pressurixed ACFT overflying Amsterdam FIR.	200610
A242	9950	E	W	LFEE	1	GTQ to ARPUS segment in south-north direction useable on ACC instruction.	200405
A242	9960	E	W	LFEE	1	GTQ to ARPUS segment in south-north direction useable on ACC instruction.	200405
A242	9970	E	W	LFEE	1	GTQ to ARPUS segment in south-north direction useable on ACC instruction.	200410
A242	9980	E	W	LFEE	1	GTQ to ARPUS segment in south-north direction useable on ACC instruction.	200405
A242	9990	E	W	LFEE	1	GTQ to ARPUS segment in south-north direction useable on ACC instruction.	200405
A242	10	W	W	LFEE	1	GTQ to ARPUS segment in south-north direction useable on ACC instruction.	200405
A242	20	W	W	LFEE	1	GTQ to ARPUS segment in south-north direction useable on ACC instruction.	200405
A242	30	W	W	LFEE	1	GTQ to ARPUS segment in south-north direction useable on ACC instruction.	200410
A242	40	W	W	LFEE	1	GTQ to ARPUS segment in south-north direction useable on ACC instruction.	200405
A242	50	W	W	LFEE	1	GTQ to ARPUS segment in south-north direction useable on ACC instruction.	200405
A25	9620	E	W	LFRR	1	Channel Islands Control Zone is Class A when Jersey APP is open.	200511
A25	380	W	W	LFRR	1	Channel Islands Control Zone is Class A when Jersey APP is open.	200511
A260	100	E	W	UMMM	1	FL190/FL100 can be used without prior coordination from 1800Zon Fri and the day preceding a holiday till 0300Z on Tue and the day after a holiday at all other times by requesting Minsk ACC.	200402
A260	110	E	W	UMMM	1	FL190/FL100 can be used without prior coordination from 1800Z on Fri and the daypreceding a holiday till 0300Z on Tue and the day after a holiday at all other times byre questing Minsk ACC.	200511
A260	9890	W	W	UMMM	1	FL190/FL100 can be used without prior coordination from 1800Z on Fri and the daypreceding a holiday till 0300Z on Tue and the day after a holiday at all other times byre questing Minsk ACC.	200511
A260	9900	W	W	UMMM	1	FL190/FL100 can be used without prior coordination from 1800Zon Fri and the day preceding a holiday till 0300Z on Tue and the day after a holiday at all other times by requesting Minsk ACC.	200402
A27	9860	E	W	LECB	1	Segment between Kanig CRP and Bagur VOR/DME not available above FL185.	200603
A27	9870	E	W	LECB	1	Segment between Kanig CRP and Bagur VOR/DME not available above FL185. Segment between Kanig CRP and Parax NCRP liable to LED134 activity. Segment between KanigCRP and Parax NCRP MEA FL135 except with ATC authorization.	200603
A27	9910	E	W	LFMM	1	BRUSC to MEN is unuseable when area LFD579 is active.	200603
A27	90	W	W	LFMM	1	BRUSC to MEN is unuseable when area LFD579 is active.	200603
A27	130	W	W	LECB	1	Segment between Kanig CRP and Bagur VOR/DME not available above FL185. Segment between Kanig CRP and Parax NCRP liable to LED134 activity. Segment between KanigCRP and Parax NCRP MEA FL135 except with ATC authorization.	200603
A27	140	W	W	LECB	1	Segment between Kanig CRP and Bagur VOR/DME not available above FL185.	200603
A277	30	E	W	URRV	1	Vert Limits FL255/FL40, FL310/FL270 and FL430/FL320.  FL430/FL320 Avbl on coordination with ATC.  Use ICAO feet vert separation FL430/FL270 btw GAMAN and VAZON and separation FL430/FL210 btw VAZON and BANUT.	200603
A277	40	E	W	URRV	1	Vert Limits FL255/FL40, FL310/FL270 and FL430/FL320.  FL430/FL320 Avbl on coordination with ATC. Use ICAO feet vert separation FL430/FL270 btw GAMAN and VAZON and separation FL430/FL210 btw VAZON and BANUT.	200413
A277	50	E	W	URRV	1	Vert Limits FL255/FL40, FL310/FL270 and FL430/FL320.  FL430/FL320 Avbl on coordination with ATC. Use ICAO feet vert separation FL430/FL270 btw GAMAN and VAZON and separation FL430/FL210 btw VAZON and BANUT.	200607
A277	60	E	W	URRV	1	Vert Limits FL255/FL40, FL310/FL270 and FL430/FL320.  FL430/FL320 Avbl on coordination with ATC. Use ICAO feet vert separation FL430/FL270 btw GAMAN and VAZON and separation FL430/FL210 btw VAZON and BANUT.	200607
A277	70	E	W	URRV	1	Vert Limits FL196/FL40, FL310/FL270 and FL430/FL320.  FL430/FL320 Avbl on coordination with ATC.  Use ICAO feet vert separation FL430/FL270 btw GAMAN and VAZON and separation FL430/FL210 btw VAZON and BANUT.	200609
A277	80	E	W	URRV	1	Vert Limits FL196/FL40, FL310/FL270 and FL430/FL320.  FL430/FL320 Avbl on coordination with ATC. Use ICAO feet vert separation FL430/FL270 btw GAMAN and VAZON and separation FL430/FL210 btw VAZON and BANUT.	200609
A277	9920	W	W	URRV	1	Vert Limits FL196/FL40, FL310/FL270 and FL430/FL320.  FL430/FL320 Avbl on coordination with ATC. Use ICAO feet vert separation FL430/FL270 btw GAMAN and VAZON and separation FL430/FL210 btw VAZON and BANUT.	200609
A277	9930	W	W	URRV	1	Vert Limits FL196/FL40, FL310/FL270 and FL430/FL320.  FL430/FL320 Avbl on coordination with ATC.  Use ICAO feet vert separation FL430/FL270 btw GAMAN and VAZON and separation FL430/FL210 btw VAZON and BANUT.	200609
A277	9940	W	W	URRV	1	Vert Limits FL255/FL40, FL310/FL270 and FL430/FL320.  FL430/FL320 Avbl on coordination with ATC. Use ICAO feet vert separation FL430/FL270 btw GAMAN and VAZON and separation FL430/FL210 btw VAZON and BANUT.	200607
A277	9950	W	W	URRV	1	Vert Limits FL255/FL40, FL310/FL270 and FL430/FL320.  FL430/FL320 Avbl on coordination with ATC. Use ICAO feet vert separation FL430/FL270 btw GAMAN and VAZON and separation FL430/FL210 btw VAZON and BANUT.	200607
A277	9960	W	W	URRV	1	Vert Limits FL255/FL40, FL310/FL270 and FL430/FL320.  FL430/FL320 Avbl on coordination with ATC. Use ICAO feet vert separation FL430/FL270 btw GAMAN and VAZON and separation FL430/FL210 btw VAZON and BANUT.	200413
A277	9970	W	W	URRV	1	Vert Limits FL255/FL40, FL310/FL270 and FL430/FL320.  FL430/FL320 Avbl on coordination with ATC.  Use ICAO feet vert separation FL430/FL270 btw GAMAN and VAZON and separation FL430/FL210 btw VAZON and BANUT.	200603
A279	70	E	W	UUWV	1	Vert Limits are FL347/FL50 and FL397/FL365.  FL397/FL365 AVBL on coordination with ATC.	200408
A279	80	E	W	UUWV	1	Vert Limits are FL347/FL50 and FL397/FL365.  FL397/FL365 AVBL on coordination with ATC.	200408
A279	90	E	W	UUWV	1	Vert Limits are FL347/FL50 and FL397/FL365.  FL397/FL365 AVBL on coordination with ATC.	200409
A279	100	E	W	UUWV	1	Vert Limits are FL347/FL50 and FL397/FL365.  FL397/FL365 AVBL on coordination with ATC.	200408
A279	120	E	W	UWPP	1	VERT LIMITS ARE - FL348/FL167 AND FL108/FL89.	200602
A279	130	E	W	UWPP	1	VERT LIMITS ARE - FL348/FL167 AND FL108/FL89.	200602
A279	140	E	W	UWPP	1	VERT LIMITS ARE - FL348/FL167 AND FL108/FL89.	200602
A279	9860	W	W	UWPP	1	VERT LIMITS ARE - FL348/FL167 AND FL108/FL89.	200602
A279	9870	W	W	UWPP	1	VERT LIMITS ARE - FL348/FL167 AND FL108/FL89.	200602
A279	9880	W	W	UWPP	1	VERT LIMITS ARE - FL348/FL167 AND FL108/FL89.	200602
A279	9900	W	W	UUWV	1	Vert Limits are FL347/FL50 and FL397/FL365.  FL397/FL365 AVBL on coordination with ATC.	200408
A279	9910	W	W	UUWV	1	Vert Limits are FL347/FL50 and FL397/FL365.  FL397/FL365 AVBL on coordination with ATC.	200409
A279	9920	W	W	UUWV	1	Vert Limits are FL347/FL50 and FL397/FL365.  FL397/FL365 AVBL on coordination with ATC.	200408
A279	9930	W	W	UUWV	1	Vert Limits are FL347/FL50 and FL397/FL365.  FL397/FL365 AVBL on coordination with ATC.	200408
A28	280	E	W	UUWV	1	VERT LIMITS ARE FL206/FL188, FL397/FL266.	200603
A28	290	E	W	UUWV	1	VERT LIMITS ARE FL206/FL188, FL397/FL266.	200603
A299	9950	E	W	USUU	1	SEGMENT USTR CRP TO USUU CRP AVAILABLE SAT, SUN, AND HOLIDAYS, OTHER TIMES BY COORDINATION WITH ATC.	200508
A299	9960	E	W	USUU	1	SEGMENT USTR CRP TO USUU CRP AVAILABLE SAT, SUN, AND HOLIDAYS, OTHER TIMES BY COORDINATION WITH ATC.	200508
A299	9970	E	W	USTR	1	SEGMENT USTR CRP TO USUU CRP AVAILABLE SAT, SUN, AND HOLIDAYS, OTHER TIMES BY COORDINATION WITH ATC.	200313
