ARPT_IDENT	COMM_TYPE	COMM_NAME	SYM	FREQ_1	FREQ_2	FREQ_3	FREQ_4	FREQ_5	SEC	S_OPR_H	CYCLE_DATE
AG64680	APP	ALGER APP	R	121.4   M	119.7   M						200202
AG64680	GND	ALGER GND		121.8   M							200006
AG64680	TWR	ALGER TWR		118.7   M	119.7   M						199809
AG68480	APP	CONSTANTINE APP	R	120.1   M	119.7   M						200113
AG68480	TWR	CONSTANTINE TWR		118.3   M	119.7   M						200002
AG70333	TWR	TWR		119.7   M							200004
AG72115	RDO	TOUGGOURT RDO		8894    K							200311
AG72115	TWR	TOUGGOURT TWR		119.7   M							200202
AG74167	TWR	TEBESSA TWR		118.1   M	119.7   M						200202
AG76660	APP	HASSI MESSAOUD APP		120.0   M						H24	200412
AG76660	RDO	HASSI MESSAOUD RDO		8894    K							200202
AG76660	TWR	HASSI MESSAOUD TWR		118.1   M	119.7   M						200202
AG76755	RDO	EL OUED RDO		8894    K						Opr H24	200002
AG76755	TWR	EL OUED TWR		119.7   M						Opr H24	200002
AG77314	APP	ORAN APP		128.2   M	121.1   M						200202
AG77314	TWR	ORAN TWR		118.1   M	119.7   M						200202
AG85161	RDO	GHARDAIA RDO		8894    K							200202
AG85161	TWR	GHARDAIA TWR		118.9   M	119.7   M						200202
AG86488	TWR	TWR		118.1   M							199910
AG87342	TWR	TWR		119.7   M							200311
AG93130	RDO	RDO		8894    K							200202
AG93130	TWR	TWR		118.1   M	119.7   M						200311
AG99976	RDO	RDO		8894    K							200202
AG99976	TWR	TWR		119.7   M							200002
AJ00001	APP	APP		124.0   M							200303
AJ00001	ATIS	ATIS		119.25  M							200513
AJ00001	TWR	TWR		124.0   M							200303
AJ00013	A/D	APP		118.2   M							200412
AJ00013	ATIS	ATIS		127.5   M							200412
AJ00013	TWR	TWR		118.2   M							200412
AJ41498	APP	BAKU APP	V	129.3   M	123.9   M						200403
AJ41498	ATIS	BAKU ATIS		126.8   M	126.4   M						200403
AJ41498	GCA	BAKU PRECISION		119.2   M							200403
AJ41498	GND	BAKU GND		121.7   M							200403
AJ41498	RDR	BAKU RADAR	V	120.8   M	128.0   M						200403
AJ41498	TWR	BAKU TWR		119.2   M							200404
AL00001	ACC	ACC		127.5   M	124.025 M						200502
AL00001	APP	APP		133.15  M	124.025 M						200502
AL00001	TWR	TWR		122.5   M	123.5   M						200502
AL00002	TWR	TWR		124.5   M							199805
AL00003	TWR	TWR		129.5   M							200103
AM00003	TWR	TWR		119.4   M						0200-1400	200502
AM00004	TWR	TWR	V	130.3   M							200609
AM65746	APP	YEREVAN APP	RV	126.0   M	124.0   M						200602
AM65746	ATIS	ATIS		119.5   M							200404
AM65746	GND	YEREVAN GND		119.0   M							200404
AM65746	TWR	YEREVAN TWR	V	128.0   M	124.0   M						200602
AM65747	APP	GYUMRI APP	V	127.7   M							200404
AM65747	ATIS	ATIS		128.7   M							200311
AM65747	TWR	GYUMRI TWR	V	120.6   M							200404
AO02223	AFIS	AFIS		118.8   M							200505
AO07407	AFIS	AFIS		118.9   M							200312
AO11843	AFIS	AFIS		118.1   M							200104
AO12562	RDO	RDO		118.7   M							200505
AO22547	RDO	AFIS RDO		118.8   M							200506
AO24458	AFIS	AFIS		118.3   M							200505
AO37232	AFIS	AFIS		118.7   M							200509
AO47362	AFIS	AFIS		118.1   M							200605
AO48521	A/G	A/G VOICE RDO		129.5   M							200604
AO48521	APP	APP	V	119.1   M							200604
AO48521	GND	GND		121.9   M							200604
AO48521	TWR	TWR	V	118.1   M							200604
AO48917	AFIS	AFIS		118.3   M							200605
AO53493	AFIS	RDO		118.3   M						SR-SS	200506
AO56820	AFIS	AFIS		118.9   M							200505
AO61048	AFIS	AFIS		118.7   M							200604
AO66547	AFIS	AFIS		118.3   M						Opr HO.	200601
AO73912	AFIS	AFIS		118.7   M							200610
AO74616	AFIS	AFIS		118.7   M							200607
AO76278	AFIS	AFIS		118.9   M						O/S UFN.	200506
AO99382	AFIS	AFIS		118.1   M							200505
AO99460	AFIS	AFIS		118.8   M							200208
AQ90020	A/D	FALEOLO APP/DEP		126.9   M							200511
AQ90020	CTAF	CTAF		122.9   M							200512
AQ90020	UNIC	UNICOM		118.3   M						Btn 1730-0800Z.	200606
AQ90023	CTAF	CTAF		122.9   M							199913
AR00012	A/G	RDO		118.9   M							200513
AR00015	RDO	RDO		122.1   M						Opr 1000-2300Z.	200504
AR00015	TWR	TWR/APP	V	118.1   M	122.1   M						200411
AR00020	A/G	RDO		122.1   M	122.65  M						200513
AR00020	TWR	CONLARA TWR	V	119.9   M	118.85  M						200513
AR00078	RDO	RDO		118.1   M	118.3   M						200605
AR00267	APP	APP/TWR	V	119.95  M	118.2   M						200513
AR00267	GND	GND		121.8   M							200513
AR00376	A/G	RDO		118.1   M							200604
AR01214	RDO	RDO		118.1   M							199908
AR03515	RDO	RDO		122.1   M						Opr SR-SS	200513
AR06142	RDO	ROCA RDO		119.4   M						Opr SR-SS.	200002
AR06176	TWR	PARANA TWR		119.6   M	118.5   M						200002
AR08227	TWR	TWR/APP		118.7   M	118.5   M						200504
AR09073	TWR	TWR/APP		119.0   M	118.5   M					Opr 1000-2200Z.	200507
AR13909	TWR	TWR		118.8   M							199908
AR14963	RDO	GORDILLO RDO		118.5   M	118.1   M						200513
AR15469	RDO	RDO		122.1   M							200605
AR15469	TWR	TWR		118.3   M							200605
AR15586	ATIS	ATIS		114.9   M							200502
AR15586	GND	GND		121.95  M							200504
AR15586	TCA	MENDOZA CON		124.2   M	122.1   M						200502
AR15586	TWR	MENDOZA APP/TWR	V	119.9   M	118.65  M						200604
AR16072	TWR	MADRYN TWR	V	119.5   M	118.5   M						200513
AR17474	RDO	REYNOLDS RDO		122.1   M							199908
AR17474	TWR	REYNOLDS APP/TWR		119.3   M	118.5   M						200609
AR17678	TWR	GRANDE TWR/APP	V	118.3   M	120.2   M						200411
AR17866	ATIS	ATIS		114.5   M							199906
AR17866	GND	GND		121.75  M							200108
AR17866	MISC	METAR NOTAM		3425.5  K	5475    K	8952    K					199906
AR17866	TWR	CORDOBA TWR/APP		118.3   M	118.55  M	119.45  M					200503
AR18278	TWR	VIEDMA TWR	V	118.3   M							200005
AR18834	APP	APP		119.35  M	119.3   M						200004
AR18834	TWR	TWR		119.35  M	119.3   M						200004
AR20031	TWR	TWR	V	118.5   M	119.25  M					Opr 1000Z-SS.	200508
AR21785	RDO	RDO		122.1   M	122.9   M						200603
AR21785	TWR	TWR/APP		118.7   M	120.65  M						200411
AR24555	GND	GND		121.9   M						Opr 1000-2400Z.	200513
AR24555	RDO	FABRICA RDO		118.1   M	118.5   M					Opr 0900-2300Z Mon-Fri exc hol.	200003
AR24555	TWR	ESCUELA TWR	V	120.6   M	118.5   M					Opr 1000-2400Z.	200513
AR24649	APP	APP/TWR	V	119.1   M							200411
AR24649	ATIS	ATIS		116.7   M							199908
AR24649	RDO	RDO		122.1   M	2965    M	5547    K	11282   K				200403
AR24649	TCA	CON	V	124.7   M							200411
AR25841	A/D	CON		124.4   M	120.5   M						200410
AR25841	GND	GND		121.7   M							200007
AR25841	TWR	TWR/APP	V	118.75  M	118.2   M	120.5   M					200504
AR26262	TWR	TWR	V	119.1   M	119.0   M						200503
AR27439	APP	BAHIA BLANCA APP	V	124.8   M	119.15  M						200608
AR27439	GND	GND		121.9   M							200002
AR27439	RDO	RDO		2965    M	5547    K	11282   K	6598    K				200012
AR27439	TWR	ESPORA TWR	V	119.15  M	118.1   M						200608
AR28505	TWR	PEHUAJO TWR		118.35  M	118.5   M						199905
AR28581	RDO	RDO		121.9   M						Opr 1300-1800Z Mon-Wed, Fri, Sun.	200001
AR30950	TWR	TWR		118.6   M	119.1   M						200609
AR31110	APP	APP/TWR	V	119.4   M	118.5   M						200610
AR31110	ARR	CON		120.9   M							199908
AR33085	APP	APP/TWR		118.75  M	118.7   M						200513
AR33829	RDO	RDO		118.7   M	118.5   M						200513
AR34601	RDO	RDO		118.1   M							199908
AR35687	GND	GND		121.7   M							200605
AR35687	TWR	CHAPELCO TWR	V	119.6   M	118.2   M						200605
AR42574	RDO	RDO		118.4   M						Opr HS.	200009
AR45202	RDO	RDO		118.1   M						Opr HS.	200312
AR46542	APP	APP/TWR		119.3   M						(only flt cond and tfc advsy UFN)	200609
AR47770	TWR	LIBRES TWR/APP		120.3   M	118.5   M	118.1   M					200503
AR48120	APP	APP/TWR		118.45  M	119.15  M						200603
AR49061	TWR	PALOMAR APP/TWR	V	120.3   M	118.9   M						200609
AR49376	APP	PICO TWR		119.0   M							200513
AR50642	TWR	NEUQUEN TWR/APP		119.3   M							200505
AR51177	RDO	RDO		126.9   M	2944    M	6649    K	10024   K		Intl flt Opr HS. (122.1 3016 6586 10006 Natl flt Opr H24)		200012
AR51177	TWR	TWR/APP		128.85  M	118.4   M						200411
AR51559	TWR	TWR		118.3   M							200609
AR51711	TWR	TWR		118.3   M	118.85  M						200206
AR53303	GND	GND		124.5   M							200002
AR53303	TWR	TWR		123.8   M	118.5   M						200004
AR56245	RDO	DESEADO RDO		118.3   M							200005
AR56501	A/G	SAN ANTONIO OEST RDO		118.4   M						Opr HS.	200004
AR58399	APP	APP	V	120.6   M	119.5   M						200409
AR58399	ATIS	ATIS		127.6   M						Opr 0900-0345Z.	200403
AR58399	CLD	CLNC DEL		129.3   M						Opr 0900-0330Z.	200403
AR58399	GND	GND		121.9   M							200403
AR58399	TWR	TWR		118.85  M	118.25  M	128.85  M					200503
AR60215	GND	GND		121.65  M							200002
AR60215	TWR	FERNANDO TWR		120.7   M	119.0   M						199908
AR60988	APP	MORENO APP		119.7   M	118.55  M						200402
AR60988	TWR	MORENO TWR		119.7   M	118.55  M						200402
AR63628	RDO	RDO		118.6   M							199908
AR64206	TWR	GESELL TWR/APP		119.0   M						Opr 1100-0100Z.	200507
AR64453	TWR	TWR		118.6   M							200610
AR67911	RDO	ING JACOBACCI RDO		122.3   M	122.45  M						200003
AR69106	ATIS	ATIS		127.9   M							200009
AR69106	RDO	BARILOCHE RDO		122.3   M	2965    M	5547    K	11282   K				200603
AR69106	TWR	BARILOCHE TWR/APP	V	119.1   M	118.65  M						200603
AR73997	TWR	TWR		118.4   M	118.9   M						200005
AR75372	TWR	TWR/APP		120.7   M	118.3   M						200411
AR77408	TWR	TWR/APP		118.4   M						Opr 1000-2400Z	200507
AR78928	RDO	TUCUMAN RDO		122.5   M	3016    K	6586    K	10006   K			Opr H24.	200003
AR78928	TWR	TUCUMAN TWR/APP		119.5   M	118.35  M						200411
AR80200	A/D	BAIRES CON	RV	124.9   M	133.95  M	125.3   M	125.9   M				200509
AR80200	APP	EZEIZA APP		119.9   M	120.45  M						200503
AR80200	ATIS	ATIS		127.8   M							199902
AR80200	GCCD	GND/CLNC DEL		121.75  M							200302
AR80200	TWR	EZEIZA TWR	V	118.6   M	118.05  M						200503
AR80600	TWR	TWR	V	118.1   M	122.1   M						200609
AR83516	TWR	TWR		118.1   M	118.2   M						200513
AR84748	ACC	RESISTENCIA		119.5   M							200503
AR84748	RDO	RDO		122.3   M							200504
AR84748	TWR	TWR/APP	V	118.7   M	118.1   M						200411
AR85191	TWR	TWR	V	118.15  M	118.1   M						200609
AR87723	TWR	TWR/APP		120.1   M	118.5   M						200504
AR91139	TWR	TWR/APP		118.7   M	119.75  M						200411
AR93230	APP	APP		118.95  M	118.45  M						200505
AR93230	TWR	TWR		118.5   M						Opr 1000-2400Z.	200002
AR93476	TWR	TWR		118.1   M	119.7   M						200107
AR94425	APP	APP/TWR		118.1   M	118.8   M						200507
AR94545	ARR	COMODORO CON	V	124.3   M							200603
AR94545	TWR	COMODORO TWR	V	119.9   M	120.8   M						200603
AR94822	RDO	RDO		118.5   M						Opr 0900-2100Z.	200002
AR96413	APP	APP/TWR		118.25  M	118.1   M						200607
AR98318	TWR	SANTIAGO TWR		118.7   M	118.8   M						200601
AR99252	RDO	RDO		118.1   M							199908
AS00001	ATIS	ATIS								Opr by NOTAM	200201
AS00001	CTAF	CTAF		126.7   M							200512
AS00001	FSS	BRISBANE CNTR		122.1   M							200009
AS00001	GND	GND								Opr by NOTAM	200211
AS00001	TWR	TWR								Opr by NOTAM	200201
AS00002	APP	TOWNSVILLE APP		126.8   M						During Townsville twr hrs.	200312
AS00002	CTAF	CTAF		126.7   M							200512
AS00002	FSS	BRISBANE CNTR		120.55  M						Outside Townsville twr hrs.	200312
AS00003	CTAF	CTAF		126.7   M							200512
AS00003	FSS	BRISBANE CNTR		125.7   M							200009
AS00004	CTAF	CTAF		126.7   M							200006
AS00004	FSS	BRISBANE CNTR		118.8   M							200009
AS00004	UNIC	BALLERA UNICOM		126.7   M							200512
AS00006	CTAF	CTAF		128.0   M							200105
AS00006	FSS	BRISBANE CNTR		120.75  M							200406
AS00007	CTAF	CTAF		126.7   M							200512
AS00007	FSS	MELBOURNE CNTR		124.9   M							200405
AS00008	CTAF	CTAF		126.7   M							200512
AS00008	FSS	MELBOURNE CNTR		124.9   M							200204
AS00010	CTAF	CTAF		126.5   M							200512
AS00010	FSS	MELBOURNE CNTR		118.95  M							200307
AS00011	CTAF	CTAF		126.8   M							200512
AS00011	FSS	MELBOURNE CNTR		118.4   M							200105
AS00012	CTAF	CTAF		126.7   M							200512
AS00012	FSS	BRISBANE CNTR		123.95  M							200304
AS00013	CTAF	CTAF		127.3   M							200512
AS00013	FSS	BRISBANE CNTR		122.4   M							200112
AS00014	CTAF	CTAF		126.7   M							200512
AS00014	FSS	MELBOURNE CNTR		125.9   M							200113
AS00015	CTAF	CTAF		126.0   M							200512
AS00015	FSS	BRISBANE CNTR		134.65  M							200507
AS00015	UNIC	UNICOM		128.8   M							200311
AS00016	CTAF	CTAF		126.7   M							200202
AS00016	FSS	BRISBANE CNTR		119.55  M							200202
AS00017	CTAF	CTAF		126.5   M							200512
AS00017	FSS	BRISBANE CNTR		120.3   M							200204
AS00022	CTAF	CTAF		119.1   M							200205
AS00022	FSS	PERTH RADAR		135.25  M							200506
AS00024	CTAF	CTAF		126.7   M							200311
AS00024	FSS	BRISBANE CNTR		118.2   M							200205
AS00027	CTAF	CTAF		127.15  M							200504
AS00027	FSS	BRISBANE CNTR		123.4   M							200205
AS00034	CTAF	CTAF		127.1   M							200212
AS00034	FSS	MELBOURNE  CNTR		130.9   M							200206
AS00039	CTAF	CTAF		126.7   M							200512
AS00039	FSS	MELBOURNE CNTR		123.4   M							200406
AS00041	CTAF	CTAF		126.75  M							200512
AS00041	FSS	MELBOURNE CNTR		125.2   M							200406
AS00042	CTAF	CTAF		127.85  M							200406
AS00042	FSS	BRISBANE CNTR		121.2   M							200406
AS00043	CTAF	CTAF		126.7   M							200406
AS00043	FSS	MELBOURNE CNTR		120.0   M							200406
AS00045	CTAF	CTAF		126.7   M							200512
AS00045	FSS	MELBOURNE CNTR		133.2   M							200506
AS00046	CTAF	CTAF		126.7   M							200603
AS00046	FSS	MELBOURNE CNTR		125.2   M							200603
AS00049	CTAF	CTAF		126.7   M							200603
AS00049	FSS	BRISBANE CNTR		124.1   M							200603
AS00049	MISC	DPRAC		72.35   M	82.4    M						200603
AS00052	CTAF	CTAF		126.7   M							200605
AS00052	FSS	MELBOURNE CNTR		125.8   M							200605
AS00053	CTAF	CTAF		126.7   M							200609
AS00053	FSS	BRISBANE CNTR		123.9   M							200609
AS00058	CTAF	CTAF		126.7   M							199813
AS00058	FSS	BRISBANE CNTR		118.15  M							200101
AS00740	A/D	APP	RU	125.2   M	134.1   M	305.5   M	363.8   M				200409
AS00740	ARTC	BRISBANE CNTR		118.15  M							200607
AS00740	ATIS	ATIS		112.6   M	308.0   M	316.2   M	344.0   M				200103
AS00740	CLD	CLNC DEL		126.8   M	237.3   M						200008
AS00740	DEP	DEP		123.0   M	325.4   M						200412
AS00740	GND	GND		121.8   M	119.55  M	265.3   M					200008
AS00740	MISC	RAAF AIR OPS		8974    K	11235   K	13206   K	3032    K	5687    K			200004
AS00740	TWR	TWR	U	133.1   M	257.8   M						200001
AS01794	CTAF	CTAF		118.1   M							199813
AS01794	FSS	BRISBANE CNTR		120.55  M							200009
AS01863	CTAF	CTAF		127.15  M							200001
AS01863	FSS	MELBOURNE CNTR		121.2   M	124.1   M						200009
AS01976	CTAF	CTAF		126.7   M							199812
AS01976	FSS	BRISBANE CNTR		118.95  M							200507
AS02967	CTAF	CTAF		126.5   M							200512
AS02967	FSS	BRISBANE CNTR		120.3   M							200014
AS03598	CTAF	CTAF		126.7   M							199813
AS03598	FSS	BRISBANE CNTR		134.65  M							200404
AS04258	ATIS	ATIS		116.1   M	404.0   M						200208
AS04258	CTAF	CTAF		120.1   M						Outside twr hrs.	200512
AS04258	FSS	MELBOURNE RADAR		135.7   M							200104
AS04258	TWR	TWR		120.1   M	314.6   M					Opr by NOTAM	200002
AS04258	UNIC	FLIGHT OPS		129.3   M						Opr 0000-0500Z++ Sun-Mon.	200311
AS04349	CTAF	CTAF		127.35  M							200001
AS04349	FSS	MELBOURNE CNTR		135.25  M							200009
AS05794	CTAF	CTAF		126.7   M							199813
AS05794	FSS	BRISBANE CNTR		118.2   M							200105
AS06003	FSS	MELBOURNE CNTR		132.7   M							200104
AS06003	UNIC	CTAF/UNICOM		126.7   M							200105
AS07051	CTAF	CTAF		126.7   M							199812
AS07051	FSS	MELBOURNE CNTR		126.8   M							200009
AS07236	ATIS	ATIS		120.9   M	419.0   M						200602
AS07236	CTAF	CTAF		118.1   M						Outside twr hrs.	200512
AS07236	FSS	RADAR		125.7   M							200503
AS07236	GND	GND		119.9   M							200007
AS07236	TWR	ARCHER TWR		118.1   M	123.6   M					2200-0800Z.	200112
AS08942	APP	APP		261.4   M						Opr by NOTAM	200002
AS08942	ATIS	ATIS		316.3   M						Opr by NOTAM	200001
AS08942	CTAF	CTAF		126.7   M						Outside Twr hrs.	200512
AS08942	FSS	BRISBANE CNTR		122.1   M							200110
AS08942	GND	GND		264.6   M						Opr by NOTAM	200002
AS08942	TWR	TWR		118.3   M	257.8   M					Opr by NOTAM	200001
AS09280	CTAF	CTAF		127.8   M							200512
AS09280	FSS	BRISBANE CNTR		125.0   M							200104
AS09502	CTAF	CTAF		118.1   M							200512
AS09502	FSS	BRISBANE CNTR		120.55  M							200011
AS09515	CTAF	CTAF		126.65  M							200512
AS09515	FSS	MELBOURNE CNTR		125.8   M							200212
AS09681	CTAF	CTAF		126.7   M							199813
AS09681	FSS	BRISBANE CNTR		118.6   M	119.8   M						200504
AS09792	CTAF	CTAF		126.0   M							200001
AS09792	FSS	MELBOURNE CNTR		125.8   M							200009
AS09831	CTAF	CTAF		126.7   M							199813
AS09831	FSS	BRISBANE CNTR		119.8   M							200009
AS09866	CTAF	CTAF		126.7   M							200512
AS09866	RDO	BRISBANE CNTR		122.1   M							200009
AS09940	CTAF	CTAF		126.7   M							200512
AS09940	FSS	BRISBANE CNTR		124.8   M							200304
AS09940	UNIC	SOUTH WEST AIR BASE		126.7   M							200601
AS10286	A/D	APP/DEP	R	118.4   M	126.1   M						200202
AS10286	ATIS	ATIS		113.0   M	131.1   M						199813
AS10286	CLD	CLNC DEL		121.7   M							199905
AS10286	GND	GND		121.7   M							200002
AS10286	TWR	TWR		124.9   M							199905
AS10823	CTAF	CTAF		126.7   M							199812
AS10823	FSS	MELBOURNE CNTR		135.25  M							200009
AS11026	CTAF	CTAF		126.7   M							199813
AS11026	FSS	BRISBANE CNTR		123.9   M							200009
AS11710	CTAF	CTAF		126.7   M							200512
AS11710	FSS	MELBOURNE CNTR		123.9   M							200104
AS12234	CTAF	CTAF		126.5   M							200512
AS12234	FSS	BRISBANE CNTR		120.3   M							200009
AS12386	CTAF	CTAF		126.5   M							200512
AS12386	FSS	BRISBANE CNTR		122.4   M							200009
AS12739	CTAF	CTAF		119.9   M							200512
AS12739	FSS	MELBOURNE CNTR		118.6   M							200203
AS12764	CTAF	CTAF		126.7   M							199813
AS12764	FSS	BRISBANE CNTR		122.1   M							200009
AS13190	CTAF	CTAF		126.7   M							199813
AS13190	FSS	BRISBANE CNTR		126.0   M							200009
AS13301	CTAF	CTAF		126.7   M							199813
AS13301	FSS	MELBOURNE CNTR		120.0   M							200009
AS13470	ATIS	ATIS		128.45  M						Opr dur twr hrs.	200512
AS13470	CTAF	CTAF		118.1   M						Outside twr hrs.	200512
AS13470	FSS	MELBOURNE CNTR		125.55  M						Outside Twr hrs	200009
AS13470	TWR	TWR		118.1   M						Opr hrs by NOTAM.	200503
AS13597	CTAF	CTAF		126.7   M							199813
AS13597	FSS	BRISBANE CNTR		124.1   M							200009
AS14209	ATIS	ATIS		116.0   M	123.8   M					Opr by NOTAM	200001
AS14209	CTAF	CTAF		119.4   M						Outside twr hrs.	200512
AS14209	FSS	BRISBANE CNTR		127.1   M							200009
AS14209	GCCD	GND CLNC DEL		121.9   M							200302
AS14209	TWR	TWR		118.25  M	119.4   M					Opr 2100-1015Z++ Mon-Fri, 2115-1015Z++ Sat-Sun.	200303
AS14515	CTAF	CTAF		126.7   M							200202
AS14515	FSS	BRISBANE CNTR		125.7   M							200009
AS15072	A/D	APP/DEP		124.35  M	124.7   M	125.6   M					200105
AS15072	ATIS	ATIS		113.2   M	125.5   M						199905
AS15072	CLD	CLNC DEL		118.6   M							199905
AS15072	FSS	RADAR		125.7   M							200412
AS15072	GND	GND		121.7   M							200002
AS15072	TWR	TWR		120.5   M							199905
AS15168	CTAF	CTAF		126.0   M							200512
AS15168	FSS	BRISBANE CNTR		122.2   M							200009
AS15239	CTAF	CTAF		126.2   M							200512
AS15239	RDR	MELBOURNE RADAR		135.7   M							199906
AS16530	CTAF	CTAF		126.7   M							199905
AS16530	FSS	MELBOURNE CNTR		135.25  M							200009
AS16926	APP	APP		125.4   M	285.4   M	43.55   M	123.7   M				200011
AS16926	ATIS	ATIS		112.9   M	124.3   M	254.0   M					200103
AS16926	CTAF	CTAF		127.65  M						Outside twr hrs.	200512
AS16926	FSS	BRISBANE CNTR		121.2   M						Outside app/twr  hrs	200101
AS16926	GND	GND		121.9   M							200004
AS16926	TWR	TWR		120.1   M	279.5   M	43.55   M					200009
AS17096	CTAF	CTAF		126.7   M							200305
AS17096	FSS	BRISBANE CNTR		121.2   M							200313
AS18167	CTAF	CTAF		126.7   M							200512
AS18167	FSS	MELBOURNE CNTR		122.1   M							200104
AS18424	CTAF	CTAF		126.7   M							199812
AS18424	FSS	BRISBANE CNTR		127.1   M							200009
AS19111	CTAF	CTAF		126.7   M							199813
AS19111	FSS	BRISBANE CNTR		124.1   M							200009
AS19700	CTAF	CTAF		126.7   M							199813
