ARPT_IDENT	COMM_TYPE	RMK_SEQ	REMARK	CYCLE_DATE
AS01976	FSS	1	(700')	200604
AS02967	FSS	1	(circuit area)	200014
AS03598	FSS	1	(on gnd)	200101
AS04258	CTAF	1	(required)	200604
AS04258	FSS	1	(on gnd)	200014
AS04349	FSS	1	(on gnd)	200009
AS05794	FSS	1	(circuit area)	200406
AS06003	FSS	1	(11000')	200204
AS07051	FSS	1	(circuit area)	200009
AS07236	CTAF	1	(required)	200604
AS07236	FSS	1	(on gnd)	200014
AS08942	CTAF	1	(required)	200604
AS09280	CTAF	1	(required)	200604
AS09280	FSS	1	(on gnd)	200105
AS09502	CTAF	1	(required)	200604
AS09502	FSS	1	(circuit area, for on gnd ctc 126.6)	200302
AS09515	CTAF	1	(required)	200604
AS09515	FSS	1	(on gnd)	200009
AS09681	FSS	1	118.6 (12,000') 119.8 (4500')	200504
AS09792	FSS	1	(circuit area)	200009
AS09831	FSS	1	(circuit area)	200101
AS09866	CTAF	1	(required)	200604
AS09866	RDO	1	(on gnd)	200009
AS09940	FSS	1	(on gnd)	200009
AS10823	FSS	1	(on gnd)	200009
AS11026	FSS	1	(circuit area)	200009
AS11710	CTAF	1	(required)	200604
AS11710	FSS	1	(on gnd)	200512
AS12234	CTAF	1	(required)	200604
AS12234	FSS	1	(on gnd)	200011
AS12386	CTAF	1	(required)	200604
AS12386	FSS	1	(on gnd)	200009
AS12739	CTAF	1	(required)	200604
AS12739	FSS	1	(on gnd)	200203
AS12764	FSS	1	(3000')	200202
AS13190	FSS	1	(3000')	200202
AS13301	FSS	1	(3500 ft)	200203
AS13470	CTAF	1	(required)	200604
AS13470	FSS	1	(on gnd)	200009
AS13597	FSS	1	(2500')	200202
AS14209	CTAF	1	(required)	200604
AS14209	FSS	1	(circuit area, outside twr hrs)	200204
AS14209	TWR	1	(118.25 SR-SS)	200202
AS14515	FSS	1	(on gnd)	200009
AS15072	A/D	1	(124.35 124.7 within 30 NM of Brisbane NW of extn Rwy 01-19 cntrln) (125.6 within 30 NM of Brisbane SE of extn rwy 01-19 cntrln).	200503
AS15168	FSS	1	(on gnd)	200013
AS15239	CTAF	1	(required)	200604
AS15239	RDR	1	(on gnd)	200009
AS16530	FSS	1	(circuit area)	200009
AS16926	CTAF	1	(required)	200604
AS16926	FSS	1	(on gnd)	200101
AS16926	GND	1	Gnd radio contact with Flightwatch may not be possible.	200202
AS17096	FSS	1	(on ground)	200313
AS18167	CTAF	1	(required)	200604
AS18167	FSS	1	(on gnd)	200302
AS18424	CTAF	1	(required)	200604
AS18424	FSS	1	(circuit area)	200009
AS19111	FSS	1	(3000').	200303
AS19700	FSS	1	(On gnd)	200012
AS19988	FSS	1	(circuit area)	200014
AS20319	FSS	1	(7000')	200202
AS20878	FSS	1	(circuit area)	200009
AS20919	CTAF	1	(required)	200604
AS20919	FSS	1	120.75 (circuit area) 119.4 (on gnd) 124.0 (altn freq)	200506
AS21460	CTAF	1	(required)	200604
AS21460	FSS	1	(on gnd)	200009
AS21736	CTAF	1	(required)	200604
AS21736	FSS	1	(on gnd)	200014
AS22891	CTAF	1	(required)	200604
AS22891	FSS	1	(on gnd)	200009
AS23021	FSS	1	(circuit area)	200009
AS23151	FSS	1	(circuit area)	200009
AS23431	FSS	1	(on gnd)	200014
AS23849	FSS	1	(4500')	200312
AS23941	FSS	1	(7000')	200202
AS24432	FSS	1	(circuit area)	200009
AS24555	FSS	1	(on gnd)	200009
AS24761	FSS	1	(4000')	200202
AS25359	CTAF	1	(required)	200604
AS25359	FSS	1	(on gnd)	200009
AS25631	FSS	1	(4500')	200202
AS26605	FSS	1	(on gnd)	200009
AS27004	FSS	1	(circuit area)	200009
AS28197	CTAF	1	(required)	200604
AS28197	FSS	1	(on gnd)	200014
AS28309	CTAF	1	(required)	200604
AS28309	FSS	1	(on gnd)	200107
AS28469	FSS	1	(on gnd)	200009
AS29442	FSS	1	(on gnd)	200009
AS29547	FSS	1	(circuit area)	200009
AS29962	ACP	1	Trans acft call RICCOM wi 80 NM of arpt for any special handling rqr after ldg.	200001
AS29962	APP	1	Provides Radar Service for Richmond CTLZ abv 1500'	200309
AS29962	CTAF	1	(required)	200604
AS29962	FSS	1	(on gnd)	200009
AS29962	SFA	1	Call AIRFORCE SYDNEY. (8974 11235 13206 Opr 2100-0900Z++) (3032 5687 8974 Opr 0900-2100Z++)	200004
AS31041	FSS	1	(circuit area)	200101
AS31554	CTAF	1	(required)	200604
AS31554	FSS	1	(500')	200604
AS31563	FSS	1	(3000')	200202
AS31707	FSS	1	(on gnd)	200009
AS31732	FSS	1	(3500')	200202
AS31983	FSS	1	(8500')	200202
AS32127	CTAF	1	(required)	200604
AS32127	FSS	1	(3500')	200202
AS32763	FSS	1	(circuit area)	200009
AS33215	FSS	1	(on gnd)	200009
AS33304	FSS	1	(on gnd)	200009
AS34122	FSS	1	(circuit area)	200009
AS35471	FSS	1	(2500')	200202
AS35689	CTAF	1	(required)	200604
AS35689	FSS	1	(120.3 circuit area) (124.3 on gnd)	200212
AS35800	CTAF	1	(required)	200604
AS35800	FSS	1	(on gnd)	200009
AS35829	FSS	1	(circuit area)	200009
AS36455	FSS	1	(circuit area)	200101
AS37481	FSS	1	(circuit area)	200009
AS37664	CTAF	1	(required)	200604
AS37664	FSS	1	(circuit area)	200204
AS38268	APP	1	For inbd acft within 45 NM for appropriate CON freq and awy clnc.	200312
AS38268	DEP	1	(129.7 Rte S, W and NW) (118.4 Rte S, W and NW outside 15 NM SY) (123.0 Rte N and E)	200008
AS38268	GND	1	(121.7 E of Rwy 16R-34L) (126.5 W of Rwy 16R-34L)	200001
AS38268	TWR	1	(120.5 Rwy 16R-34L, 07-25) (124.7 Rwy 16L-34R)	200001
AS38830	FSS	1	(circuit area)	200513
AS39123	CTAF	1	(required)	200604
AS39123	FSS	1	(on gnd)	200105
AS39166	CTAF	1	(required)	200604
AS39166	FSS	1	(on ground).	200205
AS39570	CTAF	1	(required)	200604
AS39570	FSS	1	(on gnd)	200009
AS41736	FSS	1	(circuit area)	200009
AS42217	FSS	1	(circuit area)	200009
AS42456	CTAF	1	(required)	200604
AS42456	FSS	1	(on gnd)	200101
AS42456	TWR	1	(Provides APP)	200211
AS42929	FSS	1	(on gnd)	200009
AS43020	CTAF	1	(required)	200604
AS43020	FSS	1	(on gnd)	200009
AS44093	FSS	1	(circuit area)	200009
AS44277	ATIS	1	(fone 08 9476 8755)	200307
AS44277	CTAF	1	(required)	200604
AS44277	FSS	1	(on grd, outside twr hr)	200312
AS44307	FSS	1	(circuit area)	200009
AS44603	FSS	1	(FL135)	200009
AS44667	FSS	1	(on gnd coverage on 121.2 MHz intmt, use alt freq 123.9 MHz).	200311
AS44736	FSS	1	(circuit area)	200101
AS44801	FSS	1	(on gnd)	200009
AS45562	FSS	1	(on gnd)	200009
AS45974	ATIS	1	(125.1 dur twr hrs)	200607
AS45974	CTAF	1	(required)	200604
AS45974	FSS	1	(on gnd)	200009
AS46476	FSS	1	(circuit area)	200101
AS46891	CTAF	1	(required)	200604
AS46891	FSS	1	(on gnd)	200009
AS47060	FSS	1	(3000')	200202
AS47290	CTAF	1	(required)	200604
AS47290	FSS	1	(on gnd)	200009
AS47493	FSS	1	(on gnd)	200506
AS48018	CTAF	1	(required)	200604
AS48018	FSS	1	(circuit area)	200013
AS48039	FSS	1	(circuit area)	200009
AS48128	FSS	1	(3500')	200202
AS48360	FSS	1	(on gnd)	200009
AS48380	FSS	1	(3000')	200202
AS49046	CTAF	1	(required)	200604
AS49046	FSS	1	(500')	200604
AS49268	FSS	1	(circuit area)	200101
AS49345	FSS	1	(circuit area)	200009
AS49651	A/D	1	Acft rqr to remain on APP CON freq til instr to ctc twr.	200003
AS49651	CTAF	1	(required)	200604
AS49651	FSS	1	(on gnd, outside Twr Hrs.)	200304
AS49651	OPS	1	8974 11235 13206 Opr 2100-0900Z.  3032 5687 8974 Opr 0900-2100Z	200110
AS49779	FSS	1	(9500')	200202
AS49837	ATIS	1	ATIS only dur ATS hrs, OT fone C088-393-2417.	200505
AS49837	CTAF	1	(required)	200604
AS50389	FSS	1	ARR/DEP EAST-124.1 (circuit area), ARR/DEP WEST-126.0 (4000')	200602
AS50429	FSS	1	(circuit area)	200101
AS50510	CTAF	1	(required)	200604
AS50510	FSS	1	(on gnd)	200204
AS50693	FSS	1	(circuit area)	200009
AS51598	CTAF	1	(required)	200604
AS51598	FSS	1	(on gnd)	200112
AS51716	CTAF	1	(required)	200604
AS51716	FSS	1	(on gnd)	200009
AS51890	A/D	1	(118.2 wi 36 NM SE of arpt) (123.05 wi 20-50 NM SW of arpt) (124.2 wi 36 NM NW of arpt) (128.6, 306.3 wi Edinburgh Restricted Areas)	200009
AS52621	CTAF	1	(required)	200604
AS52621	FSS	1	(2000')	200202
AS52622	CTAF	1	(required)	200604
AS52622	FSS	1	(on gnd)	200014
AS53590	CTAF	1	Required bcst 20NM inbd, mnt 20NM outbd.	200604
AS53590	FSS	1	(on gnd)	200009
AS53839	CTAF	1	(required)	200604
AS53839	FSS	1	(on gnd)	200203
AS54289	CLD	1	(118.55 Perth Dep)(132.95 Other)	200003
AS54289	OPS	1	(8974 11235 13206 Opr 2100-0900Z) (3032 5687 8974 Opr 0900-2100Z)	200003
AS55383	CTAF	1	(required)	200604
AS55549	FSS	1	(on gnd)	200009
AS55563	FSS	1	(circuit area)	200009
AS55710	CTAF	1	(required)	200604
AS55710	FSS	1	(on gnd)	200101
AS56752	FSS	1	(circuit area)	200009
AS57465	CTAF	1	(required)	200604
AS57465	FSS	1	(on gnd)	200009
AS58031	FSS	1	(on gnd)	200009
AS58386	ATIS	1	Opr 2000-1100Z++ Mon-Fri; 2000-10000Z++ Sat-Sun.	200001
AS58386	CTAF	1	(required)	200604
AS58386	FSS	1	(on gnd)	200009
AS58386	GND	1	Opr 2000-1100Z++ Mon-Fri; 2000-1000Z++ Sat-Sun.	200001
AS58386	TWR	1	Opr 2000-1100Z++ Mon-Fri; 2000-1000Z++ Sat-Sun (OT call SYDNEY trml - 135.1)	200513
AS58950	FSS	1	(on gnd)	200009
AS59282	CTAF	1	(required)	200604
AS59282	FSS	1	(on gnd)	200009
AS59355	FSS	1	(2000')	200202
AS59361	FSS	1	(7000')	200202
AS60329	FSS	1	(circuit area)	200009
AS61375	CTAF	1	(required)	200604
AS61375	FSS	1	(on grd)	200009
AS62283	FSS	1	(to 4500')	200111
AS62722	CTAF	1	(required)	200604
AS62722	FSS	1	(on gnd)	200009
AS62965	CTAF	1	(required)	200604
AS62965	FSS	1	(circuit area)	200101
AS63032	FSS	1	(on gnd)	200507
AS63151	CTAF	1	(required)	200604
AS63151	FSS	1	(on gnd)	200012
AS63679	FSS	1	(7000')	200202
AS63955	CTAF	1	(required)	200604
AS63955	FSS	1	(circuit area)(on gnd contact BRISBANE CNTR 123.9)	200105
AS64717	ATIS	1	(required)	200604
AS64717	CTAF	1	(required)	200604
AS64717	FSS	1	(on ground 129.0)(circuit area 123.0)	200112
AS65049	CTAF	1	(required)	200604
AS65049	FSS	1	If no ctc on 121.2, ctc Brisbane Center 134.3.	200201
AS66054	FSS	1	(circuit area)	200009
AS66500	CTAF	1	(required)	200604
AS66500	FSS	1	(on gnd)	200009
AS66613	CTAF	1	(required)	200604
AS66613	FSS	1	(on gnd)	200112
AS67729	FSS	1	(3000')	200202
AS67749	FSS	1	(3000')	200303
AS69721	FSS	1	(circuit area)	200009
AS69801	FSS	1	(circuit area)	200009
AS70425	FSS	1	(circuit area)	200009
AS71301	CTAF	1	(required)	200604
AS71301	FSS	1	(on gnd)	200208
AS71795	FSS	1	(on gnd)	200009
AS74021	FSS	1	(circuit area)	200009
AS74211	CTAF	1	(required)	200604
AS74211	FSS	1	(circuit area)	200513
AS74334	FSS	1	(6500 ft)	200009
AS74678	FSS	1	(2500 ft)	200205
AS75000	CTAF	1	(required)	200604
AS75000	FSS	1	(on gnd)	200009
AS75283	FSS	1	(2000 ')	200312
AS75381	FSS	1	(on gnd)	200009
AS75935	FSS	1	(3500') (on ground 120.95)	200607
AS76453	FSS	1	(16500')	200203
AS77947	CTAF	1	(required)	200604
AS77947	FSS	1	(3500')	200202
AS78207	FSS	1	(circuit area)	200009
AS79262	CTAF	1	(required)	200604
AS79262	FSS	1	(on gnd)	200009
AS79367	CTAF	1	(required)	200604
AS79367	FSS	1	(on gnd)	200009
AS79403	FSS	1	(16,000')	200202
AS79711	FSS	1	(on gnd)	200009
AS80814	FSS	1	(6000')	200202
AS81905	FSS	1	(6000')	200203
AS82144	FSS	1	(circuit area)	200110
AS82556	ATIS	1	Also provides info for Hobart Cambridge Arpt tfc dur Twr hrs.	200112
AS82556	CTAF	1	(required)	200604
AS82556	FSS	1	(on gnd)	200009
AS82556	TWR	1	TWR opr hrs by NOTAM. Also provides info for Hobart Cambridge Arpt dur Twr hrs.	200112
AS82557	TWR	1	Opr 2015-1200Z++ Mon-Fri; 2100-1200Z++ Sat; 2200-1200Z++ Sun; Outside Twr hrs ATIS will broadcast info regarding svc avbl fr Melbourne APP.	200009
AS82612	FSS	1	(circuit area)	200009
AS83442	CTAF	1	(required)	200604
AS83442	FSS	1	(circuit area)	200014
AS83910	FSS	1	(circuit area)	200009
AS84044	FSS	1	(3500')	200202
AS84399	FSS	1	(on gnd)	200009
AS85241	FSS	1	(circuit area)	200009
AS86484	FSS	1	(circuit area)	200009
AS86625	FSS	1	(on gnd)	200009
AS86864	APP	1	Pearce Approach.	200304
AS86864	ATIS	1	(316.1 dur Twr hrs, OT fone 08 9571 7453)	200307
AS86864	CTAF	1	(required)	200604
AS88192	FSS	1	(circuit area)	200101
AS88731	FSS	1	(on gnd)	200009
AS89407	CTAF	1	(required)	200604
AS89407	FSS	1	(on gnd)	200009
AS89470	FSS	1	(10,500')	200202
AS89481	FSS	1	(2500')	200202
AS89710	FSS	1	(circuit area)	200012
AS90222	FSS	1	(on gnd)	200009
AS90382	FSS	1	(circuit area)	200107
AS90598	FSS	1	(circuit area)	200009
AS90640	CTAF	1	(required)	200604
AS90640	FSS	1	(on gnd)	200101
AS91410	FSS	1	(circuit area)	200009
AS91631	CTAF	1	(required)	200604
AS91631	FSS	1	(on gnd)	200111
AS92453	FSS	1	(circuit area)	200101
AS92507	FSS	1	(on gnd)	200204
AS92640	FSS	1	(circuit area)	200507
AS92640	TWR	1	(372T Voice trans only to acft with com failure.)	200001
AS92800	FSS	1	(3000')	200202
AS92844	FSS	1	(circuit area)	200009
AS92969	CTAF	1	(required)	200604
AS92969	FSS	1	(4000')	200512
AS93211	FSS	1	(circuit area)	200009
AS93985	FSS	1	(Circuit Area)	200009
AS94590	CTAF	1	(required)	200604
AS94590	FSS	1	(on gnd)	200009
AS95215	FSS	1	(3000')	200202
AS96104	FSS	1	(on gnd)	200009
AS96507	CTAF	1	(required)	200604
AS96507	FSS	1	(on gnd)	200101
AS96953	FSS	1	120.75 (5000'), 124.0 (Altn freq S Tambo-MCO)	200507
AS97513	FSS	1	(circuit area)	200009
AS98022	FSS	1	(6500'; on gnd avbl 132.0)	200311
AS98392	CTAF	1	(required)	200604
AS98392	FSS	1	(on gnd)	200009
AS98836	APP	1	124.5 within 30 NM E of Rwy  17-35; 125.9 within 30 NM W of Rwy 17-35 (on gnd)	200512
AS98836	CTAF	1	(required)	200604
AS98836	FSS	1	(on gnd)	200014
AS98970	CTAF	1	(required)	200604
AS98970	FSS	1	(on gnd)	200208
AS99699	FSS	1	(on gnd)	200009
AS99702	FSS	1	(2000 ft)	200013
AS99706	FSS	1	(3500')	200202
AS99715	FSS	1	(on gnd)	200102
AS99716	FSS	1	(11,000')	200202
AS99721	CTAF	1	(Nstd wi 5 NM Oenpelli-Jabiru area to 3000')	200204
AS99721	FSS	1	(circuit area)	200102
AS99731	CTAF	1	Nstd wi Oenpelli-Jabiru area to 3000'.	200204
AS99731	FSS	1	(on gnd)	200101
AS99733	FSS	1	(circuit area)	200604
AS99735	FSS	1	(circuit area)	200102
AS99736	FSS	1	(circuit area)	200102
AS99754	FSS	1	(on gnd)	200101
AS99776	FSS	1	(4000 ft)	200102
AS99777	FSS	1	(on gnd)	200009
AS99778	FSS	1	(on gnd)	200009
AS99793	CTAF	1	(required)	200604
AS99793	FSS	1	(22,000')	200303
AS99859	FSS	1	(circuit area)	200303
AS99860	CTAF	1	(required)	200604
AS99860	FSS	1	(Circuit area)	200505
AS99862	FSS	1	(circuit area)	200204
AS99865	FSS	1	(circuit area)	200112
AS99873	CTAF	1	(required)	200604
AS99873	FSS	1	(On gnd.)	200302
AS99880	FSS	1	(20,000 ft)	200009
AS99882	FSS	1	(on gnd)	200009
AS99885	FSS	1	(circuit area)	200203
AS99890	FSS	1	(10,000') VHF coverage in circuit area on 127.1	200202
AS99891	FSS	1	(circuit area)	200009
AS99903	FSS	1	(circuit area)	200009
AS99905	FSS	1	(2000')	200202
AS99915	FSS	1	(on gnd)	200009
AS99918	FSS	1	(on gnd)	200009
AS99920	FSS	1	(circuit area)	200204
AS99923	FSS	1	(on gnd)	200111
AS99925	CTAF	1	(required)	200604
AS99925	FSS	1	(on gnd)	200009
AS99928	FSS	1	(circuit area)	200012
AS99929	FSS	1	(circuit area)	200608
AS99931	FSS	1	(125.8 on gnd) 125.8 to West, 126.8 to East.	200009
AS99933	FSS	1	(circuit area)	200009
AS99934	FSS	1	(circuit area)	200009
AS99936	FSS	1	(on gnd)	200009
AS99946	CTAF	1	(required)	200604
AS99946	FSS	1	(on gnd)	200206
AS99947	FSS	1	(circuit area)	200009
AY00001	CNTR	1	(9032 11256 57275 SSB) Grd freqs cont mnt during opr season, nml 1 Oct to 25 Febannually.	200511
AY00001	EMR	1	(2182 As rqr)(4123 USAP)	200010
AY00002	CNTR	1	(9032 11256 5726 SSB) Grd freq cont mnt dur opr season, nml 1 Oct to 25 Feb annually.	200511
AY00002	EMR	1	(2182 As rqr) (4123 USAP).	200511
AY06435	CNTR	1	(9032 11256 5726 SSB) Grd freq cont mnt dur opr season, nml 1 Oct to 25 Feb annually.	200511
AY06435	MISC	1	(2182 As rqr.) (4123 USAP).	199812
AY06454	CNTR	1	(9032 11256 5726 SSB), ALTN(4770 7995 11553 SSB) (4718x 13251x SSB) (6835x AM voice) Grd freq cont dur opr season, nml 15 Oct to 25 Feb annually.	200511
AY06454	MISC	1	(2182 As rqr) (4123 USAP).	200002
BE46743	PTD	1	(Call OPS dispatch 20 min prior to arr)	200007
BE68546	APP	1	(119.7 UNICOM)	200208
BF11330	RDO	1	(RCO)	200013
BF14403	RDO	1	(RCO)	200013
BF19757	RDO	1	(RCO)	200013
BF37729	RDO	1	(RCO)	200013
BF54714	RDO	1	(RCO)	200013
BF82945	RDO	1	(RCO)	200202
BF88806	RDO	1	(RCO)	200013
BF90556	RDO	1	(RCO)	200202
BR01201	AFIS	1	Opr 1200-1500Z++,1800-2000Z++ Mon-Fri; 1200-1500Z++ Sat; 1800-2000Z++ Sun.	200305
BR10966	TWR	1	(122.8 Mil) (118.35 Civ)	200002
BR18413	APP	1	(2100-0900Z++ Non-radar APP)	200014
BR19854	TWR	1	(125.9 Mil) (122.8 Civ)	199912
BR34450	TWR	1	(122.8 Mil)	200005
BR59315	TWR	1	(122.8 Mil)	200311
BR89546	AFIS	1	Opr 0900-1230Z++, 1600-1900Z++, 2100-2400Z++ Mon-Fri; 0900-1230Z++ Sat; 2000-2400Z++ Sun.	200204
BR89625	AFIS	1	Opr 1000-2400Z++ Mon, Wed, Fri; 0001-0100Z++, 1000-2300Z++ Tue, Sat; 0001-0300Z++, 0000-0300Z++ Thu; 1000-2300Z++ Sun.	200411
BR90057	TWR	1	(118.7 Rwy 12-30, 16L-34R) (122.8 Rwy 16R-34L)	200003
BX69010	APP	1	MP Mon 0600-0830Z.	200013
CA00181	MISC	1	C780-842-1363 ext 1610 or DSN 319-530-1610.	200014
CA00338	ATIS	1	Key mic 4 times.	200009
CA00704	APP	1	(APP/DEP svc)	200404
CA00726	TWR	1	(emerg only 780-458-5828)	200006
CA00727	RDO	1	(Ctc Sqn Ops C613-687-5511 extn 7880.)	200006
CA00777	DEP	1	(APP DEP svc).	200310
CA00786	A/D	1	(APP DEP svc)	200302
CA00827	RDO	1	(RCO) No Control Tower-Broadcast intentions on 126.7 within 15 minutes of ETA and prior to descent, then on MF 5 minutes prior to commencing approach.	200304
CA01437	RCO	1	(RCO)	200006
CA01437	UNIC	1	UNICOM Ops ltd hrs, for ops hrs ctc Sept iles FSS. ot corridor tfc 123.5 aprx 30nm wide along shore up to and including 12,500 ft MSL, see Section C Quebec.	199805
CA01893	APP	1	(Opr svc only C250-339-8115)	200111
CA02017	RCO	1	Dial up Remote Communications Outlet.(DRCO - Key mike 4 times).(KAMLOOPS FSS)	200507
CA02181	RCO	1	(KAMLOOPS FSS)	200507
CA02280	RCO	1	(North Bay RCO). Freq's 122.2 is also used for direction finding.	200009
CA02280	RDO	1	Emerg only C867-645-2672	200311
CA02443	CNTR	1	(APP/DEP svc)	200404
CA02443	RCO	1	(RCO)	200402
CA02443	RDO	1	Emerg only C705-264-6009.	200108
CA03080	ATIS	1	Rstd are broadcast on ATIS.	200007
CA03080	CLD	1	All dep acft ctc.	200207
CA03080	RCO	1	(RCO)	200603
CA03080	TWR	1	Emerg only C604-775-9531.	200207
CA03220	CNTR	1	(APP DEP svc)	200302
CA03220	RCO	1	(RCO)	200603
CA03220	RDO	1	Emerg only C250-365-3013.	200509
CA03487	CNTR	1	(ARR/DEP svc)	200404
CA03487	RCO	1	(RCO)	200404
CA05100	CNTR	1	(APP/DEP svc)	200404
CA06451	A/D	1	(RCO)(APP DEP svc)	200208
CA07663	CNTR	1	(APP/DEP svc)	200404
CA08025	RCO	1	(RCO)	200006
CA08248	RCO	1	(GCO.Key 4 times)	200208
CA08319	FSS	1	Emerg only C204-675-2524	200202
CA08319	INFO	1	SELCAL (selective calling system) freq.  2971 4675 8891	200104
CA09511	A/D	1	(358.1 APP) (363.8 DEP)	200208
CA10821	A/G	1	(Wo gnd stn)	200006
CA10821	CNTR	1	(APP DEP svc)	200401
CA10821	FSS	1	(RCO)(Key mike 4 times)	200006
CA10821	RCO	1	(GCO. Key mike 4 times).	200403
CA11028	RCO	1	(RCO)(ARR DEP CON svc)	200006
CA11074	A/D	1	(APP/DEP svc)	200404
CA11074	ATIS	1	C418-871-6893.	200207
CA11074	CNTR	1	(APP/DEP svc)	200404
CA11074	TWR	1	Emerg only 418-871-7691.	200208
CA11098	RCO	1	(GCO. Key 4 times within 4 secs)	200209
CA11129	A/D	1	(135.15 247.0 APP) (124.275 252.5 DEP)	200307
CA11657	TWR	1	(Emerg only C306-359-5013)	200008
CA12896	CNTR	1	(APP/DEP svc)	200404
CA13372	CNTR	1	(APP/DEP svc)	200404
CA13372	RDO	1	(126.7 GCO. Key 4 times.)	200303
CA13598	CNTR	1	(APP/DEP svc)	200404
CA13598	RDO	1	(RCO)	200005
CA14309	FSS	1	(Emerg only C780-624-5142)	200102
CA14665	ATIS	1	Phone 604-465-0351.	199910
CA14665	TWR	1	(emerg only 604-465-9723)	200006
CA14820	A/G	1	(RDO)	200007
CA14820	RDO	1	Emerg only C403-317-4540	200102
CA15255	A/D	1	(APP/DEP svc)	200404
CA16902	CNTR	1	(APP/DEP svc)	200404
CA16902	RDO	1	Emerg only C506-646-7225.	200209
CA16946	CNTR	1	(APP/DEP svc)	200404
CA17310	CNTR	1	(RCAG at the afld)	200006
CA17310	RCO	1	(123.55 GCO.Key 4 times)	200305
CA17606	UNIC	1	Unicom ltd hrs.	200502
CA17679	RCO	1	(KAMLOOPS FSS)	200507
CA17755	CNTR	1	(APP/DEP svc)	200404
CA17755	RDO	1	Emerg only C705-472-3270.	200507
CA18519	CNTR	1	(APP/DEP svc)	200404
CA18580	A/G	1	(TFC)	200207
CA18580	CLD	1	All dep acft ctc.	200207
CA18580	MISC	1	PPR 443 Squadron ramp, ctc opr C250-363-6676.	200207
CA18580	OPS	1	Call STINGER OPS.	200007
CA18580	TWR	1	Emerg only C250-665-2866.	200207
CA18663	CNTR	1	(ARR/DEP svc)	200406
CA18914	CTAF	1	0530-1330Z++	199806
CA18914	FSS	1	(Emerg only C250-245-4032)	200102
CA18914	RCO	1	(KAMLOOPS FSS)	200507
CA19362	RCO	1	(KAMLOOPS FSS)	200507
CA20376	A/D	1	(APP/DEP svc)	200404
CA20913	CNTR	1	(APP/DEP svc)	200404
CA20981	RCO	1	KEY MIKE 4 TIMES WITHIN 4 SECS. FISE	199711
CA21277	A/D	1	(APP/DEP svc)	200404
CA21968	RCO	1	MANDATORY FREQ. 5NM TO 5700' MSL.	199712
CA22068	A/D	1	(APP DEP svc)	200006
CA22068	A/G	1	(Emergency only C250-426-6312)	200604
CA22068	RDO	1	(RCO)	200603
CA22068	TWR	1	(Emergency Only C604-855-1199)	200512
CA22127	AWOS	1	C819-832-1567.	200207
CA22127	CNTR	1	(APP/DEP svc)	200404
CA22127	RCO	1	(123.25 GCO. Key 4 times).	200207
CA22227	RDO	1	Emerg only C780-875-3318	200203
CA22840	CNTR	1	(APP/DEP svc)	200404
