ARPT_IDENT	TYPE	RMK_SEQ	ICAO	REMARKS	CYCLE_DATE
AE56787	CSTMS/IMG	1	OMFJ	Avbl.	200303
AE56787	FUEL	1	OMFJ	(NC-100LL,  A1, J8)	200610
AE68809	FUEL	1	OMRK	Opr 0300-0700Z++ OT 1 hr PN (NC-A1)	200610
AE73364	MISC	1	OMAS	FBO is Abu Dhabi Marine Operating Co. Fone C(02)606 0000.	200610
AE80711	FUEL	1	OMAL	(NC-100LL, A1+)	200211
AE97915	OPR HOURS	1	OMAJ	Opr SR-SS.	199907
AF28606	CAUTION	1	OAHR	Frng rng lctd N34 12.90' E62 14.51'.	200608
AF28606	RSTD	1	OAHR	Ovft of mil camp and N of twr is proh.	200605
AF39176	CAUTION	1	OAMS	The first and last 1968' of rwy unuse. Ldg perm for med cat acft only.	200405
AF50693	A-GEAR	1	OAIX	A-G on S end rqr 30 min PN.	200403
AF50693	CAUTION	1	OAIX	Ctl explosions and de-mining ops in vcnty of arpt, ATC will advise.  Acft opr blw FL210 may experience a loss of rdo and/or radar ctc with Bagram ATC at dist greater than 30 NM. MPN-25 (ASR/PAR) PMI Mon-Fri 1930-2130Z. Hi potential for hydr	200606
AF50693	CAUTION	2	OAIX	oplanning when rwy sfc is wet. Rwy in advanced state of decay, increased possibility of FOD. Avoid ovft 1/2 mile NE dep end Rwy 03, burn pit will cause inadvertent flare dispersal. tkof obstacle rwy 03 4900' MSL ant , 599' fr DER, 510' left	200606
AF50693	CAUTION	3	OAIX	of cntrln. Lit twr, 120' AGL, Rwy 03 apch end 1,250 ft E of cntrln. Lit twr, 120' AGL, 1,250 ' E of cntrln midfield Rwy 03/21. Poss 1/2 rwy width clsd for const, ctc App for status. Twy H btn twys B and E is 44 ft wide. Acft use inboard en	200606
AF50693	CAUTION	4	OAIX	g only to reduce FOD.	200606
AF50693	FUEL	1	OAIX	Fuel ltd to US Mil only, C-17 acft for follow-on flt only. Trans mil acfr Prior Coord Rqr.	200504
AF50693	LGT	1	OAIX	Non-std Rwy/Twy lgt. Rwy 03/21 Emerg Afld Lgt System (EALS) consisting of MIRL'sand REIL's with three settings. Ctc RAPCON on initial apch for preferential ints setting. Single setting  Lgt-Carmanah 601 solar lgt are co-located with MIRL's	200504
AF50693	LGT	2	OAIX	AND REIL's. Twy lgt are solar powered and non-std spaced.	200504
AF50693	MISC	1	OAIX	Winds are est due to FMQ-13 wind sensors being accurate to within only +/- 4KT. ATC/Wx will not include/relay wind corrections into fcst/phraseology. Therefore aircrews will inc a +/- 4KT accuracy into their decision making process for flyi	200609
AF50693	MISC	2	OAIX	ng opr. Afld Management DSN 318-231-4411. Comd Post DSN 318-231-4400. ATOC DSN 318-231-2115. All acft use taxi/position lgt dur gnd ops.	200609
AF50693	RSTD	1	OAIX	Afld is PPR for all acft. Use OAIX form @ http://ramcc.dtic.mil. TAC C-17 or AMDC-130 ctc scheduling.  Emerg safe alt within 100NM is 22,600' MSL. If BAF is under attrack, remain at/abv FL250 and/or 15NM till drct by ATC. Do not overfly W	200507
AF50693	RSTD	2	OAIX	side of arpt blw 1000' AGL. MPN-25 radar ASR/PAR INST proc auth for US CENTAF OPCON acft/AMC/Army in support of OEF, all others must get apvl from their OPCON.	200507
AF50693	TRAN ALERT	1	OAIX	No ramp svcs avbl. Deploying units bring own fire extinguishers.	200504
AF60849	CAUTION	1	OAKN	No Rot Bcn. Ngt ops are at pilots discretion UFN. Emerg lgt sys avbl only on lowsetting. Thld marker lgt split red/green. No apch lgt.  Antenna 150m left side of apch end Rwy 23 hgt 45'. Numerous frng rng and ctl explosions in vcnty of afl	200610
AF60849	CAUTION	2	OAKN	d. ATC will advise rng status and lctn. Kandahar has no ramp svcg capabilities. All inbd flt to KAF need to ensure that all rqr svcg capabilities are taken careof at the last staion with rmap svc prior to arr at Kandahar. All C-17 acft mus	200610
AF60849	CAUTION	3	OAKN	t ctc the 451st AEG/CP at DSN 318-841-1428 for any fuel req, prior to dep prev stn.	200610
AF60849	FUEL	1	OAKN	J8, MOGAS, DIESEL	200512
AF60849	MISC	1	OAKN	OPS ctl by US mil. All aircrews make ctc 30 NM out to Kandahar GCA.  ATIS Not Avbl. ALL FREQ (UNSECURE)	200504
AF60849	RSTD	1	OAKN	24 Hr. PPR for all mil, civ and coalition flt. Req PPR via RAMCC Website (http//:RAMCC.DTIC.MIL). To prevent processing delays, the Kandahar form must be filledout in its entirety. PPR will not be processed earlier than 5 days in advance.	200610
AF60849	RSTD	2	OAKN	Ctc Afld Management  at DSN 318-841-1323 or e-mail your PPR req form to (Kandahar-PPR at (KAF.AFGN.ARMY.MIL).	200610
AF87064	CAUTION	1	OAJL	Unlgtd 177 ft twr lctd aprx 1000 ft fr Rwy 31 thld, 200 ft rgt of RCL. Guide wires aprx 140 ft fr RCL. Ctc Afld Mgr DSN 318-231-8626.	200605
AF87064	OPR HOURS	1	OAJL	Opr SR-SS.	200104
AF92944	CAUTION	1	OAUZ	Exp ctl explosions dly btn SR-SS at posn N36  40.2' E68 44.8' aprx 9NM W of Konduz. Ctc Konduz INFO on 130.35 for info.	200513
AF92944	FUEL	1	OAUZ	A-1 (Tryco)	200511
AF92944	OPR HOURS	1	OAUZ	Opr HS. VFR in VMC conditions only.	200511
AF94313	CAUTION	1	OAKB	Possible wind shear on final app both rwys. Unexploded ordnance adj to all acft movement areas. FOD haz. Extv UAV flt in lcl area. New mil apn LTD wingtip passing on twy J.	200604
AF94313	FUEL	1	OAKB	A1	200512
AF94313	MISC	1	OAKB	No flt pln svc avbl, file return flt pln prior to dep. Wx avbl.	200307
AF94313	OPR HOURS	1	OAKB	Opr SR-SS.	200307
AF94313	RSTD	1	OAKB	Day VFR ops only. PPR and slot time rqr, ref FLIP AP/3. Twy Z btn twy F and E for mil ops only.	200604
AF94325	OPR HOURS	1	OASG	Opr HS.	199907
AF94326	OPR HOURS	1	OAMN	Opr HS.	200511
AG00060	OPR HOURS	1	DABT	Opr 0700-1500Z.	200608
AG03193	CAUTION	1	DAAE	Animals on the maneuvering areas.	199907
AG03193	FUEL	1	DAAE	(NC-A1)	200304
AG03193	OPR HOURS	1	DAAE	Opr 0700-1500Z.	200304
AG10462	FUEL	1	DABB	(NC-100,A1)	200112
AG10462	OPR HOURS	1	DABB	Opr 0700-1500Z.	200610
AG10462	RSTD	1	DABB	NORDO proh.	199911
AG12605	CAUTION	1	DAON	Parking area slippery, skidding is possible. WIP, men and eqpt present on rwy UFN.	200312
AG12605	FUEL	1	DAON	(NC-A1)	199907
AG12605	OPR HOURS	1	DAON	Opr 0700-1500Z.	200304
AG14643	FUEL	1	DAAJ	(NC-A1)	200304
AG14643	OPR HOURS	1	DAAJ	Opr 0730-1530Z.	200304
AG14643	RSTD	1	DAAJ	180  turns proh on rwy.	199907
AG27206	FUEL	1	DAAT	(NC- A1)	200304
AG27206	MISC	1	DAAT	Ldg fees rqr.	199907
AG27206	OPR HOURS	1	DAAT	Opr 0700-1500Z.	200304
AG28442	FUEL	1	DAAP	(NC-A1)	200202
AG28442	OPR HOURS	1	DAAP	Opr 0700-1500 dly. OT PN prior to 1500.	200008
AG42199	OPR HOURS	1	DAOI	Opr 0700-1600Z Sat-Wed.	199907
AG42199	RSTD	1	DAOI	Arpt clsd to public UFN.	200202
AG42693	CAUTION	1	DAOB	WIP vcnty Rwy 09-27.	199907
AG42693	FUEL	1	DAOB	Avbl H24 (NC-A1)	199907
AG42693	OPR HOURS	1	DAOB	Opr 0700-1500Z, OT PN 1300Z to DAOBYDYD.	199907
AG42788	FUEL	1	DAUA	(NC-A1)	199907
AG42788	OPR HOURS	1	DAUA	Opr 0700-1500Z.	200304
AG53963	CAUTION	1	DAUT	Hi tension line parl to rwy.	200304
AG53963	OPR HOURS	1	DAUT	Opr 0800-1600Z.	200304
AG63302	CSTMS/IMG	1	DAUZ	CSTMS avbl.	200306
AG63302	FUEL	1	DAUZ	(NC-A1)  8 days PN  if over 528 gal.	200306
AG63302	OPR HOURS	1	DAUZ	Opr 0700-1530Z Sat-Wed.	200608
AG63302	RSTD	1	DAUZ	NORDO proh. 180  turns proh on rwy.	199907
AG64680	CAUTION	1	DAAG	Bird haz. WIP.	199907
AG64680	FUEL	1	DAAG	(NC-100LL, A1)	199907
AG64680	RSTD	1	DAAG	NORDO proh.	199907
AG68480	FUEL	1	DABC	(NC-100, A1)	199907
AG68480	OPR HOURS	1	DABC	Opr 0800-1600Z.	200304
AG70333	OPR HOURS	1	DAOV	Opr 0700-1500Z Sat-Wed.	200304
AG72115	OPR HOURS	1	DAUK	Opr 0700-1500Z Sat-Wed, OT PN rqr before 1300Z to DAUKYDYD.	200304
AG74167	CAUTION	1	DABS	Bird haz.	199907
AG74167	CSTMS/IMG	1	DABS	CSTMS avbl.	200302
AG74167	FUEL	1	DABS	(NC-A1)	199907
AG74167	OPR HOURS	1	DABS	Opr 0700-1600Z.	200304
AG76660	FUEL	1	DAUH	(NC-A1)	199912
AG76660	LGT	1	DAUH	Flg Bcn O/R to twr.	200207
AG76660	OPR HOURS	1	DAUH	Opr 0700-1500Z, clsd Thu and Fri.  For unsked flt, 24 hr PN rqr.	200304
AG76755	FUEL	1	DAUO	(NC-A1)	199907
AG76755	OPR HOURS	1	DAUO	Opr 0600-SS+30, OT 24 hr PN to DAUOYDYD.	199907
AG77314	CAUTION	1	DAOO	Bird haz.	199907
AG77314	FUEL	1	DAOO	(NC-100, A1)	199907
AG77314	OPR HOURS	1	DAOO	Opr 0700-1500Z.	200304
AG77314	RSTD	1	DAOO	NORDO proh.	199907
AG85161	FUEL	1	DAUG	(NC-100, A1)	199907
AG85161	LGT	1	DAUG	VASI Rwy 30 O/S UFN.	200202
AG85161	RSTD	1	DAUG	NORDO proh.	199907
AG86488	OPR HOURS	1	DAAD	Opr 0700-1600Z Sat-Thu, OT PN before 1400Z to DAADYDYD.	200609
AG86488	RSTD	1	DAAD	Arpt clsd to public air tfc UFN.	200303
AG87342	OPR HOURS	1	DAAV	Opr 0700-1500Z, non-sked flt PN before 1400Z prev day to DAAVYDYD.	200304
AG93130	FUEL	1	DAUI	(NC-A1)	199911
AG93130	LGT	1	DAUI	Flg bcn O/R to twr.	200207
AG93130	OPR HOURS	1	DAUI	Opr 0700-1500Z, OT PN rqr before 1600Z to DAUIYDYD.	200304
AG99976	FUEL	1	DAUE	(NC-A1)	199911
AG99976	MISC	1	DAUE	Ldg fees.	199907
AG99976	OPR HOURS	1	DAUE	Opr 0600-1800Z.	200304
AJ00001	FLUID	1	UBBG	OX	200005
AJ00001	FUEL	1	UBBG	(NC-TS1)	200602
AJ00001	OIL	1	UBBG	O-MK8	200303
AJ00013	FUEL	1	UBBN	(NC-TS1)	200602
AJ41498	CAUTION	1	UBBB	Road lgt lctd btn Rwy 34 and Rwy 36 are similar to Rwy 36 Rwy lgt.	200413
AJ41498	FUEL	1	UBBB	(NC-TS1)	200602
AL00001	CAUTION	1	LATI	Animal haz.	199907
AL00001	FUEL	1	LATI	Avbl 0500-2100Z++. OT O/R fone C44-1-202-590-558. A1 (Air BP)	200211
AL00001	RSTD	1	LATI	Rwy 18 ldg only.  Rwy 36 tkof only.	200202
AL00002	FUEL	1	LAKV	(NC-J4)	199907
AL00002	RSTD	1	LAKV	PPR.	199907
AL00003	FUEL	1	LAGJ	(NC-A1)	199907
AL00003	RSTD	1	LAGJ	PPR.	199907
AM00004	CSTMS/IMG	1	UDLS	HO	200312
AM00004	FUEL	1	UDLS	(NC TS1)	200602
AM00004	OPR HOURS	1	UDLS	Opr 0300-1300Z.	200609
AM65746	FUEL	1	UDYZ	(NC-A1)	200103
AM65746	MISC	1	UDYZ	Section of the main twy btn Twy 2 and Link A is not avail to acft types IL-76 and 86.	200004
AM65746	OIL	1	UDYZ	O-MK8	199911
AM65747	FLUID	1	UDSG	OX	200005
AM65747	FUEL	1	UDSG	(NC-TS1, T1)	200602
AM65747	OPR HOURS	1	UDSG	Opr 0200-1400Z++.	200102
AM65747	RSTD	1	UDSG	The fst 328' (100m) of Rwy 20 unuse for tkof.	200311
AO02223	FUEL	1	FNBC	(NC-80, 100LL, J)	200310
AO02223	OPR HOURS	1	FNBC	Opr SR-SS.	199907
AO07134	OPR HOURS	1	FNSO	Opr SR-SS.	199907
AO07407	OPR HOURS	1	FNME	Opr SR-SS.	199907
AO11843	OPR HOURS	1	FNUE	Opr SR-SS.	199907
AO12562	FUEL	1	FNUG	(NC-80, 100LL, B)	199907
AO12562	OPR HOURS	1	FNUG	Opr SR-SS.	199907
AO22547	FUEL	1	FNPA	(NC-100LL)	200506
AO22547	OPR HOURS	1	FNPA	Opr SR-SS.	199907
AO24458	CAUTION	1	FNCA	Two masts 82' AGL extn cntrline Rwy 19, 2 NM fr thld, not lgtd.	200008
AO24458	CSTMS/AG/IMG	1	FNCA	Avbl O/R.	199907
AO24458	FUEL	1	FNCA	(NC-80, 100LL, J)	200310
AO24458	LGT	1	FNCA	Rwy lgt O/S UFN.	199907
AO24458	OPR HOURS	1	FNCA	Opr SR-SS, OT O/R.	199907
AO37232	OPR HOURS	1	FNNG	Opr SR-SS.	199909
AO47362	OPR HOURS	1	FNMO	Opr SR-SS.	199908
AO48521	CAUTION	1	FNLU	Lgtd oil derricks on and in vcnty of arpt.	199907
AO48521	FUEL	1	FNLU	(NC-100LL,  A1)	200110
AO48521	MISC	1	FNLU	Wx.	199907
AO53493	FUEL	1	FNLB	(NC-100LL, B)	200506
AO53493	OPR HOURS	1	FNLB	Opr 0600-1700Z.	199907
AO56820	FUEL	1	FNMA	(NC-80, 100LL, J)	200310
AO56820	OPR HOURS	1	FNMA	Opr SR-SS.	200011
AO61048	FUEL	1	FNBG	(NC-100LL, J)	200409
AO61048	OPR HOURS	1	FNBG	Opr SR-SS.	199907
AO66547	CSTMS/AG/IMG	1	FNHU	Avbl O/R.	199907
AO66547	OPR HOURS	1	FNHU	Opr SR-SS.	199907
AO73912	FUEL	1	FNGI	(NC-100LL)	199907
AO73912	OPR HOURS	1	FNGI	Opr SR-SS.	199907
AO74616	FUEL	1	FNKU	Not avbl UFN. (NC-100LL, J)	200603
AO74616	LGT	1	FNKU	Rwy lgt O/S UFN.	200008
AO74616	OPR HOURS	1	FNKU	Opr SR-SS.	199907
AO76278	CSTMS/AG/IMG	1	FNUB	Avbl O/R.	199907
AO76278	FUEL	1	FNUB	Reful Sun O/R 24 hr. (NC-100LL, J)	200506
AO76278	OPR HOURS	1	FNUB	Opr SR-SS.	199907
AO99382	FUEL	1	FNSA	(NC-80, 100LL, J)	200310
AO99382	OPR HOURS	1	FNSA	Opr SR-SS and O/R.	199907
AO99419	OPR HOURS	1	FNZG	Opr SR-SS.	199908
AO99460	OPR HOURS	1	FNSU	Opr SR-SS.	200208
AQ90020	CAUTION	1	NSTU	Extremely haz. - Perm tramway cable cros Pago Pago Harbor aprx 3.5 NM NNE of arpt fr 200' on S side rising abruptly to 1609' on N side with perm lgtd twr.  Cable invisible in flt.  Olotele Mt 1617' MSL 3.0 NM W of thld Rwy 08. Rwy 05 - Hill	200610
AQ90020	CAUTION	2	NSTU	. Rwy 23 - Fence. BASH.	200610
AQ90020	FUEL	1	NSTU	A+, J8 (AirBP  C679-999-1264) (NC-100) Opr dly, All trans acft exc coml acft must make fuel arng with Pacific Resources Inc at Honolulu HI.  No fuel released otherwise.	200606
AQ90020	JASU	1	NSTU	(MA-1A) (MD-3)	200008
AQ90020	LGT	1	NSTU	Avbl SS-SR.  ACTIVATE- Rwy 5-23, 08-26 -118.3. VASI Rwy 05 GS 3.25  TCH 51'; PAPI Rwy 23 TCH 75'.	200605
AQ90020	MISC	1	NSTU	Rwy 05/23 is grooved. Ctc Auckland FIR ACC for tfc advsy. Fone 1-679-722500 Extn4531.	200610
AQ90020	RSTD	1	NSTU	Sea spray fr surf and blow holes may drift across Rwy 05-23 dur ruf sea cond.  6hr PPR for wx info for Nadi and Hickam.  24 hr PPR for Rwy 05-23 and for all flt (exc sked and AMC). Large jets PPR to land due to ltd prk. All acft exceeding	200610
AQ90020	RSTD	2	NSTU	100,000 lb GWT upon TD shall taxi to thld turnaround before proceeding to apn; other acft may make turnaround at pilot discretion	200610
AQ90020	TFC PAT	1	NSTU	Rwy 05, 08 rgt tfc.	200506
AQ90023	LGT	1	NSFQ	Papi TCH 40'. ACTIVATE-Rwy 12-30-CTAF.	200606
AQ90023	OPR HOURS	1	NSFQ	Opr 1600-0400Z	200605
AR00006	OPR HOURS	1	SA	Opr SR-SS.	200311
AR00010	OPR HOURS	1	SA	Opr SR-SS.	200311
AR00012	FUEL	1	SARS	(NC-100LL)	200513
AR00012	OPR HOURS	1	SARS	Opr SR-SS.	200311
AR00015	CAUTION	1	SAWH	Bird haz.	199907
AR00015	CSTMS/AG/IMG	1	SAWH	CSTMS Mon-Fri 1000-2200, OT O/R, IMG avbl O/R.	200209
AR00015	FUEL	1	SAWH	(NC-100LL, A1)	199908
AR00015	LGT	1	SAWH	PAPI Rwy 25 GS 3.5 . Do not use PAPI byd 5.5 NM.	200005
AR00015	OPR HOURS	1	SAWH	Opr 0900-0300Z, OT O/R.	200105
AR00020	FUEL	1	SAOS	(NC-A1) 5 days PN rqr	200513
AR00020	OPR HOURS	1	SAOS	Opr 1100-2300Z.	200513
AR00078	OPR HOURS	1	SATU	Opr 1200-1900Z Mon-Fri. OT O/R wi 2 hr PN.	200605
AR00084	OPR HOURS	1	SA	Opr SR-SS.	200311
AR00107	OPR HOURS	1	SA	Opr SR-SS.	200311
AR00217	FUEL	1	SA	(NC-80)	200005
AR00217	OPR HOURS	1	SA	Opr SR-SS.	200311
AR00267	FUEL	1	SAWC	(NC-A, A1)	200513
AR00267	OPR HOURS	1	SAWC	Opr 1100-2400Z	200513
AR01214	FUEL	1	SAZF	(NC-100LL)	200605
AR01214	LGT	1	SAZF	VASI Rwy 04 GS 3.1 . VASI Rwy 22 GS 2.9 .	200005
AR01214	OPR HOURS	1	SAZF	Opr SR-SS.	199907
AR02065	MISC	1	SAZI	PN rqr for twy lgt.	200606
AR02371	FUEL	1	SA	(NC-100LL)	199907
AR02371	OPR HOURS	1	SA	Opr SR-SS.	200311
AR02967	OPR HOURS	1	SASQ	Opr SR-SS.	200311
AR03515	CAUTION	1	SAZL	Bird haz.	199907
AR03515	FUEL	1	SAZL	(NC-100LL)	199907
AR03515	OPR HOURS	1	SAZL	Opr 1100-1700Z Mon-Fri.	200005
AR05592	OPR HOURS	1	SAHC	Opr SR-SS	200311
AR06142	FUEL	1	SAHR	(NC-A1)	199907
AR06176	CAUTION	1	SAAP	Bird haz.	199907
AR06176	FUEL	1	SAAP	(NC-100LL, A1)	199907
AR06176	OPR HOURS	1	SAAP	Opr 0800-2400Z.	200002
AR06176	RSTD	1	SAAP	Ngt opr til 2400Z with 3 hr PPR.	200506
AR06442	OPR HOURS	1	SANI	Opr SR-SS.	200311
AR08227	CAUTION	1	SASJ	Bird haz.	199907
AR08227	CSTMS/AG/IMG	1	SASJ	IMG avbl O/R.	200002
AR08227	FUEL	1	SASJ	(NC-100LL, A1)	199907
AR08227	OPR HOURS	1	SASJ	Opr 1000-2400Z.	199907
AR08227	RSTD	1	SASJ	NORDO proh.	199907
AR08294	FUEL	1	SA	(NC-100LL)	199907
AR08294	OPR HOURS	1	SA	Opr SR-SS.	200311
AR09073	CAUTION	1	SATR	Bird haz.	199907
AR09073	FUEL	1	SATR	(NC-100LL, A1)	199907
AR09073	LGT	1	SATR	VASI Rwy 10 GS 2.7 .	200511
AR09073	OPR HOURS	1	SATR	Opr 1000-2300Z.	199907
AR10608	OPR HOURS	1	SA	Opr SR-SS.	200311
AR13909	FUEL	1	SAAJ	(NC-100LL, A1)	199907
AR13909	OPR HOURS	1	SAAJ	Opr 0900-2400Z.	200610
AR14963	OPR HOURS	1	SACT	Opr SR-SS.	200002
AR15469	CAUTION	1	SAAC	Bird haz.	200605
AR15469	FUEL	1	SAAC	(NC-100LL, A1)	199907
AR15469	LGT	1	SAAC	VASI Rwy 21 GS 2.8 .	200106
AR15469	OPR HOURS	1	SAAC	Opr 1000-2400Z.	200605
AR15586	CAUTION	1	SAME	Bird haz.	199907
AR15586	CSTMS/IMG	1	SAME	CSTMS O/R	200410
AR15586	FUEL	1	SAME	(NC-100LL, A1)	199907
AR15586	JASU	1	SAME	2(MA-1A) 1(MC-2A)	199908
AR15586	RSTD	1	SAME	NORDO proh.	199907
AR16072	OPR HOURS	1	SAVY	Opr 1100-2400Z Mon-Fri; 1200-1800Z Sat; 1100-2000Z Sun.	200513
AR16941	OPR HOURS	1	SAZC	Opr SR-SS.	200311
AR17474	CAUTION	1	SAOR	Bird haz.	199907
AR17474	FUEL	1	SAOR	(NC-100LL, A1)	199907
AR17474	OPR HOURS	1	SAOR	Opr 1000-2400Z.	200005
AR17678	CAUTION	1	SAWE	Bird haz.	199907
AR17678	CSTMS/AG/IMG	1	SAWE	CSTMS avbl 0900 - 0300Z, OT O/R.	200411
AR17678	FUEL	1	SAWE	(A1)	200502
AR17678	OPR HOURS	1	SAWE	Opr 0900-0300Z,	200504
AR17678	RSTD	1	SAWE	NORDO proh.	199907
AR17815	OPR HOURS	1	SA	Opr SR-SS.	200311
AR17866	CAUTION	1	SACO	Bird haz.	199907
AR17866	CSTMS/IMG	1	SACO	CSTMS/IMG, O/R.	200411
AR17866	FUEL	1	SACO	(NC-100LL, A1)	199907
AR17866	LGT	1	SACO	VASI Rwy 36 GS 2.5 .	200106
