ARPT_IDENT	ICAO	ALT_NAME	CITY_CROSS_REF	ISL_GROUP	NOTAM	OPR_HRS	CLEAR_STATUS	UTM_GRID	TIME	DAYLIGHT_SAVE	FLIP_PUB	CYCLE_DATE
AR02065	SAZI							20HPE7297393640	UTC-3		L-18E	200106
AR02371	SA		Mendoza					19HED1180352828	UTC-3		L-17B	200313
AR02967	SASQ							20KKA3416548253	UTC-3		H-5C, L-12F	199907
AR03515	SAZL					O		21HWV2490555862	UTC-3		H-6F, L-16E-18E	200513
AR05592	SAHC							19HCU9186455093	UTC-3		L-18E	199907
AR06142	SAHR	DR ARTURO UMBERTO ILLIA						19HFS1945382244	UTC-3		H-6F, L-18E	200009
AR06176	SAAP	PARANA	Parana			O		20JQK3855679546	UTC-3		H-4F-5D-6E, L-17D	199907
AR06442	SANI							19JFJ3954697803	UTC-3		H-5D-6E, L-12E	199907
AR08227	SASJ	GOBERNADOR HORACIO GUZMAN				O		20JKU8725400677	UTC-3		H-4F,H-5D-6E, L-12F	200313
AR08294	SA							20HLJ7521430113	UTC-3		L-17C	199907
AR09073	SATR					O		21JTH3944865742	UTC-3		H-4F-5D-6E, L-12G	199907
AR10608	SA							19HCT5373383687	UTC-3		H-6F, L-18E	199907
AR13909	SAAJ					O		20HPG8989275369	UTC-3		L-17D	200508
AR14963	SACT	GOBERNADOR GORDILLO	Gobernador Gordillo			S		19JGG6016439848	UTC-3		H-4F-5D-6E, L-12F-17B	200605
AR15469	SAAC		Concordia			O		21JVF0514937060	UTC-3		H-4F-6E, L-16F-17D	200605
AR15586	SAME		Mendoza			H	AOE	19HED1938767350	UTC-3		H-5D-6F, L-17A	200107
AR16072	SAVY		Puerto Madryn			O		20GLT2793963785	UTC-3		H-6G, L-18F	200513
AR16941	SAZC	B D H E RUIZ						20HND9824755058	UTC-3		L-18E	200011
AR17474	SAOR					O		20HKH7966065779	UTC-3		H-4F,H-5D-6F, L-17B	200513
AR17678	SAWE					O		19FEA8241140489	UTC-3		H-6H, L-18G	199907
AR17815	SA							19HET2293448241	UTC-3		L-18E	199907
AR17866	SACO		Cordoba			H	AOE	20JLL8506933902	UTC-3		H-4F-5D-6E, L-17C	200004
AR18278	SAVV		Viedma			O		20GMV9996775760	UTC-3		H-6F, L-18E	200513
AR18331	SA							19HFU1801314443	UTC-3		L-18E	199907
AR18834	SANU					O		19JEF5520906915	UTC-3		H-4F,H-5D-6E, L-17B	200513
AR19562	SA							20KNA2949035517	UTC-3		L-12F	199907
AR20031	SADM		Buenos Aires					21HUB4950161624	UTC-3		T-1A	199907
AR20512	SA					S		21JXK2149112903	UTC-3		H-4F-5D-6E, L-12G	200309
AR21041	SA							20KLU2162168790	UTC-3		H-4F,H-5D-6E, L-12F	200313
AR21785	SAVT	TRELEW	Trelew			H		20GLT1558013307	UTC-3		H-6G, L-18F	200007
AR23316	SA							19GFJ1011945058	UTC-3		L-18F	199907
AR23763	SA							21JUJ0052642808	UTC-3		L-12G	199907
AR24555	SACA		Cordoba			O		20JLL8043520735	UTC-3		L-17C	200206
AR24649	SAWG	PILOTO CIVIL NORBERTO FERNANDEZ				H		19FDC7835182416	UTC-3		H-6G, L-18G	200007
AR25841	SAZM	BRIG GRAL D B DE LA COLINA				H		21HVU4961801334	UTC-3		H-6F, L-18E	200012
AR26262	SARF					O		21JUM7731000177	UTC-3		H-4F-5D-6E, L-12G	199907
AR27439	SAZB	BAHIA BLANCA	BAHIA BLANCA			H		20HNC7220913416	UTC-3		H-6F, L-18E	200605
AR28505	SAZP		Pehuajo			S		20HPF0317032686	UTC-3		L-17C-18E	199907
AR28581	SAZW					S		19HDS7706589883	UTC-3		H-6F, L-18E	200513
AR30950	SAST		Tartagal			O		20KMV1848598420	UTC-3		L-12F	200609
AR31110	SAZT					O		21HUU0237376467	UTC-3		H-6F, L-18E	200513
AR33085	SAOC					O		20HLJ8228338568	UTC-3		H-4F,H-5D-6F, L-17C	200313
AR33829	SARM					S		21JVG3842050909	UTC-3		H-4F-5D-6E, L-12G-17D	199907
AR34601	SAZO					O		21HUT4149939022	UTC-3		L-18E	200513
AR35687	SAZY	CHAPELCO	San Martin de los Andes			O		19GCR1775561687	UTC-3		H-6F, L-18E	200001
AR35895	SA	TRENQUE LAUQUEN	Trenque Lauquen					20HNF2051919190	UTC-3		L-18E	199907
AR38055	SA							20HKB7486648190	UTC-3		H-6F, L-18E	199907
AR38330	SA							19HFU0241303510	UTC-3		L-18E	199907
AR42574	SAVB					S		19GBP9008853430	UTC-3		L-18F	199907
AR44994	SA							20HQJ6084901884	UTC-3		L-16E-17D	199907
AR45202	SAWJ	CAPITAN D DANIEL VAZQUEZ				O		19FEF8704237751	UTC-3		H-6G, L-18F	200513
AR46542	SADL					N		21HVB1832929672	UTC-3		L-16E-17D, T-1A	200609
AR46954	SA							20HNH9673572632	UTC-3		L-17C	199907
AR47770	SARL					O		21JVH8528715618	UTC-3		H-4F-5D-6E, L-12G	199907
AR48120	SANL	CAPITAN VICENTE ALMANDOS ALMONACID	La Rioja			O		19JGH1391947712	UTC-3		H-4F-5D-6E, L-12F	199907
AR49061	SADP		Buenos Aires			H		21HUB5214669030	UTC-3		T-1A	200510
AR49376	SAZG					O		20HMF3139649484	UTC-3		H-6F, L-17C-18E	200513
AR49934	SA							20JPP3649533308	UTC-3		L-12F	200601
AR50642	SAZN		Neuquen			O		19HES7316188544	UTC-3		H-6F, L-18E	200007
AR51177	SASA					O		20JKT4877848707	UTC-3		H-4F-5D-6E, L-12F	200411
AR51559	SAZR					O		20HLE8588250037	UTC-3		H-6F, L-18E	200609
AR51711	SARC					O		21JUK2587562985	UTC-3		H-4F-5D-6E, L-12G	199907
AR53303	SADO		San Miguel			H		21HUB4658577315	UTC-3		T-1A	200205
AR54310	SA							19FEE0336361914	UTC-3		L-18G	199907
AR56245	SAWD					O		20GKN8227009035	UTC-3		L-18F	199907
AR56501	SAVN		San Antonio Oeste			S		20GLV2826686869	UTC-3		H-6F, L-18E	199907
AR58399	SABE		Buenos Aires			H		21HUB7013074931	UTC-3		T-1A	200012
AR60215	SADF							21HUB5397786447	UTC-3		H-4F-6F, L-16E-17D, T-1A	199907
AR60988	SADJ		Jose C. Paz			O		21HUB3582274223	UTC-3		H-4F-6F, T-1A	200601
AR61241	SA							20GLT1128910394	UTC-3		H-6G, L-18F	199907
AR62473	SA							19JGK6140740795	UTC-3		H-5D-6E, L-12F	199907
AR63145	SA							21HTA4488255870	UTC-3		L-17D	199907
AR63628	SAOM							20HNJ7895683471	UTC-3		H-4F-5D-6F, L-17C	199907
AR64070	SAVH							19GEJ0374946722	UTC-3		L-18F	199907
AR64206	SAZV					O		21HVU9740679012	UTC-3		H-6F, L-18E	199907
AR64453	SAWU					O		19FEE3014759444	UTC-3		H-6G, L-18F	200313
AR67911	SAVJ	INGENIERO JACOBACCI	Ingeniero Jacobacci					19GDQ5188825459	UTC-3		H-6F, L-18E	200605
AR69106	SAZS		Rio Negro			O		19GCQ1895742218	UTC-3		H-6F, L-18E	200208
AR70558	SANO	BRIG MAYOR JUAN FACUNDO QUIROGA						19JFH5173366200	UTC-3		H-4F-5D-6E, L-12F	200313
AR72888	SA							19HCT8347033540	UTC-3		H-6F, L-18E	199907
AR73229	SA							20JKU6959617719	UTC-3		L-12F	199907
AR73651	SAAN							20HQH1743444338	UTC-3		L-16E-17D	199907
AR73997	SAOU	BRIG MAYOR D CESAR RAUL OJEDA				O		19HGD4622315309	UTC-3		H-4F,H-5D-6F, L-17B	200313
AR75372	SARI	MAYOR D CARLOS EDUARDO KRAUSE	Iguazu			H		21JYM5346350982	UTC-3		H-4F-5D-6E, L-12G	200012
AR76772	SA							19JEF4295503470	UTC-3		H-4F,H-5D-6E, L-17A	200313
AR77408	SAAG					S		21HUD4932446418	UTC-3		L-16E-17D	200507
AR77902	SATD							21JYL4193778017	UTC-3		L-12G	200601
AR78928	SANT	SAN MIGUEL DE TUCUMAN	Tucuman			O		20JKR9083629455	UTC-3		H-4F-5D-6E, L-12F	199907
AR80200	SAEZ	EZEIZA MINISTRO PISTARINI INTL	Buenos Aires			H	AOE	21HUB5954445596	UTC-3		T-1A	200410
AR80600	SAWO					N		19FEV4470124717	UTC-3		H-6H, L-18G	200609
AR80927	SAZH							20HQC3322747879	UTC-3		L-18E	199907
AR83516	SAMR	SUBOFICIAL AY SANTIAGO GERMANO				O		19HEB5467172448	UTC-3		H-5D-6F, L-17B	199907
AR84748	SARE					H		21JTK9679462042	UTC-3		H-4F-5D-6E, L-12G	199909
AR84901	SA							19JGL9619246279	UTC-3		H-4F-5D-6E, L-12F	200601
AR85191	SANC					O		20JKP3096133989	UTC-3		H-4F-5D-6E, L-12F	199907
AR87578	SAHS							19HEU0847961790	UTC-3		L-18E	199907
AR87723	SARP	LIBERTADOR GRAL D JOSE DE SAN MARTIN				O		21JXK0177270408	UTC-3		H-4F-5D-6E, L-12G	199907
AR90202	SA		Londres					19JFK8782133699	UTC-3		H-4F H-5D-6E, L-12F	200605
AR91139	SAAR	ISLAS MALVINAS				O		20HQJ0716257223	UTC-3		H-4F-5D-6F, L-16E-17C	200411
AR93230	SAAV		Santa Fe			O		20JQK0736789441	UTC-3		H-4F-5D-6E, L-17C	200313
AR93476	SATG					O		21JTH8097478901	UTC-3		H-4F-5D-6E, L-12G	200513
AR94425	SAVE	BRIGADIER ANTONIO PARODI				O		19GCN2535247187	UTC-3		H-6G, L-18F	199907
AR94545	SAVC	GENERAL E MOSCONI				H		19GFK1927728657	UTC-3		H-6G, L-18F	199909
AR94822	SASO					O		20KLV6393038947	UTC-3		L-12F	199907
AR96413	SAMM	COMODORO D RICARDO SALOMON				O		19HDA4791472065	UTC-3		H-5D-6F, L-17A-18E	199907
AR96652	SA							20JKP9382330695	UTC-3		L-12F	199907
AR98318	SANE					O		20JLQ7090128073	UTC-3		H-4F-5D-6E, L-12F	199907
AR99022	SAHZ							19HDS0353985353	UTC-3		H-6F, L-18E	199907
AR99058	SATO							21JXK8527154771	UTC-3		H-4F-5D-6E, L-12G	200209
AR99194	SA							19JGN8669820406	UTC-3		L-12F	200512
AR99252	SAOD							20JKK9713163629	UTC-3		L-17B	200601
AR99276	SA							20JPL4261938119	UTC-3		L-17C	200604
AR99487	SA							21HUC8509316948	UTC-3		T-1A	200601
AR99703	SA							20HNJ2794286378	UTC-3		H-4F, H-5D-6F, L-17C	200604
AR99886	SAOL							20HMH6660022767	UTC-3		L-17C	200601
AS00001	YBSG							54LXM1808104212	UTC+10		14G, 15D	199907
AS00002	YPAM							55KDV5587726198	UTC+10		17C	199907
AS00003	YCNY							54KTE5822224909	UTC+10		15D	200209
AS00004	YLLE							54JWQ7990968077	UTC+10		16H	200006
AS00006	YTST							52LBK1717740776	UTC+8		15B	200311
AS00007	YMGT					U		50HLH2438443918	UTC+8		16E	200513
AS00008	YMJM					U		50HMH2085308096	UTC+8		16E	200509
AS00010	YBWG					U		51JUK0573771544	UTC+8		16F	200105
AS00011	YMMI					U		51JUJ9163124162	UTC+8		16F	200105
AS00012	YTEE							54KVA8846085432	UTC+10		15D	200409
AS00013	YTMO							54KUA8874387692	UTC+10		15D	200112
AS00014	YCUS							53HNC5911214558	UTC+9:30(+10:30DT)		16G	200206
AS00015	YLZI							55LCD3309077970	UTC+10		17D	200206
AS00016	YWIS							56KKA0955212044	UTC+10		17B	200206
AS00017	YKUB							54LXP3344069459	UTC+10	OT	14G	200406
AS00022	YMUL							50HLK9119402626	UTC+8		16E, T-2F	200205
AS00024	YPMP							54LWJ6555253013	UTC+10		15D	200205
AS00027	YLEV							53LNG8756018146	UTC+9:30	NO	14F, 15C	200505
AS00034	YWBR							52JBS5836507859	UTC+8		16F	200306
AS00039	YBRY							50KQV2255490958	UTC+8	OT	15A	200406
AS00041	YHOT							55HEU2971499806	UTC+10(+11DT)	OT	18G	200406
AS00042	YWCK							56JLP9621985791	UTC+10(+11DT)		17A	200410
AS00043	YLEG							55HDT0055938861	UTC+10(+11DT)	OT	18F	200406
AS00045	YNRV							51HTC4152056822	UTC+8(+9DT)	AS	16F	200507
AS00046	YYWG					N		55HDA1248212411	UTC+10(+11DT)	OT	18G	200603
AS00049	YMDY					H		52LHL1564573240	UTC+9:30	NN	14E,15C,T-2H	200603
AS00052	YBIR							54HXF7283014382	UTC+10(+11DT)	OT	16H	200605
AS00053	YOSB							54KVA5409358067	UTC+10		15D	200609
AS00058	YSNB							52LFN8040836757	UTC+9:30		13D,14E,T-2H	200207
AS00740	YPDN						AOE	52LGM0400826868	UTC+9:30		13D, 14E, 15C, T-2H	200409
AS01794	YTRE							56JMK5402971808	UTC+10(+11DT)		18H	199907
AS01863	YGLB							55HGB4939344607	UTC+10(+11DT)		18G	199907
AS01976	YDBI							55JFJ1897136648	UTC+10		17A	199907
AS02967	YBAM							54LXN5947889071	UTC+10		14G	199907
AS03598	YCKN							55LCC0519591663	UTC+10		17D	199907
AS04258	YMAV							55HBT7792586786	UTC+10(+11DT)	OT	16H, 18F, T-2H	200012
AS04349	YBTH							55HGD4661800177	UTC+10(+11DT)		18H	199907
AS05794	YCOE							54LYK2853177721	UTC+10		14G, 15D	199907
AS06003	YFRT							52JDL1536888010	UTC+8		16F	199907
AS07051	YARA							54HXD7622968945	UTC+10(+11DT)	OT	16H	199910
AS07236	YBAF							56JNQ0079550399	UTC+10		17A, T-2G	200210
AS08942	YCIN					O		51KWA8789755935	UTC+8		15B	200012
AS09280	YPGV							53LPG9777442984	UTC+9:30		14F	199910
AS09502	YPMQ							56JML8701322087	UTC+10(+11DT)		17A	199907
AS09515	YMTG							54HVD8108322394	UTC+9:30(+10:30DT)	OT	16H	200012
AS09681	YGTN							54KYE6743874215	UTC+10		15D	199907
AS09792	YWBL							54HXC2650660433	UTC+10(+11DT)	OT	16H	199910
AS09831	YHUG							55KBS1118895840	UTC+10		15D	199907
AS09866	YBWP							54LXL0047098227	UTC+10		14G, 15D	199907
AS09940	YBCV							55JDL2645278330	UTC+10		17B	200006
AS10286	YBCS						AOE	55KCB6741932656	UTC+10		17D	200012
AS10823	YCWR							55HFC5255653838	UTC+10(+11DT)		18H	199907
AS11026	YCCA							56JKR6302736264	UTC+10		17B	199907
AS11710	YABA							50HNG7386432942	UTC+8		16E	199907
AS12234	YHID	THURSDAY ISLAND						54LXP4112929461	UTC+10		14G	199907
AS12386	YBMA							54KUC4256014317	UTC+10		15D	199907
AS12739	YPPD						AOE	50KPC6973745874	UTC+8		15A	200112
AS12764	YBAR							55KCP2717892881	UTC+10		17B	199907
AS13190	YMIT							55JEL9335570448	UTC+10		17B	199907
AS13301	YNYN							55JEF1924609301	UTC+10(+11DT)	OT	17A, 18H	199910
AS13470	YCBG							55GEN3880258324	UTC+10(+11DT)	OT	18E	199910
AS13597	YGAY							56JLS6138166291	UTC+10		17B	199907
AS14209	YSTW							56JKL9458759108	UTC+10(+11DT)		17A	199907
AS14515	YMND							56HLJ5830980591	UTC+10(+11DT)		18H	200104
AS15072	YBBN						AOE	56JNQ1161871008	UTC+10		11A, 17A, T-2G	200112
AS15168	YGTE							53LPE5769954553	UTC+9:30		15C	199910
AS15239	YMPC							55HCT0255599325	UTC+10(+11DT)	OT	16h, 18f, T-2H	199910
AS16530	YYNG							55HFC1491208803	UTC+10(+11DT)	OT	18G	200603
AS16926	YBOK					O		56JLQ7497467363	UTC+10		17A	200409
AS17096	YDAY							56JLQ2830495181	UTC+10		17B	199907
AS18167	YCAR							49JGN6997745628	UTC+8		16E, 19A	199909
AS18424	YCNM							55JFF3134871433	UTC+10(+11DT)		17A, 18H	199907
AS19111	YMTO							56JLT0810046355	UTC+10		17B	199907
AS19700	YTNK							53KMU1437528765	UTC+9:30		15C	199907
AS19988	YSPE							56JMP0132033667	UTC+10(+11DT)		17A	199907
AS20319	YCMU							55JCJ6456498709	UTC+10		17A	199907
AS20878	YSHT							55HCV5590367279	UTC+10(+11DT)		16H, 18G	199907
AS20919	YCOM							55HFV7723580907	UTC+10(+11DT)		18G	199907
AS21460	YSWG					H		55HEB4247308528	UTC+10(+11DT)	OT	18G	200004
AS21736	YBCG							56JNP4955084478	UTC+10		17A, T-2G	199907
AS22891	YLRE							55KBQ2210605792	UTC+10		15D	199907
AS23021	YPOD							54HWC4118358790	UTC+10(+11DT)	OT	16H	199910
AS23151	YCNK							56HLJ4470671053	UTC+10(+11DT)		18H	199907
AS23431	YCAS							56JNP0652805000	UTC+10(+11DT)		17A	199907
AS23849	YTOC							55HCA7424636046	UTC+10(+11DT)	OT	16H, 18G	199910
AS23941	YCBP							53JMH7282087551	UTC+9:30(+10:30DT)		16G	200111
AS24432	YWRN							55JEE7602088842	UTC+10(+11DT)	OT	17A, 18H	199910
AS24555	YPIR							53HQD7907518229	UTC+9:30(+10:30DT)	OT	16H	200004
AS24761	YSCO							56HKK9530353384	UTC+10(+11DT)		18H	199907
AS25359	YDPO							55GDQ5220942245	UTC+10(+11DT)	OT	18E	199910
AS25631	YLHR							54LYL5020085311	UTC+10		14G, 15D	199907
AS26605	YROM							55JFL7680062735	UTC+10		17B	199907
AS27004	YCBB							55JGF1571431328	UTC+10(+11DT)		17A, 18H	199907
AS28197	YMMB							55HCT3331895167	UTC+10(+11DT)		16h, 18F, T-2H	199907
