PJA_IDENT	NAME	ICAO_REGION	STATE_PROV	OPR_TIME	HOURS	ALT	CYCLE_DATE
DA00027	SUNDBYLILLE	EK		3		UNK	200401
DA00028	TONDER	EK		3		UNK	200012
DA00029	VAMDRUP	EK		3		UNK	200012
DA00030	VARDE/TOFTNAES	EK		3		UNK	200012
DA00031	VIBORG	EK		3		UNK	200012
DA00032	VAERLOSE AB	EK		3		UNK	200012
DA00034	ARS	EK		3		UNK	200401
DA00035	GILLELEJE	EK		3		UNK	200401
DA00036	KALUNDBORG	EK		3		UNK	200403
EI00001	CLONBULLOGUE CO	EI		1		04000AMSL	200012
EI00002	FARRANFORE ARPT	EI		671		03000AMSL	200012
EI00003	LETTERKENNY ARPT	EI		1		06000AMSL	200012
EN00001	KUUSIKU	EE		0		04500AGL	200208
EN00002	AMARI	EE		0		FL130	200208
EN00003	NARVA	EE		0		FL080	200208
FI00001	RAYSKALA	EF		3		UNK	200012
FJ00001	MALOLOLAILAI	NF		14	CONT	10000AMSL	200014
FR00200	200-LILLE MARCQ EN BAROEUL	LF		679		FL110	200108
FR00201	201-LA FERTE GAUCHER	LF		679		03500AMSL	200108
FR00202	202-CHALON CHAMPFORGEUIL	LF		1		FL195	200603
FR00203	203-VITTEL AUZAINVILLIERS	LF		1679		FL045	200108
FR00205	205-GRAVELOTTE	LF		90		01700AGL	200509
FR00206	206-CERCOTTES	LF		4	CONT	FL195	200203
FR00207	207-ORLEANS BRICY	LF		4	CONT	FL195	200203
FR00208	208-FRETOY LE CHATEAU	LF		567		FL135	200603
FR00209	209-DIJON LONGVIC	LF		679		FL120	200308
FR00211	211-ROUEN VALLEE DE SEINE	LF		790		FL120	200108
FR00212	212-COLMAR SOUTH	LF		1679		FL085	200108
FR00213	213-ST ANDRE DE L EURE	LF		4	CONT	FL120	200108
FR00215	215-BESANCON LA VEZE	LF		6790		FL145	200509
FR00216	216-NANCY AZELOT	LF		6790		FL145	200603
FR00217	217-REIMS CHAMPAGNE	LF		90		FL115	200012
FR00218	219(1)-DIEUZE GUEBLANGE	LF		6790		FL105	200104
FR00219	219(2)-DIEUZE GUEBLANGE	LF		6790		FL105	200104
FR00221	221-COLMAR HOUSSEN	LF		1679		FL140	200108
FR00222	222-STRASBOURG NEUHOF	LF		6790		FL135	200509
FR00224	224-ROMILLY SUR SEINE	LF		1679		FL120	200108
FR00225	225-ETANG DU STOCK	LF		9		FL080	200308
FR00226	226-PERONNE ST QUENTIN	LF		1679		FL120	200108
FR00227	227-CALAIS DUNKERQUE	LF		679		FL110	200108
FR00228	228-CHARLEVILLE MEZIERES	LF		1679		FL150	200108
FR00232	232-VESOUL FROTEY	LF		1679		FL135	200509
FR00233	233-CHATEAU THIERRY	LF		1679		FL055	200108
FR00236	236-DIEPPE SAINT AUBIN	LF		679		FL055	200108
FR00238	238-LE HAVRE OCTEVILLE	LF		1		FL140	200108
FR00239	239-VALENCIENNES DENAIN	LF		679		FL045	200108
FR00240	240-THOUARS	LF		1679		FL095	200205
FR00242	242-DONCOURT LES CONFLANS	LF		6790		FL145	200603
FR00245	245-LAON CHAMBRY	LF		1679		FL085	200411
FR00246	246-PIACE	LF		167		FL045	200108
FR00248	248-MONTBELIARD COURCELLES	LF		679	0700-SS	FL145	200303
FR00249	249-CREIL	LF		2		FL050	200108
FR00250	250-BRAY	LF		2		01400AGL	200108
FR00251	251-CHATEAUDUN	LF		6790		FL045	200012
FR00252	252-EVREUX	LF		1679		FL085	200108
FR00253	253-CHAMBLEY BUSSIERES	LF		9	0530-2300	FL135	200012
FR00257	257-LA ROCHE SUR YON LES AJONCS	LF		1679		FL055	200203
FR00258	258-SAUMUR SAINT FLORENT	LF		1679		FL105	200203
FR00259	259-CHARTRES CHAMPHOL	LF		4	CONT	FL080	200108
FR00264	264-LENS BENIFONTAINE	LF		679	SR-SS+30	01500AMSL	200106
FR00268	268-ST FLORENTIN CHEU	LF		679	0700-SS	FL135	200509
FR00269	269-VITRY LE FRANCOIS VAUCLERC	LF		670		FL120	200012
FR00271	271-MAUBEUGE ELESMES	LF		679		FL055	200108
FR00272	272-LE BLANC	LF		1679		FL140	200108
FR00273	273-LUZILLE	LF		10		FL055	200108
FR00274	274-VANNES MEUCON	LF		4	CONT	FL075	200203
FR00275	275-ORLEANS LA SOURCE	LF		167		FL105	200012
FR00276	276-LAVAL ENTRAMMES	LF		1679		FL055	200203
FR00278	278-LIEVIN	LF		679	SR-SS+30	01500AMSL	200308
FR00301	301-LASCLAVERIES	LF		679		FL140	200308
FR00302	302-HANDIA	LF		679	SR-2200	FL115	200012
FR00304	304-BOULOC	LF		1679		FL140	200603
FR00307	307-WRIGHT	LF		4	CONT	FL195	200108
FR00308	308-OLORON	LF		3	NOTAM	FL195	200308
FR00309	309-TOUR DU CRIEU	LF		4	CONT	FL120	200108
FR00311	311-ANGOULEME BRIE CHAMPNIERS	LF		1679		FL115	200108
FR00312	312-SOUGE	LF		9		FL115	200411
FR00313	313-GUERET ST LAURENT	LF		1679		FL125	200108
FR00315	315-MONTAUBAN	LF		19		FL085	200108
FR00316	316-GER	LF		4	CONT	FL195	200108
FR00317	317-GAILLAC-L ISLE/TARN	LF		9		FL115	200201
FR00318	318-FONSORBES	LF		679	SR-0000	FL140	200108
FR00319	319-MONT LOUIS	LF		10		01300AGL	200606
FR00321	321-MIMIZAN	LF		1679		FL140	200305
FR00322	322-PROJAN	LF		9		FL115	200411
FR00323	323-LABATMALE	LF		1679		FL195	200108
FR00328	328-PALOMBIERES	LF		1679		FL190	200108
FR00329	329-LA CITADELLE DE BAYONNE	LF		0	SR-2200	FL085	200012
FR00330	330-TARBES LALOUBERE	LF		679		FL115	200108
FR00350	350-CAZAUX	LF		1679		FL130	200108
FR00351	351-MONT DE MARSAN	LF		1679		01400AGL	200108
FR00354	354-ROCHEFORT ST AGNANT	LF		1679		FL085	200108
FR00355	355-ETAP	LF		1679		FL195	200108
FR00361	361-CHARRITTE AROUE	LF		1679		FL195	200108
FR00364	364-SAINT PALAIS	LF		1679		FL190	200108
FR00366	366-ITXASSOU	LF		679	SR-2200	FL115	200108
FR00367	367-SAINTES THENAC	LF		0	0700-1500	FL125	200012
FR00370	370-BENOU	LF		1679		FL195	200108
FR00371	371-SOULAC	LF		1679		FL115	200108
FR00378	378-BERGERAC ROUMANIERE	LF		679		FL145	200504
FR00380	380-AGEN LA GARENNE	LF		1		FL140	200603
FR00381	381-MONTPEZAT D AGENAIS	LF		6790		FL040	200012
FR00382	382-CASTRES	LF		4	CONT	FL195	200108
FR00388	388-ROYAN MEDIS	LF		1679		FL165	200108
FR00391	391-CAHORS LALBENQUE	LF		1679		FL120	200302
FR00394	394-LES ESPIEMONTS CAYULS	LF		4	CONT	FL065	200311
FR00398	398-MIRAVAL CABARDES	LF		90		FL090	200012
FR00399	399-PAMIERS LES PUJOLS	LF		4	CONT	FL135	200108
FR00400	400-SALON DE PROVENCE	LF		679		FL085	200012
FR00401	401-AIX LES MILLES	LF		0		FL075	200012
FR00402	402-AVIGNON PUJAUT	LF		1679		FL135	200108
FR00403	403-LE LUC LE CANNET	LF		167		FL130	200108
FR00404	404-ARTIGNOSC SUR VERDON	LF		167		FL115	200108
FR00405	405-BASTIA BORGO	LF		4	CONT	FL195	200108
FR00406	406-GHISONACCIA ALZITONE	LF		19		FL120	200108
FR00408	408-PERPIGNAN LA SALANQUE	LF		4	CONT	FL135	200108
FR00410	410-MILLAU LARZAC	LF		1679		FL115	200603
FR00411	411-ROANNE RENAISON	LF		67	0600-2300	FL065	200012
FR00412	412-AUBENAS ARDECHE MERIDIONALE	LF		167	DAYS	FL135	200408
FR00413	413-PROPRIANO	LF		1		FL140	200213
FR00414	414-NIMES COURBESSAC	LF		567		FL115	200303
FR00415	415-TIGNES (SAVOIE)	LF		1679		FL130	200108
FR00416	416-ANNEMASSE	LF		1679		FL095	200108
FR00417	417-CHAMBERY AIX LES BAINS	LF		1679		FL140	200108
FR00418	418-LAC DU BOURGET	LF		1679		FL095	200108
FR00419	419-ST GALMIER	LF		670	DAYS	FL150	200112
FR00420	420-GRENOBLE ST GEOIRS	LF		167		FL140	200411
FR00421	421-LYON CORBAS	LF		1679		FL140	200108
FR00422	422-AMBERIEU	LF		1679		FL085	200108
FR00427	427-ANCELLE (HAUTES ALPES)	LF		1679		FL120	200108
FR00431	431-AIME LA PLAGNE (SAVOIE)	LF		1679		FL130	200108
FR00433	433-LAPALISSE PERIGNY	LF		1679		FL155	200203
FR00434	434-CALVI STE CATHERINE	LF		1679		FL145	200108
FR00435	435-ST CHRISTOL	LF		0		FL120	200012
FR00436	436-GAP TALLARD	LF		1679		FL155	200108
FR00437	437-LE PUY LOUDES	LF		167		FL160	200603
FR00438	438-PIERRELATTE	LF		1679		FL130	200404
FR00441	441-HAUTELUCE	LF		1679		FL130	200108
FR00442	442-LA TOUR	LF		0		FL090	200014
FR00500	500-BEGROLLE EN MAUGES	LF		1679		FL055	200108
FR00510	510-ARON/AEROFERME LES ECOTTAYS	LF		167		04600AMSL	200108
FR00520	520-LES SABLES D OLONNE	LF		670	0830-SS	FL135	200203
FR00540	540-GRANVILLE	LF		1679		FL155	200311
FR00600	600-DELME	LF		2	HX	FL115	200509
GM00003	AILERTCHEN	ED		679		FL100	200405
GM00005	ALBSTADT-DEGERFELD	ED		671		FL100	200404
GM00010	ALKERSLEBEN	ED		671		FL100	200404
GM00015	ALTENBURGT-NOBITZ	ED		671		FL100	200404
GM00020	ALTENSTADT	ED		671		FL100	200404
GM00030	AMPFING-WALDKRAIBURG	ED		679		04500AMSL	200404
GM00040	ASCHERSLEBEN	ED		671		FL100	200404
GM00045	AUERBACH	ED		67		FL100	200404
GM00055	BAD DITZENBACH	ED		671		FL100	200404
GM00060	BAD FRANKENHAUSEN	ED		671		FL100	200404
GM00070	BAD WORISHOFEN	ED		671		FL100	200404
GM00075	BALLENSTEDT	ED		671		FL100	200404
GM00077	BARTH	ED		671		FL100	200404
GM00080	BAUTZEN	ED		671		FL100	200404
GM00085	BIBERACH RISS	ED		67		FL100	200404
GM00087	BIELEFELD	ED		690		FL070	200404
GM00088	BIENENFARM	ED		671		FL100	200405
GM00090	BRAUNSCHWEIG	ED		671		FL100	200404
GM00095	BREITSCHEID	ED		679		FL100	200404
GM00100	BREMGARTEN	ED		671		FL100	200404
GM00105	BRUCHSAL	ED		671		FL100	200404
GM00110	BRUNSIEK-MEISSENDORF	ED		0		FL100	200404
GM00120	BURGHEIM (SCHWABEN)	ED		679		FL100	200404
GM00130	CALW-MUCKBERG	ED		671		FL100	200404
GM00135	DAHLEMER BINZ	ED		167	ENTIRE YR	FL100	200112
GM00140	DAMME	ED		1679	ENTIRE YR	FL100	200404
GM00141	DAUN-SENHELD	ED		167		FL100	200112
GM00142	DEGGENDORF	ED		167	APR-OCT	FL100	200112
GM00145	DESSAU	ED		167	ENTIRE YR	FL100	200012
GM00150	DINGOLFING	ED		167	MAR-NOV	FL100	200012
GM00152	DINKELSBUHL-SINBRONN	ED		671		FL100	200404
GM00155	DONAUWORTH-GENDERKINGEN	ED		167	ENTIRE YR	FL100	200012
GM00158	EGGENFELDEN	ED		167		FL100	200404
GM00160	EGGERSDORF-MUNCHENBERG	ED		167		FL100	200404
GM00175	FASSBERG	ED		167	ENTIRE YR	FL100	200012
GM00185	FLENSBURG-SCHAFERSHAUS	ED		670	ENTIRE YR	FL100	200012
GM00190	FREIBURG	ED		167	ENTIRE YR	FL100	200012
GM00192	FURSTENWALDE	ED		167	ENTIRE YR	FL100	200112
GM00195	FURSTENZELL	ED		167	ENTIRE YR	FL100	200012
GM00200	GANDERKESEE	ED		190		FL100	200404
GM00205	GELNHAUSEN	ED		167	MAR-NOV	FL100	200012
GM00210	GERA-LEUMNITZ	ED		1679		FL100	200404
GM00212	GIESSEN-LUTZELLINDEN	ED		167	ENTIRE YR	FL100	200112
GM00214	GRAFENAU-ELSENTHAL	ED		167	MAY-OCT	FL100	200404
GM00215	GRANSEE	ED		1679	MAR-OCT	FL100	200112
GM00217	GREFRATH-NIERSHORST	ED		167		FL100	200112
GM00220	GROSSRUCKERSWALDE	ED		167	MAR-NOV	FL100	200012
GM00223	GUNZBURG-DONAURIED	ED		167		FL100	200404
GM00227	HALLE-OPPIN	ED		167	ENTIRE YR	FL100	200112
GM00230	HARTENHOLM	ED		1679		FL100	200112
GM00235	HASSFURT	ED		167	ENTIRE YR	FL100	200012
GM00237	HERINGSDORF	ED		167	ENTIRE YR	FL100	200112
GM00245	HERRENTEICH	ED		167	ENTIRE YR	FL100	200012
GM00250	HERZOGENAURACH	ED		167	ENTIRE YR	FL100	200113
GM00260	HODENHAGEN	ED		167	ENTIRE YR	FL100	200012
GM00270	HOXTER-HOLZMINDEN	ED		190		FL100	200404
GM00280	ILLERTISSEN	ED		167	ENTIRE YR	FL100	200012
GM00290	KASSEL-CALDEN	ED		1679		FL100	200404
GM00300	KAUFBEUREN	ED		167	ENTIRE YR	FL100	200404
GM00305	KEMPTEN-DURACH	ED		167	ENTIRE YR	FL130	200112
GM00310	KIEL-HOLTENAU	ED		190		FL100	200404
GM00320	KOBLENZ-WINNINGEN	ED		167	ENTIRE YR	FL100	200012
GM00322	KUHRSTEDT-BEDERKESA	ED		1679		FL075	200404
GM00325	LACHEN-SPEYERDORF	ED		167	ENTIRE YR	FL100	200112
GM00345	LEUTKIRCH-UNTERZEIL	ED		1679		FL100	200404
GM00370	MAGDEBURG	ED		167	ENTIRE YR	FL100	200012
GM00375	MAINBULLAU	ED		1679	APR-OCT	FL100	200112
GM00377	MARL-LOEMUHLE	ED		679	0800Z-SS	FL065	200404
GM00378	MAXHOF	ED		167		FL100	200113
GM00380	MEMMINGEN	ED		167		FL100	200404
GM00385	MICHELSTADT	ED		167	APR-OCT	FL100	200112
GM00390	MUHLDORF	ED		167	ENTIRE YR	FL100	200012
GM00400	MUNSTER-TELGTE	ED		67		FL100	200405
GM00405	NEUHAUSEN	ED		167	ENTIRE YR	FL100	200012
GM00415	NEUSTADT	ED		167	ENTIRE YR	FL100	200012
GM00420	NEUSTADT-GLEWE	ED		1679	MAR-OCT	FL100	200112
GM00422	NITTENAU-BRUCK	ED		167	ENTIRE YR	FL100	200112
GM00425	NORDLINGEN	ED		167		FL100	200112
GM00450	PADERBORN-HAXTERBERG	ED		167	ENTIRE YR	FL100	200207
GM00455	PADERBORN-LIPPSTADT	ED		167	ENTIRE YR	FL100	200012
GM00457	PFARRKIRCHEN	ED		167	APR-OCT	FL100	200112
GM00460	PFULLENDORF	ED		167	MAR-OCT	FL100	200404
GM00461	PURKSHOF	ED		167		FL100	200113
GM00462	REGENSBURG	ED		167	MAR-OCT	FL100	200404
GM00464	REGENSBURG-OBERHUB	ED		167	ENTIRE YR	FL100	200404
GM00465	REINSDORF	ED		167	MAR-OCT	FL100	200112
GM00472	RERIK-ZWEEDORF	ED		167		FL100	200205
GM00475	RHEIN-HOPSTEN AND RHEIN-ESCHENDORF	ED		1679	ENTIRE YR	FL075	200404
GM00480	RIEDENHEIM-OBERSHAUSEN	ED		167	ENTIRE YR	FL100	200012
GM00485	ROITZSCHJORA	ED		167	ENTIRE YR	FL100	200012
GM00490	ROSENTHAL-FIELD	ED		167	ENTIRE YR	FL100	200012
GM00492	ROTTWEIL (SCHOMBERG-SCHORZINGEN)	ED		167	ENTIRE YR	FL100	200205
GM00493	RUPPINER LAND	ED		0		FL100	200404
GM00495	SAARLOUIS-DUREN	ED		167	ENTIRE YR	FL100	200012
GM00505	SAULGAU	ED		1679		FL100	200404
GM00510	SCHLIERSTADT-SELIGENBERG	ED		167	ENTIRE YR	FL100	200205
GM00515	SCHMALLENBERG-RENNEFELD	ED		167	ENTIRE YR	FL100	200012
GM00530	SCHWABISCH HALL-WECKRIEDEN	ED		167	ENTIRE YR	FL100	200012
GM00535	SCHWARZHEIDE-SCHIPKAU	ED		167	MAR-OCT	FL100	200012
GM00540	SCHWEIGHOFEN	ED		167	MAR-NOV	FL100	200112
GM00545	SCHWENNINGEN	ED		167	ENTIRE YR	FL100	200012
GM00550	SEEDORF	ED		1679		FL100	200404
GM00560	SENDENHORST	ED		1670	ENTIRE YR	FL100	200404
GM00565	SIEGERLAND	ED		167	ENTIRE YR	FL100	200012
GM00568	SOEST-BAD SASSENDORF	ED		167	ENTIRE YR	FL100	200205
GM00570	SOMMERDA-DERMSDORF	ED		167	ENTIRE YR	FL100	200112
GM00575	STADTLOHN-VREDEN	ED		167	ENTIRE YR	FL100	200205
GM00580	TANNHEIM	ED		167	MAR-NOV	FL100	200112
GM00585	TRIER-FOHREN	ED		167	ENTIRE YR	FL100	200012
GM00590	VARRELBUSCH	ED		167		FL100	200112
GM00600	WALLDORF	ED		167	ENTIRE YR	FL100	200112
GM00610	WERDOHL-KUNTROP	ED		167	ENTIRE YR	FL100	200112
GM00613	WESTERLAND	ED		167		FL100	200303
GM00615	WESTERSTEDE-FELDE	ED		167	ENTIRE YR	FL100	200012
GM00625	ZERBST	ED		67		FL100	200405
GM00635	ZWICKAU	ED		167	MAR-OCT	FL100	200012
GQ00001	MANGILAO DROP ZONE	PG		1		14000AMSL	200504
HK00001	SEK KONG	VH		1		03500AMSL	200014
ID00001	SERPONG	WA		1		06000AMSL	200411
IT00005	ACQUI TERME	LI		1		FL140	200512
IT00010	AGROPOLI - SSE SALERNO	LI		5		14000AMSL	200402
IT00012	ALBENGA ARPT	LI		5		FL090	200206
IT00015	ALESSANDRIA ARPT	LI		5		03000AMSL	200509
IT00017	ALPE DI SIUSI	LI		5		FL135	200501
IT00018	ALTAVILLA SILENTINA - SE SALERNO	LI		5		FL100	200403
IT00019	ALVARO LEONARDI	LI		1		08000AMSL	200512
IT00020	AMANTEA - SW COSENZA	LI		5		10000AMSL	200402
IT00023	ANGRI-NW SALERNO	LI		5	0700-SS	05000AMSL	200405
IT00025	APITZU DE PLANU NNW CAGLIARI	LI		1		FL120	200604
IT00030	AREZZO ARPT	LI		1		FL100	200606
IT00035	ARIANO IRPINO - NE AVELLINO	LI		5		FL100	200606
IT00040	ARTENA	LI		5		06000AMSL	200403
IT00048	AVELLINO TOWN	LI		5		FL115	200606
IT00050	AVIANO	LI		4		15400AMSL	200012
IT00070	BARIANO MISSAGLIA	LI		5		02000AMSL	200012
IT00075	BELLAGIO - N COMO	LI		1		FL080	200606
IT00080	BELLUNO ARPT	LI		5		10000AMSL	200512
IT00085	BELVEDERE MARITTIMA-NW COSENZA	LI		5		10000AMSL	200403
IT00100	BOLZANO ARPT	LI		5		FL140	200606
IT00105	BOSCOMANTICO ARPT	LI		5		FL145	200601
IT00110	BRESSO ARPT	LI		1		FL080	200512
IT00113	BRUNICO	LI		5		FL135	200501
IT00115	BUONFORNELLO-SE PALERMO	LI		5		FL085	200403
IT00117	CAIOLO	LI		1		FL130	200606
IT00118	CALOLZIOCORTE - S LECCO	LI		5		06000AMSL	200509
IT00119	CALVELLO	LI		5		FL120	200606
IT00120	CALVI-SE BENEVENTO	LI		5		FL140	200601
IT00128	CAMPOCHIARO	LI		5		FL100	200403
IT00129	CAMPOCHIARO LANDSTRIP	LI		1		FL100	200501
IT00130	CAMPOFORMIDO ARPT	LI		1		FL150	200606
IT00135	CAPACCIO - SSE SALERNO	LI		5		FL155	200606
IT00140	CARPI BUDRIONE ARPT	LI		1		FL120	200012
IT00153	CASAL VELINO	LI		5		FL155	200606
IT00155	CASALE MONFERRATO ARPT	LI		1		FL130	200403
IT00160	CASERMA EDERLE VICENZA	LI		5		05000AMSL	200512
IT00162	CASERTA TOWN	LI		5		05000AMSL	200606
IT00165	CASTELLETTO STURA	LI		5		12000AMSL	200601
IT00170	CASTIADAS-E CAGLIARI	LI		1		FL155	200601
IT00171	CATANIA ARPT	LI		1		06500AMSL	200606
IT00178	CHIAMPO	LI		1		04000AMSL	200402
IT00181	CORIGLIANO CALABRO MARINA-NE COSENZA	LI		5		FL140	200606
IT00185	CORVARA - E BOLZANO	LI		1		FL135	200509
IT00188	COSENZA TOWN	LI		5		FL100	200403
IT00190	COSTERMANO - NW VERONA	LI		1		FL100	200012
IT00210	CREMONA MIGLIARO ARPT	LI		1		FL150	200512
IT00220	CROTONE ARPT	LI		1		FL090	200512
IT00230	CUMIANA	LI		1		FL150	200512
IT00240	CUNEO LEVALDIGI ARPT	LI		5		FL130	200512
IT00245	DECIMOPUTZU - NW CAGLIARI	LI		5		FL135	200403
IT00247	DIAMANTE	LI		5		FL140	200606
IT00250	DRAGONCELLO - SE MANTOVA	LI		5		FL100	200303
IT00260	FANO ARPT	LI		1		FL150	200410
IT00267	FERMO S MARCO - N ASCOLI PICENO	LI		10		FL150	200606
IT00270	FERRARA ARPT	LI		1		07000AMSL	200512
IT00275	FORCOLI	LI		5		FL085	200606
IT00280	GALLIANO DI MUGELLO-NE FIRENZE	LI		1		FL140	200512
IT00290	GARZIGLIANA-SW TORINO	LI		1		FL150	200606
IT00300	GAUDIANO DI LAVELLO-SE FOGGIA	LI		1		FL105	200403
IT00320	GORIZIA ARPT	LI		1		FL140	200403
IT00330	GROTTAGLIE ARPT	LI		1		FL095	200512
IT00333	GRUMENTO NOVA	LI		5		FL120	200606
IT00340	GUIDONIA ARPT	LI		5		FL100	200403
IT00345	LA COMINA LANDSTRIP	LI		1		FL165	200403
IT00348	LANDSTRIP SAN MAURO - NW GORIZIA	LI		1		FL140	200404
IT00350	LA PIEGA - S LEO	LI		1		FL100	200403
IT00355	LATINA ARPT	LI		5		FL145	200606
IT00360	LECCO TOWN	LI		5		06000AMSL	200404
IT00365	LONATO	LI		1		FL155	200606
IT00405	MASSA CINQUALE ARPT	LI		5		FL100	200402
IT00410	MERCATO S SEVERINO-N SALERNO	LI		5		FL140	200606
IT00415	MODENA ARPT	LI		1		03000AMSL	200512
IT00420	MOLINELLA	LI		1		FL140	200512
