ARPT_IDENT	PROC	TRM_IDENT	SEC_NBR	SEC_ALT	ICAO	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	SEC_BEAR1	SEC_BEAR2	WPT_IDENT	WPT_CTRY	SEC_MILE1	SEC_MILE2	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	CYCLE_DATE
AF60849	3	T05-H  HI TACAN RW05	2	7000	OAKN	KAF	3	AF	1	110	200			00	25	N31302058	31.505717	E065505496	65.848600	200608
AF60849	3	T05-H  HI TACAN RW05	3	8100	OAKN	KAF	3	AF	1	200	020			00	25	N31302058	31.505717	E065505496	65.848600	200608
AF94313	2	KABUL1	1	16500	OAKB	KBL	4	AF	1	360	090			00	25	N34324420	34.545611	E069172540	69.290389	200511
AF94313	2	KABUL1	2	17500	OAKB	KBL	4	AF	1	090	180			00	25	N34324420	34.545611	E069172540	69.290389	200511
AF94313	2	KABUL1	3	16100	OAKB	KBL	4	AF	1	180	360			00	25	N34324420	34.545611	E069172540	69.290389	200511
AF94313	3	D29    VOR/DME RW29	1	16500	OAKB	KBL	4	AF	1	360	090			00	25	N34324420	34.545611	E069172540	69.290389	200506
AF94313	3	D29    VOR/DME RW29	2	17500	OAKB	KBL	4	AF	1	090	180			00	25	N34324420	34.545611	E069172540	69.290389	200506
AF94313	3	D29    VOR/DME RW29	3	16100	OAKB	KBL	4	AF	1	180	360			00	25	N34324420	34.545611	E069172540	69.290389	200506
AF94313	3	T29    TACAN RW29	1	16800	OAKB	OKB	3	AF	1	360	090			00	25	N34334771	34.563253	E069125748	69.215967	200604
AF94313	3	T29    TACAN RW29	2	17500	OAKB	OKB	3	AF	1	090	180			00	25	N34334771	34.563253	E069125748	69.215967	200604
AF94313	3	T29    TACAN RW29	3	16100	OAKB	OKB	3	AF	1	180	360			00	25	N34334771	34.563253	E069125748	69.215967	200604
AJ41498	2	RW18	1	2900	UBBB	GYD	4	AJ	1	360	105			00	25	N40282050	40.472361	E050030250	50.050694	200408
AJ41498	2	RW18	2	1700	UBBB	GYD	4	AJ	1	105	360			00	25	N40282050	40.472361	E050030250	50.050694	200408
AJ41498	2	RW34-1	1	2900	UBBB	GYD	4	AJ	1	360	105			00	25	N40282050	40.472361	E050030250	50.050694	200303
AJ41498	2	RW34-1	2	1700	UBBB	GYD	4	AJ	1	105	360			00	25	N40282050	40.472361	E050030250	50.050694	200303
AL00001	3	D18    VOR/DME RW18	1	5000	LATI	TRN	4	AL	1	070	160			00	25	N41245805	41.416125	E019430549	19.718192	200505
AL00001	3	D18    VOR/DME RW18	2	8500	LATI	TRN	4	AL	1	160	250			00	25	N41245805	41.416125	E019430549	19.718192	200505
AL00001	3	D18    VOR/DME RW18	3	8100	LATI	TRN	4	AL	1	250	340			00	25	N41245805	41.416125	E019430549	19.718192	200505
AL00001	3	D18    VOR/DME RW18	4	4500	LATI	TRN	4	AL	1	340	070			00	25	N41245805	41.416125	E019430549	19.718192	200505
AL00001	3	D36    VOR/DME RW36	1	4500	LATI	TRN	4	AL	1	340	070			00	25	N41245805	41.416125	E019430549	19.718192	200505
AL00001	3	D36    VOR/DME RW36	2	5000	LATI	TRN	4	AL	1	070	160			00	25	N41245805	41.416125	E019430549	19.718192	200505
AL00001	3	D36    VOR/DME RW36	3	8500	LATI	TRN	4	AL	1	160	250			00	25	N41245805	41.416125	E019430549	19.718192	200505
AL00001	3	D36    VOR/DME RW36	4	8100	LATI	TRN	4	AL	1	250	340			00	25	N41245805	41.416125	E019430549	19.718192	200505
AL00001	3	N18-B  CAT B NDB RW18	1	5000	LATI	TR	5	AL	1	070	160			00	25	N41274763	41.463231	E019425092	19.714144	200605
AL00001	3	N18-B  CAT B NDB RW18	2	8500	LATI	TR	5	AL	1	160	250			00	25	N41274763	41.463231	E019425092	19.714144	200605
AL00001	3	N18-B  CAT B NDB RW18	3	8100	LATI	TR	5	AL	1	250	340			00	25	N41274763	41.463231	E019425092	19.714144	200605
AL00001	3	N18-B  CAT B NDB RW18	4	4500	LATI	TR	5	AL	1	340	070			00	25	N41274763	41.463231	E019425092	19.714144	200605
AL00001	3	N18-C  CAT C NDB RW18	1	5000	LATI	TR	5	AL	1	070	160			00	25	N41274763	41.463231	E019425092	19.714144	200605
AL00001	3	N18-C  CAT C NDB RW18	2	8500	LATI	TR	5	AL	1	160	250			00	25	N41274763	41.463231	E019425092	19.714144	200605
AL00001	3	N18-C  CAT C NDB RW18	3	8100	LATI	TR	5	AL	1	250	340			00	25	N41274763	41.463231	E019425092	19.714144	200605
AL00001	3	N18-C  CAT C NDB RW18	4	4500	LATI	TR	5	AL	1	340	070			00	25	N41274763	41.463231	E019425092	19.714144	200605
AM65746	2	RW09	1	6300	UDYZ	ZVR	4	AM	1	060	120			00	25	N40084987	40.147186	E044220106	44.366961	200307
AM65746	2	RW09	2	14700	UDYZ	ZVR	4	AM	1	120	220			00	25	N40084987	40.147186	E044220106	44.366961	200307
AM65746	2	RW09	3	13000	UDYZ	ZVR	4	AM	1	220	320			00	25	N40084987	40.147186	E044220106	44.366961	200307
AM65746	2	RW09	4	18100	UDYZ	ZVR	4	AM	1	320	060			00	25	N40084987	40.147186	E044220106	44.366961	200307
AM65746	2	RW27	1	6300	UDYZ	ZVR	4	AM	1	060	120			00	25	N40084987	40.147186	E044220106	44.366961	200307
AM65746	2	RW27	2	14700	UDYZ	ZVR	4	AM	1	120	220			00	25	N40084987	40.147186	E044220106	44.366961	200307
AM65746	2	RW27	3	13000	UDYZ	ZVR	4	AM	1	220	320			00	25	N40084987	40.147186	E044220106	44.366961	200307
AM65746	2	RW27	4	18100	UDYZ	ZVR	4	AM	1	320	060			00	25	N40084987	40.147186	E044220106	44.366961	200307
AQ90020	3	EVORA  VORDME-A	1	3200	NSTU	TUT	2	AQ	1	000				00	25	S14195730	-14.332583	W170422980	-170.708278	200404
AQ90020	3	EVORB  VORDME-B	1	3200	NSTU	TUT	2	AQ	1	000				00	25	S14195730	-14.332583	W170422980	-170.708278	200105
AQ90020	3	EVORD  VOR-D	1	3200	NSTU	TUT	2	AQ	1	000				00	25	S14195730	-14.332583	W170422980	-170.708278	200113
AQ90020	3	FNDBC  NDB-C	1	3200	NSTU	LOG	5	AQ	1	000				00	25	S14211350	-14.353750	W170445620	-170.748944	200113
AQ90020	3	I05    ILS/DME RW05	1	3200	NSTU	TUT	2	AQ	1	000				00	25	S14195730	-14.332583	W170422980	-170.708278	200108
AQ90020	3	TTACA  TACAN-A	1	3200	NSTU	TUT	2	AQ	1	000				00	25	S14195730	-14.332583	W170422980	-170.708278	200404
AQ90020	3	TTACB  TACAN-B	1	3200	NSTU	TUT	2	AQ	1	000				00	25	S14195730	-14.332583	W170422980	-170.708278	200301
AR00015	2	USU5A  USU 5A RW07	1	8000	SAWH	USU	1	AR	1	000				00	25	S54501700	-54.838056	W068170300	-68.284167	200202
AR00015	2	USU5B  USU 5B RW25	1	8000	SAWH	USU	1	AR	1	000				00	25	S54501700	-54.838056	W068170300	-68.284167	200202
AR00015	3	D25    VOR/GP DME RW25	1	8000	SAWH	USU	1	AR	1	000				00	25	S54501700	-54.838056	W068170300	-68.284167	200302
AR15586	3	I36    2 VORDME/ILSDME RW36	1	20000	SAME	DOZ	4	AR	1	360	190			00	25	S32495500	-32.831944	W068472700	-68.790833	200313
AR15586	3	I36    2 VORDME/ILSDME RW36	2	6000	SAME	DOZ	4	AR	1	190	360			00	25	S32495500	-32.831944	W068472700	-68.790833	200313
AR17866	3	D18    NR 6 VORDME RW18	1	10000	SACO	CBA	4	AR	1	360	090			00	25	S31184800	-31.313333	W064121300	-64.203611	200311
AR17866	3	D18    NR 6 VORDME RW18	2	8500	SACO	CBA	4	AR	1	090	180			00	25	S31184800	-31.313333	W064121300	-64.203611	200311
AR17866	3	D18    NR 6 VORDME RW18	3	5000	SACO	CBA	4	AR	1	180	360			00	25	S31184800	-31.313333	W064121300	-64.203611	200311
AR17866	3	I18    #1 VORDME ILSDME RW18	1	10000	SACO	CBA	4	AR	1	360	090			00	25	S31184800	-31.313333	W064121300	-64.203611	200313
AR17866	3	I18    #1 VORDME ILSDME RW18	2	8500	SACO	CBA	4	AR	1	090	180			00	25	S31184800	-31.313333	W064121300	-64.203611	200313
AR17866	3	I18    #1 VORDME ILSDME RW18	3	5000	SACO	CBA	4	AR	1	180	360			00	25	S31184800	-31.313333	W064121300	-64.203611	200313
AR24649	3	D07    8 VOR/DME RW7(ARCDME)	1	3000	SAWG	GAL	4	AR	1	000				00	25	S51363955	-51.610986	W069194860	-69.330167	200313
AR24649	3	D25    NO 5 VOR/DME LI RW 25	1	3000	SAWG	GAL	4	AR	1	000				00	25	S51363955	-51.610986	W069194860	-69.330167	200313
AR25841	3	I13    VORDME ILSDME RW13 1	1	3500	SAZM	MDP	4	AR	1	360	180			00	25	S37554700	-37.929722	W057343500	-57.576389	200302
AR25841	3	I13    VORDME ILSDME RW13 1	2	3000	SAZM	MDP	4	AR	1	180	360			00	25	S37554700	-37.929722	W057343500	-57.576389	200302
AR27439	3	D16L   VORDME RW16L	1	5600	SAZB	BCA	4	AR	1	180	270			00	25	S38431200	-38.720000	W062093000	-62.158333	199906
AR27439	3	D16L   VORDME RW16L	2	3000	SAZB	BCA	4	AR	1	270	180			00	25	S38431200	-38.720000	W062093000	-62.158333	199908
AR27439	3	I16L   VORDME ILS RW16L	1	5600	SAZB	BCA	4	AR	1	180	270			00	25	S38431200	-38.720000	W062093000	-62.158333	200104
AR27439	3	I16L   VORDME ILS RW16L	2	3000	SAZB	BCA	4	AR	1	270	180			00	25	S38431200	-38.720000	W062093000	-62.158333	200104
AR27439	3	N16L   NDB LO LI RW16L	1	5600	SAZB	EPO	5	AR	1	180	270			00	25	S38440200	-38.733889	W062094600	-62.162778	199910
AR27439	3	N16L   NDB LO LI RW16L	2	3000	SAZB	EPO	5	AR	1	270	180			00	25	S38440200	-38.733889	W062094600	-62.162778	199910
AR51177	3	D02    NO 3 VOR/DME RW02	1	19000	SASA	SAL	4	AR	1	360	180			00	25	S24510816	-24.852267	W065290214	-65.483928	200503
AR51177	3	D02    NO 3 VOR/DME RW02	2	15800	SASA	SAL	4	AR	1	180	270			00	25	S24510816	-24.852267	W065290214	-65.483928	200503
AR51177	3	D02    NO 3 VOR/DME RW02	3	9700	SASA	SAL	4	AR	1	270	360			00	25	S24510816	-24.852267	W065290214	-65.483928	200503
AR51177	3	D06    N4 VORDME LO LI RW06	1	19000	SASA	SAL	4	AR	1	360	180			00	25	S24510816	-24.852267	W065290214	-65.483928	200402
AR51177	3	D06    N4 VORDME LO LI RW06	2	15800	SASA	SAL	4	AR	1	180	270			00	25	S24510816	-24.852267	W065290214	-65.483928	200402
AR51177	3	D06    N4 VORDME LO LI RW06	3	9700	SASA	SAL	4	AR	1	270	360			00	25	S24510816	-24.852267	W065290214	-65.483928	200402
AR58399	2	DORVO6 DORVO 6 RW13/31	1	3000	SABE	EZE	4	AR	1	000				00	25	S34492700	-34.824167	W058320700	-58.535278	200313
AR58399	2	KUKEN6 KUKEN 6 RW13/31	1	3000	SABE	EZE	4	AR	1	000				00	25	S34492700	-34.824167	W058320700	-58.535278	200313
AR58399	2	LAPAT6 LA PLATA 6	1	3000	SABE	EZE	4	AR	1	000				00	25	S34492700	-34.824167	W058320700	-58.535278	200313
AR58399	2	SURBO6 SURBO 6 RW13/31	1	3000	SABE	EZE	4	AR	1	000				00	25	S34492700	-34.824167	W058320700	-58.535278	200313
AR58399	3	I13    VORDME ILSDME RW13 1	1	3000	SABE	FDO	4	AR	2	000				00	25	S34270500	-34.451389	W058350300	-58.584167	200302
AR60215	3	D23    NR1 VOR/DME RW23	1	3000	SADF	FDO	4	AR	2	000				00	25	S34270500	-34.451389	W058350300	-58.584167	200505
AR69106	3	I29    NR1VORDMEILS/DME RW29	1	14000	SAZS	BAR	4	AR	1	360	090			00	25	S41082500	-41.140278	W071112000	-71.188889	200402
AR69106	3	I29    NR1VORDMEILS/DME RW29	2	9000	SAZS	BAR	4	AR	1	090	360			00	25	S41082500	-41.140278	W071112000	-71.188889	200402
AR80200	3	D11    VORDME LO LI RW11 7	1	3000	SAEZ	EZE	4	AR	1	000				00	25	S34492700	-34.824167	W058320700	-58.535278	200302
AR80200	3	D35    VORDME LO LI RW35 12	1	3000	SAEZ	EZE	4	AR	1	000				00	25	S34492700	-34.824167	W058320700	-58.535278	200302
AR80200	3	I11-1  1VOR/DME ILS/DME RW11	1	3000	SAEZ	EZE	4	AR	1	000				00	25	S34492700	-34.824167	W058320700	-58.535278	200603
AR80200	3	I11-2  2VOR/DME ILS/DME RW11	1	3000	SAEZ	EZE	4	AR	1	000				00	25	S34492700	-34.824167	W058320700	-58.535278	200603
AR91139	3	D20    NR4 VORDME (LI) RW20	1	3000	SAAR	ROS	4	AR	1	000				00	25	S32541800	-32.905000	W060465300	-60.781389	200503
AR91139	3	I20    NR1 VORDMEILSDME RW20	1	3000	SAAR	ROS	4	AR	1	000				00	25	S32541800	-32.905000	W060465300	-60.781389	200503
AS00740	3	I29    RW29 ILS	1	1600	YPDN	DN	4	AS	1	000				00	25	S12252300	-12.423056	E130542200	130.906111	200511
AS00740	3	L29    RW29 LLZ	1	1600	YPDN	DN	4	AS	1	000				00	25	S12252300	-12.423056	E130542200	130.906111	200511
AS00740	3	S11    RW11 VOR	1	1600	YPDN	DN	4	AS	1	000				00	25	S12252300	-12.423056	E130542200	130.906111	200202
AS00740	3	T11    TACAN RW11	1	1600	YPDN	DAR	3	AS	1	000				00	25	S12244944	-12.413733	E130525973	130.883258	200610
AS00740	3	T29    TACAN RW29	1	1600	YPDN	DAR	3	AS	1	000				00	25	S12244944	-12.413733	E130525973	130.883258	200610
AS04258	2	NORTH  RWS NORTH	1	3700	YMAV	AV	4	AS	1	100	210			00	25	S38025600	-38.048889	E144273200	144.458889	200608
AS04258	2	NORTH  RWS NORTH	2	2900	YMAV	AV	4	AS	1	210	100			00	25	S38025600	-38.048889	E144273200	144.458889	200608
AS04258	3	I18    RW18 ILS	1	3700	YMAV	AV	4	AS	1	100	210			00	25	S38025600	-38.048889	E144273200	144.458889	200608
AS04258	3	I18    RW18 ILS	2	2900	YMAV	AV	4	AS	1	210	100			00	25	S38025600	-38.048889	E144273200	144.458889	200608
AS04258	3	L18    RW18 LLZ	1	3700	YMAV	AV	4	AS	1	100	210			00	25	S38025600	-38.048889	E144273200	144.458889	200608
AS04258	3	L18    RW18 LLZ	2	2900	YMAV	AV	4	AS	1	210	100			00	25	S38025600	-38.048889	E144273200	144.458889	200608
AS04258	3	S18    VOR Z RW18	1	3700	YMAV	AV	4	AS	1	100	210			00	25	S38025600	-38.048889	E144273200	144.458889	200608
AS04258	3	S18    VOR Z RW18	2	2900	YMAV	AV	4	AS	1	210	100			00	25	S38025600	-38.048889	E144273200	144.458889	200608
AS04258	3	S36    RW36 VOR	1	3700	YMAV	AV	4	AS	1	100	210			00	25	S38025600	-38.048889	E144273200	144.458889	200608
AS04258	3	S36    RW36 VOR	2	2900	YMAV	AV	4	AS	1	210	100			00	25	S38025600	-38.048889	E144273200	144.458889	200608
AS08942	3	S11    RW11 VOR	1	1800	YCIN	CIN	4	AS	1	005	315			00	25	S17351900	-17.588611	E123510600	123.851667	200406
AS08942	3	S11    RW11 VOR	2	2300	YCIN	CIN	4	AS	1	315	005			00	25	S17351900	-17.588611	E123510600	123.851667	200406
AS08942	3	S29    RW29 VOR	1	1800	YCIN	CIN	4	AS	1	005	315			00	25	S17351900	-17.588611	E123510600	123.851667	200406
AS08942	3	S29    RW29 VOR	2	2300	YCIN	CIN	4	AS	1	315	005			00	25	S17351900	-17.588611	E123510600	123.851667	200406
AS10286	1	RAINY1 RAINY1(RNAV ONLY)	1	5200	YBCS	CS	4	AS	1	060	170			00	25	S16510000	-16.850000	E145443900	145.744167	200104
AS10286	1	RAINY1 RAINY1(RNAV ONLY)	2	4000	YBCS	CS	4	AS	1	170	270			00	25	S16510000	-16.850000	E145443900	145.744167	200104
AS10286	1	RAINY1 RAINY1(RNAV ONLY)	3	6500	YBCS	CS	4	AS	1	270	060			00	25	S16510000	-16.850000	E145443900	145.744167	200104
AS10286	1	SUNNY1 SUNNY1(RNAV ONLY)	1	5200	YBCS	CS	4	AS	1	060	170			00	25	S16510000	-16.850000	E145443900	145.744167	200104
AS10286	1	SUNNY1 SUNNY1(RNAV ONLY)	2	4000	YBCS	CS	4	AS	1	170	270			00	25	S16510000	-16.850000	E145443900	145.744167	200104
AS10286	1	SUNNY1 SUNNY1(RNAV ONLY)	3	6500	YBCS	CS	4	AS	1	270	060			00	25	S16510000	-16.850000	E145443900	145.744167	200104
AS10286	1	WALSI1 WALSI1(RNAV ONLY)	1	5200	YBCS	CS	4	AS	1	060	170			00	25	S16510000	-16.850000	E145443900	145.744167	200104
AS10286	1	WALSI1 WALSI1(RNAV ONLY)	2	4000	YBCS	CS	4	AS	1	170	270			00	25	S16510000	-16.850000	E145443900	145.744167	200104
AS10286	1	WALSI1 WALSI1(RNAV ONLY)	3	6500	YBCS	CS	4	AS	1	270	060			00	25	S16510000	-16.850000	E145443900	145.744167	200104
AS10286	2	SWIFT3	1	5200	YBCS	CS	4	AS	1	060	170			00	25	S16510000	-16.850000	E145443900	145.744167	200104
AS10286	2	SWIFT3	2	4000	YBCS	CS	4	AS	1	170	270			00	25	S16510000	-16.850000	E145443900	145.744167	200104
AS10286	2	SWIFT3	3	6500	YBCS	CS	4	AS	1	270	060			00	25	S16510000	-16.850000	E145443900	145.744167	200104
AS10286	3	EVOR-2 VORDME	1	5200	YBCS	CS	4	AS	1	060	170			00	25	S16510000	-16.850000	E145443900	145.744167	200405
AS10286	3	EVOR-2 VORDME	2	4000	YBCS	CS	4	AS	1	170	270			00	25	S16510000	-16.850000	E145443900	145.744167	200405
AS10286	3	EVOR-2 VORDME	3	6500	YBCS	CS	4	AS	1	270	060			00	25	S16510000	-16.850000	E145443900	145.744167	200405
AS10286	3	FNDB-2 NDB/DME	1	5200	YBCS	CS	4	AS	1	060	170			00	25	S16510000	-16.850000	E145443900	145.744167	200405
AS10286	3	FNDB-2 NDB/DME	2	4000	YBCS	CS	4	AS	1	170	270			00	25	S16510000	-16.850000	E145443900	145.744167	200405
AS10286	3	FNDB-2 NDB/DME	3	6500	YBCS	CS	4	AS	1	270	060			00	25	S16510000	-16.850000	E145443900	145.744167	200405
AS10286	3	I15    ILS RW15	1	5200	YBCS	CS	5	AS	1	060	170			00	25	S16504900	-16.846944	E145440800	145.735556	200604
AS10286	3	I15    ILS RW15	2	4000	YBCS	CS	5	AS	1	170	270			00	25	S16504900	-16.846944	E145440800	145.735556	200604
AS10286	3	I15    ILS RW15	3	6500	YBCS	CS	5	AS	1	270	060			00	25	S16504900	-16.846944	E145440800	145.735556	200604
AS10286	3	I15-D  ILS/DME RW15	1	5200	YBCS	CS	5	AS	1	060	170			00	25	S16504900	-16.846944	E145440800	145.735556	200604
AS10286	3	I15-D  ILS/DME RW15	2	4000	YBCS	CS	5	AS	1	170	270			00	25	S16504900	-16.846944	E145440800	145.735556	200604
AS10286	3	I15-D  ILS/DME RW15	3	6500	YBCS	CS	5	AS	1	270	060			00	25	S16504900	-16.846944	E145440800	145.735556	200604
AS10286	3	L15    LLZ/DME RW15	1	5200	YBCS	CS	5	AS	1	060	170			00	25	S16504900	-16.846944	E145440800	145.735556	200604
AS10286	3	L15    LLZ/DME RW15	2	4000	YBCS	CS	5	AS	1	170	270			00	25	S16504900	-16.846944	E145440800	145.735556	200604
AS10286	3	L15    LLZ/DME RW15	3	6500	YBCS	CS	5	AS	1	270	060			00	25	S16504900	-16.846944	E145440800	145.735556	200604
AS10286	3	L33    LLZ/DME RW33	1	5200	YBCS	CS	5	AS	1	060	170			00	25	S16504900	-16.846944	E145440800	145.735556	200604
AS10286	3	L33    LLZ/DME RW33	2	4000	YBCS	CS	5	AS	1	170	270			00	25	S16504900	-16.846944	E145440800	145.735556	200604
AS10286	3	L33    LLZ/DME RW33	3	6500	YBCS	CS	5	AS	1	270	060			00	25	S16504900	-16.846944	E145440800	145.735556	200604
AS12739	3	S14    RW14 VOR	1	1800	YPPD	PD	4	AS	1	000				00	25	S20224200	-20.378333	E118372200	118.622778	200408
AS12739	3	S32    RW32 VOR	1	1800	YPPD	PD	4	AS	1	000				00	25	S20224200	-20.378333	E118372200	118.622778	200501
AS15072	2	BONEY1 RW01/19 EAST(BONEY1)	1	2500	YBBN	BN	4	AS	1	175	310			00	25	S27215700	-27.365833	E153082100	153.139167	200408
