ARPT_IDENT	PROC	TRM_IDENT	APP_TYPE	ICAO	CAT_A_DH	CAT_A_RV	CAT_A_HA	CAT_A_WX_CL	CAT_A_WX_PV	CAT_B_DH	CAT_B_RV	CAT_B_HA	CAT_B_WX_CL	CAT_B_WX_PV	CAT_C_DH	CAT_C_RV	CAT_C_HA	CAT_C_WX_CL	CAT_C_WX_PV	CAT_D_DH	CAT_D_RV	CAT_D_HA	CAT_D_WX_CL	CAT_D_WX_PV	CAT_E_DH	CAT_E_RV	CAT_E_HA	CAT_E_WX_CL	CAT_E_WX_PV	MIN_RMK	CYCLE_DATE
AE19613	3	I13    VORDME/ILS RW13	CIRCLING**	OMAA	00560	-1	472	0500	1    	00580	-1	492	0500	1    	00680	-1.5	592	0600	1.5  	00780	-2.25	692	0700	2.25 	00880	-2.75	792	0800	2.75 	**CIRCLING NOT AUTHORIZED SW OF RWY 13-31.	200112
AE19613	3	I13    VORDME/ILS RW13	S-ILS 13*	OMAA	00346	-0.5	264	0300	0.5  	00346	-0.5	264	0300	0.5  	00346	-0.75	264	0300	0.75 	00346	-0.75	264	0300	0.75 	00346	-0.75	264	0300	0.75 	*WHEN ALS INOP, INCREASE VIS CAT AB 1/2MILE, CAT CDE 1/4 MILE.	200112
AE19613	3	I13    VORDME/ILS RW13	S-LOC 13*	OMAA	00420	-0.5	338	0400	0.5  	00420	-0.5	338	0400	0.5  	00420	-0.75	338	0400	0.75 	00420	-0.75	338	0400	0.75 	00420	-0.75	338	0400	0.75 	*WHEN ALS INOP, INCREASE VIS CAT ABDE 1/2 MILE, CAT C 1/4 MILE.	200112
AE19613	3	I31    VORDME/ILS RW31	CIRCLING**	OMAA	00560	-1	472	0500	1    	00580	-1	492	0500	1    	00680	-1.5	592	0600	1.5  	00780	-2.25	692	0700	2.25 	00880	-2.75	792	0800	2.75 	**CIRCLING NOT AUTHORIZED SW OF RWY 13-31.	200610
AE19613	3	I31    VORDME/ILS RW31	S-ILS 31*	OMAA	00288	-0.5	200	0200	0.5  	00288	-0.5	200	0200	0.5  	00288	-0.5	200	0200	0.5  	00288	-0.5	200	0200	0.5  	00288	-0.5	200	0200	0.5  	SEE MAIN REMARKS.	200610
AE19613	3	I31    VORDME/ILS RW31	S-LOC 31*	OMAA	00420	-0.5	332	0400	0.5  	00420	-0.5	332	0400	0.5  	00420	-0.75	332	0400	0.75 	00420	-0.75	332	0400	0.75 	00420	-0.75	332	0400	0.75 	SEE MAIN REMARKS.	200610
AE52272	3	D12L   RNAV/VORDME RW12L	CIRCLING**	OMDB	00820	-1600M	786	0800	1600M	00820	-2000M	786	0800	2000M	01100	-4800M	1066	1100	4800M	01100	-4800M	1066	1100	4800M	NA			    	     	**Circling authorized for adjacent parallel Rwy only, min vis 4600m.	200610
AE52272	3	D12L   RNAV/VORDME RW12L	S-12L*	OMDB	00700	-800M	687	0700	800M 	00700	-800M	687	0700	800M 	00700	-2400M	687	0700	2400M	00700	-2800M	687	0700	2800M	NA			    	     	*When ALS inop, increase CAT AB vis to 1600m, CAT C to 3200m, CAT D to 3600m.	200610
AE52272	3	D12R   RNAV/VORDME RW12R	CIRCLING**	OMDB	00820	-1600M	786	0800	1600M	00820	-2000M	786	0800	2000M	01100	-4800M	1066	1100	4800M	01100	-4800M	1066	1100	4800M	NA			    	     	**Circling authorized for adjacent parallel Rwy only, min vis 4600m.	200404
AE52272	3	D12R   RNAV/VORDME RW12R	S-12R*	OMDB	00700	-800M	687	0700	800M 	00700	-800M	687	0700	800M 	00700	-2400M	687	0700	2400M	00700	-2800M	687	0700	2800M	NA			    	     	*When ALS inop, increase CAT AB vis to 1600m, CAT C to 3200m, CAT D to 3600m.	200610
AE52272	3	D30L   RNAV/VORDME RW30L	CIRCLING**	OMDB	00820	-4600M	786	0800	4600M	00820	-4600M	786	0800	4600M	01100	-4800M	1066	1100	4800M	01100	-4800M	1066	1100	4800M	NA			    	     	**Circling authorized for adjacent parallel Rwy only, min vis 4600m.	200404
AE52272	3	D30L   RNAV/VORDME RW30L	S-30L*	OMDB	00600	-800M	566	0600	800M 	00600	-800M	566	0600	800M 	00600	-1600M	566	0600	1600M	00600	-2000M	566	0600	2000M	NA			    	     	*When ALS inop, increase vis CAT AB to 1600m, CAT C to 2400m, CAT D to 2800m.	200510
AE52272	3	D30R   RNAV/VORDME RW30R	CIRCLING*	OMDB	00820	-1600M	786	0800	1600M	00820	-2000M	786	0800	2000M	01100	-4800M	1066	1100	4800M	01100	-4800M	1066	1100	4800M	NA			    	     	SEE MAIN REMARKS.	200610
AE52272	3	D30R   RNAV/VORDME RW30R	S-30R	OMDB	00600	-1600M	566	0600	1600M	00600	-1600M	566	0600	1600M	00600	-2400M	566	0600	2400M	00600	-2800M	566	0600	2800M	NA			    	     		200112
AE52272	3	I30L   RNAV/ILS RW30L	CIRCLING***	OMDB	00820	-1600M	786	0800	1600M	00820	-2000M	786	0800	2000M	01100	-4800M	1066	1100	4800M	01100	-4800M	1066	1100	4800M	NA			    	     	SEE MAIN REMARKS.	200404
AE52272	3	I30L   RNAV/ILS RW30L	S-ILS 30L*	OMDB	00240	-800M	206	0300	800M 	00240	-800M	206	0300	800M 	00242	-800M	208	0300	800M 	00242	-800M	208	0300	800M 	NA			    	     	*When ALS inop, increase vis CAT AB 400M, CAT CD 800m.	200509
AE52272	3	I30L   RNAV/ILS RW30L	S-LOC 30L**	OMDB	00540	-800M	506	0600	800M 	00540	-800M	506	0600	800M 	00540	-1200M	506	0600	1200M	00540	-1600M	506	0600	1600M	NA			    	     	**When ALS inop, increase vis 800M.	200404
AE56787	3	D29AB  VORDME RW29(CATAB)	CIRCLING **	OMFJ	01160	-3200M	1008	1100	3200M	01160	-3200M	1008	1100	3200M	NA			    	     	NA			    	     	NA			    	     	**CIRCLING NOT AUTHORIZED NE OF RWY 11-29.	200509
AE56787	3	D29AB  VORDME RW29(CATAB)	S-29*	OMFJ	00640	-2400M	567	0500	2400M	00640	-2400M	567	0500	2400M	NA			    	     	NA			    	     	NA			    	     	*WHEN ALS INOP, INCREASE VIS 800M.	200509
AE56787	3	D29CD  VORDME RW29(CATCD)	CIRCLING	OMFJ	NA			    	     	NA			    	     	NA			    	     	NA			    	     	NA			    	     	NOT AUTHORIZED	200509
AE56787	3	D29CD  VORDME RW29(CATCD)	S-29*	OMFJ	NA			    	     	NA			    	     	00720	-2400M	647	0700	2400M	00720	-2400M	647	0700	2400M	NA			    	     	*WHEN ALS INOP, INCREASE VIS 800M.	200509
AE56787	3	I29AB  VORDMEILS RW29(CATAB)	CIRCLING ***	OMFJ	01160	-3600M	1008	1100	3600M	01160	-3600M	1008	1100	3600M	NA			    	     	NA			    	     	NA			    	     	***CIRCLING NOT AUTHORIZED NE OF RWY 11-29.	200509
AE56787	3	I29AB  VORDMEILS RW29(CATAB)	S-ILS 29**	OMFJ	00703	-2800M	630	0600	2800M	00703	-2800M	630	0600	2800M	NA			    	     	NA			    	     	NA			    	     	**WHEN ALS INOP, INCREASE VIS 800M.	200509
AE56787	3	I29AB  VORDMEILS RW29(CATAB)	S-LOC 29**	OMFJ	00640	-2400M	567	0500	2400M	00640	-2400M	567	0500	2400M	NA			    	     	NA			    	     	NA			    	     	**WHEN ALS INOP, INCREASE VIS 800M	200509
AE56787	3	I29CD  VORDMEILS RW29(CATCD)	CIRCLING	OMFJ	NA			    	     	NA			    	     	NA			    	     	NA			    	     	NA			    	     	NOT AUTHORIZED	200509
AE56787	3	I29CD  VORDMEILS RW29(CATCD)	S-ILS 29**	OMFJ	NA			    	     	NA			    	     	00703	-2800M	630	0600	2800M	00703	-2800M	630	0600	2800M	NA			    	     	**WHEN ALS INOP, INCREASE VIS 800M.	200509
AE56787	3	I29CD  VORDMEILS RW29(CATCD)	S-LOC 29**	OMFJ	NA			    	     	NA			    	     	00720	-2400M	647	0600	2400M	00720	-2400M	647	0600	2400M	NA			    	     	**WHEN ALS INOP, INCREASE VIS 800M.	200509
AF50693	3	G03    RNAV (GPS) RW03	CIRCLING*	OAIX	05680	-1600M	792	0800	1600M	05680	-2000M	792	0800	2000M	05680	-3600M	792	0800	3600M	05680	-4000M	792	0800	4000M	NA			    	     	*Circling not authorized west of Rwy 03/21.	200503
AF50693	3	G03    RNAV (GPS) RW03	S-03	OAIX	05680	-1600M	792	0800	1600M	05680	-2000M	792	0800	2000M	05680	-3600M	792	0800	3600M	05680	-4000M	792	0800	4000M	NA			    	     		200507
AF50693	3	T03-H  HI TACAN RW03	CIRCLING*	OAIX	05600	-1600M	705	0800	1600M	05600	-1600M	705	0800	1600M	05600	-3200M	705	0800	3200M	05600	-3600M	705	0800	3600M	06080	-4800M	1185	1200	4800M	*Circling not authorized West of Rwy 21-03.	200610
AF50693	3	T03-H  HI TACAN RW03	S-03	OAIX	05600	-1600M	712	0800	1600M	05600	-1600M	712	0800	1600M	05600	-3200M	712	0800	3200M	05600	-3600M	712	0800	3600M	05720	-4800M	832	0900	4800M		200610
AF50693	3	T03-H  HI TACAN RW03	S-PAR 03	OAIX	05088	-1200M	200	0200	1200M	05088	-1200M	200	0200	1200M	05088	-1200M	200	0200	1200M	05088	-1200M	200	0200	1200M	NA			    	     	GS 3.00	200513
AF60849	3	G23    RNAV (GPS) RW23	CIRCLING	OAKN	03760	-1600M	423	0500	1600M	03800	-1600M	463	0500	1600M	03800	-2400M	463	0500	2400M	03900	-3200M	563	0600	3200M	NA			    	     		200608
AF60849	3	G23    RNAV (GPS) RW23	S-23	OAKN	03740	-1600M	410	0500	1600M	03740	-1600M	410	0500	1600M	03740	-2000M	410	0500	2000M	03740	-2000M	410	0500	2000M	NA			    	     		200608
AF60849	3	T05-H  HI TACAN RW05	CIRCLING	OAKN	03760	-1600M	423	0500	1600M	03800	-1600M	463	0500	1600M	03800	-2400M	463	0500	2400M	03900	-3200M	563	0600	3200M	04900	-4800	1583	1600	4800 		200608
AF60849	3	T05-H  HI TACAN RW05	S-05	OAKN	03720	-1600M	414	0400	1600M	03720	-1600M	414	0400	1600M	03720	-2000M	414	0400	2000M	03720	-2000M	414	0400	2000M	03720	-2400M	414	0400	2400M		200608
AF60849	3	T05-H  HI TACAN RW05	S-ASR 05	OAKN	03680	-2000M	374	0400	2000M	03680	-2000M	374	0400	2000M	03680	-2000M	374	0400	2000M	03680	-2000M	374	0400	2000M	NA			    	     		200608
AF94313	3	D29    VOR/DME RW29	CIRCLING**	OAKB	07700	-6000M	1823	1900	6000M	07700	-6000M	1823	1900	6000M	07700	-6000M	1823	1900	6000M	07700	-6000M	1823	1900	6000M	NA			    	     	**Circling NA S of Rwy 11-29.  Night operations are NA for RWY 11.	200604
AF94313	3	D29    VOR/DME RW29	S-29	OAKB	06780	-6000M	903	1000	6000M	06780	-6000M	903	1000	6000M	06780	-6000M	903	1000	6000M	06780	-6000M	903	1000	6000M	NA			    	     		200511
AF94313	3	D29    VOR/DME RW29	S-PAR 29	OAKB	06156	-1200M	279	0300	1200M	06156	-1200M	279	0300	1200M	06156	-1200M	279	0300	1200M	06156	-1200M	279	0300	1200M	NA			    	     	GP 3.50	200602
AF94313	3	T29    TACAN RW29	CIRCLING**	OAKB	07080	-2000M	1203	1300	2000M	07300	-2400M	1423	1500	2400M	07540	-4800M	1663	1700	4800M	07540	-4800M	1663	1700	4800M	07580	-4800M	1703	1800	4800M	**Circling not authorized S of Rwy 11-29.	200610
AF94313	3	T29    TACAN RW29	S-29*	OAKB	06900	-1200M	1023	1100	1200M	06900	-1600M	1023	1100	1600M	06900	-4000M	1023	1100	4000M	06900	-4000M	1023	1100	4000M	06900	-4000M	1023	1100	4000M	*When ALS inop, increase vis CAT A to 2000m, CAT B to 2400m, CAT CDE to 4800m.	200610
AF94313	3	T29    TACAN RW29	S-PAR 29	OAKB	06156	-1200M	279	0300	1200M	06156	-1200M	279	0300	1200M	06156	-1200M	279	0300	1200M	06156	-1200M	279	0300	1200M	NA			    	     	GP 3.50 .	200604
AL00001	3	D18    VOR/DME RW18	CIRCLING	LATI	NA			    	     	NA			    	     	NA			    	     	NA			    	     	NA			    	     	NOT AUTHORIZED	200505
AL00001	3	D18    VOR/DME RW18	S-18*	LATI	00540	-1200M	431	0500	1200M	00540	-1200M	431	0500	1200M	00540	-1600M	431	0500	1600M	00540	-2000M	431	0500	2000M	NA			    	     	*When ALS inop, increase vis 400m all CATs.	200505
AL00001	3	D36    VOR/DME RW36	CIRCLING	LATI	NA			    	     	NA			    	     	NA			    	     	NA			    	     	NA			    	     	NOT AUTHORIZED	200505
AL00001	3	D36    VOR/DME RW36	S-36*	LATI	00620	-1200M	494	0500	1200M	00620	-1200M	494	0500	1200M	00620	-1600M	494	0500	1600M	NA			    	     	NA			    	     	*When ALS inop, increase vis 400m all CATs.	200505
AL00001	3	N18-B  CAT B NDB RW18	CIRCLING**	LATI	NA			    	     	00900	-2000M	775	0800	2000M	NA			    	     	NA			    	     	NA			    	     	**CIRCLING NOT AUTHORIZED E OF RWY 18-36.	200605
AL00001	3	N18-B  CAT B NDB RW18	S-18	LATI	NA			    	     	00600	-1200M	491	0500	1200M	NA			    	     	NA			    	     	NA			    	     		200605
AL00001	3	N18-C  CAT C NDB RW18	CIRCLING**	LATI	NA			    	     	NA			    	     	01400	-4800M	1275	1300	4800M	NA			    	     	NA			    	     	**CIRCLING NOT AUTHORIZED E OF RWY 18-36.	200605
AL00001	3	N18-C  CAT C NDB RW18	S-18	LATI	NA			    	     	NA			    	     	00600	-1600M	491	0500	1600M	NA			    	     	NA			    	     		200605
AQ90020	3	EVORA  VORDME-A	CIRCLING	NSTU	00540	-1	509	0600	1    	00540	-1	509	0600	1    	00640	-1.75	609	0700	1.75 	00700	-2	669	0700	2    	NA			    	     	CIRCLING NOT AUTHORIZED NORTH OF RWY 5-23	200404
AQ90020	3	EVORB  VORDME-B	CIRCLING	NSTU	00560	-1	528	0600	1    	00560	-1	528	0600	1    	00700	-1.75	668	0700	1.75 	00700	-2	668	0700	2    	NA			    	     	CIRCLING NOT AUTHORIZED NORTH OF RWY 5-23	200609
AQ90020	3	EVORD  VOR-D	CIRCLING	NSTU	01100	-1.25	1069	1100	1.25 	01100	-1.5	1069	1100	1.5  	01100	-3	1069	1100	3    	01100	-3	1069	1100	3    	NA			    	     	CIRCLING NOT AUTHORIZED NORTH OF RWY 5-23.	200113
AQ90020	3	EVORD  VOR-D	CIRCLING*	NSTU	00660	-1	628	0700	1    	00660	-1	628	0700	1    	00700	-1.75	668	0700	1.75 	00700	-2	668	0700	2    	NA			    	     	* ADF OR DME MINIMUMS. CIRCLING NOT AUTHORIZED NORTH OF RWY 5-23.	200609
AQ90020	3	FNDBC  NDB-C	CIRCLING	NSTU	00720	-1	689	0700	1    	00720	-1	689	0700	1    	00720	-2	689	0700	2    	00720	-2.25	689	0700	2.25 	NA			    	     	CIRCLING NOT AUTHORIZED NORTH OF RWY 5-23.	200113
AQ90020	3	I05    ILS/DME RW05	CIRCLING	NSTU	00540	-1	508	0600	1    	00540	-1	508	0600	1    	00700	-1.75	668	0700	1.75 	00700	-2	668	0700	2    	NA			    	     	Circling not authorized north of Rwy 5-23.	200609
AQ90020	3	I05    ILS/DME RW05	S-ILS 05	NSTU	00281	-0.5	250	0300	0.5  	00281	-0.5	250	0300	0.5  	00281	-0.5	250	0300	0.5  	00281	-0.5	250	0300	0.5  	NA			    	     		200108
AQ90020	3	I05    ILS/DME RW05	S-LOC 05	NSTU	NA			    	     	NA			    	     	NA			    	     	NA			    	     	NA			    	     	Straight-in minima NA, CIRCLING MINIMA APPLY	200301
AQ90020	3	TTACA  TACAN-A	CIRCLING	NSTU	00540	-1	509	0600	1    	00540	-1	509	0600	1    	00640	-1.75	609	0700	1.75 	00700	-2	669	0700	2    	NA			    	     	CIRCLING NOT AUTHORIZED NORTH OF RWY 5-23	200404
AQ90020	3	TTACB  TACAN-B	CIRCLING	NSTU	00560	-1	528	0600	1    	00560	-1	528	0600	1    	00700	-1.75	668	0700	1.75 	00700	-2	668	0700	2    	NA			    	     	CIRCLING NOT AUTHORIZED NORTH OF RWY 5-23	200609
AR00015	3	D25    VOR/GP DME RW25	CIRCLING	SAWH	01030	-4600M	928	1000	4600M	01030	-4600M	928	1000	4600M	01580	-4600M	1478	1500	4600M	01580	-4600M	1478	1500	4600M	NA			    	     		200302
AR00015	3	D25    VOR/GP DME RW25	S-VOR 25	SAWH	01074	-4000M	1000	1000	4000M	01074	-4000M	1000	1000	4000M	01074	-4000M	1000	1000	4000M	01074	-4000M	1000	1000	4000M	NA			    	     		200302
AR15586	3	I36    2 VORDME/ILSDME RW36	CIRCLING*	SAME	02800	-2000M	490	0500	2000M	02800	-2800M	490	0500	2800M	03160	-3700M	850	0900	3700M	03160	-4600M	850	0900	4600M	NA			    	     	*CIRCLING NOT AUTHORIZED W OF RWY 18-36.	200505
AR15586	3	I36    2 VORDME/ILSDME RW36	S-ILS 36	SAME	02511	-1200M	201	0300	1200M	02511	-1200M	201	0300	1200M	02511	-1200M	201	0300	1200M	02511	-1200M	201	0300	1200M	NA			    	     		200505
AR15586	3	I36    2 VORDME/ILSDME RW36	S-LOC 36	SAME	02700	-2000M	390	0400	2000M	02700	-2000M	390	0400	2000M	02700	-2400M	390	0400	2400M	02700	-2800M	390	0400	2800M	NA			    	     		200505
AR17866	3	D18    NR 6 VORDME RW18	CIRCLING**	SACO	02250	-2000M	646	0700	2000M	02250	-2800M	646	0700	2800M	02300	-3700M	696	0700	3700M	02300	-4600M	696	0700	4600M	NA			    	     	**Circling not authorized W of Rwy 18/36.	200505
AR17866	3	D18    NR 6 VORDME RW18	S-18*	SACO	02250	-1600M	646	0700	1600M	02250	-1600M	646	0700	1600M	02250	-2800M	646	0700	2800M	02250	-3200M	646	0700	3200M	NA			    	     	*WHEN ALS INOP, INCREASE ALL VIS 400M.	200311
AR17866	3	I18    #1 VORDME ILSDME RW18	CIRCLING**	SACO	02250	-2000M	646	0700	2000M	02250	-2800M	646	0700	2800M	02300	-3700M	696	0700	3700M	02300	-4600M	696	0700	4600M	NA			    	     	**Circling not authorized W of Rwy 18-36.	200313
AR17866	3	I18    #1 VORDME ILSDME RW18	S-ILS 18*	SACO	01804	/800M	200	0200	800M 	01804	/800M	200	0200	800M 	01804	/800M	200	0200	800M 	01804	/800M	200	0200	800M 	NA			    	     	*WHEN ALS INOP, INCREASE VIS 400M.	200313
AR17866	3	I18    #1 VORDME ILSDME RW18	S-LOC 18*	SACO	02250	-1600M	646	0700	1600M	02250	-1600M	646	0700	1600M	02250	-2800M	646	0700	2800M	02250	-3200M	646	0700	3200M	NA			    	     	*WHEN ALS INOP, INCREASE VIS 400M.	200313
AR24649	3	D07    8 VOR/DME RW7(ARCDME)	CIRCLING	SAWG	00700	-2000M	639	0700	2000M	00700	-2800M	639	0700	2800M	00960	-3700M	899	0900	3700M	00960	-4600M	899	0900	4600M	NA			    	     		200313
AR24649	3	D07    8 VOR/DME RW7(ARCDME)	S- 07	SAWG	00620	-2000M	559	0600	2000M	00620	-2000M	559	0600	2000M	00620	-2800M	559	0600	2800M	00620	-3200M	559	0600	3200M	NA			    	     		200313
AR24649	3	D25    NO 5 VOR/DME LI RW 25	CIRCLING	SAWG	00700	-2000M	639	0700	2000M	00700	-2800M	639	0700	2800M	00960	-3700M	899	0900	3700M	00960	-4600M	899	0900	4600M	NA			    	     		200313
AR24649	3	D25    NO 5 VOR/DME LI RW 25	S-25	SAWG	00620	-2000M	569	0600	2000M	00620	-2000M	569	0600	2000M	00620	-2800M	569	0600	2800M	00620	-3200M	569	0600	3200M	NA			    	     		200313
AR25841	3	I13    VORDME ILSDME RW13 1	CIRCLING*	SAZM	00560	-2000M	487	0500	2000M	00560	-2800M	487	0500	2800M	00760	-3700M	687	0700	3700M	00760	-4600M	687	0700	4600M	NA			    	     	*CIRCLING NA SW OF RWY 13-31.	200302
AR25841	3	I13    VORDME ILSDME RW13 1	S-ILS 13	SAZM	00273	-900M	200	0200	900M 	00273	-900M	200	0200	900M 	00273	-900M	200	0200	900M 	00273	-900M	200	0200	900M 	NA			    	     		200302
AR25841	3	I13    VORDME ILSDME RW13 1	S-LOC 13	SAZM	00460	-1600M	387	0400	1600M	00460	-1600M	387	0400	1600M	00460	-1600M	387	0400	1600M	00460	-2000M	387	0400	2000M	NA			    	     		200302
AR27439	3	D16L   VORDME RW16L	CIRCLING	SAZB	00740	-2000M	494	0500	2000M	00740	-2800M	494	0500	2800M	00820	-4000M	574	0600	4000M	01440	-4800M	1194	1200	4800M	NA			    	     		200608
AR27439	3	D16L   VORDME RW16L	S-16L	SAZB	00600	-1600M	354	0400	1600M	00600	-1600M	354	0400	1600M	00600	-1600M	354	0400	1600M	00600	-2000M	354	0400	2000M	NA			    	     		200608
AR27439	3	I16L   VORDME ILS RW16L	CIRCLING	SAZB	00740	-2000M	494	0500	2000M	00740	-2800M	494	0500	2800M	00820	-4000M	574	0600	4000M	01440	-4800M	1194	1200	4800M	NA			    	     		200402
AR27439	3	I16L   VORDME ILS RW16L	S-ILS 16L	SAZB	00496	-1600M	250	0300	1600M	00496	-1600M	250	0300	1600M	00496	-1600M	250	0300	1600M	00496	-1600M	250	0300	1600M	NA			    	     		200104
AR27439	3	I16L   VORDME ILS RW16L	S-LOC 16L	SAZB	00600	-1600M	354	0400	1600M	00600	-1600M	354	0400	1600M	00600	-1600M	354	0400	1600M	00600	-2000M	354	0400	2000M	NA			    	     		200104
AR27439	3	N16L   NDB LO LI RW16L	CIRCLING	SAZB	00740	-2000M	494	0500	2000M	00740	-2800M	494	0500	2800M	00820	-4000M	574	0600	4000M	01440	-4800M	1194	1200	4800M	NA			    	     		200402
AR27439	3	N16L   NDB LO LI RW16L	S-16L	SAZB	00640	-1600M	394	0400	1600M	00640	-1600M	394	0400	1600M	00640	-1600M	394	0400	1600M	00640	-2000M	394	0400	2000M	NA			    	     		199910
AR51177	3	D02    NO 3 VOR/DME RW02	CIRCLING***	SASA	04760	-3000M	672	0700	3000M	04760	-3000M	672	0700	3000M	05580	-3700M	1492	1600	3700M	05580	-4600M	1492	1600	4600M	NA			    	     	***Circling not authorized W of RWY 02-20.	200505
AR51177	3	D02    NO 3 VOR/DME RW02	S-VOR 02**	SASA	04760	-1600M	672	0700	1600M	04760	-1600M	672	0700	1600M	04760	-2800M	672	0700	2800M	04760	-3200M	672	0700	3200M	NA			    	     	**When ALS inop, increase vis 400m.	200505
AR51177	3	D06    N4 VORDME LO LI RW06	CIRCLING**	SASA	04760	-3000	672	0700	3000 	04760	-3000	672	0700	3000 	05580	-3700M	1492	1500	3700M	05580	-4600M	1492	1500	4600M	NA			    	     	**Circling not authorized NW of RWY 06-24.	200507
AR51177	3	D06    N4 VORDME LO LI RW06	S-VOR 06	SASA	04620	-2000M	552	0600	2000M	04620	-2000M	552	0600	2000M	04620	-2800M	552	0600	2800M	04620	-3200M	552	0600	3200M	NA			    	     		200505
AR58399	3	I13    VORDME ILSDME RW13 1	CIRCLING***	SABE	00790	-4200M	772	0800	4200M	00790	-4200M	772	0800	4200M	00790	-4200M	772	0800	4200M	00790	-4600M	772	0800	4600M	NA			    	     	***CIRCLING NOT AUTHORIZED W OF RWY 13-31.	200505
