ARPT_IDENT	PROC	TRM_IDENT	ICAO	ES_ALT	JULIAN_DATE	AMDT_NO	OPR	HOST_CTRY_AUTH	CYCLE_DATE
AS00740	3	S11    RW11 VOR	YPDN		2005076	5	USAF	CAA	200503
AS00740	3	T11    TACAN RW11	YPDN	02400	2006271	4	USAF	RAAF	200610
AS00740	3	T29    TACAN RW29	YPDN	02400	2006271	5	USAF	RAAF	200610
AS04258	2	NORTH  RWS NORTH	YMAV		2006215	3	USAF	CAA	200608
AS04258	3	I18    RW18 ILS	YMAV		2006215	6	USAF	CAA	200608
AS04258	3	L18    RW18 LLZ	YMAV		2006215	6	USAF	CAA	200608
AS04258	3	S18    VOR Z RW18	YMAV		2006215	3	USAF	CAA	200608
AS04258	3	S36    RW36 VOR	YMAV		2006215	3	USAF	CAA	200608
AS08942	3	S11    RW11 VOR	YCIN		2005020	1	USAF	RAAF	200501
AS08942	3	S29    RW29 VOR	YCIN		2006215	1	USAF	RAAF	200608
AS10286	1	RAINY1 RAINY1(RNAV ONLY)	YBCS		1999308		USN	RAAF	200108
AS10286	1	SUNNY1 SUNNY1(RNAV ONLY)	YBCS		1999308		USN	RAAF	200108
AS10286	1	WALSI1 WALSI1(RNAV ONLY)	YBCS		1999308		USN	RAAF	200108
AS10286	2	SWIFT3	YBCS		2003135		USN	RAAF	200305
AS10286	3	EVOR-2 VORDME	YBCS		2006271		USN	RAAF	200610
AS10286	3	FNDB-2 NDB/DME	YBCS		2006271		USN	RAAF	200610
AS10286	3	I15    ILS RW15	YBCS		2006271		USN	RAAF	200610
AS10286	3	I15-D  ILS/DME RW15	YBCS		2006271		USN	RAAF	200610
AS10286	3	L15    LLZ/DME RW15	YBCS		2006271		USN	RAAF	200610
AS10286	3	L33    LLZ/DME RW33	YBCS		2006271		USN	RAAF	200610
AS12739	3	S14    RW14 VOR	YPPD		2006271	2	USAF	FAC	200610
AS12739	3	S32    RW32 VOR	YPPD		2006271	2	USAF	FAC	200610
AS15072	2	BONEY1 RW01/19 EAST(BONEY1)	YBBN	02500	2005132	1	USAF	FAC	200505
AS15072	2	RW01S  RW01 SOUTH	YBBN		2004218	1	USAF	FAC	200411
AS15072	2	RW19S  RW19 SOUTH	YBBN		2004218	1	USAF	FAC	200411
AS15072	3	I01    RW01 ILS	YBBN		2005188	3	USAF	FAC	200507
AS15072	3	I19-Z  RW19 ILS Z	YBBN		2005188	5	USAF	FAC	200507
AS15072	3	L01    RW01 LLZ	YBBN		2005188	3	USAF	FAC	200507
AS15072	3	L19-Z  RW19 LLZ Z	YBBN		2005188	5	USAF	FAC	200507
AS15072	3	S01    RW01 VOR	YBBN		2005132	3	USAF	FAC	200505
AS15072	3	S14    RW14 VOR	YBBN		2005188	4	USAF	FAC	200507
AS15072	3	S19    RW19 VOR	YBBN		2006215	4	USAF	FAC	200608
AS28309	3	S14    RW14 VOR	YBMK		2005188	3	USAF	AS	200507
AS28309	3	S32    RW32 VOR	YBMK		2005188	2	USAF	AS	200507
AS29962	3	I28-Z  RW28 ILS-Z	YSRI		2006215	5	USAF	RAAF	200608
AS29962	3	L28-Z  RW28 LLZ-Z	YSRI		2006215	5	USAF	RAAF	200608
AS29962	3	T10    TACAN RW10	YSRI		2004330	3	USAF	RAAF	200412
AS38268	3	I07    RW07 ILS	YSSY		2005188	5	USAF	FAC	200507
AS38268	3	I16L   RW16L ILS	YSSY		2005188	6	USAF	FAC	200507
AS38268	3	I16R   RW16R ILS	YSSY		2005188	7	USAF	FAC	200507
AS38268	3	I34L   RW34L ILS	YSSY		2005188	6	USAF	FAC	200507
AS38268	3	I34R   RW34R ILS	YSSY		2005188	6	USAF	FAC	200507
AS38268	3	L07    RW07 LLZ	YSSY		2005188	5	USAF	FAC	200507
AS38268	3	L16L   RW16L LLZ	YSSY		2005188	6	USAF	FAC	200507
AS38268	3	L16R   RW16R LLZ	YSSY		2005188	7	USAF	FAC	200507
AS38268	3	L34L   RW34L LLZ	YSSY		2005188	6	USAF	FAC	200507
AS38268	3	L34R   RW34R LLZ	YSSY		2005188	6	USAF	FAC	200507
AS38268	3	S16R   RW16R VOR	YSSY		2005076	1	USAF	FAC	200503
AS38268	3	S25    RW25 VOR	YSSY	06800	2005076	2	USAF	FAC	200503
AS38268	3	S34L   RW34L VOR	YSSY		2006103	2	USAF	FAC	200604
AS42456	3	S15    RW15 VOR	YBRK		2005300	1	USAF	AS	200511
AS42456	3	S33    RW33 VOR	YBRK		2005020	3	USAF	AS	200501
AS43020	3	N12    RW12 NDB	YWLM		2005020	2	USAF	RAAF	200502
AS43020	3	N30    RW30 NDB	YWLM		2005020	6	USAF	RAAF	200502
AS43020	3	T12-B  TACAN-B RW12	YWLM		2005132	3	USAF	RAAF	200604
AS43020	3	T12-C  TACAN-C RW12	YWLM		2005132	3	USAF	RAAF	200604
AS43020	3	T30    TACAN RW30	YWLM		2005132	4	USAF	RAAF	200505
AS46891	3	S11    RW11 VOR	YESP		2005020	2	USAF	FAC	200501
AS49651	2	R0119W RW01/19 WEST	YBTL	04000	2004106	1	USAF	RAAF	200404
AS49651	2	RW01	YBTL	04000	2004330	1	USAF	RAAF	200412
AS49651	2	RW01N  RW01 NORTH	YBTL		2004050	2	USAF	RAAF	200402
AS49651	2	RW01SE RW01 SOUTHEAST	YBTL		2004050	2	USAF	RAAF	200402
AS49651	2	RW119N RW01/19 NORTH	YBTL		2004050	2	USAF	RAAF	200404
AS49651	2	RW19   TOWNSVILLE RW19	YBTL	04000	2004050	1	USAF		200402
AS49651	2	RW19N  RW19 NORTH	YBTL		2004050	2	USAF	RAAF	200402
AS49651	2	RW19SE RW19 SOUTHEAST	YBTL		2004050	2	USAF	RAAF	200402
AS49651	3	I01    RW01 ILS	YBTL		2006047	6	USAF	RAAF	200602
AS49651	3	L01    RW01 LLZ	YBTL		2006047	6	USAF	RAAF	200602
AS49651	3	S19    RW19 VOR	YBTL		2005300	3	USAF	RAAF	200511
AS50510	2	RW121  RW12 SOUTH EAST	YBAS		2002052		USAF	FAC	200208
AS50510	2	RW123  RW12 NORTH	YBAS		2003247		USAF	FAC	200309
AS50510	2	RW301  RW30 SOUTH EAST	YBAS		2002052		USAF	FAC	200208
AS50510	2	RW303  RW30 NORTH	YBAS		2003247		USAF	FAC	200309
AS50510	3	I12    RW12 ILS	YBAS		2005356	5	USAF	FAC	200513
AS50510	3	L12    RW12 LLZ	YBAS		2005356	5	USAF	FAC	200513
AS50510	3	S12    RW12 VOR	YBAS		2006159	3	USAF	FAC	200606
AS50510	3	S30    RW30 VOR	YBAS		2005020	2	USAF	FAC	200501
AS51890	2	HAWKY1 HAWKY 1 (RNAV)	YPAD		2005188		USAF	FAC	200507
AS51890	3	I23    RW23 ILS	YPAD	05400	2006159	2	USAF	FAC	200606
AS51890	3	L23    RW23 LLZ	YPAD	05400	2006159	2	USAF	FAC	200606
AS51890	3	S05    RW05 VOR	YPAD	05400	2006159	3	USAF		200606
AS51890	3	S12    RW12 VOR	YPAD		2006159	2	USAF	FAC	200606
AS51890	3	S23    RW23 VOR	YPAD	05400	2006159	3	USAF	FAC	200606
AS51890	3	S30    RW30 VOR	YPAD	05400	2006159	3	USAF	FAC	200606
AS53590	3	N31    RW31 NDB	YAYE		2005020	2	USAF	AS	200501
AS54289	3	I21    RW21 ILS	YPPH		2005188	3	USAF	CAA	200507
AS54289	3	I24    RW24 ILS	YPPH		2005188	3	USAF	CAA	200507
AS54289	3	L21    RW21 LLZ	YPPH		2005188	3	USAF	CAA	200507
AS54289	3	L24    RW24 LLZ	YPPH		2005188	3	USAF	CAA	200507
AS54289	3	S03    RW03 VOR	YPPH		2005132	2	USAF	CAA	200505
AS54289	3	S21    RW21 VOR	YPPH		2005132	2	USAF	CAA	200505
AS64221	2	BEEFA1	YMML		2005076		USN		200503
AS64221	2	CRENA2	YMML		2005076		USN		200503
AS64221	2	CWS6   COWES(CWS)6	YMML		2005020		USN		200501
AS64221	2	KEPPA1	YMML		2005076		USN		200503
AS64221	2	KII6   KING ISLAND6(NONJET)	YMML		2005020		USN		200501
AS64221	2	OWENS5	YMML		2005076		USN		200503
AS64221	2	PCK2   POINT COOK(PCK)2	YMML		2005020		USN		200501
AS64221	2	SBG8   STRATHBOGIE8(NONJET)	YMML		2005020		USN		200501
AS64221	2	YWE5   YARROWEE 5	YMML		2005076		USN		200503
AS64221	3	D09    VORDME RW09	YMML		2005020		USN		200501
AS64221	3	D27-AB VORDME RW27(CAT AB)	YMML		2005020		USN		200604
AS64221	3	D27-CD VORDME RW27(CAT CD)	YMML		2005020		USN		200604
AS64221	3	D34    VORDME RW34	YMML		2005020		USN		200501
AS64221	3	I16    ILS RW16	YMML		2005076		USN		200604
AS64221	3	I16-D  ILS/DME RW16	YMML		2005076		USN		200604
AS64221	3	I27    ILS RW27	YMML		2005076		USN		200604
AS64221	3	I27-D  ILS/DME RW27	YMML		2005076		USN		200604
AS64221	3	L16    LLZ/DME RW16	YMML		2005076		USN		200503
AS64221	3	L27    LLZ/DME RW27	YMML		2005076		USN		200503
AS65049	3	I15    ILS A RW15	YAMB	06600	2004274	4	USAF	RAAF	200410
AS65049	3	T15-A  TACAN A RW15	YAMB	06600	2004274	4	USAF	RAAF	200604
AS65049	3	T15-B  TACAN B RW15	YAMB	06600	2004274	4	USAF	RAAF	200604
AS65049	3	T15-C  TACAN C RW15	YAMB	06600	2005020	3	USAF	RAAF	200604
AS65049	3	T33    TACAN RW33	YAMB	06600	2005020	3	USAF	RAAF	200501
AS82556	2	HEWIT1	YMHB		2004162	2	USAF	RAAF	200406
AS82556	2	PECOB1	YMHB		2004162	2	USAF	RAAF	200406
AS82556	3	S30    RW30 VOR	YMHB		2005020	2	USAF	RAAF	200501
AS82557	3	I26    ILS RW26	YMEN	08300	2005132		USN	AIRS	200505
AS82557	3	L26    LLZ RW26	YMEN	08300	2005132		USN	AIRS	200505
AS83442	3	I21    ILS/DME RW21 (INADME)	YSNW		2004274		USN	RAAF	200410
AS83442	3	I21-A  ILS A RW21(NWA INA)	YSNW		2004274		USN	RAAF	200410
AS83442	3	I21-B  ILS B RW21 (NWA INA)	YSNW		2004274		USN	RAAF	200410
AS83442	3	L21    LLZ/DME RW21 (INADME)	YSNW		2004274		USN	RAAF	200410
AS83442	3	Q21    NDB/DME RW21 (NWADME)	YSNW		2004274		USN	RAAF	200410
AS83442	3	T03    TACAN RW03	YSNW		2004274		USN	RAAF	200410
AS83442	3	T21-A  TACAN A RW21	YSNW		2004274		USN	RAAF	200410
AS83442	3	T21-C  TACAN C RW21	YSNW		2004274		USN	RAAF	200410
AS83442	3	T26-D  TACAN D RW26	YSNW		2004274		USN	RAAF	200410
AS86864	2	RW05N  RW05 NORTH	YPEA	03000	2003135		USN	RAAF	200405
AS86864	2	RW05W  RW05 WEST	YPEA	03000	2003135		USN	RAAF	200405
AS86864	2	RW18L  RW18L WEST	YPEA	03000	2003135		USN	RAAF	200404
AS86864	2	RW18L1 RW18L WEST(NOVEMBER)	YPEA	03000	2003135		USN	RAAF	200305
AS86864	2	RW18L2 RW18L WEST(WHISKEY)	YPEA	03000	2003135		USN	RAAF	200305
AS86864	2	RW23N  RW23 NORTH	YPEA	03000	2003135		USN	RAAF	200405
AS86864	2	RW23W  RW23 WEST	YPEA	03000	2003135		USN	RAAF	200405
AS86864	2	RW36RN RW36R NORTH	YPEA	03000	2003135		USN	RAAF	200405
AS86864	2	RW36RW RW36R WEST	YPEA	03000	2003135		USN	RAAF	200405
AS86864	3	I18L   RW18L ILS	YPEA	03000	2004330		USN	RAAF	200412
AS86864	3	I18L-A ILS A RW18L	YPEA	03000	2004330		USN	RAAF	200412
AS86864	3	I18L-B ILS B RW18L	YPEA	03000	2004330		USN	RAAF	200412
AS86864	3	I36R   ILS C RW36R	YPEA	03000	2004330		USN	RAAF	200412
AS86864	3	L18L   RW18L LLZ/DME	YPEA	03000	2004330		USN	RAAF	200412
AS86864	3	T05-A  TACAN A RW05	YPEA	03000	2004330		USN	RAAF	200412
AS86864	3	T18L-B TACAN B RW18L	YPEA	03000	2004274		USN	RAAF	200410
AS86864	3	T18L-C TACAN C RW18L	YPEA	03000	2004274		USN	RAAF	200410
AS86864	3	T23-D  TACAN D RW23(CAT ABC)	YPEA	03000	2004274		USN	RAAF	200410
AS86864	3	T36R-E TACAN E RW36R	YPEA	03000	2004330		USN	RAAF	200412
AS86864	3	T36R-F TACAN F RW36R(CAT AB)	YPEA	03000	2004274		USN	RAAF	200410
AS89407	3	I14    RW14 ILS	YPTN		2005356	4	USAF	RAAF	200513
AS89407	3	L14    RW14 LLZ	YPTN		2005356	4	USAF	RAAF	200513
AS89407	3	S14    RW14 VOR	YPTN		2005020	3	USAF	RAAF	200501
AS89407	3	T14    TACAN RW14	YPTN		2005020	2	USAF	RAAF	200501
AS89407	3	T32    TACAN RW32	YPTN		2005132	4	USAF	RAAF	200505
AS89407	3	V32    RW32 VOR	YPTN		2005076	3	USAF	RAAF	200503
AS98836	2	CULIN2 CULIN 2  NORTH (JET)	YSCB		2006159	3	USAF	CAA	200606
AS98836	2	TANTA2 TANTA 2 SOUTH (RNAV)	YSCB		2006159	3	USAF	CAA	200606
AS98836	2	WAGGA2 WAGGA 2 WEST (RNAV)	YSCB		2006159	3	USAF	CAA	200606
AS98836	2	YASS2  YASS 2  NORTH (JET)	YSCB		2006159	3	USAF	CAA	200606
AS98836	3	I35-Z  RW35 ILS-Z	YSCB		2006159	5	USAF	CAA	200606
AS98836	3	L35-Z  RW35 LLZ-Z	YSCB		2006159	5	USAF	CAA	200606
AS98836	3	S17    RW17 VOR	YSCB		2006159	4	USAF	CAA	200606
AS98836	3	S35    RW35 VOR	YSCB		2006159	1	USAF	CAA	200606
AS98970	3	S18    RW18 VOR	YPLM		2006159	2	USAF	RAAF	200606
AS98970	3	S36    RW36 VOR	YPLM		2005020	2	USAF	RAAF	200501
AU25150	3	I16    ILS RW16	LOWW		2005104	1	USA	AU	200504
AU25150	3	I34    ILS RW34	LOWW		2005188	1	USA	AU	200507
AU25150	3	N11    NDB RW11	LOWW		2005104	4	USA	AU	200504
AU25150	3	N29    NDB RW29	LOWW		2005104	2	USA	AU	200504
AU25150	3	S16    VOR RW16	LOWW		2005104	1	USA	AU	200504
AU25150	3	S34    VOR RW34	LOWW		2005104	1	USA	AU	200504
AU76587	2	ADL1L  ADLET 1L	LOWL		2005272		USA	AU	200510
AU76587	2	ADL1T  ADLET 1T	LOWL		2004218		USA	AU	200408
AU76587	2	GAM2T  GAMLI2T	LOWL		2004218		USA	AU	200408
AU76587	2	GRZ2L	LOWL		2005272		USA	AU	200510
AU76587	2	GRZ2T	LOWL		2004218		USA	AU	200408
AU76587	2	PAB1T  PABSA1T	LOWL		2003079		USA	AU	200303
AU76587	2	PAB2L  PABSA2L	LOWL		2003079		USA	AU	200303
AU76587	2	SBG2L	LOWL		2003079		USA	AU	200303
AU76587	2	SBG2T	LOWL		2003079		USA	AU	200303
AU76587	2	STO1L	LOWL		2005272		USA	AU	200510
AU76587	2	STO1T	LOWL		2004218		USA	AU	200408
AU76587	2	SUB1L  SUBEN1L	LOWL		2003079		USA	AU	200303
AU76587	2	SUB1T  SUBEN1T	LOWL		2003079		USA	AU	200303
AU76587	3	I27    ILS RW27	LOWL		2005300		USA	AU	200511
AU76587	3	N27    NDB RW27	LOWL		2005300		USA	AU	200511
BA36166	3	I33    VORDME/ILS RW33	OBBS		2006243	2	USAF	BDF	200609
BA86670	3	D12L   VOR/DME 12L (CAT C,D)	OBBI		2006271	3	USAF	BA	200610
BA86670	3	I12L   ILS/DME RW12L	OBBI		2006271	1	USAF	BA	200610
BA86670	3	I30R   ILSDME RW30R	OBBI		2006271	1	USAF	BA	200610
BB61122	3	D09    VORDME RW09	TBPB		2003358	4	USAF	BDCA	200313
BB61122	3	I09    ILS RW09	TBPB		2004274	5	USAF	BDCA	200410
BD02940	3	D12    VORDME RW12	TXKF	02000	2006159		USN		200606
BD02940	3	D30    VORDME RW30	TXKF	02000	2006159		USN		200606
BD02940	3	I30    ILS/DME RW30	TXKF	02000	2006159		USN		200606
BE42791	2	RW05LR RW05L/R	EBLG		2006131	3	USAF	BAF	200605
BE42791	2	RW23LR RW 23L/R	EBLG		2006131	4	USAF	BAF	200605
BE42791	3	I05R   ILS RW05R (CATCD)	EBLG	04300	2006131	2	USAF	BAF	200605
BE42791	3	I23L   ILS  RW23L	EBLG		2006131	3	USAF	BAF	200605
BE42791	3	I23R   ILS RW23R	EBLG		2006131	2	USAF	BAF	200605
BE44819	2	BE0204	EBBE	04300	2006131		USAF	BAF	200605
BE44819	3	T04L   TACAN RW04L	EBBE	04300	2006131	2	USAF	BAF	200605
BE44819	3	T22R   TACAN RW22R	EBBE	04300	2006131	2	USAF	BAF	200605
BE46743	3	I26    ILS RW26	EBCV		2006187		USAF		200607
BE46743	3	L26    LOC/DME RW26	EBCV		2006187		USAF		200607
BE46743	3	T26    TACAN RW26	EBCV		2006187		USAF		200607
BE62806	2	BL01	EBBL	04300	2006131	1	USAF	BAF	200605
BE62806	2	BL02	EBBL	04300	2006131	1	USAF	BAF	200605
BE62806	2	BL3-4  KLEINEBROGEL BL 03-04	EBBL	04300	2006131		USAF	BAF	200605
BE62806	3	I23R   ILS/DME RW23R	EBBL	04300	2006131	6	USAF	BAF	200605
BE62806	3	T05L   TACAN RW05L	EBBL	04300	2006131	2	USAF	BAF	200605
BE62806	3	T05L-H HI TACAN RW05L	EBBL	04300	2006131	2	USAF	BAF	200605
BE62806	3	T23R   TACAN RW23R	EBBL	04300	2006131	6	USAF	BAF	200605
BE62806	3	T23R-H HI TACAN RW23R	EBBL	04300	2006131	5	USAF	BAF	200605
BE68546	2	CIV1X	EBCI		2006131	1	USAF	BE	200605
BE68546	2	CIV1Y	EBCI		2006131	1	USAF	BE	200605
BE68546	2	LNO2X	EBCI		2006131	1	USAF	BE	200605
BE68546	2	LNO2Y	EBCI		2006131		USAF	BE	200605
BE68546	2	RIT2X  RITAX 2X	EBCI		2006131	1	USAF	BE	200605
BE68546	2	RIT2Y  RITAX 2Y	EBCI		2006131	1	USAF	BE	200605
BE68546	2	SOP2X  SOPOK 2X	EBCI		2006131	1	USAF	BE	200605
BE68546	2	SOP2Y  SOPOK 2Y	EBCI		2006131	1	USAF	BE	200605
BE68546	2	SPI2X	EBCI		2006131	1	USAF	BE	200605
BE68546	2	SPI2Y	EBCI		2006131	1	USAF	BE	200605
BE68546	3	I25    ILS RW25	EBCI		2006019		USAF	BE	200601
BE68546	3	S07    VOR RW07	EBCI		2006131	1	USAF	BE	200605
BE93570	1	ARVL1B ARVOL 1B	EBBR		2005216		USAF	BE	200508
BE93570	1	ARVL1D ARVOL 1D	EBBR		2005216		USAF	BE	200508
BE93570	1	ARVL3A ARVOL 3A	EBBR		2006019		USAF	BE	200601
BE93570	1	ARVL3B ARVOL 3B	EBBR		2006019		USAF	BE	200601
BE93570	1	BKM2B  BEKEM 2B	EBBR		2005216		USAF	BE	200508
BE93570	1	BKM4A  BEKEM 4A	EBBR		2006019		USAF	BE	200601
BE93570	1	BTY1B  BATTY 1B	EBBR		2005216		USAF	BE	200508
BE93570	1	BTY2A  BATTY 2A	EBBR		2006019		USAF	BE	200601
BE93570	1	KOK1B	EBBR		2005216		USAF	BE	200508
BE93570	1	KOK4A	EBBR		2006019		USAF	BE	200601
BE93570	1	LNO1A	EBBR		2005216		USAF	BE	200508
BE93570	1	LNO4B	EBBR		2005216		USAF	BE	200508
BE93570	1	TULN1B TULNI 1B	EBBR		2005216		USAF	BE	200508
