ARPT_IDENT	PROC	TRM_IDENT	FDR_RTE_IDENT	SEQ_NBR	ICAO	WPT1_IDENT	WPT1_CTRY	WPT2_IDENT	WPT2_CTRY	ALT	MAG_CRS	DISTANCE	WPT1_WGS_LAT	WPT1_WGS_DLAT	WPT1_WGS_LONG	WPT1_WGS_DLONG	WPT2_WGS_LAT	WPT2_WGS_DLAT	WPT2_WGS_LONG	WPT2_WGS_DLONG	CYCLE_DATE
AQ90020	3	TTACB  TACAN-B	TUTNB	10	NSTU	TUTNB	AQ	TUT	AQ	04000	260.4	0.7	S14195600	-14.332222	W170431000	-170.719444	S14195730	-14.332583	W170422980	-170.708278	200301
BF99643	3	D14    VORDME RW14	MAJUR	10	MYNN	MAJUR	BF	MUNIE	BF	02000	130.0	15.0	N25194820	25.330056	W077513961	-77.861003	N25112768	25.191023	W077374240	-77.628446	200604
BF99643	3	D14    VORDME RW14	MELON	10	MYNN	MELON	BF	MUNIE	BF	02000	209.0	21.4	N25311035	25.519542	W077283670	-77.476861	N25112768	25.191023	W077374240	-77.628446	200604
BF99643	3	D32    VORDME RW32	LEPAS	10	MYNN	LEPAS	BF	MINCY	BF	02000	307.0	19.6	N24442543	24.740397	W077002858	-77.007939	N24542577	24.907159	W077190017	-77.316714	200608
BF99643	3	D32    VORDME RW32	PRUNE	10	MYNN	PRUNE	BF	WELKS	BF	02000	137.0	31.5	N25125677	25.215769	W077572220	-77.956167	N24521788	24.871633	W077310525	-77.518125	200608
BK62790	3	I09    ILS RW09	DER	10	LQTZ	DER	BK	SCRIB	BK	FL120	313.2	25.3	N44590290	44.984139	E017581000	17.969444	N44411953	44.688758	E018233950	18.394306	200406
BK62790	3	T09    TACAN RW09	DER	10	LQTZ	DER	BK	SCRIB	BK	FL120	313.2	25.3	N44590290	44.984139	E017581000	17.969444	N44411953	44.688758	E018233950	18.394306	200405
BR46398	3	I10-3  ILS RW10 (CHARLIE3)	LUIZ	10	SBSV	LUIZ	BR	SVD41	BR		62.6	37.2	S13323900	-13.544167	W038511260	-38.853500	S13034611	-13.062807	W038265976	-38.449933	200302
BR46398	3	I10-3  ILS RW10 (CHARLIE3)	VATAP	10	SBSV	VATAP	BR	SVD12	BR		108.7	28.0	S12573780	-12.960500	W039000660	-39.001833	S12552758	-12.924329	W038313121	-38.525337	200302
CA02860	3	T12    TACAN RW12	YZX	10	CYZX	YZX	CA	BANJO	CA	02200	359.0	8.0	N44552229	44.922858	W065060671	-65.101864	N45025576	45.048823	W065100342	-65.167618	200606
CA02860	3	T30    TACAN RW30	YZX	10	CYZX	YZX	CA	ARGUS	CA	02200	106.0	19.0	N44552229	44.922858	W065060671	-65.101864	N44564298	44.945271	W064390067	-64.650187	200606
CA11657	3	N08    NDB RW08 (GNSS)	BD	10	CYQR	BD	CA	ZRG	CA	04000	59.0	26.0	N50173000	50.291667	W105263200	-105.442222	N50254410	50.428917	W104472704	-104.790844	200610
CA11657	3	N08    NDB RW08 (GNSS)	VLN	10	CYQR	VLN	CA	ZRG	CA	04000	151.0	15.0	N50400110	50.666972	W104532300	-104.889722	N50254410	50.428917	W104472704	-104.790844	200610
CA11657	3	N13    NDB RW13 (GNSS)	VLN	10	CYQR	VLN	CA	AJAX	CA	04000	138.0	12.4	N50400110	50.666972	W104532300	-104.889722	N50290710	50.485306	W104441003	-104.736119	200610
CA11657	3	N13    NDB RW13 (GNSS)	VLN1	10	CYQR	VLN	CA	SCANA	CA	04000	154.0	5.9	N50400110	50.666972	W104532300	-104.889722	N50341500	50.570833	W104512760	-104.857667	200610
CA11657	3	N13    NDB RW13 (GNSS)	XIGIV	10	CYQR	XIGIV	CA	SCANA	CA	04000	127.0	8.5	N50403720	50.677000	W105011080	-105.019667	N50341500	50.570833	W104512760	-104.857667	200610
CA11657	3	N13    NDB RW13 (GNSS)	YMJ	10	CYQR	YMJ	CA	AJAX	CA	04000	60.0	33.0	N50195200	50.331111	W105334800	-105.563333	N50290710	50.485306	W104441003	-104.736119	200610
CA11657	3	N31    NDB RW31 (GNSS)	BD	10	CYQR	BD	CA	QR	CA	04000	69.0	34.0	N50173000	50.291667	W105263200	-105.442222	N50221109	50.369747	W104342301	-104.573058	200610
CA11657	3	N31    NDB RW31 (GNSS)	VLN	10	CYQR	VLN	CA	QR	CA	04000	132.0	22.0	N50400110	50.666972	W104532300	-104.889722	N50221109	50.369747	W104342301	-104.573058	200610
CA11657	3	N31    NDB RW31 (GNSS)	YMJ	10	CYQR	YMJ	CA	QR	CA	04000	73.0	38.0	N50195200	50.331111	W105334800	-105.563333	N50221109	50.369747	W104342301	-104.573058	200610
CA23415	3	N06    NDB RW06	YMX	10	CYMX	YMX	CA	ZMR	CA	02900	158.0	20.0	N45531800	45.888333	W074223240	-74.375667	N45372900	45.624722	W074051700	-74.088056	200602
CA23415	3	N06    NDB RW06	YUL	10	CYMX	YUL	CA	ZMR	CA	02900	292.0	5.0	N45365400	45.615000	W073581800	-73.971667	N45372900	45.624722	W074051700	-74.088056	200610
CA23415	3	N24    NDB RW24	YMX	10	CYMX	YMX	CA	ZMX	CA	03000	130.0	21.0	N45531800	45.888333	W074223240	-74.375667	N45442915	45.741431	W073551366	-73.920461	200602
CA23415	3	N24    NDB RW24	YUL	10	CYMX	YUL	CA	ZMX	CA	03000	32.0	7.9	N45365400	45.615000	W073581800	-73.971667	N45442915	45.741431	W073551366	-73.920461	200602
CA28311	3	N03    NDB RW03	YYE	10	CYYE	YYE	CA	YE	CA	03900	99.0	11.0	N58533000	58.891667	W123005800	-123.016111	N58474500	58.795833	W122432100	-122.722500	200608
CA29802	3	N05    NDB RW05	YHZ	10	CYHZ	YHZ	CA	ZHZ	CA	02200	68.9	10.8	N44552330	44.923139	W063240650	-63.401806	N44480829	44.802303	W063352253	-63.589592	200509
CA29802	3	N23    NDB RW23	ZHZ	10	CYHZ	ZHZ	CA	ZNS	CA	02200	54.0	12.0	N44480829	44.802303	W063352253	-63.589592	N44580031	44.966753	W063253751	-63.427086	200602
CA33055	3	N16    NDB RW16	YYC	10	CYYC	YYC	CA	ZYC	CA	05000	292.9	7.2	N51065420	51.115056	W113525550	-113.882083	N51114700	51.196389	W114011700	-114.021389	200406
CA40994	3	N15    NDB RW15	YFC	10	CYFC	YFC	CA	FC	CA	02100	301.0	7.7	N45534300	45.895278	W066250800	-66.418889	N45550223	45.917286	W066355887	-66.599686	200305
CA40994	3	S09    VOR RW09	YFC	10	CYFC	YFC	CA	RESOL	CA	02000	91.8	10.0	N45534300	45.895278	W066250800	-66.418889	N45502502	45.840282	W066383987	-66.644407	200313
CA40994	3	S27    VOR RW27	FC	10	CYFC	FC	CA	YFC	CA	02200	298.4	7.7	N45550223	45.917286	W066355887	-66.599686	N45534300	45.895278	W066250800	-66.418889	200412
CA40994	3	S27    VOR RW27	FRENN	10	CYFC	FRENN	CA	YFC	CA	02200	95.5	10.0	N45560100	45.933611	W066111200	-66.186667	N45534300	45.895278	W066250800	-66.418889	200412
CA41623	3	N02    NDB RW02	XD	10	CYEG	XD	CA	ZZD	CA	03900	175.0	24.0	N53383700	53.643611	W113304700	-113.513056	N53151800	53.255000	W113393600	-113.660000	200606
CA41623	3	N02    NDB RW02	YEG	10	CYEG	YEG	CA	YEG55	CA	03900	55.0	6.1	N53110800	53.185556	W113520100	-113.866944	N53130054	53.216817	W113422197	-113.706103	200606
CA41623	3	N02    NDB RW02	YEG55	10	CYEG	YEG55	CA	ZZD	CA	03900	18.0	2.8	N53130054	53.216817	W113422197	-113.706103	N53151800	53.255000	W113393600	-113.660000	200606
CA41623	3	N12    NDB RW12	XD	10	CYEG	XD	CA	ZET	CA	03800	180.0	19.0	N53383700	53.643611	W113304700	-113.513056	N53211200	53.353333	W113402100	-113.672500	200606
CA41623	3	N12    NDB RW12	YEG	10	CYEG	YEG	CA	ZET	CA	03800	18.0	12.0	N53110800	53.185556	W113520100	-113.866944	N53211200	53.353333	W113402100	-113.672500	200606
CA41623	3	N20    NDB RW20	XD	10	CYEG	XD	CA	ZEG	CA	04200	160.0	15.0	N53383700	53.643611	W113304700	-113.513056	N53234300	53.395278	W113294200	-113.495000	200610
CA41623	3	N20    NDB RW20	YEG	10	CYEG	YEG	CA	ZEG	CA	04200	30.0	18.0	N53110800	53.185556	W113520100	-113.866944	N53234300	53.395278	W113294200	-113.495000	200610
CA41623	3	N30    NDB RW30 (GNSS)	XD	10	CYEG	XD	CA	ZAB	CA	04100	160.0	24.0	N53383700	53.643611	W113304700	-113.513056	N53143500	53.243056	W113292200	-113.489444	200610
CA41623	3	N30    NDB RW30 (GNSS)	YEG	10	CYEG	YEG	CA	ZAB	CA	03700	59.0	14.0	N53110800	53.185556	W113520100	-113.866944	N53143500	53.243056	W113292200	-113.489444	200610
CA66864	3	N11    NDB RW11	HARBO	10	CYYT	HARBO	CA	BAILS	CA	02200	106.3	9.1	N47354200	47.595000	W053212160	-53.356000	N47362100	47.605833	W053075340	-53.131500	200404
CA66864	3	N11    NDB RW11	NOSUX	10	CYYT	NOSUX	CA	GIBBY	CA	02000	166.0	10.0	N47445220	47.747833	W053091980	-53.155500	N47365443	47.615120	W052595087	-52.997464	200608
CA66864	3	N29    NDB RW29	YYT1	10	CYYT	YYT	CA	ZYT	CA	02300	65.0	11.0	N47290700	47.485278	W052510800	-52.852222	N47373978	47.627717	W052400238	-52.667328	200602
CA66864	3	N29    NDB RW29	YYT2	10	CYYT	YYT	CA	OTSEP	CA	02300	100.0	17.0	N47290700	47.485278	W052510800	-52.852222	N47332520	47.557000	W052252100	-52.422500	200608
CA76787	3	N13    NDB RW13	LF	10	CYWG	LF	CA	DOWNS	CA	02500	353.2	19.3	N49383298	49.642494	W097180010	-97.300028	N49574998	49.963883	W097191809	-97.321692	200404
CA76787	3	N13    NDB RW13	UDE	10	CYWG	UDE	CA	DOWNS	CA	02500	100.0	40.0	N50095898	50.166383	W098182620	-98.307278	N49574998	49.963883	W097191809	-97.321692	200606
CA76787	3	N31    NDB RW31	BM	10	CYWG	BM	CA	FORKS	CA	02700	157.0	19.0	N50081398	50.137217	W097183508	-97.309744	N49500198	49.833883	W097083908	-97.144189	200606
CA76787	3	N31    NDB RW31	LF	10	CYWG	LF	CA	FORKS	CA	02700	23.4	13.0	N49383298	49.642494	W097180010	-97.300028	N49500198	49.833883	W097083908	-97.144189	200313
CA76787	3	N36    NDB RW36	BM	10	CYWG	BM	CA	BOINE	CA	02700	169.0	19.0	N50081398	50.137217	W097183508	-97.309744	N49494798	49.829994	W097152509	-97.256969	200606
CA76787	3	N36    NDB RW36	LF	10	CYWG	LF	CA	BOINE	CA	02700	3.0	11.0	N49383298	49.642494	W097180010	-97.300028	N49494798	49.829994	W097152509	-97.256969	200606
CA76787	3	N36    NDB RW36	UDE	10	CYWG	UDE	CA	BOINE	CA	02700	109.0	45.0	N50095898	50.166383	W098182620	-98.307278	N49494798	49.829994	W097152509	-97.256969	200606
CA78708	3	N07    NDB RW07	LANRK	10	CYOW	LANRK	CA	ASHTN	CA	03000	71.0	23.0	N44593200	44.992222	W076223500	-76.376389	N45115520	45.198667	W075552940	-75.924833	200606
CA78708	3	N07    NDB RW07	LANRK	20	CYOW	ASHTN	CA	VISOL	CA	03000	78.0	2.8	N45115520	45.198667	W075552940	-75.924833	N45131860	45.221833	W075520720	-75.868667	200606
CA78708	3	N07    NDB RW07	YOW	10	CYOW	YOW	CA	MOODY	CA	03000	162.0	12.0	N45262995	45.441653	W075534906	-75.896961	N45164014	45.277817	W075445985	-75.749958	200606
CA78708	3	N07    NDB RW07	YSH	10	CYOW	YSH	CA	ASHTN	CA	03000	122.0	18.2	N44540316	44.900878	W076003789	-76.010525	N45115520	45.198667	W075552940	-75.924833	200606
CA78708	3	N07    NDB RW07	YSH	20	CYOW	ASHTN	CA	VISOL	CA	03000	71.0	2.8	N45115520	45.198667	W075552940	-75.924833	N45131860	45.221833	W075520720	-75.868667	200606
CA78708	3	N32    NDB RW32	LANRK	10	CYOW	LANRK	CA	YRR	CA	03000	77.0	37.9	N44593200	44.992222	W076223500	-76.376389	N45160600	45.268333	W075342500	-75.573611	200505
CA78708	3	N32    NDB RW32	THURO	10	CYOW	THURO	CA	YRR	CA	02700	255.0	31.0	N45315415	45.531708	W074562876	-74.941322	N45160600	45.268333	W075342500	-75.573611	200606
CA81138	3	T11-H  HI TACAN RW11	VBS	10	CYBG	VBS	CA	OBSEV	CA		23.3	16.5	N48010200	48.017222	W071160960	-71.269333	N48173026	48.291740	W071141934	-71.238707	200509
CA81138	3	T11-H  HI TACAN RW11	YQB	10	CYBG	YQB	CA	OBSEV	CA		29.0	95.0	N46421916	46.705322	W071373561	-71.626558	N48173026	48.291740	W071141934	-71.238707	200606
CA81138	3	T29-H  HI TACAN RW29	VBS	10	CYBG	VBS	CA	TIPIC	CA		72.0	25.0	N48010200	48.017222	W071160960	-71.269333	N48170996	48.286100	W070451490	-70.754140	200606
CA81138	3	T29-H  HI TACAN RW29	YQB	10	CYBG	YQB	CA	TIPIC	CA		40.0	99.0	N46421916	46.705322	W071373561	-71.626558	N48170996	48.286100	W070451490	-70.754140	200606
CA85901	3	G06    RNAV (GPS) RW06	CHUBB	10	CYXS	CHUBB	CA	EMUDU	CA	07000	299.0	25.6	N53262400	53.440000	W122330600	-122.551667	N53461440	53.770667	W123000960	-123.002667	200609
CA85901	3	N15    NDB RW15	XUKEB	10	CYXS	XUKEB	CA	VOLES	CA	05100	216.2	4.4	N54064200	54.111667	W122370100	-122.616944	N54041600	54.071111	W122431300	-122.720278	200608
CA85901	3	N15    NDB RW15	YXS	10	CYXS	YXS	CA	XUKEB	CA	05400	315.0	14.0	N53533900	53.894167	W122272000	-122.455556	N54064200	54.111667	W122370100	-122.616944	200608
CA85901	3	N15    NDB RW15	YXS1	10	CYXS	YXS	CA	ZXS	CA	05400	278.0	9.4	N53533900	53.894167	W122272000	-122.455556	N53580300	53.967500	W122412400	-122.690000	200608
CA89937	3	N35    NDB RW35	YXI	10	CYTA	YXI	CA	YTA	CA	02500	74.4	18.2	N45394714	45.663094	W077361001	-77.602781	N45481014	45.802817	W077130897	-77.219158	200404
CQ57302	3	FNDBA  NDBA	HIRCH	10	PGWT	HIRCH	GQ	SN	CQ	02600	348.7	19.5	N14472111	14.789197	E145460668	145.768522	N15064140	15.111500	E145423720	145.710333	200006
CQ57302	3	FNDBA  NDBA	WILLE	10	PGWT	WILLE	GQ	SN	CQ	02600	66.5	21.6	N14582700	14.974167	E145215431	145.365086	N15064140	15.111500	E145423720	145.710333	200006
CQ57302	3	G08    RNAV (GPS) RW08	HIRCH	10	PGWT	HIRCH	GQ	COVHI	CQ	02600	284.5	20.0	N14472111	14.789197	E145460668	145.768522	N14524706	14.879739	E145261617	145.437825	200401
CQ57302	3	G08    RNAV (GPS) RW08	SN	10	PGWT	SN	CQ	CENOR	CQ	02600	79.2	18.2	N15064140	15.111500	E145423720	145.710333	N15033776	15.060489	E145240642	145.401783	200401
CQ57302	3	G26    RNAV (GPS) RW26	HIRCH	10	PGWT	HIRCH	GQ	GAFWY	CQ	07000	77.7	4.3	N14472111	14.789197	E145460668	145.768522	N14481020	14.802833	E145502677	145.840769	200401
CQ57302	3	G26    RNAV (GPS) RW26	SNAPP	10	PGWT	SNAPP	GQ	SHODA	CQ	04700	47.0	63.6	N15511238	15.853439	E146362082	146.605783	N15083370	15.142694	E145471647	145.787908	200401
CQ67976	3	G27    GPS RW27	KAQTU	10	PGRO	KAQTU	CQ	REWJU	CQ	03000	59.8	29.7	N13454294	13.761928	E144581325	144.970347	N14000524	14.001456	E145250141	145.417058	200401
CQ67976	3	G27    GPS RW27	NUJCO	10	PGRO	NUJCO	CQ	OYOCO	CQ	06000	32.3	9.6	N14280950	14.469306	E145310826	145.518961	N14200983	14.336064	E145254042	145.427894	200401
CQ76485	3	G25    GPS RW25	ANEVY	10	PGSN	ANEVY	CQ	UKUGY	CQ	02600	229.0	22.2	N15260051	15.433475	E146162647	146.274019	N15115135	15.197597	E145584174	145.978261	200603
CQ76485	3	G25    GPS RW25	KATQO	10	PGSN	KATQO	CQ	BAGUW	CQ	03000	30.0	31.5	N14365737	14.615936	E145375960	145.633222	N15034097	15.061381	E145552105	145.922514	200603
CQ76485	3	G25    GPS RW25	LULJY	10	PGSN	LULJY	CQ	BAGUW	CQ	03000	65.0	39.6	N14481494	14.804150	E145173830	145.293972	N15034097	15.061381	E145552105	145.922514	200603
CQ76485	3	I07    ILS/DME RW07	UNZ	10	PGSN	UNZ	GQ	SN	CQ	02600	27.8	114.1	N13271620	13.454500	E144440000	144.733333	N15064140	15.111500	E145423720	145.710333	200107
CQ76485	3	N07    NDB RW07	HIRCH	10	PGSN	HIRCH	GQ	SN	CQ	02600	348.7	19.5	N14472111	14.789197	E145460668	145.768522	N15064140	15.111500	E145423720	145.710333	200010
CQ76485	3	N07    NDB RW07	WILLE	10	PGSN	WILLE	GQ	SN	CQ	02600	66.5	21.6	N14582700	14.974167	E145215431	145.365086	N15064140	15.111500	E145423720	145.710333	200010
CQ76485	3	Q25    NDB/DME RW25	HIRCH	10	PGSN	HIRCH	GQ	SN	CQ	02600	348.7	19.5	N14472111	14.789197	E145460668	145.768522	N15064140	15.111500	E145423720	145.710333	200404
CQ76485	3	Q25    NDB/DME RW25	HIRCH	20	PGSN	SN	CQ	SHODA	CQ	02600	66.3	4.9	N15064140	15.111500	E145423720	145.710333	N15083370	15.142694	E145471647	145.787908	200404
CQ76485	3	Q25    NDB/DME RW25	WILLE	10	PGSN	WILLE	GQ	SN	CQ	02600	66.5	21.6	N14582700	14.974167	E145215431	145.365086	N15064140	15.111500	E145423720	145.710333	200404
CQ76485	3	Q25    NDB/DME RW25	WILLE	20	PGSN	SN	CQ	SHODA	CQ	02600	66.3	4.9	N15064140	15.111500	E145423720	145.710333	N15083370	15.142694	E145471647	145.787908	200404
DA41596	3	I27L   ILS/DME RW27L	AAL	10	EKKA	AAL	DA	KA	DA	03500	26.7	54.5	N57061339	57.103719	E009594408	9.995578	N56175442	56.298450	E009141305	9.236958	200408
DA41596	3	I27L   ILS/DME RW27L	SKR	10	EKKA	SKR	DA	KA	DA	03500	359.7	64.3	N55134418	55.228939	E009125061	9.214058	N56175442	56.298450	E009141305	9.236958	200408
DA41596	3	I27L   ILS/DME RW27L	VES	10	EKKA	VES	DA	KA	DA	03500	36.3	52.4	N55361133	55.603147	E008175986	8.299961	N56175442	56.298450	E009141305	9.236958	200408
DA41596	3	T09R-H HI TACAN RW09R	AAL	10	EKKA	AAL	DA	KAR29	DA		42.7	60.7	N57061339	57.103719	E009594408	9.995578	N56220001	56.366670	E008441320	8.737001	200601
DA41596	3	T09R-H HI TACAN RW09R	RAM	10	EKKA	RAM	DA	KAR29	DA		289.6	19.5	N56284214	56.478372	E008111451	8.187364	N56220001	56.366670	E008441320	8.737001	200601
DA41596	3	T09R-H HI TACAN RW09R	SKR	10	EKKA	SKR	DA	KAR29	DA		345.9	70.2	N55134418	55.228939	E009125061	9.214058	N56220001	56.366670	E008441320	8.737001	200601
DA41596	3	T09R-H HI TACAN RW09R	VES	10	EKKA	VES	DA	KAR29	DA		17.2	48.2	N55361133	55.603147	E008175986	8.299961	N56220001	56.366670	E008441320	8.737001	200601
DA76239	3	D11L-H HI VORTAC RW11L	AAL	10	EKSP	AAL	DA	SKR11	DA		17.5	111.0	N57061339	57.103719	E009594408	9.995578	N55204702	55.346394	E008580446	8.967905	200601
DA76239	3	D11L-H HI VORTAC RW11L	ALS	10	EKSP	ALS	DA	SKR11	DA		306.3	44.1	N54541949	54.905414	E009593616	9.993378	N55204702	55.346394	E008580446	8.967905	200601
DA76239	3	D11L-H HI VORTAC RW11L	KAR	10	EKSP	KAR	DA	SKR11	DA		0.8	57.1	N56174803	56.296675	E009003095	9.008597	N55204702	55.346394	E008580446	8.967905	200601
DA76239	3	D11L-H HI VORTAC RW11L	RAM	10	EKSP	RAM	DA	SKR11	DA		338.2	72.9	N56284214	56.478372	E008111451	8.187364	N55204702	55.346394	E008580446	8.967905	200601
DA76239	3	D11L-H HI VORTAC RW11L	SWG	10	EKSP	SWG	GM	SKR11	DA		340.3	56.7	N54271320	54.453667	E009300540	9.501500	N55204702	55.346394	E008580446	8.967905	200601
DA76239	3	D11L-H HI VORTAC RW11L	VES	10	EKSP	VES	DA	SKR11	DA		303.4	27.5	N55361133	55.603147	E008175986	8.299961	N55204702	55.346394	E008580446	8.967905	200601
DA76239	3	D29R-H HI VORTAC RW29R	AAL	10	EKSP	AAL	DA	SKR12	DA		6.7	111.7	N57061339	57.103719	E009594408	9.995578	N55153492	55.259700	E009333432	9.559532	200601
DA76239	3	D29R-H HI VORTAC RW29R	ALS	10	EKSP	ALS	DA	SKR12	DA		324.1	26.0	N54541949	54.905414	E009593616	9.993378	N55153492	55.259700	E009333432	9.559532	200601
DA76239	3	D29R-H HI VORTAC RW29R	CDA	10	EKSP	CDA	DA	SKR12	DA		278.2	98.3	N55000540	55.001500	E012224516	12.379211	N55153492	55.259700	E009333432	9.559532	200601
DA76239	3	D29R-H HI VORTAC RW29R	KAR	10	EKSP	KAR	DA	SKR12	DA		342.5	65.0	N56174803	56.296675	E009003095	9.008597	N55153492	55.259700	E009333432	9.559532	200601
DA76239	3	D29R-H HI VORTAC RW29R	ODN	10	EKSP	ODN	DA	SKR12	DA		62.1	42.1	N55345164	55.581011	E010391076	10.652989	N55153492	55.259700	E009333432	9.559532	200601
DA76239	3	D29R-H HI VORTAC RW29R	RAM	10	EKSP	RAM	DA	SKR12	DA		326.8	86.7	N56284214	56.478372	E008111451	8.187364	N55153492	55.259700	E009333432	9.559532	200601
DA76239	3	D29R-H HI VORTAC RW29R	VES	10	EKSP	VES	DA	SKR12	DA		294.7	47.7	N55361133	55.603147	E008175986	8.299961	N55153492	55.259700	E009333432	9.559532	200601
EI62625	3	D06    VORDME RW06	FOY	10	EINN	FOY	EI	SHA	EI		56.7	14.7	N52335852	52.566256	W009114348	-9.195411	N52431564	52.721011	W008530677	-8.885214	200413
ES49264	3	I07    ILS RW07	CAT	10	MSLP	CAT	ES	LAN	ES	03000	68.6	5.5	N13262903	13.441397	W089025193	-89.047758	N13244352	13.412089	W089081507	-89.137519	200404
ES49264	3	I07    ILS RW07	ONGOS	10	MSLP	ONGOS	ES	CAT55	ES		80.9	15.7	N13171800	13.288333	W088421800	-88.705000	N13151803	13.255008	W088581519	-88.970886	200404
ES49264	3	I07    ILS RW07	SEDRO	10	MSLP	SEDRO	ES	CAT55	ES	05000	299.7	11.7	N13091000	13.152778	W088480400	-88.801111	N13151803	13.255008	W088581519	-88.970886	200404
ES76339	3	D15    VORDME RW15	BARAS	10	MSSS	BARAS	ES	YSV25	ES	08000	72.0	11.0	N13343700	13.576944	W089323500	-89.543056	N13372962	13.624894	W089215217	-89.364492	200606
ES76339	3	D15    VORDME RW15	KOSTO	10	MSSS	KOSTO	ES	YSV30	ES	08000	120.0	10.0	N13550000	13.916667	W089283000	-89.475000	N13493649	13.826803	W089195514	-89.331983	200606
ES76339	3	D15    VORDME RW15	MORAM	10	MSSS	MORAM	ES	YSV11	ES	08000	191.0	10.0	N14053500	14.093056	W089005200	-89.014444	N13560182	13.933839	W089031479	-89.054108	200606
ES76339	3	D15    VORDME RW15	PERLA	10	MSSS	PERLA	ES	YSV76	ES	08000	256.0	10.0	N13455600	13.765556	W088414300	-88.695278	N13441631	13.737864	W088515054	-88.864039	200606
ES76339	3	D15    VORDME RW15	RELTA	10	MSSS	RELTA	ES	YSV35	ES	08000	173.0	10.0	N14061300	14.103611	W089090200	-89.150556	N13562651	13.940697	W089080343	-89.134286	200606
ES76339	3	D15    VORDME RW15	SULMA	10	MSSS	SULMA	ES	YSV05	ES	08000	51.8	10.9	N13571200	13.953333	W088454800	-88.763333	N13504077	13.844658	W088544936	-88.913711	200606
FM13386	3	G05    RNAV (GPS) RW05	AMZAP	10	PTSA	AMZAP	FM	WAVKI	FM	02000	300.7	18.1	N05305947	5.516519	E162285683	162.482453	N05194622	5.329506	E162431604	162.721122	200311
