SUAS_IDENT	SECTOR	TYPE	NAME	ICAO	CON_AGCY	LOC_HDATUM	WGS_DATUM	COMM_NAME	FREQ1	FREQ2	LEVEL	UPPER_ALT	LOWER_ALT	EFF_TIMES	WX	CYCLE_DATE
(EH)TRA07		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.35  M	B	FL300	FL55	INTMT	VMC-IMC	200510
(EH)TRA07A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.35  M	H	FL500	FL300	INTMT	VMC-IMC	200510
(EH)TRA08		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	NIEUW MILLIGEN MIL	132.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510
(EH)TRA08A		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	H	FL500	FL300	INTMT	VMC-IMC	200510
(EH)TRA09		T		EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.65  M	B	FL300	FL55	INTMT	VMC-IMC	200510
(EHD50)		D	BEEK DETONATION AREA	EHMC	NIEUW MILLIGEN MIL ATCC	WGE	WGE	DUTCH MIL INFO	132.35  M	276.35  M	L	003500AGL	SURFACE	MON-FRI 0700-1600Z++	VMC-IMC	200609
(EKTRA)JY1		T	JYLLAND 1	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	FL125	H24	VMC-IMC	200503
(EKTRA)JY2		T	JYLLAND 2	EKDK	COPPENHAGEN INFO	WGE	WGE				B	FL460	FL125	H24	VMC-IMC	200503
(EKTRA)KGT1		T	KATTEGAT 1	EKDK	COPENHAGEN INFO	WGE	WGE				L	FL195	GND	H24	VMC-IMC	200503
(EKTRA)KGT2		T	KATTEGAT 2	EKDK	COPENHAGEN INFO	WGE	WGE				L	FL195	GND	H24	VMC-IMC	200503
(EKTRA)LAN		T	LANGELAND	EKDK	COPENHAGEN INFO	WGE	WGE				L	FL195	GND	H24	VMC-IMC	200503
(EKTRA)NS1		T	NORDSO 1	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503
(EKTRA)NS2		T	NORDSO 2	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503
(EKTRA)NS3		T	NORDSO 3	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503
(EKTRA)NS4		T	NORDSO 4	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503
(EKTRA)NS5		T	NORDSO 5	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503
(EKTRA)NS6		T	NORDSO 6	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200604
(EKTRA)NS7		T	NORDSO 7	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200604
(EKTRA)NS8		T	NORDSO 8	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200604
(EKTRA)VE1		T	VENDSYSSEL 1	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503
(EKTRA)VE2		T	VENDSYSSEL 2	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503
(EKTRAAL1)		T	AALBORG	EKYT	AALBORG APP	WGE	WGE	AALBORG APP	123.975 M	309.95  M	L	FL195	FL55	H24	VMC-IMC	200503
(EKTRACDFA)		T	CORRIDOR FANOE	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503
(EKTRACDSI)		T	CORRIDOR SILKEBORG	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503
(EKTRACDVE)		T	CORRIDOR VENDSYSSEL	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL460	GND	H24	VMC-IMC	200503
(EKTRAKA1)		T	KARUP	EKKA	KARUP APP	WGE	WGE	KARUP APP	120.425 M	292.75  M	L	FL195	FL55	H24	VMC-IMC	200503
(EKTRASP1)		T	SKRYDSTRUP	EKSP	SKRYDSTRUP APP	WGE	WGE	SKRYDSTRUP APP	127.475 M	300.075 M	L	FL195	GND	H24	VMC-IMC	200601
(EKTSASI)		T	SILKEBORG	EKDK	COPENHAGEN INFO	WGE	WGE				B	FL285	GND	H24	VMC-IMC	200507
(EN)AMCD B3A		T	BIRCH 3A	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	MON-FRI H24	VMC-IMC	200504
(EN)AMCD B4A		T	BIRCH 4A	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	MON-FRI H24	VMC-IMC	200504
(EN)AMCD B4C		T	BIRCH 4C	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	MON-FRI H24	VMC-IMC	200504
(EN)AMCD B4D		T	BIRCH 4D	ENBD	BODO ATC	WGE	WGE				B	FL500	FL115	MON-FRI H24	VMC-IMC	200504
(EN)AMCD B6A		T	BIRCH 6A	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	MON-FRI H24	VMC-IMC	200504
(EN)AMCD B6B		T	BIRCH 6B	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	MON-FRI H24	VMC-IMC	200504
(EN)AMCD O5A		T	OAK 5A	ENOS	OSLO ATC	WGE	WGE				B	FL500	FL95	INTMT	VMC-IMC	200501
(EN)AMCD O5B		T	OAK 5B	ENOS	OSLO ATC	WGE	WGE				B	FL500	FL95	INTMT	VMC-IMC	200501
(EN)AMCD T1A		T	TEAK 1A	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	INTMT	VMC-IMC	200501
(EN)AMCD T1B		T	TEAK 1B	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	INTMT	VMC-IMC	200501
(EN)AMCD T1C		T	TEAK 1C	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	INTMT	VMC-IMC	200501
(EN)AMCD T1D		T	TEAK 1D	ENBD	BODO ATC	WGE	WGE				B	FL500	FL195	INTMT	VMC-IMC	200501
(ESP)S04		P	GYTTORP	ESOS	STOCKHOLM ACC	WGE	WGE	STOCKHOLM CON	131.125 M		L	001700AGL	SURFACE	CONT	VMC-IMC	200406
(ESP)S05		P	KVARNTORP	ESOS	STOCKHOLM ACC	WGE	WGE	STOCKHOLM CON	131.125 M		L	011000AMSL	SURFACE	CONT	VMC-IMC	200406
(FBD11)		D	GABORONE FLYING TRAINING AREA	FBSK	GABORONE APP	WGE	WGE	GABORONE APP	128.2   M		L	FL100	SURFACE	CONT	VMC-IMC	200303
(FBD14)		D	FRANCISTOWN FLYING TRAINING AREA	FBFT	FRANCISTOWN TWR	WGE	WGE	FRANCISTOWN TWR	118.1   M		L	007000AMSL	SURFACE	CONT	VMC-IMC	200013
(FBD15)		D	MAUN FLYING TRAINING AREA	FBMN	MAUN APP	WGE	WGE	MAUN APP	126.0   M		L	007000AMSL	SURFACE	CONT	VMC-IMC	200102
(FQ)D23		D	MOAMBA	FQBE	MINISTRY OF DEFENSE	ARF	WGE				B	UNLTD	SURFACE	BY NOTAM	VMC-IMC	200009
(FQ)D25		D	BOANE	FQBE	MINISTRY OF DEFENSE	ARF	WGE				B	UNLTD	SURFACE	BY NOTAM	VMC-IMC	200012
(FQ)P22		P	MOAMBA	FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)P24		P	BOANE	FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)R10		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)R11		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)R12		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)R13		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)R14		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)R15		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)R16		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)R17		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)R18		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)R19		R		FQBE	MINISTRY OF DEFENSE	WGE	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200012
(FQ)R2		R	GORONGOSA	FQBE		ARF	WGE				L	002000AGL	SURFACE	CONT PPR	VMC-IMC	200009
(FQ)R20		R		FQBE	MINISTRY OF DEFENSE	WGE	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200012
(FQ)R21		R		FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)R27		R	BAZARUTO ISLAND	FQBE	MINISTRY OF DEFENSE	ARF	WGE				L	004000AGL	SURFACE	CONT  PPR  SEE AP/2	VMC-IMC	200012
(FQ)R28		R	INHACA ISLAND	FQBE	MAPUTO APP CON	ARF	WGE	MAPUTO APP CON	121.3   M		L	FL100	FL50	BY NOTAM	VMC-IMC	200206
(FQ)R29		R		FQBE	MAPUTO APP CON	ARF	WGE	MAPUTO APP CON	121.3   M		L	FL80	SURFACE	BY NOTAM	VMC-IMC	200206
(FQ)R3		R	MAPUTO	FQBE		ARF	WGE				L	002000AMSL	SURFACE	CONT PPR	VMC-IMC	200009
(FQ)R30		R	PUNGUE	FQBE		ARF	WGE				L	005000AGL	SURFACE	CONT	VMC-IMC	200009
(FQ)R31		R		FQBE	BEIRA FIC	ARF	WGE				L	007300AGL	SURFACE	BY NOTAM	VMC-IMC	200009
(FQ)R32		R	MAPUTO	FQBE		ARF	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200009
(FQ)R33		R	NACALA	FQBE		ARF	WGE				B	UNLTD	SURFACE	CONT	VMC-IMC	200009
(FQ)R4		R	CHOTA (BEIRA)	FQBE		ARF	WGE				L	006600AMSL	SURFACE	BY NOTAM	VMC-IMC	200012
(FQ)R5		R	COSTA DO SOL (MAPUTO)	FQBE		ARF	WGE				L	006600AMSL	SURFACE	BY NOTAM	VMC-IMC	200009
(FQ)R6		R	NAMPULA	FQBE		ARF	WGE				L	011500AGL	SURFACE	BY NOTAM	VMC-IMC	200009
(FQ)R9		R	XILUVO HILLS	FQBE		ARF	WGE				L	005000AGL	SURFACE	CONT-PPR	VMC-IMC	200009
(FSR11)		R	ARIDE ISLAND	FSSS	SEYCHELLES APP	TAN	WGE				L	002000AMSL	GND	CONT	VMC-IMC	200608
(FSR12)		R	BIRD ISLAND	FSSS	SEYCHELLES APP	TAN	WGE				L	002000AMSL	GND	CONT	VMC-IMC	200608
(FSR13)		R	COUSIN ISLAND	FSSS	SEYCHELLES APP	TAN	WGE				L	002000AMSL	GND	CONT	VMC-IMC	200608
(FSR14)		R	FREGATE ISLAND	FSSS	SEYCHELLES APP	TAN	WGE				L	002000AMSL	GND	CONT	VMC-IMC	200608
(FZR14)		R	KINSHASA 1	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR15)		R	KINSHASA 2A	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR16)		R	KINSHASA 2B	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR17)		R	KINSHASA 3	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR18)		R	MBANDAKA 1	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR19)		R	MBANDAKA 2	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR20)		R	KANANGA 1A	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR21)		R	KANANGA 1B	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR22)		R	KANANGA 2	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR23)		R	KANANGA 3	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR24)		R	MBUJIMAYI 1	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR25)		R	MBUJIMAYI 2	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR26)		R	MBUJIMAYI 3	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR27)		R	LUBUMBASHI 1	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(FZR28)		R	LUBUMBASHI 2	FZAA	KINSHASA NDJILI ARPT DIRECTOR	ARF	WGE				B	FL240	FL100	BY NOTAM	VMC-IMC	200610
(GF)D1		D	MATAGITA	GFLL	FREETOWN  APP CON	LIB	WGE	FREETOWN APP CON	119.1   M		L	005000AMSL	SURFACE	CONT		200008
(GOP31)		P	MAURITANIA/SENEGAL BORDER	GOOY	DAKAR TWR	LIB	WGE	DAKAR TWR	118.1   M		L	006000AMSL	SURFACE	CONT	VMC-IMC	200008
(HER28)		R	EL KUTTAMIA	HECC		WGE	WGE				B	UNLTD	GND	CONT	VMC-IMC	200509
(LDD36)		D	DUBROVNIK FVA	LDZO	ACC ZAGREB	WGE	WGE				L	FL135	SURFACE	BY NOTAM	VMC-IMC	200105
(LDM01)		M	CORRIDOR P1	LD		WGE	WGE	PULA FIS	124.600 M		L	001000AGL	GND	BY NOTAM	VMC-IMC	200411
(LDM02)		M	CORRIDOR P2	LD		WGE	WGE	PULA FIS	124.600 M		L	001000AGL	GND	BY NOTAM	VMC-IMC	200411
(LDM03)		M	CORRIDOR P3	LD		WGE	WGE	PULA FIS	124.600 M		L	001000AGL	GND	BY NOTAM	VMC-IMC	200411
(LDM04)		M	CORRIDOR P4	LD		WGE	WGE	PULA FIS	124.600 M		L	001000AGL	GND	BY NOTAM	VMC-IMC	200411
(LDM05)		M	CLASKO	LD		WGE	WGE	ZAGREB FIS	124.850 M		L	FL280	FL260	BY NOTAM	VMC-IMC	200410
(LDR46)		M	CORRIDOR Z4	LDZO	ACC ZAGREB	WGE	WGE	ZAGREB FIS	124.850 M		L	001000AGL	GND	BY NOTAM	VMC-IMC	200411
(LDR56)		M	CORRIDOR Z5	LDZO	ACC ZAGREB	WGE	WGE	ZAGREB FIS	124.850 M		L	001000AGL	GND	BY NOTAM	VMC-IMC	200411
(LDT10)		T	HARLEY 1	LDZO	ACC ZAGREB	WGE	WGE				L	FL280	FL220	BY NOTAM	VMC-IMC	200411
(LDT20)		T	HARLEY 2	LDZO	ACC ZAGREB	WGE	WGE				L	FL280	FL220	BY NOTAM	VMC-IMC	200411
(LDT30)		T	FORUM A	LDZO	ACC ZAGREB	WGE	WGE				L	FL170	FL100	BY NOTAM	VMC-IMC	200411
(LDT40)		T	FORUM B	LDZO	ACC ZAGREB	WGE	WGE				L	FL280	FL170	BY NOTAM	VMC-IMC	200411
(LFD)M504		D	GORDOLASQUE VALLEY	LFEE		WGE	WGE				L	000700AGL	SURFACE	CONT	VMC-IMC	200510
(LFP)M1(A)		P	VITTEAUX	LFEE		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200011
(LFP)M1(B)		P	VITTEAUX	LFEE		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200011
(LFP)M1(C)		P	VITTEAUX	LFEE		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200011
(LFP)M10		P	HARNES	LFFF		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009
(LFP)M12		P	PONT DE BUIS	LFRR		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009
(LFP)M13		P	SAINT GOBAIN	LFFF		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009
(LFP)M15		P	SAINT SEVER	LFRR		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009
(LFP)M18		P	SAINT GEORGES DE BOHON	LFRR		WGE	WGE				L	003000AGL	SURFACE	CONT	VMC-IMC	200009
