BDRY_IDENT	TYPE	NAME	ICAO	CON_AUTH	LOC_HDATUM	WGS_DATUM	COMM_NAME	COMM_FREQ1	COMM_FREQ2	CLASS	CLASS_EXC	CLASS_EX_RMK	LEVEL	UPPER_ALT	LOWER_ALT	RNP	CYCLE_DATE
AY00038	06	PORT MORESBY CTA SCTR C	AYPY	MORESBY ACC	WGE	WGE	MORESBY CNTR	119.3   M	319.1   M				B	FL245	15000AMSL		200410
AY00039	06	PORT MORESBY CTA SCTR D	AYPY	MORESBY ACC	WGE	WGE	MORESBY CNTR	119.3   M	319.1   M				B	FL245	20000AMSL		200410
AY00040	11	PORT MORESBY TCA SCTR A	AYPY	JACKSONS APP CON	WGE	WGE	JACKSONS APP	125.8   M	319.1   M				B	015000AMSL	01500AMSL		200410
AY00041	11	PORT MORESBY TCA SCTR B	AYPY	JACKSONS APP CON	WGE	WGE	JACKSONS APP	125.8   M	319.1   M				B	015000AMSL	04000AMSL		200410
AY00042	11	PORT MORESBY TCA SCTR C1	AYPY	JACKSONS APP CON	WGE	WGE	JACKSONS APP	125.8   M	319.1   M				B	015000AMSL	05000AMSL		200410
AY00043	11	PORT MORESBY TCA SCTR C2	AYPY	JACKSONS APP CON	WGE	WGE	JACKSONS APP	125.8   M	319.1   M				B	015000AMSL	05000AMSL		200410
AY00044	11	PORT MORESBY TCA SCTR C3	AYPY	JACKSONS APP CON	WGE	WGE	JACKSONS APP	125.8   M	319.1   M				B	015000AMSL	05000AMSL		200410
AY00045	11	PORT MORESBY TCA SCTR D	AYPY	JACKSONS APP CON	WGE	WGE	JACKSONS APP	125.8   M	319.1   M				B	015000AMSL	07000AMSL		200410
AY00046	11	PORT MORESBY TCA SCTR E	AYPY	JACKSONS APP CON	WGE	WGE	JACKSONS APP	125.8   M	319.1   M				B	015000AMSL	09000AMSL		200410
AY00047	11	PORT MORESBY TCA SCTR F1	AYPY	JACKSONS APP CON	WGE	WGE	JACKSONS APP	125.8   M	319.1   M				B	015000AMSL	12000AMSL		200410
AY00048	11	PORT MORESBY TCA SCTR F2	AYPY	JACKSONS APP CON	WGE	WGE	JACKSONS APP	125.8   M	319.1   M				B	015000AMSL	12000AMSL		200410
AY00049	11	PORT MORESBY TCA SCTR G	AYPY	JACKSONS APP CON	WGE	WGE	JACKSONS APP	125.8   M	319.1   M				B	015000AMSL	14000AMSL		200410
AY00060	06	NADZAB CTA SCTR A	AYNZ	NADZAB APP CON	WGE	WGE	APP	118.6   M					B	FL245	05000AMSL		200410
AY00061	06	NADZAB CTA SCTR B1	AYNZ	NADZAB APP CON	WGE	WGE	APP	118.6   M					B	FL245	08000AMSL		200410
AY00062	06	NADZAB CTA SCTR B2	AYNZ	NADZAB APP CON	WGE	WGE	APP	118.6   M					B	FL245	08000AMSL		200410
AY00063	06	NADZAB CTA SCTR C	AYNZ	NADZAB APP CON	WGE	WGE	APP	118.6   M					B	FL245	13000AMSL		200410
AY00064	11	NADZAB TCA SCTR A	AYNZ	NADZAB APP CON	WGE	WGE	APP	118.6   M					B	015000AMSL	02000AMSL		200410
AY00065	11	NADZAB TCA SCTR B1	AYNZ	NADZAB APP CON	WGE	WGE	APP	118.6   M					B	015000AMSL	05000AMSL		200410
AY00066	11	NADZAB TCA SCTR B2	AYNZ	NADZAB APP CON	WGE	WGE	APP	118.6   M					B	015000AMSL	05000AMSL		200410
AY00067	11	NADZAB TCA SCTR C	AYNZ	NADZAB APP CON	WGE	WGE	APP	118.6   M					B	015000AMSL	06000AMSL		200410
AY00068	11	NADZAB TCA SCTR D	AYNZ	NADZAB APP CON	WGE	WGE	APP	118.6   M					B	015000AMSL	08000AMSL		200410
AY00069	11	NADZAB TCA SCTR E1	AYNZ	NADZAB APP CON	WGE	WGE	APP	118.6   M					B	015000AMSL	10000AMSL		200410
AY00070	11	NADZAB TCA SCTR E2	AYNZ	NADZAB APP CON	WGE	WGE	APP	118.6   M					B	015000AMSL	10000AMSL		200410
AY00077	06	NADZAB CTA SCTR D	AYPY	NADZAB APP CON	WGE	WGE	APP	118.6   M					B	FL245	15000AMSL		200410
AY00079	07	NADZAB CTLZ	AYNZ	NADZAB APP CON	WGE	WGE	APP	118.6   M		D			L	006000AMSL	GND		200410
AY00080	07	GOROKA CTLZ	AYGA	GOROKA TOWER	WGE	WGE	TWR	118.7   M		D			B	020000AMSL	SURFACE		200410
AY00081	07	MADANG CLTZ	AYMD	MADANG TWR	WGE	WGE	TWR	118.1   M		D			B	020000AMSL	SURFACE		200410
AY00082	07	MOUNT HAGEN CLTZ	AYMD	MOUNT HAGEN TWR	WGE	WGE	TWR	120.5   M		D			B	020000AMSL	SURFACE		200410
AY00083	07	WEWAK CLTZ	AYMD	WEWAK TRAFFIC	WGE	WGE	CTAF	121.7   M		D			B	020000AMSL	SURFACE		200606
AY00084	07	TOKUA CLTZ	AYMD	TOKUA TWR	WGE	WGE	TWR	120.9   M		D			B	020000AMSL	SURFACE		200410
BG00001	08	SONDRESTROM FIR	BGGL	SONDRESTROM FIC	WGE	WGE	INFO	121.3   M	2950    K	G	Y	EXCEPT AIRSPACE OTHERWISE DESIGNATED.	B	UNLTD	GND		200410
BG00002	11	SONDRESTROM TCA SCTR A	BGGL	SONDRESTROM APP	WGE	WGE	APP	126.2   M		D			L	006500AMSL	03500AMSL		200410
BG00003	11	SONDRESTROM TCA SCTR B	BGGL	SONDRESTROM APP	WGE	WGE	APP	126.2   M		D			L	003499AMSL	02000AMSL		200410
BG00006	07	SONDRESTROM CTLZ	BGSF	SONDRESTROM TWR	WGE	WGE	TWR	118.3   M		D			L	003500AGL	GND		200410
BG00007	06	SONDRESTROM CTA	BGSF	SONDRESTROM APCH	WGE	WGE	APP	126.2   M		E			L	FL195	06500AMSL		200410
BG00008	06	THULE CTA	BGTL	THULE APP	WGE	WGE	APP	134.1   M	363.8   M	E			L	FL195	07000AMSL		200410
BG00009	07	THULE CTLZ	BGTL	THULE TWR	WGE	WGE	TWR	126.2   M	255.6   M	D			L	007000AMSL	GND		200410
BI00001	08	REYKJAVIK FIR	BIRD	REYKJAVIK ACC	WGE	WGE	CON			A			B	UNLTD	GND		200510
BI00002	09	REYKJAVIK OCA SCTR A	BIRD	REYKJAVIK ACC	WGE	WGE	CON			A			B	UNLTD	GND		200601
BI00003	09	REYKJAVIK OCA SCTR B	BIRD	REYKJAVIK CONTROL	WGE	WGE	CON	2971    K	4675    K	A			B	UNLTD	FL195		200510
BI00004	09	REYKJAVIK OCA EAST SCTR	BIRD	REYKJAVIK ACC	WGE	WGE	CON	126.75  M	255.5   M	A			B	UNLTD	GND		200512
BI00005	09	REYKJAVIK OCA SOUTH SCTR	BIRD	REYKJAVIK ACC	WGE	WGE	CON	119.7   M	255.4   M	A			B	UNLTD	GND		200602
BI00006	09	REYKJAVIK OCA WEST SCTR	BIRD	REYKJAVIK ACC	WGE	WGE	CON	127.85  M	4675    K	A			B	UNLTD	GND		200512
BI00007	09	REYKJAVIK OCA NORTH SCTR	BIRD	REYKJAVIK ACC	WGE	WGE	CON	4675    K	8891    K	A			B	UNLTD	GND		200512
BI00008	06	REYKJAVIK CTA DOMESTIC SCTR	BIRD	REYKJAVIK ACC	WGE	WGE	CON	119.7   M	255.4   M	A	Y	CLASS E BELOW FL200.	B	FL265	GND		200502
BI00010	11	FAXI TCA KEFLAVIK SCTR	BIRD	KEFLAVIK APP CON	WGE	WGE	KEFLAVIK APP	119.3   M	363.8   M	A	Y	CLASS C FL200 TO 3000 MSL/1000 AGL WHICHEVER IS HIGHER	L	FL245	03000AMSL		200507
BI00012	11	FAXI TCA REYKJAVIK SCTR	BIRD	REYKJAVIK APP	WGE	WGE	REYKJAVIK APP	119.0   M	363.8   M	A	Y	CLASS D FL200 TO 3000 MSL/1000 AGL WHICHEVER IS HIGHER	L	FL245	03000AMSL		200502
BI00015	11	AKUREYRI TCA	BIAR	AKUREYRI TWR	WGE	WGE	TWR	118.2   M	292.7   M	D			L	007000AMSL	03000AMSL		200410
BI00025	07	AKUREYRI CTLZ	BIAR	AKUREYRI TOWER	WGE	WGE	TWR	118.2   M	292.7   M	D			L	003000AMSL	GND		200410
BI00026	07	KEFLAVIK CTLZ	BIKF	KEFLAVIK APP	WGE	WGE	APP	118.3   M	257.8   M	D			L	003000AMSL	GND		200410
BI00027	07	REYKJAVIK CTLZ	BIRD	REYKJAVIK APP	WGE	WGE	TWR	118.0   M	292.7   M	D			L	003000AMSL	GND		200410
BI00028	07	VESTMANNAEYJAR CTLZ	BIVM	VESTMANNAEYJAR TWR	WGE	WGE	TWR	118.5   M	118.6   M	D			L	003000AMSL	GND		200410
BI00029	02	ICELAND MILITARY INNER ADIZ	BIRD	REYKJAVIK ACC	WGE	WGE	REYKJAVIK CON	119.7   M	255.4   M	A			B	FL600	GND		200410
BI00030	02	ICELAND MILITARY OUTER ADIZ	BIRD	REYKJAVIK ACC	WGE	WGE	REYKJAVIK CON	119.7   M	255.4   M	A			B	FL600	GND		200410
CY00001	07	EDMONTON CITY CNTR, AB CTLZ BLATCHFORD	CYXD	CITY CENTRE TWR	WGE	WGE	CITY CENTRE TWR	119.1   M	283.7   M	C			L	004599AMSL	SURFACE		200410
CY00004	07	GRANDE PRAIRIE, AB  CTLZ	CYQU	GRANDE PRAIRIE RDO	WGE	WGE	RDO	118.1   M	266.8   M	E			L	005200AMSL	SURFACE		200410
CY00005	07	LETHBRIDGE, AB  CTLZ	CYQL	LETHBRIDGE RDO	WGE	WGE	RDO	121.0   M	236.6   M	E			L	006000AMSL	SURFACE		200410
CY00007	07	WHITEHORSE, YT CTLZ	CYEG	WHITEHORSE TWR	WGE	WGE	TWR	118.3   M	236.6   M	D			L	005300AMSL	SURFACE		200410
CY00008	07	YELLOWKNIFE, YT CTLZ	CYZF	YELLOWKNIFE TOWER	WGE	WGE	TWR	118.5   M	340.8   M	D			L	003700AMSL	SURFACE		200410
CY00009	07	CALGARY INTL, AB CTLZ	CYYC	CALGARY INTL TOWER	WGE	WGE	TWR	118.4   M	236.6   M	C			L	006600AMSL	SURFACE		200410
CY00010	07	EDMONTON INTL, AB CTLZ	CYEG	EDMONTON INTL TWR	WGE	WGE	TWR	118.3   M	381.2   M	C			L	004599AMSL	SURFACE		200410
CY00011	07	COLD LAKE, AB CTLZ	CYOD	COLD LAKE TOWER	WGE	WGE	TWR	124.5   M	322.8   M	D			L	008000AMSL	SURFACE		200410
CY00014	07	FORT SIMPSON, NT  CTLZ	CYEG	FORT SIMPSON RDO	WGE	WGE	RDO	122.2   M	296.6   M	E			L	003600AMSL	SURFACE		200410
CY00015	07	FORT SMITH, NT  CTLZ	CYEG	EDMONTON CENTER	WGE	WGE	RDO	122.2   M		E			L	003700AMSL	SURFACE		200410
CY00017	07	HIGH LEVEL, AB  CTLZ	CYOJ	HIGH LEVEL RDO	WGE	WGE	RDO	123.25  M		E			L	004200AMSL	SURFACE		200410
CY00020	07	MEDICINE HAT, AB CTLZ	CYXH	MEDICINE HAT RDO	WGE	WGE	RDO	122.2   M		E			L	005400AMSL	SURFACE		200410
CY00021	07	NORMAN WELLS, NT CTLZ	CYVQ	EDMONTON ACC	WGE	WGE	RDO	122.2   M		E			L	003200AMSL	SURFACE		200410
CY00026	07	WATSON LAKE, YT CTLZ	CYQH	EDMONTON CENTER	WGE	WGE	WHITEHORSE RDO	122.1   M		E			L	005300AMSL	SURFACE		200410
CY00028	07	DEER LAKE, NF CTLZ	CYWG	GANDER ACC	WGE	WGE	RDO	122.1   M		E			L	003100AMSL	SURFACE		200410
CY00031	07	GANDER INTL, NF CTLZ	CYQX	GANDER APP	WGE	WGE	TWR	118.1   M	236.6   M	D			L	003500AMSL	SURFACE		200410
CY00034	07	CHARLOTTETOWN, PE CTLZ	CYQM	MONCTON ACC	WGE	WGE	RDO	122.1   M	236.6   M	E			L	003200AMSL	SURFACE		200410
CY00039	07	FREDERICTON, NB CTLZ	CYQM	FREDERICTON RDO	WGE	WGE	RDO	119.0   M	236.6   M	E			L	003500AMSL	SURFACE		200410
CY00040	07	GOOSE BAY, NF CTLZ M	CYQM	GOOSE BAY TWR	WGE	WGE	TWR	119.5   M	267.1   M	D			L	004000AMSL	SURFACE		200506
CY00041	07	GREENWOOD , NS CTLZ	CYQM	GREENWOOD TWR	WGE	WGE	TWR	119.5   M	236.6   M	D			L	005000AMSL	SURFACE		200410
CY00042	07	HALIFAX INTL, NS CTLZ	CYQM	HALIFAX TWR	WGE	WGE	TWR	118.4   M	236.6   M	D			L	003500AMSL	SURFACE		200410
CY00043	07	MONCTON INTL, NB CTLZ	CYQM	MONCTON APPROACH CONTROL	WGE	WGE	TWR	120.8   M	236.6   M	D			L	003500AMSL	SURFACE		200410
CY00044	07	SAINT JOHN, NB CTLZ	CYQM	MONCTON ACC	WGE	WGE	RDO	118.5   M	236.6   M	E			L	003400AMSL	SURFACE		200410
CY00045	07	SHEARWATER, NS CTLZ	CYQM	TWR	WGE	WGE	TWR	126.2   M	340.2   M	D			L	003500AMSL	SURFACE		200410
CY00046	07	SYDNEY, NS CTLZ	CYQM	MONCTON ACC	WGE	WGE	RDO	122.0   M	266.3   M	E			L	003200AMSL	SURFACE		200410
CY00049	07	BAIE-COMEAU, QC CTLZ	CYYY	BAIE-COMEAU RDO	WGE	WGE	MONT JOLI RDO	118.3   M	121.9   M	E			L	003000AMSL	SURFACE		200410
CY00051	11	BAGOTVILLE, QC MTCA A	CYBG	BAGOTVILLE TRML	WGE	WGE	TML	127.2   M	227.6   M	A	Y	CLASS A ABV 18,000',CLASS B ABV 12,500' TO 17,999', CLASS D 1200' AGL TO12,500'	B	FL600	01200AGL		200410
CY00054	07	IQALUIT, NU CTLZ	CYUL	MONTREAL ACC	WGE	WGE	IQUALUIT RDO	122.2   M		E			L	003100AMSL	SURFACE		200410
CY00058	07	MONTREAL/DORVAL INTL, QC CTLZ	CYUL	MONTREAL ARR/TWR	WGE	WGE	TRML	125.15  M	287.2   M	C			L	003000AMSL	SURFACE		200410
CY00059	07	MONTREAL INTL(MIRABEL), QC CTLZ B	CYUL	MONTREAL ARR	WGE	WGE	TRML	124.65  M	287.2   M	C			L	003000AMSL	SURFACE		200410
CY00060	07	OTTAWA/MACDONALD-CARTIER, ON CTLZ A	CYUL	OTTAWA TRML	WGE	WGE	TRML	127.7   M	247.0   M	C			L	004000AMSL	SURFACE		200410
CY00062	07	OTTAWA/MACDONALD-CARTIER, ON CTLZ B	CYUL	TRML	WGE	WGE	TRML	127.7   M	247.0   M	C			L	004000AMSL	02000AMSL		200410
CY00070	07	SEPT-ILES, QC CTLZ	CYUL	MONTREAL CENTER	WGE	WGE	RDO	122.1   M	381.9   M	E			L	003000AMSL	SURFACE		200410
CY00072	07	MONTREAL INTL(MIRABEL), QC CTLZ D	CYUL	MONTREAL ARR	WGE	WGE	ARR	124.65  M	287.2   M	C			L	003000AMSL	01401AMSL		200410
CY00073	07	MONTREAL INTL(MIRABEL), QC CTLZ E	CYUL	MONTREAL ARR	WGE	WGE	ARR	124.65  M	287.2   M	C			L	003000AMSL	01501AMSL		200410
CY00074	07	MONTREAL INTL(MIRABEL), QC CTLZ F	CYUL	MONTREAL ARR	WGE	WGE	ARR	124.65  M	287.2   M	C			L	003000AMSL	01501AMSL		200410
CY00090	07	TORONTO/LB PEARSON INTL, ON CTLZ	CYYZ	TORONTO ARR/TWR	WGE	WGE	ARR	132.8   M	358.1   M	C			L	002500AMSL	SURFACE		200410
CY00091	07	TRENTON, ON CTLZ B	CYYZ	TRENTON ARR/TWR	WGE	WGE	ARR	128.4   M	324.3   M	D			L	006000AMSL	02000AMSL		200410
CY00092	07	TRENTON, ON CTLZ A	CYYZ	TRENTON ARR/TWR	WGE	WGE	ARR	128.4   M	324.3   M	D			L	001999AMSL	SURFACE		200410
CY00093	07	WINDSOR ,ON CTLZ A	CYYZ	DETROIT ARR/WINDSOR TWR	WGE	WGE	TWR	124.7   M	236.6   M	D			L	002900AMSL	SURFACE		200410
CY00094	07	PITT MEADOWS, BC  CTLZ	CYVR	PITT MEADOWS TWR	WGE	WGE	TWR	120.0   M	126.3   M	D			L	001900AMSL	SURFACE		200410
CY00095	07	CASTLEGAR, BC  CTLZ	CYCG	VANCOUVER CNTR	WGE	WGE	VANCOUVER CNTR	134.2   M	227.3   M	E			L	006500AMSL	SURFACE		200410
CY00096	07	KAMLOOPS, BC  CTLZ	CYKA	KAMLOOPS RDO	WGE	WGE	RDO	125.7   M		E			L	004100AMSL	SURFACE		200410
CY00097	07	KELOWNA, BC  CTLZ	CYVR	KELOWNA TWR	WGE	WGE	TWR	119.6   M	292.2   M	D			L	003000AMSL	SURFACE		200410
CY00098	07	PENTICTON, BC  CTLZ	CYYF	PENTICTON RDO	WGE	WGE	RDO	118.5   M	295.4   M	E			L	004100AMSL	SURFACE		200410
CY00099	07	PRINCE GEORGE, BC  CTLZ	CYXS	PRINCE GEORGE TWR	WGE	WGE	TWR	118.3   M	327.7   M	D			L	005500AMSL	SURFACE		200410
CY00100	07	ABBOTSFORD, BC  CTLZ	CYVR	ABBOTSFORD TWR	WGE	WGE	TWR	119.4   M	295.0   M	D			L	002500AMSL	SURFACE		200410
CY00101	07	COMOX, BC  CTLZ	CYQQ	COMOX TOWER	WGE	WGE	TWR	126.2   M	358.1   M	D			L	006000AMSL	SURFACE		200410
CY00102	07	VANCOUVER INTERNATIONAL,BC  CTLZ	CYVR	VANCOUVER TOWER	WGE	WGE	ARR	128.6   M	352.7   M	C			L	002500AGL	SURFACE		200410
CY00103	07	VICTORIA INTL, BC  CTLZ A	CYVR	VICTORIA TWR	WGE	WGE	TWR	119.7   M	239.6   M	C			L	001000AMSL	SURFACE		200410
CY00105	07	CAMPBELL RIVER, BC  CTLZ	CYBL	CAMPBELL RDO	WGE	WGE	RDO	126.7   M	296.6   M	E			L	003300AMSL	SURFACE		200410
CY00106	07	CRANBROOK, BC CTLZ	CYXC	CRANBROOK RDO	WGE	WGE	RDO	122.3   M	262.7   M	E			L	006100AMSL	SURFACE		200410
CY00107	07	NANAIMO, BC CTLZ	CYCD	NANAIMO RDO	WGE	WGE	RDO	122.1   M	291.8   M	E			L	002500AMSL	SURFACE		200410
CY00111	07	QUESNEL, BC CTLZ	CYQZ	PRINCE GEORGE RDO	WGE	WGE	PRINCE GEORGE RDO	122.2   M		E			L	004800AMSL	SURFACE		200410
CY00113	07	SMITHERS, BC  CTLZ	CYYD	SMITHERS  RADIO	WGE	WGE	RDO	122.3   M	262.7   M	E			L	004700AMSL	SURFACE		200410
CY00117	07	BRANDON, MB CTLZ	CYBR	RDO	WGE	WGE	RDO	122.1   M	248.6   M	E			L	004000AMSL	SURFACE		200410
CY00126	07	MOOSE JAW, SK CTLZ	CYWG	TWR	WGE	WGE	TWR	126.2   M	295.6   M	D			L	008000AMSL	SURFACE		200410
CY00131	07	REGINA, SK CTLZ	CYWG	REGINA  TWR	WGE	WGE	TWR	118.6   M	236.6   M	D			L	005000AMSL	SURFACE		200410
CY00132	07	ST ANDREWS, MB  CTLZ	CYWG	TWR	WGE	WGE	TWR	118.5   M	120.7   M	D			L	003000AMSL	SURFACE		200410
CY00139	07	WINNIPEG  INTL, MB CTLZ	CYWG	WINNIPEG  INTL TWR	WGE	WGE	TWR	118.3   M	236.6   M	D			L	003000AMSL	SURFACE		200410
CY00154	11	TORONTO, ON TCA B	CYYZ	TORONTO TOWER ARR	WGE	WGE	APP	132.8   M	358.1   M	C			L	002499AMSL	02000AMSL		200410
CY00155	11	TORONTO, ON TCA C	CYYZ	TORONTO TOWER ARR	WGE	WGE	APP	132.8   M	358.1   M	C			L	003499AMSL	02500AMSL		200410
CY00156	11	TORONTO, ON TCA D	CYYZ	TORONTO TOWER	WGE	WGE	APP	125.4   M	358.1   M	C			L	012500AMSL	03500AMSL		200410
CY00157	11	TRENTON, ON MTCA A	CYYZ	TRENTON APP	WGE	WGE	APP	128.4   M	324.3   M	B	Y	CLASS B ABOVE 12,500'. CLASS E 12,500 AND BLW.	L	017000AMSL	00700AMSL		200410
CY00158	11	TRENTON, ON MTCA B	CYYZ	TRENTON APP	WGE	WGE	APP	128.4   M	324.3   M	B	Y	CLASS B ABOVE 12,500', CLASS E 12,500 AND BLW.	L	017000AMSL	02200AMSL		200410
CY00159	11	TORONTO, ON TCA A	CYYZ	TORONTO TOWER	WGE	WGE	APP	132.8   M	358.1   M	C			L	001999AMSL	01700AMSL		200410
CY00160	07	VICTORIA INTL, BC  CTLZ B	CYVR	VICTORIA TOWER	WGE	WGE	TWR	119.1   M	239.6   M	C			L	001400AMSL	01001AMSL		200410
CY00161	07	VICTORIA INTL, BC  CTLZ C	CYVR	VICTORIA  TWR	WGE	WGE	TWR	119.1   M	239.6   M	C			L	002500AMSL	01400AMSL		200506
CY00162	11	ST PIERRE, FRANCE TCA B	CYQX	ST-PIERRE TERMINAL CONTROL	WGE	WGE	TRML	119.1   M	134.9   M	E			B	012500AMSL	06000AMSL		200410
CY00164	11	ST PIERRE, FRANCE TCA A	CYQX	ST-PIERRE TERMINAL CONTROL	WGE	WGE	TRML	119.1   M	134.9   M	D			L	006000AMSL	00700AGL		200410
CY00166	11	MONTREAL (DORVAL/MIRABEL), QC TCA A	CYUL	MONTREAL APP CON	WGE	WGE	TRML	118.9   M	287.2   M	C			L	002499AMSL	01300AMSL		200410
CY00167	11	MONTREAL (DORVAL/MIRABEL), QC TCA B	CYUL	MONTREAL APP CON	WGE	WGE	TRML	118.9   M	287.2   M	C			L	005999AMSL	02500AMSL		200410
CY00168	11	MONTREAL (DORVAL/MIRABEL), QC TCA C	CYUL	MONTREAL APP CON	WGE	WGE	TRML	118.9   M	287.2   M	C			L	012500AMSL	06000AMSL		200410
CY00169	11	MONTREAL (DORVAL/MIRABEL), QC TCA D	CYUL	MONTREAL APP CON	WGE	WGE	TRML	118.9   M	287.2   M	D	Y	EXCLUDING ALL CLASS C AIRSPACE WITHIN 30 MILE RADIUS OF THE MONTREAL, QC VOR.	L	012500AMSL	02000AMSL		200410
CY00174	07	ST PIERRE, FRANCE CTLZ	CYQX	TML	WGE	WGE	TML	119.1   M	134.9   M	D			L	002000AMSL	SURFACE		200410
CY00178	07	VANCOUVER HARBOUR, BC CTLZ	CYVR	HARBOUR TWR	WGE	WGE	HARBOUR TWR	118.4   M	125.35  M	D			L	002000AMSL	SURFACE		200506
CY00181	11	WHITEHORSE TCA	CYEG	EDMONTON CENTER	WGE	WGE	EDMONTON CNTR	132.1   M	290.6   M	B			L	017999AMSL	12500AMSL		200410
CY00182	06	KELOWNA CAE	CYVR	VANCOUVER ACC	WGE	WGE	TWR	119.6   M	292.2   M	D			L	006500AMSL	04000AMSL		200410
CY00185	10	ANM BC C VANCOUVER, BC (POINT ROBERTS)	CYVR	VANCOUVER APPROACH	WGE	WGE	VANCOUVER APP	120.8   M	133.1   M	C			L	012500AMSL	02500AMSL		200410
CY00186	07	PORT HARDY, BC CTLZ A	CYZT	HARDY RDO	WGE	WGE	HARDY RDO	122.2   M	236.6   M	E			L	003100AGL	SURFACE		200410
CY00187	07	PORT HARDY, BC CTLZ B	CYZT	HARDY RDO	WGE	WGE	HARDY RDO	126.7   M	236.6   M	E			L	003100AMSL	00700AMSL		200410
CY00188	06	PORT HARDY, BC  CAE	CYZT	VANCOUVER ACC	WGE	WGE	HARDY FSS	122.2   M	236.6   M	B	Y	CLASS E BELOW 12,500' AMSL.	L	017999AMSL	SURFACE		200410
CY00189	07	PRINCE RUPERT, BC  CTLZ A	CYPR	TERRACE RDO	WGE	WGE	TERRACE RDO	122.5   M	126.7   M	E			L	003100AMSL	00500AMSL		200410
CY00190	07	PRINCE RUPERT, BC  CTLZ B	CYPR	TERRACE RDO	WGE	WGE	TERRACE RDO	122.5   M	126.7   M	E			L	003100AMSL	SURFACE		200410
CY00191	06	PRINCE RUPERT, BC  CAE	CYPR	VANCOUVER CTR	WGE	WGE	VANCOUVER CNTR	128.0   M	284.0   M	B	Y	CLASS B ABOVE 12500', CLASS E 12500' AND BELOW.	L	017999AMSL	SURFACE		200410
CY00192	06	QUESNEL, BC  CAE	CYQR	PRINCE GEORGE RDO	WGE	WGE	PRINCE GEORGE RDO	122.2   M	236.6   M	B	Y	CLASS B ABOVE 12,500', CLASS E 12,500' AND BELOW.	L	017999AMSL	SURFACE		200410
CY00193	06	SANDSPIT, BC  CAE	CYZP	VANCOUVER ACC	WGE	WGE	VANCOUVER CNTR	133.4   M	227.2   M	E	Y	CLASS B ABOVE 12500', CLASS E 12500' AND BELOW.	L	017999AMSL	SURFACE		200410
CY00194	07	VICTORIA HARBOUR, BC CTLZ	CYVJ	HARBOUR RDO	WGE	WGE	HARBOUR RDO	122.2   M	126.7   M	E			L	002500AGL	SURFACE		200410
CY00195	07	WILLIAMS LAKE, BC  CTLZ	CYWL	WILLIAMS LAKE RDO	WGE	WGE	RDO	122.3   M	126.7   M	E			L	006100AMSL	SURFACE		200410
CY00196	06	WILLIAMS LAKE, BC  CAE	CYWL	VANCOUVER ACC	WGE	WGE	VANCOUVER CNTR	134.0   M	381.4   M	B	Y	CLASS B ABOVE 12500', CLASS E 12500' AND BELOW.	L	017999AMSL	SURFACE		200410
CY00197	06	PRINCETON, BC CAE	CYDC	VANCOUVER ACC	WGE	WGE	VANCOUVER CNTR	135.0   M	351.3   M	B	Y	CLASS E 12500' AND BELOW.	L	017999AMSL	SURFACE		200410
CY00198	07	PRINCETON, BC  CTLZ	CYDC	PENTICTON RDO	WGE	WGE	PENTICTON RDO	126.7   M		E			L	005300AMSL	SURFACE		200410
CY00199	06	TELKWA , BC CAE	CYVR	VANCOUVER ACC	WGE	WGE	VANCOUVER CNTR	128.4   M	269.1   M	B	Y	CLASS E 12,500' AND BELOW. CLASS B ABV 12,500'.	L	017999AMSL	SURFACE		200410
