ARF_IDENT	DIRECTION	ICAO	TYPE	CTRY	LOC_HDATUM	WGS_DATUM	PRI_FREQ	BKP_FREQ	APN_CODE	APX_CODE	RECEIVER	TANKER	ALT1_DESC	REFUEL1_ALT1	REFUEL1_ALT2	ALT2_DESC	REFUEL2_ALT1	REFUEL2_ALT2	ALT3_DESC	REFUEL3_ALT1	REFUEL3_ALT2	SCH_UNIT	ATC	CYCLE_DATE
AR108	W	KZHU	T	US	WGE	WGE	348.900	260.200	113	31	33	096	BT	FL180	FL200	BT	FL210	FL230				433 OSS/OSC Lackland AFB, TX 945-4333/4330 (210-925-4333)	Houston ARCP-132.65W ARCP-269.5W ARCP-133.85W EXIT-133.4W EXIT-306.3W	200607
AR109H	E	KZMP	T	US	WGE	WGE	343.500	320.900	111	21	30	093	BT	FL250	FL310							55 OSS/OST, Offutt AFB, NE (312) 271-5109/5009/2077 (1330-2230Z++ wkd) 402-294-x	Minneapolis ARCP-327.1E EXIT-327.1E	200602
AR109H	W	KZMP	T	US	WGE	WGE	343.500	320.900	111	21	30	093	BT	FL250	FL310							55 OSS/OST, Offutt AFB, NE (312) 271-5109/5009/2077 (1330-2230Z++ wkd) 402-294-x	Minneapolis ARCP-327.1W EXIT-327.1W	200602
AR109L	E	KZMP	T	US	WGE	WGE	327.600	320.900	113	41	32	095	BT	FL190	FL230							55 OSS/OST, Offutt AFB, NE (312) 271-5109/5009/2077 (1330-2230Z++ wkd) 402-294-x	Minneapolis ARCP-327.1E EXIT-327.1E	200602
AR109L	W	KZMP	T	US	WGE	WGE	327.600	320.900	113	41	32	095	BT	FL190	FL230							55 OSS/OST, Offutt AFB, NE (312) 271-5109/5009/2077 (1330-2230Z++ wkd) 402-294-x	Minneapolis ARCP-327.1W EXIT-327.1W	200602
AR11	E	KZDV	T	US	WGE	WGE	235.100	320.900	114	51	33	096	BT	FL230	FL260							28 OSS/OSXS Ellsworth AFB, SD 675-4246. After Hours relay through Raymond 33 675	Denver ARCP-385.6E EXIT-338.2E	200410
AR11	W	KZDV	T	US	WGE	WGE	235.100	320.900	114	51	33	096	BT	FL230	FL260							28 OSS/OSXS Ellsworth AFB, SD 675-4246. After Hours relay through Raymond 33 675	Denver ARCP-338.2W Salt Lake City EXIT-353.5W	200410
AR110	E	KZKC	T	US	WGE	WGE	327.600	319.700	114	41	51	114	BT	FL240	FL270							509 OSS/OSOS Whiteman AFB, MO 975-1713/1754	Kansas City ARCP-277.4E EXIT-346.4E	200410
AR110	W	KZKC	T	US	WGE	WGE	327.600	319.700	114	41	51	114	BT	FL240	FL270							509 OSS/OSOS Whiteman AFB, MO 975-1713/1754	Kansas City ARCP-319W EXIT-277.4W	200410
AR111	E	KZME	T	US	WGE	WGE	348.900	319.700	113	21	30	093	BT	FL250	FL290							552 OSS/OSOS Tinker AFB, OK 884-1203/1204 405-734-1203/1204	Memphis ARCP-257.6E/132.37E EXIT-288.35E/124.27E	200410
AR111	W	KZME	T	US	WGE	WGE	348.900	319.700	113	21	30	093	BT	FL250	FL290							552 OSS/OSOS Tinker AFB, OK 884-1203/1204 405-734-1203/1204	Memphis ARCP-354.15W/122.275W EXIT-288.35W/124.27W	200410
AR112H	E	KZFW	T	US	WGE	WGE	235.100	260.200	121	61	33	096	BT	FL240	FL310							VQ3 Tinker AFB, OK 339-3911 (After duty hours 884-9928) 405-739-3911 (After duty	Fort Worth ARCP-363.1E Memphis EXIT-353.8E	200608
AR112H	W	KZFW	T	US	WGE	WGE	235.100	260.200	121	61	33	096	BT	FL240	FL310							VQ3 Tinker AFB, OK 339-3911 (After duty hours 884-9928) 405-739-3911 (After duty	Memphis ARCP-353.8W Fort Worth EXIT-363.1W	200608
AR112L	E	KZFW	T	US	WGE	WGE	295.800	260.200	110	41	50	113	BT	FL190	FL230							93BS/DOS, Barksdale AFB, LA 781-2394 318-456-2394	Fort Worth ARCP-363.1E Memphis EXIT-353.8E	200602
AR112L	W	KZFW	T	US	WGE	WGE	295.800	260.200	110	41	50	113	BT	FL190	FL230							93BS/DOS, Barksdale AFB, LA 781-2394 318-456-2394	Memphis ARCP-353.8W Fort Worth EXIT-363.1W	200602
AR113	E	KZFW	T	US	WGE	WGE	283.900	260.300	114	61	52	115	BT	FL190	FL230							7 OSS/OSTA Dyess AFB, TX 461-3665 915-696-3665	Fort Worth ARCP-360.8E EXIT-353.7E	200411
AR113	W	KZFW	T	US	WGE	WGE	283.900	260.300	114	61	52	115	BT	FL190	FL230							7 OSS/OSTA Dyess AFB, TX 461-3665 915-696-3665	Fort Worth ARCP-269.4W Albuquerque EXIT-343.6W	200411
AR114		KZFW	T	US	WGE	WGE	366.300	260.200	120	51	33	096	BT	FL190	FL230							7 OSS/OSTA Dyess AFB, TX 461-3665 915-696-3665	Fort Worth ARCP-360.8E Albuquerque EXIT-343.6E	200411
AR115		KZAB	T	US	WGE	WGE							BT	08000	09000							58 OSS/DOO, Kirtland AFB, NM 263-5979/5888/5701 505-853-5979/5888/5701	Albuquerque ARCP-128.8E ARCP-307.2E EXIT-128.8E EXIT-307.2E	200511
AR116	E	KZKC	T	US	WGE	WGE	366.300	260.200	130	51	32	095	BT	12000	FL220							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036)	Kansas City ARCP-269.4E EXIT-343.7E	200411
AR116	W	KZKC	T	US	WGE	WGE	366.300	260.200	130	51	32	095	BT	12000	FL220							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036)	Kansas City ARCP-363.2W EXIT-269.4W	200411
AR117V		KZAB	T	US	WGE	WGE							BT	07000	09000							58 OSS/DOO, Kirtland AFB, NM 263-5979/5888/5701 505-853-5979/5888/5701	Albuquerque ARCP-128.8E/307.2E EXIT-128.8E/307.2E	200511
AR121	N	KZAB	T	US	WGE	WGE	229.500	258.200	311	41	52	115	BT	15000	FL290							49 OSS/OSOS Holloman AFB, NM 572-3536 505-572-3536	Albuquerque ARCP- EXIT-	200411
AR121	S	KZAB	T	US	WGE	WGE	229.500	258.200	311	41	52	115	BT	15000	FL290							49 OSS/OSOS Holloman AFB, NM 572-3536 505-572-3536	Albuquerque ARCP- EXIT-	200411
AR125V	N	KZAB	T	US	WGE	WGE							BT	00500	03000							58 OSS/DOO, Kirtland AFB, NM 263-5979/5888/5701 505-853-5979/5888/5701	Albuquerque ARCP-	200511
AR125V	S	KZAB	T	US	WGE	WGE							BT	00500	03000							58 OSS/DOO, Kirtland AFB, NM 263-5979/5888/5701 505-853-5979/5888/5701	Albuquerque ARCP-	200511
AR126V	N	KZAB	T	US	WGE	WGE							BT	01000	08500							49 OSS/OSOS Holloman AFB, NM 572-3536 505-572-3536	Albuquerque ARIP-257.6 EXIT-257.6	200513
AR126V	S	KZAB	T	US	WGE	WGE							BT	01000	08500							49 OSS/OSOS Holloman AFB, NM 572-3536 505-572-3536	Albuquerque ARIP-257.6 EXIT-257.6	200513
AR127V	N	KZAB	T	US	WGE	WGE							BT	01000	10000							49 OSS/OSOS Holloman AFB, NM 572-3536 505-572-3536	Albuquerque ARIP-257.6 EXIT-257.6	200513
AR127V	S	KZAB	T	US	WGE	WGE							BT	01000	10000							49 OSS/OSOS Holloman AFB, NM 572-3536 505-572-3536	Albuquerque ARIP-257.6 EXIT-257.6	200513
AR12H	E	KZLC	T	US	WGE	WGE	352.600	320.900	121	31	31	094	BT	FL270	FL310							28 OSS/OSXS Ellsworth AFB, SD 675-4246.  (After hours: relay through Raymond 33	Salt Lake City ARCP-272.75E Minneapolis EXIT-317.5E	200410
AR12H	W	KZLC	T	US	WGE	WGE	352.600	320.900	121	31	31	094	BT	FL270	FL310							28 OSS/OSXS Ellsworth AFB, SD 675-4246.  (After hours: relay through Raymond 33	Salt Lake City ARCP-272.75W EXIT-351.9W	200410
AR12L	E	KZLC	T	US	WGE	WGE	344.700	292.600	221	51	55	118	BT	FL190	FL230							28 OSS/OSXS Ellsworth AFB, SD 675-4246. (After hours: relay through Raymond 33 -	Salt Lake City ARCP-272.75E Minneapolis EXIT-263E	200410
AR12L	W	KZLC	T	US	WGE	WGE	344.700	292.600	221	51	55	118	BT	FL190	FL230							28 OSS/OSXS Ellsworth AFB, SD 675-4246. (After hours: relay through Raymond 33 -	Salt Lake City ARCP-272.75W EXIT-351.9W	200410
AR13	E	KZAB	T	US	WGE	WGE	238.900	260.200	113	41	32	095	BT	FL240	FL310							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036)	Fort Worth ARCP-381.6E EXIT-285.6E	200410
AR13	W	KZAB	T	US	WGE	WGE	238.900	260.200	113	41	32	095	BT	FL240	FL310							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036)	Fort Worth ARCP-285.6W EXIT-251.1W	200410
AR135V	N	KZAB	T	US	WGE	WGE	238.500	233.725			31	094	AT	05000								563 OSS/OSOS Davis-Monthan AFB, AZ 228-4938 520-228-4938	Albuquerque ARCP-	200511
AR135V	S	KZAB	T	US	WGE	WGE	238.500	233.725			31	094	AT	05000								563 OSS/OSOS Davis-Monthan AFB, AZ 228-4938 520-228-4938	Albuquerque ARCP-	200511
AR136V	N	KZAB	T	US	WGE	WGE	233.725	238.500			30	093	AT	6500								563 OSS/OSOS Davis-Monthan AFB, AZ 228-4938 520-228-4938	Albuquerque ARCP-	200506
AR136V	S	KZAB	T	US	WGE	WGE	233.725	238.500			30	093	AT	6500								563 OSS/OSOS Davis-Monthan AFB, AZ 228-4938 520-228-4938	Albuquerque ARCP-	200506
AR137V	N	KZAB	T	US	WGE	WGE	233.725	238.500			30	093	BT	4500	6500							563 OSS/OSOS Davis-Monthan AFB, AZ 228-4059 520-228-4059	Albuquerque ARIP-	200508
AR137V	S	KZAB	T	US	WGE	WGE	233.725	238.500			30	093	BT	4500	6500							563 OSS/OSOS Davis-Monthan AFB, AZ 228-4059 520-228-4059	Albuquerque ARIP-	200508
AR14	E	KZLC	T	US	WGE	WGE	336.100	359.100	131	61	52	115	BT	FL190	FL220							28 OSS/OSXS Ellsworth AFB, SD 675-4246.  (After hours: relay through Raymond 33	Denver ARCP-239E EXIT-269.6E	200410
AR14	W	KZLC	T	US	WGE	WGE	336.100	359.100	131	61	52	115	BT	FL190	FL220							28 OSS/OSXS Ellsworth AFB, SD 675-4246.  (After hours: relay through Raymond 33	Denver ARCP-338.2W Salt Lake City EXIT-291.6W	200410
AR15V	N	KZMA	T	US	WGE	WGE	363.900	252.800			29	092	BT	01000	04000							920 RQG, CO, Patrick AFB, FL 854-2297 321-494-2297	PATRICK RAPCON ARCP-	200412
AR15V	S	KZMA	T	US	WGE	WGE	363.900	252.800			29	092	BT	01000	04000							920 RQG, CO, Patrick AFB, FL 854-2297 321-494-2297	PATRICK RAPCON ARCP-	200412
AR16	E	KZKC	T	US	WGE	WGE	343.500	319.700	111	21	30	093	BT	FL240	FL260							1 ACCS Offutt AFB, NE 271-5687 (STN 237)	Kansas City ARCP-343.7E Chicago EXIT-353.5E	200410
AR16	W	KZKC	T	US	WGE	WGE	343.500	319.700	111	21	30	093	BT	FL240	FL260							1 ACCS Offutt AFB, NE 271-5687 (STN 237)	Kansas City ARCP-370.9W EXIT-343.7W	200410
AR167	N	KZHU	T	US	WGE	WGE	235.100	260.200	121	21	32	095	BT	FL260	FL310							149 FG/DOOS Kelly AFB, TX 969-5934	Houston ARCP-323.1W EXIT-380.2W	200411
AR167	S	KZHU	T	US	WGE	WGE	235.100	260.200	121	21	32	095	BT	FL260	FL310							149 FG/DOOS Kelly AFB, TX 969-5934	Houston ARCP-380.2E EXIT-323.1E	200411
AR17	N	KZDV	T	US	WGE	WGE	276.500	320.900	122	61	50	113	BT	FL190	FL220							28 OSS/OSXS Ellsworth AFB, SD 675-4246. (After hours: relay through Raymond 33 -	Denver ARCP-353.7W EXIT-338.2W	200410
AR17	S	KZDV	T	US	WGE	WGE	276.500	320.900	122	61	50	113	BT	FL190	FL220							28 OSS/OSXS Ellsworth AFB, SD 675-4246. (After hours: relay through Raymond 33 -	Denver ARCP-338.2E EXIT-353.7E	200410
AR18V	N	KZNY	T	US	WGE	WGE	311.575	303.125		21	29	092	BT	04000	10000							C.G. MCAS Cherry Point, NC 582-4040/4041	CHERRY POINT RATCF ARIP-	200412
AR18V	S	KZNY	T	US	WGE	WGE	311.575	303.125		21	29	092	BT	04000	10000							C.G. MCAS Cherry Point, NC 582-4040/4041	CHERRY POINT RATCF ARIP-	200412
AR19	N	KZDV	T	US	WGE	WGE	295.400	320.900	123	31	30	093	BT	FL270	FL290							28 OSS/OSXS Ellsworth AFB, SD 675-4246. (After hours: relay through Raymond 33	Denver ARCP-360.65W EXIT-322.5W	200410
AR19	S	KZDV	T	US	WGE	WGE	295.400	320.900	123	31	30	093	BT	FL270	FL290							28 OSS/OSXS Ellsworth AFB, SD 675-4246. (After hours: relay through Raymond 33	Denver ARCP-322.5E EXIT-360.65E	200410
AR2	W	KZLC	T	US	WGE	WGE	283.900	319.500	112	31	31	094	BT	FL240	FL260							60 OSS/AO Travis AFB, CA 837-5582/1038 707-424-5582/1038	Salt Lake City ARCP-323W EXIT-363.15W	200410
AR20	NE	KZBW	T	US	WGE	WGE	341.750	349.700	211	51	62	125	BT	17000	FL190	BT	FL200	FL220				437 OSS/OSO Charleston AFB, SC 673-5549 437 OPG (OT Comd Post  673-2531)	Boston ARCP-269.3E/133.45E Moncton EXIT-368.5E/123.9E	200410
AR20	SW	KZQX	T	US	WGE	WGE	341.750	349.700	211	51	62	125	BT	FL230	FL250	BT	FL260	FL280				437 OSS/OSO Charleston AFB, SC 673-5549 437 OPG (OT Comd Post  673-2531)	Gander ARCP-294.5W/133.9W ARCP-247W/133.55W Moncton EXIT-266.3W/118.6W	200410
AR200		KZMA	T	US	WGE	WGE	235.100	319.700	111	21	30	093	BT	FL240	FL260							6 OSS/OSO MacDill AFB, FL 968-9629/9630 813-828-9629/9630	Miami ARCP-307.2E EXIT-290.5E	200411
AR201	E	KZLC	T	US	WGE	WGE	336.100	319.500	141	41	51	114	BT	FL190	FL230							7 OSS/OSTA Dyess AFB, TX 461-3665 915-696-3665	Salt Lake City ARIP-271.2E Denver EXIT-343.7E	200411
AR201	W	KZDV	T	US	WGE	WGE	336.100	319.500	141	41	51	114	BT	FL190	FL230							7 OSS/OSTA Dyess AFB, TX 461-3665 915-696-3665	Denver ARIP-343.7W Salt Lake City EXIT-271.2W	200411
AR202AN		KZJX	T	US	WGE	WGE	327.600	319.700	112	31	31	094	BT	FL250	FL280							437 OSS/OSO Charleston AFB, SC 673-5554 (After duty hours 437 OPG Comd Post 673-	Jacksonville ARCP-327.1E/134.85E EXIT-317.4E/135.05E	200411
AR202N	N	KZMA	T	US	WGE	WGE	327.600	319.700	112	31	31	094	BT	FL250	FL280							437 OSS/OSO Charleston AFB, SC 673-5554 (After duty hours 437 OPG Comd Post 673-	Miami ARCP-307.8E Jacksonville EXIT-317.4E/135.05E	200411
AR202S	S	KZJX	T	US	WGE	WGE	327.600	319.700	112	31	31	094	BT	FL250	FL280							437 OSS/OSO Charleston AFB, SC 673-5554 (After duty hours 437 OPG Comd Post 673-	Jacksonville ARCP-317.4W/135.05W Miami EXIT-307.8W Alternate Exit - Jacksonvill	200411
AR203	NE	KZME	T	US	WGE	WGE	238.900	319.700	120	61	32	095	BT	FL270	FL310							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036)	Memphis ARCP-354E EXIT-338.3E	200411
AR203	SW	KZME	T	US	WGE	WGE	238.900	319.700	120	61	32	095	BT	FL270	FL310							2 OSS/OSOSB Barksdale AFB, LA 781-3828/5396 (SOCS 4036)	Memphis ARCP-338.3W EXIT-354W	200411
AR204	NE	KZBW	T	US	WGE	WGE	324.600	282.700	111	21	30	093	BT	FL240	FL260							305 OSS/OSOP McGuire AFB, NJ 650-6948/5891	Boston ARCP-282.2E EXIT-319.1E	200411
AR204	SW	KZBW	T	US	WGE	WGE	324.600	282.700	111	21	30	093	BT	FL240	FL260							305 OSS/OSOP McGuire AFB, NJ 650-6948/5891	Boston ARCP-319.1W EXIT-380.3W	200411
AR205		KZBW	T	US	WGE	WGE	327.600	282.700	112	31	31	094	BT	FL280	FL310							305 OSS/OSOP McGuire AFB, NJ 650-6948/5891	Boston ARCP-319.1W EXIT-380.3W	200503
AR206H		KZOB	T	US	WGE	WGE	348.900	282.700	113	61	32	095	BT	FL250	FL270	BT	FL280	FL310				305 AMW/OSOP McGuire AFB, NJ 650-6948/5891	Boston ARCP-323W Cleveland EXIT-354.1W	200411
AR206L		KZOB	T	US	WGE	WGE	235.100	282.700	114	41	33	096	BT	FL190	FL230							305 AMW/OSOP McGuire AFB, NJ 650-6948/5891	Boston ARCP-323W Cleveland EXIT-307.8W	200411
AR207NE	NE	KZJX	T	US	WGE	WGE	324.600	319.700	113	61	32	095	BT	FL260	FL280							437 OSS/OSO Charleston AFB, SC 673-5554 (After duty hours 437 OPG Comd Post 673-	Jacksonville ARCP-319.2E EXIT-352E	200411
AR207SW	SW	KZJX	T	US	WGE	WGE	324.600	319.700	113	61	32	095	BT	FL260	FL280							437 OSS/OSO Charleston AFB, SC 673-5554 (After duty hours 437 OPG Comd Post 673-	Jacksonville ARCP-352W EXIT-346.3W	200411
AR208		KZOA	T	US	WGE	WGE							BT	06000	08000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Sacramento TRA-CON ARCP-119.1E/340.9E EXIT-119.1E/340.9E	200411
AR209	E	KZLA	T	US	WGE	WGE	238.900	319.500	211	31	30	093	AB	FL230								452 AMW OSS/DOOA March AFB, CA 447-5614/4376 909-655-5614/4376	Los Angeles ARCP- EXIT-	200411
AR209	W	KZLA	T	US	WGE	WGE	238.900	319.500	211	31	30	093	AB	FL230								452 AMW OSS/DOOA March AFB, CA 447-5614/4376 909-655-5614/4376	Los Angeles ARCP- EXIT-	200411
AR212	NE	KZBW	T	US	WGE	WGE	238.900	282.700	120	51	50	113	BT	FL190	FL220							305 OSS/OSOP McGuire AFB, NJ 650-6948/5891	Boston ARCP-282.2E EXIT-346.4E	200411
AR212	SW	KZBW	T	US	WGE	WGE	238.900	282.700	120	51	50	113	BT	FL190	FL220							305 OSS/OSOP McGuire AFB, NJ 650-6948/5891	Boston ARCP-319.1W EXIT-380.3W	200411
AR214		KZOA	T	US	WGE	WGE							BT	15000	17000							NAS Fallon Range Scheduling, NV 890-2416/2418 775-426-2416/2418	Oakland ARCP- EXIT-	200411
AR216	NE	KZTL	T	US	WGE	WGE	276.500	319.700	121	31	31	094	BT	FL260	FL280							437 OSS/OSO Charleston AFB, SC 673-5549/5554 843-963-5549/5554	Atlanta ARCP-363.1E EXIT-257.9E	200503
AR216	SW	KZTL	T	US	WGE	WGE	276.500	319.700	121	31	31	094	BT	FL260	FL280							437 OSS/OSO Charleston AFB, SC 673-5549/5554 843-963-5549/5554	Atlanta ARCP-257.9W EXIT-316.1W	200503
AR217		KZOB	T	US	WGE	WGE	283.900	282.700	122	51	50	113	BT	16000	FL220							171 ARW Pittsburgh Intl Arpt, PA Long range to schedule 294-7379, Base Ops to co	Cleveland ARCP-298.95E EXIT-294.65E	200610
AR218		KZOB	T	US	WGE	WGE	352.600	282.700	130	31	52	115	BT	FL190	FL220							171 ARW Pittsburgh Intl Arpt, PA Long range to schedule 294-7379, Base Ops to co	Cleveland ARCP-299.2W EXIT-379.2W	200610
AR219		KZOB	T	US	WGE	WGE	366.300	282.700	123	21	31	094	BT	FL260	FL290							171 ARW Pittsburgh Intl Arpt, PA Long range to schedule 294-7379, Base Ops to co	Cleveland ARCP-363.1W EXIT-288.3W	200610
AR220		KZOB	T	US	WGE	WGE	352.600	282.700	130	31	52	115	BT	FL190	FL220							171 ARW Pittsburgh Intl Arpt, PA Long range to schedule 294-7379, Base Ops to co	Cleveland ARCP-299.2W EXIT-291.65E	200610
AR221		KZOA	T	US	WGE	WGE							BT	06000	10000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Oakland ARCP-319.9E EXIT-319.9E	200411
AR222		KZOA	T	US	WGE	WGE							BT	05000	10000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Oakland ARCP-263.1E EXIT-357.6E	200411
AR223		KZOA	T	US	WGE	WGE							BT	05000	10000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Oakland ARCP-353.5W EXIT-281.4W	200411
AR224		KZOA	T	US	WGE	WGE							BT	07000	09000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Oakland ARCP-281.4W EXIT-353.5W	200411
AR225V	N	KZOA	T	US	WGE	WGE							BT	01000	02000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Oakland ARCP-	200412
AR225V	S	KZOA	T	US	WGE	WGE							BT	01000	02000							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Oakland ARCP-	200412
AR230V		KZLA	T	US	WGE	WGE							BT	06000	08000							57 OSS/OSOS Nellis AFB, NV 682-2040 702-652-2040	Los Angeles ARIP-124.2/343.6	200605
AR231V		KZLA	T	US	WGE	WGE							BT	06000	08000							57 OSS/OSOS Nellis AFB, NV 682-2040 702-652-2040	Los Angeles ARCP-	200605
AR24	N	KZDV	T	US	WGE	WGE	295.400	320.900	123	31	30	093	BT	FL190	FL220							28 OSS/OSXS Ellsworth AFB, SD 675-4246 (After hours: relay through Raymond 33  6	Denver ARCP-338.2W EXIT-353.7W	200411
AR24	S	KZDV	T	US	WGE	WGE	295.400	320.900	123	31	30	093	BT	FL190	FL220							28 OSS/OSXS Ellsworth AFB, SD 675-4246 (After hours: relay through Raymond 33  6	Denver ARCP-338.2E EXIT-353.7E	200411
AR242V	N	KZOA	T	US	WGE	WGE							BT	00500	04500							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Stockton APP CON ARIP-120.95/294.5	200412
AR242V	S	KZOA	T	US	WGE	WGE							BT	00500	04500							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Stockton APP CON ARIP-120.95/294.5	200412
AR243V	N	KZOA	T	US	WGE	WGE							BT	00500	05500							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Oakland ARCP-	200412
AR243V	S	KZOA	T	US	WGE	WGE							BT	00500	05500							129 RQW Moffett Federal Afld, CA 359-9356/7 650-603-9356/7	Oakland ARCP-	200412
